Time,Down,Type,Yards,Details,Winnipeg,Calgary
15:00,0,Kickoff,22,Lirim Hajrullahu kicks off to the Cgy14. Sederrik Cunningham return for 22 yards to Cgy36. Tackled by Julian Feoli-Gudino.,0,0
14:55,1,Rush,12,Jon Cornish rush for 12 yards to the Cgy48. Tackled by Maurice Leggett.,0,0
14:11,1,Rush,5,Jon Cornish rush for 5 yards to the Cgy53. Tackled by Jake Thomas.,0,0
13:38,2,Pass,16,Bo Levi Mitchell pass to Maurice Price for 16 yards to the Wpg41. Tackled by Matt Bucknor.,0,0
12:52,1,Rush,16,Jon Cornish rush for 16 yards to the Wpg25. Tackled by Johnny Sears Jr..,0,0
12:02,1,Rush,15,Jon Cornish rush for 15 yards to the Wpg10. Tackled by Chris Randle.,0,0
11:08,1,Pass,10,Bo Levi Mitchell pass to Rob Cote for 10 yards for a TOUCHDOWN.,0,6
10:59,0,Made Extra Point,0,Rene Paredes extra point is good.,0,7
10:59,0,Unnecessary Roughness,11,Rene Paredes kicks off to the Wpg9.   return for 26 yards to Wpg35. Tackled by Kamar Jorden. Penalty: Unnecessary Roughness on Winnipeg (Michel-Pierre Pontbriand) -15 yards.,0,7
10:50,1,Rush,11,Paris Cotton rush for 11 yards to the Wpg31. Tackled by Deron Mayo.,0,7
10:17,1,Rush,3,Paris Cotton rush for 3 yards to the Wpg34. Tackled by Corey Mace.,0,7
09:41,2,Incomplete Pass,0,Drew Willy incomplete pass intended for Paris Cotton.,0,7
09:25,3,Holding,55,Lirim Hajrullahu punts for 45 yards to Cgy31. Penalty: Holding on Calgary (Jeff Hecht) 10 yards.,0,7
09:14,1,Rush,7,Jon Cornish rush for 7 yards to the Cgy28. Tackled by Deantre Harlan.,0,7
08:22,2,Illegal Procedure,-5,Penalty: Illegal Procedure on Calgary (Dan Federkeil) -5 yards.,0,7
08:17,2,Rush,6,Jon Cornish rush for 6 yards to the Cgy29. Tackled by Kashawn Fraser.,0,7
07:32,3,Illegal Block,61,Rob Maver punts for 51 yards to Wpg30. Penalty: Illegal Block on Winnipeg (Jesse Briggs) 10 yards.,0,7
07:08,1,Pass,10,Drew Willy pass to Rory Kohlert for 10 yards to the Wpg30. Tackled by Fred Bennett.,0,7
06:35,2,Rush,1,Drew Willy rush for 1 yard to the Wpg31. Tackled by DeQuin Evans.,0,7
06:15,1,Rush,3,Paris Cotton rush for 3 yards to the Wpg34. Tackled by Shawn Lemon.,0,7
05:53,2,Rush,6,Paris Cotton rush for 6 yards to the Wpg40. Tackled by Josh Bell.,0,7
05:08,3,Rush,3,Robert Marve rush for 3 yards to the Wpg43. Tackled by Shawn Lemon.,0,7
04:12,1,Face Mask,17,Demond Washington rush for 2 yards to the Wpg45. Tackled by Brandon Jordan. Penalty: Face Mask on Calgary (Brandon Jordan) 15 yards.,0,7
03:48,1,Pass,4,Drew Willy pass to Paris Cotton for 4 yards to the Cgy46. Tackled by Brandon Smith.,0,7
03:25,2,Incomplete Pass,0,Drew Willy incomplete pass intended for Cory Watson.,0,7
02:48,3,Punt,0,Lirim Hajrullahu punts for 35 yards to Cgy11. No return.,0,7
02:38,1,Fumble,5,"Jon Cornish rush for 5 yards to the Cgy16. FUMBLE, recovered by Wpg (Johnny Sears Jr.). Tackled by Joe West.",0,7
02:23,1,Rush,2,Paris Cotton rush for 2 yards to the Cgy14. Tackled by Deron Mayo.,0,7
02:00,2,Incomplete Pass,0,Drew Willy incomplete pass intended for Clarence Denmark.,0,7
01:26,3,Missed Field Goal,21,Lirim Hajrullahu 21 yard field goal attempt is GOOD.,3,7
01:26,0,Kickoff,34,Lirim Hajrullahu kicks off to the Cgy15. Anthony Parker return for 34 yards to Cgy49. Tackled by Chris Randle.,3,7
01:19,1,Rush,14,Jon Cornish rush for 14 yards to the Wpg47. Tackled by Bruce Johnson.,3,7
00:35,1,Rush,11,Jon Cornish rush for 11 yards to the Wpg36. Tackled by Demond Washington.,3,7
00:02,1,Pass,9,Bo Levi Mitchell pass to Rob Cote for 9 yards to the Wpg27. Tackled by Bruce Johnson.,3,7
15:00,2,Rush,3,Drew Tate rush for 3 yards to the Wpg24. Tackled by Greg Hickman.,3,7
14:33,1,Pass,4,Bo Levi Mitchell pass to Nik Lewis for 4 yards to the Wpg20. Tackled by Don Unamba.,3,7
13:44,2,Rush,0,Jon Cornish rush for no gain to the Wpg20. Tackled by Marvin Booker.,3,7
12:49,3,Missed Field Goal,28,Rene Paredes 28 yard field goal attempt is GOOD.,3,10
12:49,0,Kickoff,28,Rene Paredes kicks off to the Wpg14. Demond Washington return for 28 yards to Wpg42. Tackled by Kamar Jorden.,3,10
12:41,1,Rush,3,rush for 3 yards to the Wpg45. Tackled by Deron Mayo.,3,10
12:00,2,Incomplete Pass,0,Drew Willy incomplete pass intended for Jerrell Jackson.,3,10
11:45,3,Holding,-6,Lirim Hajrullahu punts for 40 yards to Cgy25. Anthony Parker return for 4 yards to Cgy29. Penalty: Holding on Calgary (Fred Bennett) -10 yards.,3,10
11:28,1,Rush,5,Jon Cornish rush for 5 yards to the Cgy21. Tackled by Maurice Leggett.,3,10
10:53,2,Rush,9,Jon Cornish rush for 9 yards to the Cgy30. Tackled by Bruce Johnson.,3,10
10:22,1,Rush,12,Matt Walter rush for 12 yards to the Cgy42. Tackled by Don Unamba.,3,10
09:43,1,Rush,-2,Matt Walter rush for a loss of 2 yards to the Cgy40. Tackled by Deantre Harlan.,3,10
08:55,2,Incomplete Pass,0,Bo Levi Mitchell incomplete pass intended for Matt Walter.,3,10
08:38,3,Punt,5,Rob Maver punts for 52 yards to Wpg18. Paris Cotton return for 5 yards to Wpg23. Tackled by Frank Beltre.,3,10
08:17,1,Offside,5,Penalty: Offside on Calgary (Buddy Jackson) 5 yards.,3,10
08:00,1,Rush,14,rush for 14 yards to the Wpg42. Tackled by Brandon Smith.,3,10
07:23,1,Fumble,1,"Drew Willy pass to Rory Kohlert for 1 yard to the Wpg43. FUMBLE, recovered by Wpg (Rory Kohlert).",3,10
06:42,2,Rush,5,Drew Willy rush for 5 yards to the Wpg48. Tackled by Lin-J Shell.,3,10
06:25,3,Punt,16,Lirim Hajrullahu punts for 52 yards to Cgy10. Anthony Parker return for 16 yards to Cgy26. Tackled by Teague Sherman.,3,10
06:04,1,Rush,38,Matt Walter rush for 38 yards to the Wpg46. Tackled by Demond Washington.,3,10
05:45,1,Rush,2,Matt Walter rush for 2 yards to the Wpg44. Tackled by Bruce Johnson.,3,10
05:03,2,Pass,14,Bo Levi Mitchell pass to Maurice Price for 14 yards to the Wpg30. Tackled by Matt Bucknor.,3,10
04:20,2,Rush,-1,Matt Walter rush for a loss of 1 yard to the Wpg31. Tackled by Deantre Harlan.,3,10
03:35,2,Rush,6,Matt Walter rush for 6 yards to the Wpg25. Tackled by Deantre Harlan.,3,10
03:11,3,Missed Field Goal,25,25 yard field goal attempt by Rene Paredes is NO GOOD.,3,10
02:54,1,Rush,7,Paris Cotton rush for 7 yards to the Wpg32. Tackled by Rob Cote.,3,10
02:37,2,Rush,4,Drew Willy rush for 4 yards to the Wpg36. Tackled by Brandon Jordan.,3,10
02:17,1,Pass,7,Drew Willy pass to Romby Bryant for 7 yards to the Wpg43. Tackled by Fred Bennett.,3,10
02:01,2,Rush,7,Paris Cotton rush for 7 yards to the Wpg50. Tackled by Buddy Jackson.,3,10
01:40,1,Rush,5,Paris Cotton rush for 5 yards to the Wpg55. Tackled by Brandon Jordan.,3,10
01:22,2,Incomplete Pass,0,Drew Willy incomplete pass intended for Cory Watson.,3,10
01:03,3,Holding,20,Lirim Hajrullahu punts for 52 yards to Cgy3. Anthony Parker return for 30 yards to Cgy33. Penalty: Holding on Calgary (Keenan MacDougall) -10 yards.,3,10
00:47,1,Rush,1,Matt Walter rush for 1 yard to the Cgy24. Tackled by Jake Thomas.,3,10
00:44,2,Fumble,23,"Bo Levi Mitchell pass to Maurice Price for 3 yards to the Cgy27. FUMBLE, recovered by Wpg (Johnny Sears Jr.) and returned for 20 yards. Tackled by Shane Bergman.",3,10
00:14,1,Incomplete Pass,0,Drew Willy incomplete pass intended for Clarence Denmark.,3,10
