Time,Down,Type,Yards,Details,Winnipeg,Hamilton
06:41,2,Incomplete Pass,0,Dan LeFevour incomplete pass intended for Luke Tasker.,6,6
06:26,3,Punt,6,Justin Medlock punts for 38 yards to Wpg20. Maurice Leggett return for 6 yards to Wpg26.,6,6
06:03,1,Pass,6,Drew Willy pass to Paris Cotton for 6 yards to the Wpg42. Tackled by Bryan Hall.,6,6
05:38,2,Pass,16,Drew Willy pass to Clarence Denmark for 16 yards to the Ham52. Tackled by Brandon Stewart.,6,6
05:00,0,Ineligible Receiver,-10,Penalty: Ineligible Receiver on Winnipeg (Chris Greaves) -10 yards.,6,6
04:21,1,Pass,14,Drew Willy pass to Nic Grigsby for 14 yards to the Ham48. Tackled by Rico Murray.,6,6
03:53,2,Unnecessary Roughness,15,Drew Willy incomplete pass intended for Clarence Denmark. Penalty: Unnecessary Roughness on Hamilton (Delvin Breaux) 15 yards.,6,6
03:17,1,Pass,9,Drew Willy pass to Julian Feoli-Gudino for 9 yards to the Ham24. Tackled by Rico Murray.,6,6
02:58,2,Rush,2,Nic Grigsby rush for 2 yards to the Ham22. Tackled by Simoni Lawrence.,6,6
02:38,1,Pass,2,Drew Willy pass to Romby Bryant for 2 yards to the Ham20. Tackled by Marcellus Bowman.,6,6
02:17,2,Unnecessary Roughness,17,Drew Willy pass to Nic Grigsby for 13 yards to the Ham7. Tackled by Neil King. Penalty: Unnecessary Roughness on Hamilton (Marcellus Bowman) 4 yards.,6,6
01:47,1,Rush,3,Robert Marve rush for 3 yards for a TOUCHDOWN.,12,6
01:47,0,Made Extra Point,0,Lirim Hajrullahu extra point is good.,13,6
01:47,0,Kickoff,14,Lirim Hajrullahu kicks off to the Ham3. Quincy McDuffie return for 14 yards to Ham17. Tackled by Ian Wild.,13,6
01:40,1,Pass,8,Dan LeFevour pass to Andy Fantuz for 8 yards to the Ham25. Tackled by Teague Sherman.,13,6
01:33,2,Rush,4,C.J. Gable rush for 4 yards to the Ham29. Tackled by Greg Peach.,13,6
01:14,1,Incomplete Pass,0,Dan LeFevour incomplete pass intended for Cary Koch.,13,6
01:06,2,Sack,-7,Sack at Ham22 for a loss of 7 yards by Bryant Turner Jr..,13,6
01:00,3,Punt,9,Justin Medlock punts for 38 yards to Wpg50. Aaron Woods return for 9 yards to Ham51. Tackled by Mike Daly.,13,6
00:32,1,Pass,6,Drew Willy pass to Nic Grigsby for 6 yards to the Ham45. Tackled by Marcellus Bowman.,13,6
00:25,2,Rush,3,Nic Grigsby rush for 3 yards to the Ham42. Tackled by Eric Norwood.,13,6
00:18,0,Too Many Men on Field,-10,Penalty: Too Many Men on Field on Winnipeg -10 yards.,13,6
00:07,3,Punt,10,Lirim Hajrullahu punts for 40 yards to Ham12. Quincy McDuffie return for 10 yards to Ham22. Tackled by Chris Randle.,13,6
15:00,0,Holding,0,Lirim Hajrullahu kicks off to the Ham10. Quincy McDuffie return for 10 yards to Ham20. Penalty: Holding on Hamilton (Pawel Kruba) -10 yards.,13,6
14:50,1,Incomplete Pass,0,Dan LeFevour incomplete pass intended for Cary Koch.,13,6
14:32,2,Incomplete Pass,0,Dan LeFevour incomplete pass intended for Samuel Giguere defensed by Ejiro Kuale.,13,6
14:10,3,No Yards,24,Justin Medlock punts for 39 yards to Ham49. Penalty: No Yards on Hamilton (Marc Beswick) -15 yards.,13,6
13:53,1,Rush,3,Paris Cotton rush for 3 yards to the Ham31. Tackled by Simoni Lawrence.,13,6
13:36,2,Pass,15,Drew Willy pass to Clarence Denmark for 15 yards to the Ham16. Tackled by Eric Norwood.,13,6
12:22,1,Rush,16,Nic Grigsby rush for 16 yards for a TOUCHDOWN.,19,6
12:02,0,Made Extra Point,0,Lirim Hajrullahu extra point is good.,20,6
12:02,0,Kickoff,23,Lirim Hajrullahu kicks off to the Ham12. Quincy McDuffie return for 23 yards to Ham35. Tackled by Jesse Briggs.,20,6
11:55,1,Pass,6,Dan LeFevour pass to Samuel Giguere for 6 yards to the Ham41. Tackled by Matt Bucknor.,20,6
11:34,2,Pass,6,Dan LeFevour pass to Samuel Giguere for 6 yards to the Ham47. Tackled by Matt Bucknor.,20,6
11:04,1,Pass,7,Dan LeFevour pass to C.J. Gable for 7 yards to the Ham54. Tackled by Ian Wild.,20,6
10:25,2,Holding,-6,C.J. Gable rush for 4 yards to the Wpg52. Tackled by Matt Bucknor. Penalty: Holding on Hamilton (Bakari Grant) -10 yards.,20,6
09:42,1,Rush,7,Dan LeFevour rush for 7 yards to the Ham55. Tackled by Desia Dunn.,20,6
09:19,2,Pass,7,Dan LeFevour pass to Luke Tasker for 7 yards to the Wpg48. Tackled by Bruce Johnson.,20,6
08:25,1,Pass,48,Dan LeFevour pass to C.J. Gable for 48 yards for a TOUCHDOWN.,20,12
08:07,0,Made Extra Point,0,Justin Medlock extra point is good.,20,13
