Time,Down,Type,Yards,Details,Calgary,Hamilton
04:41,1,Rush,1,Kendial Lawrence rush for 1 yard to the Ham35. Tackled by Jonathan Hefney.,14,1
04:12,2,Pass,5,Henry Burris pass to Kendial Lawrence for 5 yards to the Ham40. Tackled by Jamar Wall.,14,1
03:35,3,Punt,0,Josh Bartel punts for 41 yards to Cgy29. Larry Taylor return for no gain to Cgy29.,14,1
03:22,1,Pass,0,Kevin Glenn pass to Kenny Stafford for no gain to the Cgy29. Tackled by Evan McCollough.,14,1
02:55,2,Illegal Procedure,-5,Penalty: Illegal Procedure on Calgary (J'Michael Deane) -5 yards.,14,1
02:51,2,Illegal Procedure,-5,Penalty: Illegal Procedure on Calgary (Stanley Bryant) -5 yards.,14,1
02:51,2,Rush,7,Jon Cornish rush for 7 yards to the Cgy26. Tackled by Brian Bulcke.,14,1
02:45,3,Illegal Block,-7,Rob Maver punts for 33 yards to Ham51. Onrea Jones return for 3 yards to Ham54. Penalty: Illegal Block on Hamilton (Frederic Plesius) -10 yards.,14,1
02:33,1,Incomplete Pass,0,Henry Burris incomplete pass intended for Bakari Grant.,14,1
02:29,2,Interception,0,Henry Burris pass intended for Andy Fantuz INTERCEPTED by Jamar Wall. No return. Tackled by Andy Fantuz.,14,1
02:22,1,Rush,15,Jon Cornish rush for 15 yards to the Ham39. Tackled by Torrey Davis.,14,1
02:15,1,Incomplete Pass,0,Kevin Glenn incomplete pass intended for  .,14,1
02:10,2,Pass,5,Kevin Glenn pass to Marquay McDaniel for 5 yards to the Ham34. Tackled by Evan McCollough.,14,1
01:41,3,Missed Field Goal,43,Rene Paredes 43 yard field goal attempt is GOOD.,17,1
01:41,1,Pass,33,Henry Burris pass to Andy Fantuz for 33 yards to the Cgy42. Tackled by Jonathan Hefney.,17,1
01:34,1,Pass,9,Henry Burris pass to Andy Fantuz for 9 yards to the Cgy33. Tackled by Jamar Wall.,17,1
01:17,2,Pass,7,Henry Burris pass to Andy Fantuz for 7 yards to the Cgy26. Tackled by Cordarro Law.,17,1
00:59,1,Pass,6,Henry Burris pass to C.J. Gable for 6 yards to the Cgy20. Tackled by Deron Mayo.,17,1
00:52,2,Incomplete Pass,0,Henry Burris incomplete pass intended for Andy Fantuz.,17,1
00:32,3,Missed Field Goal,27,Brett Lauther 27 yard field goal attempt is GOOD.,17,4
00:32,0,Kickoff,9,Brett Lauther kicks off to the Cgy24. Larry Taylor return for 9 yards to Cgy33. Tackled by Matt Bucknor.,17,4
00:26,1,Rush,2,Jon Cornish rush for 2 yards to the Cgy35. Tackled by Brandon Boudreaux.,17,4
00:20,2,Rush,10,Jon Cornish rush for 10 yards to the Cgy45. Tackled by Jamall Johnson.,17,4
15:00,0,Kickoff,23,Brett Lauther kicks off to the Cgy5. Anthony Parker return for 23 yards to Cgy28. Tackled by Marc Beswick.,17,4
14:54,1,Rush,3,Jon Cornish rush for 3 yards to the Cgy31. Tackled by Jamall Johnson.,17,4
14:28,2,Incomplete Pass,0,Kevin Glenn incomplete pass intended for Kenny Stafford defensed by Delvin Breaux.,17,4
13:50,3,Punt,8,Rob Maver punts for 40 yards to Ham39. Onrea Jones return for 8 yards to Ham47. Tackled by Justin Phillips.,17,4
13:29,1,Incomplete Pass,0,Henry Burris incomplete pass intended for C.J. Gable.,17,4
13:09,2,Pass,2,Henry Burris pass to Onrea Jones for 2 yards to the Ham49. Tackled by  .,17,4
12:45,3,Punt,7,Josh Bartel punts for 43 yards to Cgy18. Larry Taylor return for 7 yards to Cgy25. Tackled by Emanuel Davis.,17,4
12:20,1,Unnecessary Roughness,15,Kevin Glenn incomplete pass intended for  . Penalty: Unnecessary Roughness on Hamilton (Simoni Lawrence) 15 yards.,17,4
12:08,1,Rush,13,Matt Walter rush for 13 yards to the Cgy53. Tackled by Delvin Breaux.,17,4
11:59,1,Pass,14,Kevin Glenn pass to Marquay McDaniel for 14 yards to the Ham43. Tackled by Emanuel Davis.,17,4
11:13,1,Rush,0,Jon Cornish rush for no gain to the Ham43. Tackled by Rico Murray.,17,4
10:08,2,Pass,6,Kevin Glenn pass to Jon Cornish for 6 yards to the Ham37. Tackled by Simoni Lawrence.,17,4
09:11,3,Missed Field Goal,44,Rene Paredes 44 yard field goal attempt is GOOD.,20,4
09:11,0,Kickoff,10,Rene Paredes kicks off to the Ham28. C.J. Gable return for 10 yards to Ham38. Tackled by Jeff Hecht.,20,4
09:04,1,Incomplete Pass,0,Henry Burris incomplete pass intended for Onrea Jones.,20,4
08:46,2,Incomplete Pass,0,Henry Burris incomplete pass intended for Bakari Grant defensed by Chris Randle.,20,4
08:20,3,Illegal Punt,21,Josh Bartel punts for 31 yards to Cgy41. Penalty: Illegal Punt on Hamilton (Josh Bartel) -10 yards.,20,4
08:11,1,Pass,10,Kevin Glenn pass to Marquay McDaniel for 10 yards to the Ham49. Tackled by Rico Murray.,20,4
07:32,1,Rush,10,Jon Cornish rush for 10 yards to the Ham39. Tackled by Jamall Johnson.,20,4
06:52,1,Rush,1,Kevin Glenn rush for 1 yard to the Ham38. Tackled by Eric Norwood.,20,4
06:15,2,Pass,13,Kevin Glenn pass to Brad Sinopoli for 13 yards to the Ham25. Tackled by Neil King.,20,4
05:45,1,Rush,2,Jon Cornish rush for 2 yards to the Ham23. Tackled by Eric Norwood.,20,4
04:53,2,Pass,7,Kevin Glenn pass to Jabari Arthur for 7 yards to the Ham16. Tackled by Eric Norwood.,20,4
03:27,3,Rush,16,Drew Tate rush for 16 yards for a TOUCHDOWN.,26,4
03:06,0,Made Extra Point,0,Rene Paredes extra point is good.,27,4
03:06,0,Kickoff,30,Rene Paredes kicks off to the Ham16. Kendial Lawrence return for 30 yards to Ham46. Tackled by Justin Phillips.,27,4
02:59,1,Pass,0,Dan LeFevour pass to Luke Tasker for no gain to the Ham46. Tackled by Chris Randle.,27,4
02:39,2,Pass,10,Dan LeFevour pass to Bakari Grant for 10 yards to the Cgy54. Tackled by Chris Randle.,27,4
02:05,1,Incomplete Pass,0,Dan LeFevour incomplete pass intended for Bakari Grant.,27,4
01:43,2,Pass,14,Dan LeFevour pass to Luke Tasker for 14 yards to the Cgy40. Tackled by Jamar Wall.,27,4
