Time,Down,Type,Yards,Details,Montreal,Calgary
06:42,1,Roughing Passer,27,Kevin Glenn pass to Marquay McDaniel for 12 yards to the Mtl44. Tackled by Jerald Brown. Penalty: Roughing Passer on Montreal (Kyries Hebert) 15 yards.,24,3
06:26,1,Pass,12,Kevin Glenn pass to Rob Cote for 12 yards to the Mtl17. Tackled by Mike Edem.,24,3
06:03,1,Pass,4,Kevin Glenn pass to Joe West for 4 yards to the Mtl13. Tackled by Shea Emry.,24,3
05:31,2,Pass,12,Kevin Glenn pass to Anthony Parker for 12 yards to the Mtl1. Tackled by Billy Parker.,24,3
04:02,1,Pass,1,Bo Levi Mitchell pass to Tim St. Pierre for 1 yard for a TOUCHDOWN.,24,9
03:53,0,Made Extra Point,0,Rene Paredes extra point is good.,24,10
03:53,0,Holding,8,Rene Paredes kicks off to the Mtl0. Noel Devine return for 18 yards to Mtl16. Tackled by Tim St. Pierre. Penalty: Holding on Montreal (Shea Emry) -10 yards.,24,10
03:30,1,Rush,4,Brandon Whitaker rush for 4 yards to the Mtl12. Tackled by Demonte' Bolden.,24,10
03:04,2,Pass,10,Anthony Calvillo pass to Jamel Richardson for 10 yards to the Mtl22. Tackled by Quincy Butler.,24,10
02:43,1,Rush,4,Brandon Whitaker rush for 4 yards to the Mtl26. Tackled by Demonte' Bolden.,24,10
02:33,2,Pass,4,Anthony Calvillo pass to Jamel Richardson for 4 yards to the Mtl30. Tackled by Fred Bennett.,24,10
02:10,3,Punt,8,Sean Whyte punts for 37 yards to Cgy43. Larry Taylor return for 8 yards to Cgy51. Tackled by Daryl Townsend.,24,10
01:53,1,Pass,11,Kevin Glenn pass to Marquay McDaniel for 11 yards to the Mtl40. Tackled by Geoff Tisdale.,24,10
01:48,1,Pass,7,Kevin Glenn pass to Nik Lewis for 7 yards to the Mtl33. Tackled by Geoff Tisdale.,24,10
01:43,2,Incomplete Pass,0,Kevin Glenn incomplete pass intended for Joe West.,24,10
01:32,3,Missed Field Goal,41,Rene Paredes 41 yard field goal attempt is GOOD.,24,13
01:32,1,Sack,-8,Sack at Mtl27 for a loss of 8 yards by Shawn Lemon.,24,13
01:28,2,Pass,8,Anthony Calvillo pass to Brandon Whitaker for 8 yards to the Mtl35. Tackled by Deron Mayo.,24,13
01:04,3,No Yards,23,Sean Whyte punts for 38 yards to Cgy37. Penalty: No Yards on Montreal (Chip Cox) -15 yards.,24,13
00:38,1,Pass,7,Kevin Glenn pass to Nik Lewis for 7 yards to the Mtl51.,24,13
00:32,2,Pass,8,Kevin Glenn pass to Nik Lewis for 8 yards to the Mtl43. Tackled by Jerald Brown.,24,13
00:27,1,Pass,33,Kevin Glenn pass to Jabari Arthur for 33 yards to the Mtl10. Tackled by Byron Parker.,24,13
00:21,1,Incomplete Pass,0,Kevin Glenn incomplete pass intended for Jabari Arthur.,24,13
00:02,2,Pass,10,Kevin Glenn pass to Nik Lewis for 10 yards for a TOUCHDOWN.,24,19
00:02,0,Incomplete Pass,0,Kevin Glenn incomplete pass intended for Brad Sinopoli.,24,19
00:02,0,Kickoff,23,Rene Paredes kicks off to the Mtl5. Noel Devine return for 23 yards to Mtl28. Tackled by Karl McCartney.,24,19
15:00,0,Kickoff,33,Sean Whyte kicks off to the Cgy13. Larry Taylor return for 33 yards to Cgy46. Tackled by Michael Carter.,24,19
14:52,1,Rush,5,Jon Cornish rush for 5 yards to the Cgy51. Tackled by Brandon Whitaker.,24,19
14:02,2,Sack,-8,Sack at Cgy43 for a loss of 8 yards by Kyries Hebert.,24,19
13:32,3,Punt,11,Rob Maver punts for 56 yards to Mtl11. Noel Devine return for 11 yards to Mtl22. Tackled by Justin Phillips.,24,19
13:10,1,Rush,6,Jerome Messam rush for 6 yards to the Mtl28. Tackled by Demonte' Bolden.,24,19
12:45,2,Pass,3,Anthony Calvillo pass to S.J. Green for 3 yards to the Mtl31. Tackled by Chris Randle.,24,19
12:10,3,Objectionable Conduct,-11,Jerome Messam rush for a loss of 1 yard to the Mtl30. Tackled by Deron Mayo. Penalty: Objectionable Conduct on Montreal (S.J. Green) -10 yards.,24,19
11:36,1,Pass,-1,Kevin Glenn pass to Jon Cornish for a loss of 1 yard to the Mtl21. Tackled by Chip Cox.,24,19
10:55,2,Incomplete Pass,0,Kevin Glenn incomplete pass intended for Nik Lewis.,24,19
10:17,3,Missed Field Goal,28,Rene Paredes 28 yard field goal attempt is GOOD.,24,22
10:17,1,Pass,7,Anthony Calvillo pass to S.J. Green for 7 yards to the Mtl42.,24,22
10:02,2,Rush,9,Anthony Calvillo rush for 9 yards to the Mtl51. Tackled by Shawn Lemon.,24,22
09:15,1,Rush,0,Brandon Whitaker rush for no gain to the Mtl51. Tackled by Shawn Lemon.,24,22
08:25,2,Incomplete Pass,0,Anthony Calvillo incomplete pass intended for S.J. Green defensed by Quincy Butler.,24,22
08:02,3,Punt,4,Sean Whyte punts for 42 yards to Cgy17. Larry Taylor return for 4 yards to Cgy21. Tackled by Michael Carter.,24,22
07:38,1,Holding,0,Anthony Parker rush for 10 yards to the Cgy31. Tackled by Billy Parker. Penalty: Holding on Calgary (Jabari Arthur) -10 yards.,24,22
07:16,1,Pass,45,Kevin Glenn pass to Marquay McDaniel for 45 yards to the Mtl44. Tackled by Jerald Brown.,24,22
06:36,1,Incomplete Pass,0,Bo Levi Mitchell incomplete pass intended for Anthony Parker.,24,22
06:16,2,Pass,10,Bo Levi Mitchell pass to Anthony Parker for 10 yards to the Mtl34. Tackled by Billy Parker.,24,22
05:40,1,Rush,23,Jon Cornish rush for 23 yards to the Mtl11. Tackled by Kyries Hebert.,24,22
04:57,1,Pass,11,Bo Levi Mitchell pass to Jon Cornish for 11 yards for a TOUCHDOWN.,24,28
04:57,0,Incomplete Pass,0,Bo Levi Mitchell incomplete pass intended for Marquay McDaniel.,24,28
04:38,0,Kickoff,108,"Rene Paredes kicks off to the Mtl1. Noel Devine return for 108 yards to Cgy1., recovered by Cgy (Alvin Bowen). Tackled by Brandon London.",24,28
04:19,1,Objectionable Conduct,29,Jon Cornish rush for 14 yards to the Cgy39. Tackled by Kyries Hebert. Penalty: Objectionable Conduct on Montreal (John Bowman) 15 yards.,24,28
03:54,1,Pass,6,Bo Levi Mitchell pass to Larry Taylor for 6 yards to the Mtl50. Tackled by Chip Cox.,24,28
03:20,2,Rush,3,Matt Walter rush for 3 yards to the Mtl47. Tackled by Marc-Olivier Brouillette.,24,28
02:35,3,Rush,26,Bo Levi Mitchell rush for 26 yards to the Mtl21. Tackled by Chip Cox.,24,28
01:12,1,Rush,21,Jon Cornish rush for 21 yards for a TOUCHDOWN.,24,34
00:56,0,Made Extra Point,0,Rene Paredes extra point is good.,24,35
00:56,0,Kickoff,21,Rene Paredes kicks off to the Mtl0. Arland Bruce return for 21 yards to Mtl20. Tackled by Cordarro Law.,24,35
00:50,1,Offside,-5,Penalty: Offside on Montreal (S.J. Green) -5 yards.,24,35
00:25,1,Pass,8,Anthony Calvillo pass to S.J. Green for 8 yards to the Mtl23. Tackled by Juwan Simpson.,24,35
00:03,0,Pass Interference,10,Penalty: Pass Interference on Calgary (Fred Bennett) 10 yards.,24,35
