Time,Down,Type,Yards,Details,Calgary,Edmonton
12:38,3,Missed Field Goal,12,12 yard field goal attempt is GOOD.,23,10
12:38,1,Pass,10,pass to the Edm45.,23,10
11:30,1,Pass,12,pass to the Cgy51.,23,10
10:11,1,Sack,-2,Sack at Cgy26 for a loss of 2 yards.,23,10
09:19,2,Incomplete Pass,0,incomplete pass.,23,10
08:52,3,Missed Field Goal,33,33 yard field goal attempt is GOOD.,23,13
08:52,0,Holding,-10,Penalty: Holding on Calgary -10 yards.,23,13
08:35,1,Incomplete Pass,0,incomplete pass.,23,13
08:13,2,Objectionable Conduct,13,pass to the Cgy48. Penalty: Objectionable Conduct on Calgary -10 yards.,23,13
07:07,2,Pass,18,pass to the Edm48.,23,13
05:00,0,Sack,-16,"FUMBLE Sack at Edm52 for a loss of 16 yards., recovered by Cgy ( ).",23,13
04:10,2,Pass,8,pass to the Edm44.,23,13
03:26,3,Punt Single,0,punts for 62 yards to Edm0. No return (Single).,24,13
03:00,1,Pass,17,pass to the Cgy47.,24,13
02:36,1,Pass,15,pass to the Cgy19.,24,13
02:20,1,Incomplete Pass,0,incomplete pass.,24,13
02:08,2,Sack,-6,Sack at Cgy25 for a loss of 6 yards.,24,13
02:03,3,Missed Field Goal,25,25 yard field goal attempt by   is NO GOOD.,24,13
01:40,2,Unnecessary Roughness,22,Penalty: Unnecessary Roughness on Edmonton 15 yards,24,13
00:42,3,Missed Field Goal,34,34 yard field goal attempt is GOOD.,27,13
00:42,1,Incomplete Pass,0,incomplete pass.,27,13
00:39,2,Pass,9,pass to the Edm44.,27,13
00:31,3,Incomplete Pass,0,incomplete pass.,27,13
