Time,Down,Type,Yards,Details,Calgary,Edmonton
15:00,0,Kickoff,21,Rene Paredes kicks off to the Edm8. Joe Burnett return for 21 yards to Edm29. Tackled by Jeff Hecht.,0,0
14:52,1,Rush,14,John White rush for 14 yards to the Edm43. Tackled by Eric Fraser.,0,0
14:30,1,Sack,-12,Sack at Edm31 for a loss of 12 yards by Cordarro Law.,0,0
13:50,2,Unnecessary Roughness,-7,Mike Reilly rush for 8 yards to the Edm39. Tackled by  . Penalty: Unnecessary Roughness on Edmonton (Nate Coehoorn) -15 yards.,0,0
13:32,3,Punt,3,Grant Shaw punts for 39 yards to Cgy47. Marquay McDaniel return for 3 yards to Cgy50. Tackled by Mike Miller.,0,0
13:20,1,Pass,6,Bo Levi Mitchell pass to Jon Cornish for 6 yards to the Edm54. Tackled by Damaso Munoz.,0,0
12:55,2,Sack,-13,Sack at Cgy43 for a loss of 13 yards by Justin Capicciotti.,0,0
12:25,3,Fumble,0,"Rob Maver punts for 46 yards to Edm21. Cary Koch return for no gain to Edm21. FUMBLE, recovered by Cgy (Ben D'Aguilar). Tackled by Cary Koch.",0,0
12:07,1,Rush,10,Jon Cornish rush for 10 yards to the Edm11. Tackled by Rennie Curran.,0,0
11:17,1,Pass,11,Bo Levi Mitchell pass to Jon Cornish for 11 yards for a TOUCHDOWN.,6,0
11:03,0,Made Extra Point,0,Rene Paredes extra point is good.,7,0
11:03,0,Kickoff,23,Rene Paredes kicks off to the Edm7. Joe Burnett return for 23 yards to Edm30. Tackled by Yannick Carter.,7,0
10:57,1,Rush,2,John White rush for 2 yards to the Edm32. Tackled by Deron Mayo.,7,0
10:20,2,Illegal Procedure,-5,Penalty: Illegal Procedure on Edmonton (Alexander Krausnick-Groh) -5 yards.,7,0
10:13,2,Rush,29,Mike Reilly rush for 29 yards to the Cgy54. Tackled by Cordarro Law.,7,0
09:51,1,Pass,6,Mike Reilly pass to Adarius Bowman for 6 yards to the Cgy48. Tackled by Fred Bennett.,7,0
09:17,2,Incomplete Pass,0,Mike Reilly incomplete pass intended for Nate Coehoorn.,7,0
08:54,3,No Yards,19,Grant Shaw punts for 24 yards to Cgy24. Penalty: No Yards on Edmonton (Mike Cornell) -5 yards.,7,0
08:33,1,Illegal Procedure,-5,Penalty: Illegal Procedure on Calgary (Stanley Bryant) -5 yards.,7,0
08:20,1,Pass,2,Bo Levi Mitchell pass to Jon Cornish for 2 yards to the Cgy26. Tackled by Almondo Sewell.,7,0
07:33,2,Incomplete Pass,0,Bo Levi Mitchell incomplete pass intended for Marquay McDaniel.,7,0
07:17,3,Punt,5,Rob Maver punts for 49 yards to Edm35. Joe Burnett return for 5 yards to Edm40. Tackled by Randy Chevrier.,7,0
06:53,1,Rush,7,John White rush for 7 yards to the Edm47. Tackled by Juwan Simpson.,7,0
06:16,2,Rush,5,John White rush for 5 yards to the Edm52. Tackled by Junior Turner.,7,0
05:45,1,Rush,6,John White rush for 6 yards to the Cgy52. Tackled by Junior Turner.,7,0
05:11,2,Pass,0,Mike Reilly pass to Calvin McCarty for no gain to the Cgy52. Tackled by Cordarro Law.,7,0
04:45,3,Punt,12,Grant Shaw punts for 49 yards to Cgy3. Larry Taylor return for 12 yards to Cgy15. Tackled by Donovan Richard.,7,0
04:27,1,Rush,10,Jon Cornish rush for 10 yards to the Cgy25. Tackled by Justin Capicciotti.,7,0
03:56,1,Rush,7,Jon Cornish rush for 7 yards to the Cgy32. Tackled by Eric Samuels.,7,0
03:13,2,Rush,5,Jon Cornish rush for 5 yards to the Cgy37. Tackled by Justin Capicciotti.,7,0
02:35,1,Rush,5,Bo Levi Mitchell rush for 5 yards to the Cgy42.,7,0
01:48,2,Rush,8,Bo Levi Mitchell rush for 8 yards to the Cgy50. Tackled by Rennie Curran.,7,0
01:06,1,Rush,-5,Jon Cornish rush for a loss of 5 yards to the Cgy45. Tackled by Rennie Curran.,7,0
00:26,2,Illegal Procedure,-5,Penalty: Illegal Procedure on Calgary (Edwin Harrison) -5 yards.,7,0
00:01,2,Sack,-5,Sack at Cgy35 for a loss of 5 yards by Marcus Howard.,7,0
15:00,3,Punt,4,Rob Maver punts for 43 yards to Edm32. Joe Burnett return for 4 yards to Edm36. Tackled by Ben D'Aguilar.,7,0
14:38,1,Sack,-9,Sack at Edm27 for a loss of 9 yards by Junior Turner.,7,0
13:54,2,Pass,10,Mike Reilly pass to Shamawd Chambers for 10 yards to the Edm37. Tackled by Brandon Smith.,7,0
13:37,3,Illegal Block,2,Grant Shaw punts for 52 yards to Cgy21. Larry Taylor return for 12 yards to Cgy33. Penalty: Illegal Block on Calgary (Matt Walter) -10 yards.,7,0
13:16,1,Pass,5,Bo Levi Mitchell pass to Jon Cornish for 5 yards to the Cgy28. Tackled by Damaso Munoz.,7,0
12:43,2,Incomplete Pass,0,Bo Levi Mitchell incomplete pass intended for Greg Carr.,7,0
12:24,3,Punt,14,Rob Maver punts for 46 yards to Edm36. Joe Burnett return for 14 yards to Edm50. Tackled by Alvin Bowen.,7,0
11:57,1,Rush,5,John White rush for 5 yards to the Edm55. Tackled by Deron Mayo.,7,0
11:47,2,Pass,27,Mike Reilly pass to Fred Stamps for 27 yards to the Cgy28. Tackled by Brandon Smith.,7,0
11:04,1,Rush,4,John White rush for 4 yards to the Cgy24. Tackled by Micah Johnson.,7,0
10:36,2,Offside,-5,Penalty: Offside on Edmonton (Adarius Bowman) -5 yards.,7,0
10:06,2,Incomplete Pass,0,Mike Reilly incomplete pass intended for Nate Coehoorn.,7,0
09:33,3,Field Goal Single,48,48 yard field goal attempt by Hugh O'Neill is NO GOOD (Single).,7,1
09:33,1,Interception,27,Bo Levi Mitchell pass INTERCEPTED by Chris Thompson and returned for 27 yards. Tackled by Dan Federkeil.,7,1
08:56,1,Pass,19,Mike Reilly pass to Marcus Henry for 19 yards to the Cgy8. Tackled by Micah Johnson.,7,1
08:25,1,Rush,7,John White rush for 7 yards to the Cgy1. Tackled by Keon Raymond.,7,1
07:54,2,Rush,1,John White rush for 1 yard for a TOUCHDOWN.,7,7
07:40,0,Made Extra Point,0,Hugh O'Neill extra point is good.,7,8
07:40,0,Kickoff,22,Grant Shaw kicks off to the Cgy11. Larry Taylor return for 22 yards to Cgy33. Tackled by Corbin Sharun.,7,8
07:35,1,Rush,6,Jon Cornish rush for 6 yards to the Cgy39. Tackled by Rennie Curran.,7,8
06:50,2,Rush,29,Jon Cornish rush for 29 yards to the Edm42. Tackled by Corbin Sharun.,7,8
