Time,Down,Type,Yards,Details,Saskatchewan,Calgary
07:29,3,Missed Field Goal,20,Chris Milo 20 yard field goal attempt is GOOD.,6,10
07:29,1,Pass,0,Kevin Glenn pass to Marquay McDaniel for no gain to the Cgy35. Tackled by Tristan Jackson.,6,10
06:50,2,Incomplete Pass,0,Kevin Glenn incomplete pass intended for Maurice Price.,6,10
06:24,3,Punt,16,Rob Maver punts for 41 yards to Ssk34. Jock Sanders return for 16 yards to Ssk50. Tackled by Rob Cote.,6,10
05:58,1,Pass,14,Darian Durant pass to Weston Dressler for 14 yards to the Cgy46. Tackled by Jamar Wall.,6,10
05:39,1,Incomplete Pass,0,Darian Durant incomplete pass intended for Chris Getzlaf.,6,10
05:24,2,Sack,-9,Sack at Ssk55 for a loss of 9 yards by  .,6,10
04:59,3,Punt,1,Ricky Schmitt punts for 40 yards to Cgy15. Larry Taylor return for 1 yard to Cgy16. Tackled by Paul Woldu.,6,10
04:42,1,Rush,5,Jon Cornish rush for 5 yards to the Cgy21. Tackled by Ricky Foley.,6,10
04:07,2,Pass,5,Kevin Glenn pass to Marquay McDaniel for 5 yards to the Cgy26. Tackled by Terrell Maze.,6,10
03:38,1,Rush,1,Jon Cornish rush for 1 yard to the Cgy27. Tackled by Ricky Foley.,6,10
02:57,2,Incomplete Pass,0,Kevin Glenn incomplete pass intended for Anthony Parker defensed by Dwight Anderson.,6,10
02:40,3,Punt,15,Rob Maver punts for 41 yards to Ssk42. Jock Sanders return for 15 yards to Cgy53. Tackled by Glenn Love.,6,10
02:20,1,Pass,12,Darian Durant pass to Weston Dressler for 12 yards to the Cgy41. Tackled by Brandon Smith.,6,10
02:14,1,Rush,3,Kory Sheets rush for 3 yards to the Cgy38. Tackled by Micah Johnson.,6,10
01:59,2,Pass,15,Darian Durant pass to Taj Smith for 15 yards to the Cgy23. Tackled by Chris Randle.,6,10
01:47,1,Pass,-2,Darian Durant pass to Kory Sheets for a loss of 2 yards to the Cgy25. Tackled by Deron Mayo.,6,10
01:40,2,Incomplete Pass,0,Darian Durant incomplete pass intended for Kory Sheets.,6,10
01:17,3,Missed Field Goal,32,Chris Milo 32 yard field goal attempt is GOOD.,9,10
01:17,1,Fumble,-5,"Sack at Cgy21 for a loss of 14 yards by  . FUMBLE, recovered by Ssk ( ) and returned for 9 yards. Tackled by Brett Jones.",9,10
01:06,1,Incomplete Pass,0,Darian Durant incomplete pass intended for Taj Smith.,9,10
01:01,2,Pass,10,Darian Durant pass to Rob Bagg for 10 yards to the Cgy2. Tackled by Derrius Brooks.,9,10
00:54,3,Rush,1,Darian Durant rush for 1 yard to the Cgy1. Tackled by Juwan Simpson.,9,10
00:37,1,Rush,1,Darian Durant rush for 1 yard for a TOUCHDOWN.,15,10
00:36,0,Incomplete Pass,0,Darian Durant incomplete pass intended for Scott McHenry.,15,10
00:36,0,Kickoff,29,Ricky Schmitt kicks off to the Cgy4. Larry Taylor return for 29 yards to Cgy33. Tackled by Kevin Regimbald-Gagne.,15,10
00:28,1,Rush,5,Jon Cornish rush for 5 yards to the Cgy38. Tackled by Tyron Brackenridge.,15,10
00:17,2,Rush,6,Jon Cornish rush for 6 yards to the Cgy44. Tackled by Craig Butler.,15,10
15:00,0,Fumble,20,"Rene Paredes kicks off to the Ssk11. Jock Sanders return for 20 yards to Ssk31., recovered by Cgy (Jamar Wall). FUMBLE",15,10
14:53,1,Rush,4,Jon Cornish rush for 4 yards to the Ssk27. Tackled by  .,15,10
14:15,2,Incomplete Pass,0,Drew Tate incomplete pass intended for Maurice Price defensed by Dwight Anderson.,15,10
13:36,3,Missed Field Goal,34,Rene Paredes 34 yard field goal attempt is GOOD.,15,13
13:36,1,Rush,7,Kory Sheets rush for 7 yards to the Ssk42. Tackled by  .,15,13
13:08,0,Pass Interference,9,Penalty: Pass Interference on Calgary (Keon Raymond) 9 yards.,15,13
12:49,1,Incomplete Pass,0,Darian Durant incomplete pass intended for Rob Bagg.,15,13
12:34,2,Incomplete Pass,0,Darian Durant incomplete pass intended for Chris Getzlaf.,15,13
12:09,3,Holding,-2,Ricky Schmitt punts for 47 yards to Cgy12. Larry Taylor return for 8 yards to Cgy20. Penalty: Holding on Calgary (Fred Bennett) -10 yards.,15,13
11:39,1,Pass,11,Drew Tate pass to Jeff Fuller for 11 yards to the Cgy21. Tackled by Mike McCullough.,15,13
11:12,1,Pass,8,Drew Tate pass to Jon Cornish for 8 yards to the Cgy29. Tackled by Weldon Brown.,15,13
10:34,2,Rush,2,Jon Cornish rush for 2 yards to the Cgy31. Tackled by Alex Hall.,15,13
09:56,1,Pass,4,Drew Tate pass to Jon Cornish for 4 yards to the Cgy35. Tackled by John Chick.,15,13
09:19,2,Pass,11,Drew Tate pass to Marquay McDaniel for 11 yards to the Cgy46. Tackled by Dwight Anderson.,15,13
08:45,1,Pass,63,Drew Tate pass to Marquay McDaniel for 63 yards to the Ssk1. Tackled by Carlos Thomas.,15,13
07:45,1,Rush,1,Drew Tate rush for 1 yard for a TOUCHDOWN.,15,19
07:45,0,Face Mask,5,"FUMBLE, recovered by Ssk (Weldon Brown). . Tackled by Marquay McDaniel Penalty: Face Mask on Calgary (Marquay McDaniel) 15 yards",15,19
07:17,0,Kickoff,28,Rene Paredes kicks off to the Ssk20. Jock Sanders return for 28 yards to Ssk48. Tackled by Karl McCartney.,15,19
07:10,1,Pass,8,Darian Durant pass to Geroy Simon for 8 yards to the Cgy54. Tackled by Chris Randle.,15,19
06:47,2,Rush,4,Kory Sheets rush for 4 yards to the Cgy50. Tackled by Charleston Hughes.,15,19
06:11,1,Sack,-7,Sack at Ssk53 for a loss of 7 yards by Charleston Hughes.,15,19
05:27,2,Pass,17,Darian Durant pass to Rob Bagg for 17 yards to the Cgy40. Tackled by Juwan Simpson.,15,19
05:08,3,Rush,1,Darian Durant rush for 1 yard to the Cgy39. Tackled by Karl McCartney.,15,19
04:25,1,Pass,9,Darian Durant pass to Rob Bagg for 9 yards to the Cgy30. Tackled by Keon Raymond.,15,19
03:42,2,Rush,7,Kory Sheets rush for 7 yards to the Cgy23. Tackled by Demonte' Bolden.,15,19
03:07,1,Incomplete Pass,0,Darian Durant incomplete pass intended for Taj Smith.,15,19
02:51,2,Sack,-6,Sack at Cgy29 for a loss of 6 yards by Juwan Simpson.,15,19
01:57,3,Missed Field Goal,36,Chris Milo 36 yard field goal attempt is GOOD.,18,19
01:57,1,Rush,10,Jon Cornish rush for 10 yards to the Cgy45. Tackled by Terrell Maze.,18,19
01:17,1,Rush,9,Drew Tate rush for 9 yards to the Cgy54. Tackled by Keith Shologan.,18,19
00:55,2,Rush,2,Drew Tate rush for 2 yards to the Ssk54. Tackled by  .,18,19
00:04,1,Unnecessary Roughness,-12,Drew Tate pass to Maurice Price for 3 yards to the Ssk51. Tackled by Tyron Brackenridge. Penalty: Unnecessary Roughness on Calgary (Jon Gott) -15 yards.,18,19
15:00,2,Incomplete Pass,0,Drew Tate incomplete pass intended for Matt Walter.,18,19
14:40,3,Punt,2,Rob Maver punts for 47 yards to Ssk19. Jock Sanders return for 2 yards to Ssk21. Tackled by Justin Phillips.,18,19
14:15,1,Sack,-5,Sack at Ssk16 for a loss of 5 yards by Charleston Hughes.,18,19
13:34,2,Pass,10,Darian Durant pass to Taj Smith for 10 yards to the Ssk26. Tackled by Chris Randle.,18,19
13:04,3,Punt,-4,Ricky Schmitt punts for 42 yards to Cgy42. Larry Taylor return for a loss of 4 yards to Cgy38. Tackled by Daryl Stephenson.,18,19
12:42,1,Incomplete Pass,0,Drew Tate incomplete pass intended for Jeff Fuller defensed by Weldon Brown.,18,19
12:25,2,Pass,30,Drew Tate pass to Jeff Fuller for 30 yards to the Ssk42. Tackled by Tyron Brackenridge.,18,19
11:45,1,Pass,7,Drew Tate pass to Maurice Price for 7 yards to the Ssk35. Tackled by Carlos Thomas.,18,19
11:04,2,Incomplete Pass,0,Drew Tate incomplete pass intended for Jabari Arthur.,18,19
10:25,3,Missed Field Goal,42,Rene Paredes 42 yard field goal attempt is GOOD.,18,22
10:25,1,Rush,0,Kory Sheets rush for no gain to the Ssk35. Tackled by  .,18,22
09:59,2,Rush,9,Darian Durant rush for 9 yards to the Ssk44. Tackled by Deron Mayo.,18,22
09:20,3,Punt,2,Ricky Schmitt punts for 41 yards to Cgy25. Larry Taylor return for 2 yards to Cgy27. Tackled by Levi Steinhauer.,18,22
08:28,1,Pass,4,Drew Tate pass to Jeff Fuller for 4 yards to the Cgy31. Tackled by Tristan Jackson.,18,22
08:22,2,Incomplete Pass,0,Drew Tate incomplete pass intended for Anthony Parker defensed by Carlos Thomas.,18,22
07:59,3,Punt,14,Rob Maver punts for 61 yards to Ssk18. Jock Sanders return for 14 yards to Ssk32. Tackled by Jeff Hecht.,18,22
