Time,Down,Type,Yards,Details,BC,Calgary
15:00,0,Kickoff,25,Hugh O'Neill kicks off to the Cgy10. Larry Taylor return for 25 yards to Cgy35. Tackled by Adam Bighill.,0,0
14:54,1,Rush,8,Jon Cornish rush for 8 yards to the Cgy43. Tackled by Anton McKenzie.,0,0
14:15,2,Rush,6,Jon Cornish rush for 6 yards to the Cgy49. Tackled by Adam Bighill.,0,0
13:45,1,Incomplete Pass,0,Drew Tate incomplete pass intended for Marquay McDaniel.,0,0
13:21,2,Pass,11,Drew Tate pass to Joe West for 11 yards to the BC50. Tackled by Adam Bighill.,0,0
12:30,1,Rush,23,Jon Cornish rush for 23 yards to the BC27. Tackled by Ryan Phillips.,0,0
11:43,1,Pass,7,Drew Tate pass to Joe West for 7 yards to the BC20. Tackled by Dante Marsh.,0,0
11:25,2,Rush,9,Jon Cornish rush for 9 yards to the BC11. Tackled by Josh Bell.,0,0
10:40,1,Rush,-1,Jon Cornish rush for a loss of 1 yard to the BC12. Tackled by Keron Williams.,0,0
09:44,2,Pass,12,Drew Tate pass to Maurice Price for 12 yards for a TOUCHDOWN.,0,6
09:30,0,Made Extra Point,0,Rene Paredes extra point is good.,0,7
09:30,0,Kickoff,17,Rene Paredes kicks off to the BC13. Tim Brown return for 17 yards to BC30. Tackled by Deron Mayo.,0,7
09:25,1,Rush,9,Andrew Harris rush for 9 yards to the BC39. Tackled by Jonathan Hefney.,0,7
08:42,2,Rush,1,Andrew Harris rush for 1 yard to the BC40. Tackled by Derrius Brooks.,0,7
08:08,3,Illegal Block,4,Hugh O'Neill punts for 41 yards to Cgy29. Larry Taylor return for 14 yards to Cgy43. Penalty: Illegal Block on Calgary -10 yards.,0,7
07:49,1,Rush,11,Jon Cornish rush for 11 yards to the Cgy44. Tackled by J.R. LaRose.,0,7
07:20,1,Incomplete Pass,0,Drew Tate incomplete pass intended for Maurice Price.,0,7
06:58,2,Rush,6,Drew Tate rush for 6 yards to the Cgy50. Tackled by Anton McKenzie.,0,7
06:24,3,Punt,3,Rob Maver punts for 45 yards to BC15. Tim Brown return for 3 yards to BC18. Tackled by Karl McCartney.,0,7
05:58,1,Pass,11,Travis Lulay pass to Andrew Harris for 11 yards to the BC29. Tackled by Malik Jackson.,0,7
05:38,1,Rush,2,Tim Brown rush for 2 yards to the BC31. Tackled by Demetrice Morley.,0,7
05:01,0,Rush,0,"FUMBLE, recovered by Cgy (Deron Mayo). Matthew Norman rush for no gain to the BC31.",0,7
04:39,1,Pass,20,Drew Tate pass to Jon Cornish for 20 yards to the BC12. Tackled by Anton McKenzie.,0,7
04:16,1,Incomplete Pass,0,Drew Tate incomplete pass intended for Maurice Price.,0,7
03:34,2,Pass,12,Drew Tate pass to Joe West for 12 yards for a TOUCHDOWN.,0,13
03:18,0,Made Extra Point,0,Rene Paredes extra point is good.,0,14
03:18,0,Kickoff,11,Rene Paredes kicks off to the BC17. Tim Brown return for 11 yards to BC28. Tackled by Jeff Hecht.,0,14
03:12,1,Incomplete Pass,0,Travis Lulay incomplete pass intended for Courtney Taylor.,0,14
02:52,2,Incomplete Pass,0,Travis Lulay incomplete pass intended for Emmanuel Arceneaux defensed by Jamar Wall.,0,14
02:27,0,Safety,-28,"FUMBLE Safety., recovered by BC (Hugh O'Neill).",0,16
02:11,0,Kickoff,26,Hugh O'Neill kicks off to the Cgy15. Larry Taylor return for 26 yards to Cgy41. Tackled by Cord Parks.,0,16
02:02,1,Rush,16,Matt Walter rush for 16 yards to the BC53. Tackled by Korey Banks.,0,16
01:35,1,Pass,7,Drew Tate pass to Nik Lewis for 7 yards to the BC46. Tackled by Dante Marsh.,0,16
00:45,2,Incomplete Pass,0,Drew Tate incomplete pass intended for Jabari Arthur defensed by J.R. LaRose.,0,16
00:25,3,Punt,11,Rob Maver punts for 37 yards to BC9. Tim Brown return for 11 yards to BC20. Tackled by Matt Walter.,0,16
15:00,1,Rush,-2,Andrew Harris rush for a loss of 2 yards to the BC18. Tackled by Brandon Smith.,0,16
14:24,0,Pass Interference,14,Penalty: Pass Interference on Calgary (Jonathan Hefney) 14 yards.,0,16
13:58,1,Pass,-3,Travis Lulay pass to Andrew Harris for a loss of 3 yards to the BC29. Tackled by Malik Jackson.,0,16
13:26,2,Rush,20,Travis Lulay rush for 20 yards to the BC49. Tackled by Jamar Wall.,0,16
12:29,1,Pass,8,Travis Lulay pass to Courtney Taylor for 8 yards to the Cgy53. Tackled by Demetrice Morley.,0,16
11:58,2,Interception,0,Travis Lulay pass intended for Emmanuel Arceneaux INTERCEPTED by Derrius Brooks. No return. Tackled by Emmanuel Arceneaux.,0,16
11:28,1,Rush,0,Jon Cornish rush for no gain to the Cgy21. Tackled by Adam Bighill.,0,16
11:02,2,Fumble,32,"Drew Tate pass to Nik Lewis for 32 yards to the Cgy53. FUMBLE, recovered by BC (J.R. LaRose). Tackled by Nik Lewis.",0,16
10:08,1,Pass,53,Travis Lulay pass to Emmanuel Arceneaux for 53 yards for a TOUCHDOWN.,6,16
