Time,Down,Type,Yards,Details,Calgary,BC
15:00,0,Kickoff,21,Rene Paredes kicks off to the BC11. Tim Brown return for 21 yards to BC32. Tackled by Justin Phillips.,0,0
14:54,1,Pass,13,Travis Lulay pass to Nick Moore for 13 yards to the BC45. Tackled by Fred Bennett.,0,0
14:31,1,Rush,4,Andrew Harris rush for 4 yards to the BC49. Tackled by Demonte' Bolden.,0,0
13:52,2,Pass,9,Travis Lulay pass to Andrew Harris for 9 yards to the Cgy52. Tackled by Charleston Hughes.,0,0
13:37,1,Pass,12,Travis Lulay pass to Nick Moore for 12 yards to the Cgy40. Tackled by Chris Randle.,0,0
12:32,1,Pass,40,Travis Lulay pass to Andrew Harris for 40 yards for a TOUCHDOWN.,0,6
12:22,0,Made Extra Point,0,Paul McCallum extra point is good.,0,7
12:22,0,Kickoff,19,Paul McCallum kicks off to the Cgy14. Larry Taylor return for 19 yards to Cgy33. Tackled by Brandon Jordan.,0,7
12:16,1,Pass,7,Kevin Glenn pass to Marquay McDaniel for 7 yards to the Cgy40. Tackled by Lin-J Shell.,0,7
11:32,2,Unnecessary Roughness,10,Penalty: Illegal Procedure on Calgary (Dan Federkeil) -5 yards. Penalty: Unnecessary Roughness on BC (Khreem Smith) 15 yards.,0,7
11:13,1,Pass,6,Kevin Glenn pass to Maurice Price for 6 yards to the BC54. Tackled by Cord Parks.,0,7
10:32,2,Rush,-1,Maurice Price rush for a loss of 1 yard to the Cgy55. Tackled by Solomon Elimimian.,0,7
09:57,3,Punt,11,Rob Maver punts for 37 yards to BC18. Tim Brown return for 11 yards to BC29. Tackled by Rob Cote.,0,7
09:34,1,Incomplete Pass,0,Travis Lulay incomplete pass intended for Courtney Taylor.,0,7
09:16,2,Incomplete Pass,0,Travis Lulay incomplete pass intended for Emmanuel Arceneaux.,0,7
08:50,3,Clipping,-9,Paul McCallum punts for 38 yards to Cgy43. Larry Taylor return for 6 yards to Cgy49. Tackled by Jordan Matechuk. Penalty: Clipping on Calgary (Yannick Carter) -15 yards.,0,7
08:31,1,Rush,-6,Jon Cornish rush for a loss of 6 yards to the Cgy28. Tackled by Korey Banks.,0,7
07:45,2,Pass,-2,Kevin Glenn pass to Jon Cornish for a loss of 2 yards to the Cgy26. Tackled by Solomon Elimimian.,0,7
07:21,3,Punt,0,Rob Maver punts for 45 yards to BC39. Tim Brown return for no gain to BC39. Tackled by Chris Randle.,0,7
06:55,1,Rush,1,Andrew Harris rush for 1 yard to the BC40. Tackled by Keon Raymond.,0,7
06:17,2,Interception,6,Travis Lulay pass intended for Nick Moore INTERCEPTED by Charleston Hughes and returned for 6 yards. Tackled by Courtney Taylor.,0,7
