Time,Down,Type,Yards,Details,Edmonton,Montreal
07:50,2,Pass,1,Jonathan Crompton pass to Cary Koch for 1 yard to the Edm48. Tackled by Byron Parker.,3,13
07:12,3,Fumble,9,"Grant Shaw punts for 52 yards to Mtl10. Noel Devine return for 9 yards to Mtl19. FUMBLE, recovered by Edm (Ryan King). Tackled by Patrick Lavoie.",3,13
06:48,1,Rush,8,Hugh Charles rush for 8 yards to the Mtl11. Tackled by Kyries Hebert.,3,13
06:33,2,Incomplete Pass,0,Kerry Joseph incomplete pass intended for Hugh Charles.,3,13
06:09,3,Missed Field Goal,18,Grant Shaw 18 yard field goal attempt is GOOD.,6,13
06:09,1,Rush,4,Noel Devine rush for 4 yards to the Mtl39. Tackled by Damaso Munoz.,6,13
05:32,2,Incomplete Pass,0,Anthony Calvillo incomplete pass intended for Arland Bruce.,6,13
05:01,3,Illegal Block,-7,Sean Whyte punts for 44 yards to Edm27. Cary Koch return for 3 yards to Edm30. Tackled by Martin Bedard. Penalty: Illegal Block on Edmonton (Elie Ngoyi) -10 yards.,6,13
04:34,1,Rush,-1,Cary Koch rush for a loss of 1 yard to the Edm19. Tackled by Chip Cox.,6,13
03:50,2,Pass,8,Mike Reilly pass to Shamawd Chambers for 8 yards to the Edm27. Tackled by Byron Parker.,6,13
03:26,3,Punt,4,Grant Shaw punts for 38 yards to Mtl45. Noel Devine return for 4 yards to Mtl49. Tackled by Corbin Sharun.,6,13
02:49,1,Rush,8,Brandon Whitaker rush for 8 yards to the Edm53. Tackled by Damaso Munoz.,6,13
02:37,2,Rush,4,Anthony Calvillo rush for 4 yards to the Edm49. Tackled by Damaso Munoz.,6,13
02:17,1,Rush,4,Brandon Whitaker rush for 4 yards to the Edm45. Tackled by Chris Rwabukamba.,6,13
01:50,2,Pass,16,Anthony Calvillo pass to Jamel Richardson for 16 yards to the Edm29. Tackled by Marcell Young.,6,13
01:27,1,Pass,16,Anthony Calvillo pass to Jamel Richardson for 16 yards to the Edm13. Tackled by Damaso Munoz.,6,13
00:46,1,Rush,13,Brandon Whitaker rush for 13 yards for a TOUCHDOWN.,6,19
00:46,0,Made Extra Point,0,Sean Whyte extra point is good.,6,20
00:46,0,Kickoff,14,Sean Whyte kicks off to the Edm18. Hugh Charles return for 14 yards to Edm32. Tackled by Steven Lumbala.,6,20
00:41,1,Incomplete Pass,0,Mike Reilly incomplete pass intended for Fred Stamps.,6,20
00:35,2,Pass,12,Mike Reilly pass to Fred Stamps for 12 yards to the Edm44. Tackled by Billy Parker.,6,20
00:28,1,Incomplete Pass,0,Mike Reilly incomplete pass intended for Fred Stamps.,6,20
00:18,2,Sack,-7,Sack at Edm37 for a loss of 7 yards by Kyries Hebert.,6,20
15:00,0,Kickoff,27,Sean Whyte kicks off to the Edm14. Hugh Charles return for 27 yards to Edm41. Tackled by Steven Lumbala.,6,20
14:46,1,Incomplete Pass,0,Mike Reilly incomplete pass intended for John White.,6,20
14:28,2,Pass,11,Mike Reilly pass to Marcus Henry for 11 yards to the Edm52. Tackled by Jerald Brown.,6,20
13:52,1,Pass,12,Mike Reilly pass to Fred Stamps for 12 yards to the Mtl46. Tackled by Byron Parker.,6,20
13:11,1,Incomplete Pass,0,Mike Reilly incomplete pass intended for Cary Koch.,6,20
12:45,2,Unnecessary Roughness,-22,Sack at Mtl53 for a loss of 7 yards by John Bowman. Penalty: Unnecessary Roughness on Edmonton (Branden Curry) -15 yards.,6,20
12:16,3,Punt,7,Grant Shaw punts for 47 yards to Mtl21. Noel Devine return for 7 yards to Mtl28. Tackled by Rennie Curran.,6,20
