Time,Down,Type,Yards,Details,Edmonton,BC
15:00,0,Kickoff,16,Grant Shaw kicks off to the BC11. Stuart Foord return for 16 yards to BC27. Tackled by Aaron Grymes.,0,0
14:53,1,Pass,6,Travis Lulay pass to Andrew Harris for 6 yards to the BC33. Tackled by Aaron Grymes.,0,0
14:13,2,Unnecessary Roughness,21,Travis Lulay rush for 6 yards to the BC39. Tackled by Damaso Munoz. Penalty: Unnecessary Roughness on Edmonton (Damaso Munoz) 15 yards.,0,0
13:47,1,Rush,1,Andrew Harris rush for 1 yard to the BC55. Tackled by Almondo Sewell.,0,0
13:08,2,Pass,8,Travis Lulay pass to Nick Moore for 8 yards to the Edm47. Tackled by Joe Burnett.,0,0
12:34,3,Rush,2,Thomas DeMarco rush for 2 yards to the Edm45. Tackled by Justin Capicciotti.,0,0
11:58,1,Pass,6,Travis Lulay pass to Courtney Taylor for 6 yards to the Edm39. Tackled by Marcell Young.,0,0
11:26,2,Pass,10,Travis Lulay pass to Marco Iannuzzi for 10 yards to the Edm29. Tackled by Damaso Munoz.,0,0
10:52,1,Rush,5,Andrew Harris rush for 5 yards to the Edm24. Tackled by T.J. Hill.,0,0
10:15,2,Interception,1,Travis Lulay pass intended for Emmanuel Arceneaux INTERCEPTED by Chris Thompson and returned for 1 yard. Tackled by Emmanuel Arceneaux.,0,0
09:53,1,Rush,5,Mike Reilly rush for 5 yards to the Edm16. Tackled by Solomon Elimimian.,0,0
09:18,2,Pass,6,Mike Reilly pass to Nate Coehoorn for 6 yards to the Edm22. Tackled by Dante Marsh.,0,0
08:35,1,Rush,5,Calvin McCarty rush for 5 yards to the Edm27. Tackled by Anton McKenzie.,0,0
08:04,2,Pass,5,Mike Reilly pass to Nate Coehoorn for 5 yards to the Edm32. Tackled by Cord Parks.,0,0
07:14,1,Pass,31,Mike Reilly pass to Nate Coehoorn for 31 yards to the BC47.,0,0
06:49,1,Rush,1,Hugh Charles rush for 1 yard to the BC46. Tackled by Cord Parks.,0,0
06:15,2,Rush,6,Mike Reilly rush for 6 yards to the BC40. Tackled by Solomon Elimimian.,0,0
05:17,3,Missed Field Goal,47,Grant Shaw 47 yard field goal attempt is GOOD.,3,0
05:17,0,Kickoff,19,Grant Shaw kicks off to the BC18.   return for 19 yards to BC37. Tackled by Aaron Grymes.,3,0
05:09,1,Rush,-1,Andrew Harris rush for a loss of 1 yard to the BC36. Tackled by Joe Burnett.,3,0
04:55,2,Sack,-8,Sack at BC28 for a loss of 8 yards by Almondo Sewell.,3,0
04:04,3,Punt,4,punts for 47 yards to Edm35. Joe Burnett return for 4 yards to Edm39. Tackled by Seydou Junior Haidara.,3,0
03:47,1,Rush,4,Hugh Charles rush for 4 yards to the Edm43. Tackled by Eric Taylor.,3,0
03:13,2,Incomplete Pass,0,Mike Reilly incomplete pass intended for Marcus Henry defensed by Jabar Westerman.,3,0
02:52,3,Punt,13,Grant Shaw punts for 57 yards to BC10.   return for 13 yards to BC23. Tackled by J.C. Sherritt.,3,0
02:24,1,Pass,8,Travis Lulay pass to Emmanuel Arceneaux for 8 yards to the BC31. Tackled by Joe Burnett.,3,0
01:37,2,Rush,4,Andrew Harris rush for 4 yards to the BC35. Tackled by Almondo Sewell.,3,0
01:03,1,Incomplete Pass,0,Travis Lulay incomplete pass intended for Andrew Harris defensed by Odell Willis.,3,0
00:41,2,Pass,15,Travis Lulay pass to Nick Moore for 15 yards to the BC50. Tackled by Marcell Young.,3,0
