Time,Down,Type,Yards,Details,Edmonton,Toronto
15:00,0,Kickoff,25,Edmonton kicks off.   return for 25 yards to Tor31.,0,0
14:52,1,Pass,14,pass to the Tor45.,0,0
14:16,1,Pass,11,pass to the Edm54.,0,0
13:42,1,Pass,9,pass to the Edm45.,0,0
11:48,3,Pass,45,pass for a TOUCHDOWN.,0,6
11:37,0,Made Extra Point,0,extra point is good.,0,7
11:37,0,Kickoff,28,Toronto kicks off.   return for 28 yards to Edm44.,0,7
11:30,1,Pass,15,pass to the Tor51.,0,7
11:03,1,Pass,31,pass to the Tor20.,0,7
10:46,1,Pass,9,pass to the Tor11.,0,7
10:04,1,Sack,-2,Sack at Tor9 for a loss of 2 yards.,0,7
09:59,2,Pass,0,pass to the Tor9.,0,7
08:15,3,Missed Field Goal,16,16 yard field goal attempt is GOOD.,3,7
08:15,0,Illegal Interference,10,Penalty: Illegal Interference on Edmonton 10 yards.,3,7
08:07,0,Kickoff,22,Edmonton kicks off.   return for 22 yards to Tor43.,3,7
07:57,1,Pass,13,pass to the Edm54.,3,7
06:40,2,Pass,3,pass to the Edm47.,3,7
06:07,3,Punt,0,punts for 36 yards to Edm11. No return.,3,7
05:53,1,Incomplete Pass,0,incomplete pass.,3,7
05:30,2,Pass,12,pass to the Edm23.,3,7
05:11,1,Pass,6,pass to the Edm29.,3,7
04:49,2,Roughing Passer,31,pass to the Edm45. Penalty: Roughing Passer on Toronto 15 yards.,3,7
04:12,1,Incomplete Pass,0,incomplete pass.,3,7
03:57,2,Offside,-5,Penalty: Offside on Edmonton -5 yards.,3,7
03:45,2,Pass,17,pass to the Tor38.,3,7
02:30,2,Pass,5,pass to the Tor32.,3,7
01:50,3,Missed Field Goal,38,38 yard field goal attempt is GOOD.,6,7
01:50,1,Pass,8,pass to the Tor43.,6,7
00:49,3,Punt,7,punts for 32 yards to Edm35.   return for 7 yards to Edm42.,6,7
00:02,2,Pass,24,pass to the Tor41.,6,7
15:00,1,Incomplete Pass,0,incomplete pass.,6,7
13:36,3,Missed Field Goal,40,40 yard field goal attempt is GOOD.,9,7
13:17,1,Pass,8,pass to the Edm53.,9,7
11:58,1,Pass,12,pass to the Edm15.,9,7
11:28,0,Illegal Contact,7,Penalty: Illegal Contact on Edmonton 7 yards.,9,7
10:30,1,Pass,8,pass for a TOUCHDOWN.,9,13
10:17,0,Made Extra Point,0,extra point is good.,9,14
10:17,0,Kickoff,20,Toronto kicks off.   return for 20 yards to Edm32.,9,14
09:32,1,Pass,6,pass to the Edm50.,9,14
09:08,2,Pass,6,pass to the Tor54.,9,14
07:51,2,Illegal Procedure,-5,Penalty: Illegal Procedure on Edmonton -5 yards.,9,14
06:56,3,Punt,21,punts for 41 yards to Tor6.   return for 21 yards to Tor27.,9,14
06:26,1,Pass,7,pass to the Tor34.,9,14
06:10,2,Pass,9,pass to the Tor43.,9,14
04:53,2,Pass,11,pass to the Tor46.,9,14
04:11,3,Illegal Block,-2,punts for 57 yards to Edm7.   return for 3 yards to Edm10. Penalty: Illegal Block on Edmonton -5 yards.,9,14
03:12,2,Pass,38,pass to the Edm45.,9,14
02:34,1,Pass,2,pass to the Edm47.,9,14
02:18,2,Roughing Passer,54,pass to the Tor18. Penalty: Roughing Passer on Toronto 9 yards.,9,14
01:55,1,Offside,5,Penalty: Offside on Toronto 5 yards.,9,14
01:42,1,Pass,4,pass for a TOUCHDOWN.,15,14
01:42,0,Made Extra Point,0,extra point is good.,16,14
01:42,0,Kickoff,19,Edmonton kicks off.   return for 19 yards to Tor31.,16,14
01:35,1,Pass,14,pass to the Tor45.,16,14
01:28,0,Illegal Contact,10,Penalty: Illegal Contact on Edmonton 10 yards.,16,14
01:28,1,Pass,21,pass to the Edm34.,16,14
01:14,1,Pass,9,pass to the Edm25.,16,14
01:06,2,Pass,15,pass to the Edm10.,16,14
00:43,1,Offside,-5,Penalty: Offside on Toronto -5 yards.,16,14
00:43,1,Pass,2,pass to the Edm13.,16,14
00:35,2,Incomplete Pass,0,incomplete pass.,16,14
00:12,3,Missed Field Goal,20,20 yard field goal attempt is GOOD.,16,17
15:00,0,Kickoff,25,Toronto kicks off.   return for 25 yards to Edm41.,16,17
14:53,1,Pass,3,pass to the Edm44.,16,17
14:23,2,Sack,-2,Sack at Edm42 for a loss of 2 yards.,16,17
13:48,3,Punt,3,punts for 51 yards to Tor17.   return for 3 yards to Tor20.,16,17
13:16,1,Pass,14,pass to the Tor34.,16,17
12:07,1,Pass,6,pass to the Tor52.,16,17
11:31,2,Pass,27,pass to the Edm31.,16,17
10:35,1,Pass,31,pass for a TOUCHDOWN.,16,23
10:28,0,Made Extra Point,0,extra point is good.,16,24
10:28,0,Holding,5,Toronto kicks off.   return for 15 yards to Edm20. Penalty: Holding on Edmonton -10 yards.,16,24
10:21,1,Pass,15,pass to the Edm25.,16,24
09:40,1,Incomplete Pass,0,incomplete pass.,16,24
09:24,2,Incomplete Pass,0,incomplete pass.,16,24
09:02,3,Time Count,-5,Penalty: Time Count on Edmonton -5 yards.,16,24
08:39,3,Punt,4,punts for 38 yards to Tor52.   return for 4 yards to Edm54.,16,24
08:29,1,Pass,7,pass to the Edm47.,16,24
07:38,1,Incomplete Pass,0,incomplete pass.,16,24
07:02,2,Incomplete Pass,0,incomplete pass.,16,24
06:41,3,Punt,0,punts for 32 yards to Edm10. No return.,16,24
05:57,2,Offside,-5,Penalty: Offside on Edmonton -5 yards.,16,24
05:30,2,Incomplete Pass,0,incomplete pass.,16,24
04:54,3,Safety,-9,Safety,16,26
04:54,0,Kickoff,13,Edmonton kicks off.   return for 13 yards to Tor46.,16,26
04:49,1,Pass,38,pass to the Edm26.,16,26
04:31,1,Pass,20,pass to the Edm6.,16,26
04:04,1,Sack,0,Sack at Edm6 for no gain Recovered by Tor ( ),16,26
03:06,2,Objectionable Conduct,-4,pass for a TOUCHDOWN. Penalty: Objectionable Conduct on Toronto -10 yards.,16,32
02:31,0,Made Extra Point,0,extra point is good.,16,33
02:31,0,Kickoff,31,Toronto kicks off.   return for 31 yards to Edm55.,16,33
01:51,2,Pass,1,pass to the Edm54.,16,33
01:21,3,Punt,18,punts for 38 yards to Tor18.   return for 18 yards to Tor36.,16,33
00:50,1,Pass,18,pass to the Tor54.,16,33
15:00,2,Pass,13,pass to the Edm38.,16,33
14:42,1,Incomplete Pass,0,incomplete pass.,16,33
14:08,2,Incomplete Pass,0,incomplete pass.,16,33
