Time,Down,Type,Yards,Details,Edmonton,Calgary
06:23,2,Pass,9,Mike Reilly pass to Marcus Henry for 9 yards to the Cgy4. Tackled by Fred Bennett.,0,17
05:47,3,Rush,2,Kerry Joseph rush for 2 yards to the Cgy2. Tackled by Justin Phillips.,0,17
04:59,1,Rush,2,Kerry Joseph rush for 2 yards for a TOUCHDOWN.,6,17
04:44,0,Made Extra Point,0,Hugh O'Neill extra point is good.,7,17
04:44,0,Illegal Block,10,Grant Shaw kicks off to the Cgy11. Larry Taylor return for 20 yards to Cgy31. Penalty: Illegal Block on Calgary (Keenan MacDougall) -10 yards.,7,17
04:36,1,Incomplete Pass,0,Bo Levi Mitchell incomplete pass intended for Maurice Price.,7,17
04:17,2,Sack,-8,Sack at Cgy13 for a loss of 8 yards by Justin Capicciotti.,7,17
03:35,3,Illegal Block,60,Rob Maver punts for 50 yards to Edm47. Penalty: Illegal Block on Edmonton (Deante' Purvis) 10 yards.,7,17
03:10,1,Rush,10,rush for 10 yards to the Edm47. Tackled by Juwan Simpson.,7,17
02:46,1,Sack,-9,Sack at Edm38 for a loss of 9 yards by Juwan Simpson.,7,17
02:32,2,Rush,10,Mike Reilly rush for 10 yards to the Edm48. Tackled by Junior Turner.,7,17
02:10,3,Punt,9,Grant Shaw punts for 42 yards to Cgy20. Larry Taylor return for 9 yards to Cgy29. Tackled by Joash Gesse.,7,17
01:51,1,Pass,13,Bo Levi Mitchell pass to Marquay McDaniel for 13 yards to the Cgy42. Tackled by Rennie Curran.,7,17
01:44,1,Incomplete Pass,0,Bo Levi Mitchell incomplete pass intended for Jabari Arthur.,7,17
01:41,2,Sack,-7,Sack at Cgy35 for a loss of 7 yards by Damaso Munoz.,7,17
01:36,3,Punt,7,Rob Maver punts for 52 yards to Edm23. Joe Burnett return for 7 yards to Edm30. Tackled by Randy Chevrier.,7,17
01:11,1,Incomplete Pass,0,Mike Reilly incomplete pass intended for Cary Koch.,7,17
01:07,0,Roughing Passer,15,Penalty: Roughing Passer on Calgary (Deron Mayo) 15 yards.,7,17
01:02,1,Fumble,25,"Mike Reilly pass intended for Fred Stamps INTERCEPTED and returned for 25 yards., recovered by Edm (Mike Reilly). FUMBLE",7,17
00:49,1,Pass,8,Mike Reilly pass to Shamawd Chambers for 8 yards to the Edm49. Tackled by Jamar Wall.,7,17
00:42,2,Rush,4,rush for 4 yards to the Edm53. Tackled by Junior Turner.,7,17
00:30,1,Incomplete Pass,0,Mike Reilly incomplete pass intended for Nate Coehoorn.,7,17
00:18,2,Incomplete Pass,0,Mike Reilly incomplete pass intended for Calvin McCarty.,7,17
00:14,3,Punt,7,Grant Shaw punts for 53 yards to Cgy4. Larry Taylor return for 7 yards to Cgy11. Tackled by Ryan King.,7,17
15:00,0,Kickoff,60,Rene Paredes kicks off to the Edm15 Onside kick recovered by kicking team by Alvin Bowen. Tackled by Ryan Hinds,7,17
14:56,1,Pass,8,Bo Levi Mitchell pass to Marquay McDaniel for 8 yards to the Edm7. Tackled by Marcell Young.,7,17
14:17,2,Incomplete Pass,0,Bo Levi Mitchell incomplete pass intended for Maurice Price defensed by Joe Burnett.,7,17
13:43,3,Missed Field Goal,14,Rene Paredes 14 yard field goal attempt is GOOD.,7,20
13:43,1,Incomplete Pass,0,Mike Reilly incomplete pass intended for Nate Coehoorn defensed by Juwan Simpson.,7,20
13:27,2,Rush,9,Mike Reilly rush for 9 yards to the Edm44. Tackled by Deron Mayo.,7,20
12:39,3,Sack,-1,Sack at Edm43 for a loss of 1 yard by Justin Phillips.,7,20
12:22,1,Rush,1,rush for 1 yard to the Edm42. Tackled by Rennie Curran.,7,20
11:48,2,Pass,9,Bo Levi Mitchell pass to Maurice Price for 9 yards to the Edm33. Tackled by Chris Rwabukamba.,7,20
11:23,1,Rush,2,rush for 2 yards to the Edm31. Tackled by Justin Capicciotti.,7,20
10:48,0,Pass Interference,30,Penalty: Pass Interference on Edmonton (Chris Rwabukamba) 30 yards.,7,20
10:25,1,Rush,0,Bo Levi Mitchell rush for no gain to the Edm1. Tackled by Damaso Munoz.,7,20
09:40,2,Unnecessary Roughness,-15,"Bo Levi Mitchell rush for no gain to the Edm1. FUMBLE, recovered by Cgy (Bo Levi Mitchell). Penalty: Unnecessary Roughness on Calgary (Spencer Wilson) -15 yards.",7,20
09:08,3,Missed Field Goal,24,Rene Paredes 24 yard field goal attempt is GOOD.,7,23
09:08,1,Rush,5,rush for 5 yards to the Edm40. Tackled by Micah Johnson.,7,23
08:41,2,Rush,3,Mike Reilly rush for 3 yards to the Edm43. Tackled by Cordarro Law.,7,23
07:54,3,Punt,10,Grant Shaw punts for 52 yards to Cgy15. Larry Taylor return for 10 yards to Cgy25. Tackled by Donovan Richard.,7,23
07:24,1,Rush,5,rush for 5 yards to the Cgy30. Tackled by T.J. Hill.,7,23
06:51,2,Pass,15,Bo Levi Mitchell pass to Maurice Price for 15 yards to the Cgy45. Tackled by Chris Thompson.,7,23
06:11,1,Pass,23,Bo Levi Mitchell pass to Brad Sinopoli for 23 yards to the Edm42. Tackled by Eric Samuels.,7,23
05:06,1,Pass,42,Bo Levi Mitchell pass to Maurice Price for 42 yards for a TOUCHDOWN.,7,29
04:51,0,Made Extra Point,0,Rene Paredes extra point is good.,7,30
04:51,0,Kickoff,24,Rene Paredes kicks off to the Edm5. Joe Burnett return for 24 yards to Edm29. Tackled by Brandon Smith.,7,30
04:43,1,Sack,-9,Sack at Edm20 for a loss of 9 yards by Charleston Hughes.,7,30
03:59,2,Incomplete Pass,0,Mike Reilly incomplete pass intended for Nate Coehoorn defensed by Demonte' Bolden.,7,30
03:38,3,Holding,5,Grant Shaw punts for 63 yards to Cgy27. Larry Taylor return for 15 yards to Cgy42. Penalty: Holding on Calgary (Brandon Smith) -10 yards.,7,30
03:10,1,Rush,5,rush for 5 yards to the Cgy37. Tackled by Justin Capicciotti.,7,30
02:30,2,Rush,6,rush for 6 yards to the Cgy43. Tackled by Don Oramasionwu.,7,30
01:57,1,Pass,10,Bo Levi Mitchell pass to Brad Sinopoli for 10 yards to the Cgy53. Tackled by Chris Rwabukamba.,7,30
01:12,1,Incomplete Pass,0,Bo Levi Mitchell incomplete pass intended for Marquay McDaniel defensed by Rennie Curran.,7,30
00:58,2,Sack,-9,Sack at Cgy44 for a loss of 9 yards by Damaso Munoz.,7,30
00:09,3,Holding,55,Rob Maver punts for 45 yards to Edm21. Penalty: Holding on Edmonton (Shamawd Chambers) 10 yards.,7,30
00:01,1,Rush,2,rush for 2 yards to the Edm13. Tackled by Micah Johnson.,7,30
15:00,2,Pass,12,Mike Reilly pass to Cary Koch for 12 yards to the Edm25. Tackled by Brandon Smith.,7,30
14:43,1,Pass,10,Mike Reilly pass to Shamawd Chambers for 10 yards to the Edm35. Tackled by Jamar Wall.,7,30
14:23,1,Incomplete Pass,0,Mike Reilly incomplete pass intended for Fred Stamps defensed by Brandon Smith.,7,30
13:58,2,Pass,5,Mike Reilly pass to Shamawd Chambers for 5 yards to the Edm40. Tackled by Jamar Wall.,7,30
13:39,3,Punt,7,Grant Shaw punts for 52 yards to Cgy18. Larry Taylor return for 7 yards to Cgy25. Tackled by Corbin Sharun.,7,30
13:19,1,Rush,8,Bo Levi Mitchell rush for 8 yards to the Cgy33. Tackled by Rennie Curran.,7,30
12:47,2,Rush,6,rush for 6 yards to the Cgy39. Tackled by Damaso Munoz.,7,30
12:05,1,Rush,5,rush for 5 yards to the Cgy44. Tackled by Don Oramasionwu.,7,30
10:56,2,Pass,66,Bo Levi Mitchell pass to Maurice Price for 66 yards for a TOUCHDOWN.,7,36
10:42,0,Made Extra Point,0,Rene Paredes extra point is good.,7,37
10:42,0,Kickoff,26,Rene Paredes kicks off to the Edm3. Deante' Purvis return for 26 yards to Edm29. Tackled by Chris Randle.,7,37
10:35,1,Sack,-1,Sack at Edm28 for a loss of 1 yard by Juwan Simpson.,7,37
09:48,2,Pass,33,Mike Reilly pass to Fred Stamps for 33 yards to the Cgy49. Tackled by Jeff Hecht.,7,37
09:07,1,Pass,8,Mike Reilly pass to Cary Koch for 8 yards to the Cgy41. Tackled by Chris Randle.,7,37
08:46,2,Rush,6,rush for 6 yards to the Cgy35. Tackled by Junior Turner.,7,37
08:20,1,Objectionable Conduct,25,Mike Reilly pass to Cary Koch for 35 yards for a TOUCHDOWN. Penalty: Objectionable Conduct on Edmonton (Cary Koch) -10 yards.,13,37
08:08,0,Incomplete Pass,0,Mike Reilly incomplete pass intended for Marcus Henry.,13,37
07:46,0,Kickoff,9,Grant Shaw kicks off to the Cgy38. Matt Walter return for 9 yards to Cgy47. Tackled by Calvin McCarty.,13,37
07:39,1,Rush,4,rush for 4 yards to the Cgy51. Tackled by Chris Rwabukamba.,13,37
06:59,2,Fumble,12,"Bo Levi Mitchell pass to Brad Sinopoli for 12 yards to the Edm47. FUMBLE, recovered by Edm (Eric Samuels). Tackled by Brad Sinopoli.",13,37
06:33,1,Rush,8,Mike Reilly rush for 8 yards to the Edm55. Tackled by Cordarro Law.,13,37
05:59,2,Rush,6,Mike Reilly rush for 6 yards to the Cgy49. Tackled by Juwan Simpson.,13,37
05:29,0,Pass Interference,30,Penalty: Pass Interference on Calgary (Chris Randle) 30 yards.,13,37
05:16,1,Pass,9,Mike Reilly pass to Cary Koch for 9 yards to the Cgy20.,13,37
05:05,2,Rush,2,rush for 2 yards to the Cgy18. Tackled by Micah Johnson.,13,37
04:23,1,Pass,18,Mike Reilly pass to   for 18 yards for a TOUCHDOWN.,19,37
04:11,0,Made Extra Point,0,Hugh O'Neill extra point is good.,20,37
04:11,0,Kickoff,27,Grant Shaw kicks off to the Cgy48. Onside kick recovered by kicking team by Marcell Young.,20,37
04:09,1,Rush,15,Mike Reilly rush for 15 yards to the Cgy33.,20,37
03:48,1,Incomplete Pass,0,Mike Reilly incomplete pass intended for Shamawd Chambers.,20,37
03:09,2,Pass,33,Mike Reilly pass to Matt Carter for 33 yards for a TOUCHDOWN.,26,37
02:58,0,Made Extra Point,0,Hugh O'Neill extra point is good.,27,37
02:58,0,Kickoff,0,Grant Shaw kicks off to the Cgy53. Fred Bennett - no return. Tackled by Mike Miller.,27,37
02:56,1,Incomplete Pass,0,Bo Levi Mitchell incomplete pass intended for Brad Sinopoli.,27,37
02:50,0,Fumble,80,"Lateral. Bo Levi Mitchell pass to Jabari Arthur for 17 yards to the Edm40. FUMBLE, recovered by Edm (Almondo Sewell). . Tackled by Larry Taylor",27,37
02:17,1,Pass,7,Mike Reilly pass to Fred Stamps for 7 yards for a TOUCHDOWN.,33,37
02:17,0,Made Extra Point,0,Hugh O'Neill extra point is good.,34,37
02:17,0,Kickoff,20,Grant Shaw kicks off to the Cgy7. Anthony Parker return for 20 yards to Cgy27. Tackled by Mike Miller.,34,37
02:11,1,Incomplete Pass,0,Bo Levi Mitchell incomplete pass intended for  .,34,37
02:07,2,Pass,11,Bo Levi Mitchell pass to Brad Sinopoli for 11 yards to the Cgy38. Tackled by Chris Thompson.,34,37
01:58,1,Rush,2,rush for 2 yards to the Cgy40. Tackled by Justin Capicciotti.,34,37
01:40,2,Incomplete Pass,0,Bo Levi Mitchell incomplete pass intended for Jabari Arthur.,34,37
01:17,3,Punt,6,Rob Maver punts for 59 yards to Edm11. Cary Koch return for 6 yards to Edm17. Tackled by Randy Chevrier.,34,37
01:05,1,Sack,-10,Sack at Edm7 for a loss of 10 yards by Charleston Hughes.,34,37
00:59,2,Incomplete Pass,0,Mike Reilly incomplete pass intended for Matt Carter.,34,37
00:50,3,Pass,43,Mike Reilly pass to Nate Coehoorn for 43 yards to the Edm50. Tackled by Fred Bennett.,34,37
00:41,1,Incomplete Pass,0,Mike Reilly incomplete pass intended for Cary Koch.,34,37
00:37,2,Rush,7,Mike Reilly rush for 7 yards to the Cgy53. Tackled by Juwan Simpson.,34,37
00:27,3,Incomplete Pass,0,Mike Reilly incomplete pass intended for Fred Stamps defensed by Brandon Smith.,34,37
