Time,Down,Type,Yards,Details,Toronto,Edmonton
05:54,2,Pass,16,Zach Collaros pass to Jason Barnes for 16 yards to the Edm35. Tackled by Eric Samuels.,1,15
05:18,1,Interception,0,Zach Collaros pass INTERCEPTED by Marcell Young. No return. Tackled by Andre Durie.,1,15
04:53,1,Rush,3,John White rush for 3 yards to the Edm28. Tackled by Marcus Ball.,1,15
03:53,2,Incomplete Pass,0,Kerry Joseph incomplete pass intended for Adarius Bowman.,1,15
03:35,0,Illegal Substitution,-10,Penalty: Illegal Substitution on Edmonton (Eric Samuels) -10 yards.,1,15
03:35,3,No Yards,46,Grant Shaw punts for 51 yards to Tor41. Penalty: No Yards on Edmonton (Nathan Kanya) -5 yards.,1,15
03:14,1,Incomplete Pass,0,Zach Collaros incomplete pass intended for John Chiles.,1,15
03:04,2,Sack,-11,Sack at Tor35 for a loss of 11 yards by Marcus Howard.,1,15
02:41,3,Punt,12,Swayze Waters punts for 39 yards to Edm36. Jamal Miles return for 12 yards to Edm48. Tackled by Jason Pottinger.,1,15
02:21,1,Incomplete Pass,0,Kerry Joseph incomplete pass intended for Nate Coehoorn.,1,15
02:15,2,Roughing Passer,23,Kerry Joseph pass to Nate Coehoorn for 8 yards to the Tor54. Tackled by Ricardo Colclough. Penalty: Roughing Passer on Toronto (Jonathan Williams) 15 yards.,1,15
02:08,1,Rush,4,John White rush for 4 yards to the Tor35. Tackled by Cleyon Laing.,1,15
02:00,2,Offside,-5,Penalty: Offside on Edmonton (Shamawd Chambers) -5 yards.,1,15
01:49,2,Pass,2,Kerry Joseph pass to Adarius Bowman for 2 yards to the Tor38. Tackled by Ricardo Colclough.,1,15
01:33,3,Missed Field Goal,41,53 yard field goal attempt by Hugh O'Neill is NO GOOD.  Missed field goal returned by Trent Guy to the Tor26. Tackled by Hugh O'Neill.,1,15
01:13,1,Pass,5,Zach Collaros pass to Andre Durie for 5 yards to the Tor31. Tackled by Joe Burnett.,1,15
01:08,2,Pass,15,Zach Collaros pass to Dontrelle Inman for 15 yards to the Tor46. Tackled by Eric Samuels.,1,15
00:35,1,Pass,12,Zach Collaros pass to Chad Kackert for 12 yards to the Edm52. Tackled by Joe Burnett.,1,15
00:29,1,Incomplete Pass,0,Zach Collaros incomplete pass intended for Jason Barnes.,1,15
00:21,2,Incomplete Pass,0,Zach Collaros incomplete pass intended for John Chiles.,1,15
00:15,3,Punt,5,Swayze Waters punts for 52 yards to Edm0. Joe Burnett return for 5 yards to Edm5. Tackled by Julian Feoli-Gudino.,1,15
15:00,0,Kickoff,29,Swayze Waters kicks off to the Edm0. Jamal Miles return for 29 yards to Edm0. Tackled by Jalil Carter.,1,15
14:51,1,Incomplete Pass,0,Kerry Joseph incomplete pass intended for Marcus Henry.,1,15
