Time,Down,Type,Yards,Details,Toronto,Saskatchewan
15:00,0,Kickoff,14,Ricky Schmitt kicks off to the Tor16. Jerious Norwood return for 14 yards to Tor30. Tackled by Taj Smith.,0,0
14:46,1,Pass,12,Zach Collaros pass to John Chiles for 12 yards to the Tor42. Tackled by Carlos Thomas.,0,0
14:22,1,Rush,2,Zach Collaros rush for 2 yards to the Tor44. Tackled by Craig Butler.,0,0
13:53,2,Pass,7,Zach Collaros pass to Andre Durie for 7 yards to the Tor51. Tackled by Carlos Thomas.,0,0
12:48,3,Punt Single,62,Swayze Waters punts for 62 yards to Ssk0 (Single).,1,0
12:48,1,Rush,0,Kory Sheets rush for no gain to the Ssk35. Tackled by Marcus Ball.,1,0
12:18,2,Offside,5,Penalty: Offside on Toronto (Ivan Brown) 5 yards.,1,0
11:59,2,Interception,31,Darian Durant pass intended for Chris Getzlaf INTERCEPTED by Demetrice Morley and returned for 31 yards. Tackled by Patrick Neufeld.,1,0
11:45,1,Sack,-2,Sack at Ssk16 for a loss of 2 yards by Weldon Brown.,1,0
11:15,0,Pass Interference,15,Penalty: Pass Interference on Saskatchewan (Prince Miller) 15 yards.,1,0
10:28,1,Rush,1,Zach Collaros rush for 1 yard for a TOUCHDOWN.,7,0
10:13,0,Made Extra Point,0,Swayze Waters extra point is good.,8,0
10:13,0,Kickoff,34,Swayze Waters kicks off to the Ssk10. Tristan Jackson return for 34 yards to Ssk44. Tackled by Jason Pottinger.,8,0
10:04,1,Rush,4,Kory Sheets rush for 4 yards to the Ssk48. Tackled by Jason Pottinger.,8,0
09:45,2,Incomplete Pass,0,Darian Durant incomplete pass intended for Kierrie Johnson.,8,0
09:13,3,Fumble,4,"Ricky Schmitt punts for 44 yards to Tor18. Ricardo Colclough return for 4 yards to Tor22. FUMBLE, recovered by Ssk (Neal Hughes). Tackled by Ricardo Colclough.",8,0
08:54,1,Unnecessary Roughness,-15,Darian Durant incomplete pass intended for Taj Smith. Penalty: Unnecessary Roughness on Saskatchewan (Dominic Picard) -15 yards.,8,0
08:36,2,Pass,-2,Darian Durant pass to Kory Sheets for a loss of 2 yards to the Tor39. Tackled by Demetrice Morley.,8,0
08:16,0,Fumble,-37,FUMBLE  Recovered by Ssk (Ricky Schmitt),8,0
07:45,1,Sack,-7,Sack at Ssk41 for a loss of 7 yards by Hilee Taylor.,8,0
07:20,2,Incomplete Pass,0,Zach Collaros incomplete pass intended for Jason Barnes defensed by Tyron Brackenridge.,8,0
06:33,3,Missed Field Goal,48,Swayze Waters 48 yard field goal attempt is GOOD.,11,0
06:33,1,Rush,5,Kory Sheets rush for 5 yards to the Ssk40. Tackled by David Lee.,11,0
06:19,2,Illegal Contact,5,Penalty: Offside on Saskatchewan (Rob Bagg) -5 yards. Penalty: Illegal Contact on Toronto (Alonzo Lawrence) 10 yards.,11,0
05:43,1,Rush,-1,Kory Sheets rush for a loss of 1 yard to the Ssk44. Tackled by Jonathan Williams.,11,0
05:26,2,Pass,14,Darian Durant pass to Neal Hughes for 14 yards to the Tor52. Tackled by Alonzo Lawrence.,11,0
04:58,1,Pass,2,Darian Durant pass to Taj Smith for 2 yards to the Tor50. Tackled by Demetrice Morley.,11,0
04:30,2,Incomplete Pass,0,Darian Durant incomplete pass intended for Geroy Simon defensed by Marcus Ball.,11,0
03:57,3,Punt,8,Ricky Schmitt punts for 48 yards to Tor2. Ricardo Colclough return for 8 yards to Tor10. Tackled by Cory Huclack.,11,0
03:34,1,Rush,2,Chad Kackert rush for 2 yards to the Tor12. Tackled by Hilee Taylor.,11,0
03:14,2,Illegal Procedure,-5,Penalty: Illegal Procedure on Toronto ( ) -5 yards.,11,0
