Time,Down,Type,Yards,Details,Saskatchewan,Edmonton
15:00,0,Kickoff,25,Grant Shaw kicks off to the Ssk11. Jock Sanders return for 25 yards to Ssk36. Tackled by Mike Cornell.,0,0
14:54,1,Incomplete Pass,0,Darian Durant incomplete pass intended for Greg Carr.,0,0
14:28,2,Pass,11,Darian Durant pass to Kory Sheets for 11 yards to the Ssk47. Tackled by Don Oramasionwu.,0,0
13:50,1,Rush,7,Kory Sheets rush for 7 yards to the Ssk54. Tackled by Don Oramasionwu.,0,0
13:10,2,Pass,33,Darian Durant pass to Chris Getzlaf for 33 yards to the Edm23. Tackled by Odell Willis.,0,0
12:28,1,Rush,9,Kory Sheets rush for 9 yards to the Edm14. Tackled by Brandon Lang.,0,0
11:50,2,Rush,5,Kory Sheets rush for 5 yards to the Edm9. Tackled by J.C. Sherritt.,0,0
11:12,0,Pass Interference,-10,Penalty: Pass Interference on Saskatchewan (Brendon LaBatte) -10 yards.,0,0
10:25,1,Rush,19,Kory Sheets rush for 19 yards for a TOUCHDOWN.,6,0
10:09,0,Made Extra Point,0,Chris Milo extra point is good.,7,0
10:09,0,Kickoff,18,Ricky Schmitt kicks off to the Edm2. Cary Koch return for 18 yards to Edm20. Tackled by Tyron Brackenridge.,7,0
10:02,1,Rush,3,Hugh Charles rush for 3 yards to the Edm23. Tackled by Keith Shologan.,7,0
09:21,2,Pass,11,Mike Reilly pass to Cary Koch for 11 yards to the Edm34.,7,0
08:38,1,Rush,1,Hugh Charles rush for 1 yard to the Edm35. Tackled by John Chick.,7,0
08:12,2,Pass,10,Mike Reilly pass to Isaiah Sweeney for 10 yards to the Edm45. Tackled by Macho Harris.,7,0
07:47,1,Rush,4,John White rush for 4 yards to the Edm49. Tackled by Jermaine McElveen.,7,0
07:00,2,Illegal Procedure,-5,Penalty: Illegal Procedure on Edmonton (Simeon Rottier) -5 yards.,7,0
06:55,2,Rush,8,Mike Reilly rush for 8 yards to the Edm52. Tackled by Renauld Williams.,7,0
06:35,3,Punt,3,Grant Shaw punts for 45 yards to Ssk13. Jock Sanders return for 3 yards to Ssk16. Tackled by Kyle Norris.,7,0
06:18,1,Pass,31,Darian Durant pass to Chris Getzlaf for 31 yards to the Ssk47. Tackled by Aaron Grymes.,7,0
05:47,1,Face Mask,16,Kory Sheets rush for 1 yard to the Ssk48. Tackled by Marcus Howard. Penalty: Face Mask on Edmonton (Marcus Howard) 15 yards.,7,0
05:16,1,Offside,5,Penalty: Offside on Edmonton (Ted Laurent) 5 yards.,7,0
05:00,1,Rush,3,Kory Sheets rush for 3 yards to the Edm39. Tackled by T.J. Hill.,7,0
04:12,2,Rush,5,Kory Sheets rush for 5 yards to the Edm34. Tackled by Damaso Munoz.,7,0
