Time,Down,Type,Yards,Details,BC,Saskatchewan
15:00,0,Kickoff,22,Ricky Schmitt kicks off to the BC15. Andrew Harris return for 22 yards to BC37. Tackled by Brian Peters.,0,0
14:39,1,Pass,6,Thomas DeMarco pass to Emmanuel Arceneaux for 6 yards to the BC43. Tackled by Tristan Jackson.,0,0
14:09,2,Incomplete Pass,0,Thomas DeMarco incomplete pass intended for Emmanuel Arceneaux.,0,0
13:51,3,Punt,0,Paul McCallum punts for 34 yards to Ssk33. No return.,0,0
13:42,1,Rush,4,Kory Sheets rush for 4 yards to the Ssk37. Tackled by Solomon Elimimian.,0,0
13:06,2,Offside,5,Penalty: Offside on BC (Khreem Smith) 5 yards.,0,0
12:25,2,Fumble,41,"Kory Sheets rush for 41 yards to the BC27. FUMBLE, recovered by BC (Eric Taylor). Tackled by Dan Clark.",0,0
12:12,1,Rush,5,Stefan Logan rush for 5 yards to the BC32. Tackled by Dwight Anderson.,0,0
12:02,2,Pass,23,Thomas DeMarco pass to Nick Moore for 23 yards to the BC55. Tackled by Dwight Anderson.,0,0
11:41,1,Rush,5,Stefan Logan rush for 5 yards to the Ssk50. Tackled by Keith Shologan.,0,0
11:15,2,Incomplete Pass,0,Thomas DeMarco incomplete pass intended for Courtney Taylor defensed by Mike McCullough.,0,0
10:50,3,No Yards,20,Paul McCallum punts for 25 yards to Ssk25. Penalty: No Yards on BC (Lin-J Shell) -5 yards.,0,0
10:38,1,Fumble,1,"Darian Durant pass to Geroy Simon for a loss of 2 yards to the Ssk28. FUMBLE, recovered by BC (Cord Parks) and returned for 3 yards. Tackled by Kory Sheets.",0,0
10:13,1,Pass,8,Thomas DeMarco pass to Nick Moore for 8 yards to the Ssk17. Tackled by Tristan Jackson.,0,0
09:40,2,Rush,6,Stefan Logan rush for 6 yards to the Ssk11. Tackled by Weldon Brown.,0,0
08:43,1,Pass,11,Thomas DeMarco pass to Nick Moore for 11 yards for a TOUCHDOWN.,6,0
08:24,0,Made Extra Point,0,Paul McCallum extra point is good.,7,0
08:24,0,Kickoff,27,Paul McCallum kicks off to the Ssk11. Jock Sanders return for 27 yards to Ssk38. Tackled by Cord Parks.,7,0
08:16,1,Incomplete Pass,0,Darian Durant incomplete pass defensed by Adam Bighill.,7,0
07:49,2,Incomplete Pass,0,Darian Durant incomplete pass intended for Kory Sheets.,7,0
