Time,Down,Type,Yards,Details,BC,Saskatchewan
07:33,3,Punt,6,Ricky Schmitt punts for 42 yards to BC30. Stefan Logan return for 6 yards to BC36. Tackled by Neal Hughes.,7,0
07:08,1,Incomplete Pass,0,Thomas DeMarco incomplete pass intended for Emmanuel Arceneaux.,7,0
06:52,0,Fumble,-16,"FUMBLE, recovered by BC (Andrew Harris).  FUMBLE Recovered by BC (Jovan Olafioye)",7,0
05:55,3,Face Mask,13,Paul McCallum punts for 40 yards to Ssk50. Jock Sanders return for a loss of 2 yards to Ssk48. Penalty: Face Mask on BC (Rolly Lumbala) 15 yards.,7,0
05:25,1,Rush,5,Kory Sheets rush for 5 yards to the BC42. Tackled by Solomon Elimimian.,7,0
05:03,2,Pass,14,Darian Durant pass to Chris Getzlaf for 14 yards to the BC28. Tackled by Adam Bighill.,7,0
04:32,1,Rush,1,Kory Sheets rush for 1 yard to the BC27. Tackled by Anton McKenzie.,7,0
03:51,2,Pass,5,Darian Durant pass to Kory Sheets for 5 yards to the BC22. Tackled by Korey Banks.,7,0
02:47,3,Missed Field Goal,30,Chris Milo 30 yard field goal attempt is GOOD.,7,3
02:47,0,Kickoff,43,Ricky Schmitt kicks off to the BC15. Stefan Logan return for 43 yards to Ssk52. Tackled by Paul Woldu.,7,3
02:37,1,Rush,10,Andrew Harris rush for 10 yards to the Ssk42. Tackled by Carlos Thomas.,7,3
01:46,0,Fumble,46,"FUMBLE, recovered by Ssk (Weldon Brown).  for a TOUCHDOWN",7,9
01:27,0,Made Extra Point,0,Chris Milo extra point is good.,7,10
01:27,0,Kickoff,22,Ricky Schmitt kicks off to the BC21. Stefan Logan return for 22 yards to BC43. Tackled by Paul Woldu.,7,10
01:20,1,Fumble,11,"Stefan Logan rush for 11 yards to the BC54. FUMBLE, recovered by Ssk (Ricky Foley). Tackled by Ben Archibald.",7,10
00:40,1,Rush,15,Kory Sheets rush for 15 yards to the BC39. Tackled by Dante Marsh.,7,10
00:02,1,Roughing Passer,31,Darian Durant pass to Geroy Simon for 23 yards to the BC16. Tackled by Cord Parks. Penalty: Roughing Passer on BC (Eric Taylor) 8 yards.,7,10
00:01,1,Incomplete Pass,0,Darian Durant incomplete pass intended for Weston Dressler defensed by Ryan Phillips.,7,10
15:00,2,Pass,1,Darian Durant pass to Kory Sheets for 1 yard to the BC7. Tackled by Lin-J Shell.,7,10
13:50,3,Missed Field Goal,14,Chris Milo 14 yard field goal attempt is GOOD.,7,13
13:50,0,Kickoff,26,Ricky Schmitt kicks off to the BC13. Stefan Logan return for 26 yards to BC39. Tackled by Diamond Ferri.,7,13
13:35,1,Rush,1,Stefan Logan rush for 1 yard to the BC40. Tackled by Jermaine McElveen.,7,13
13:08,2,Interception,25,Thomas DeMarco pass intended for Shawn Gore INTERCEPTED by Carlos Thomas and returned for 25 yards. Tackled by Andrew Harris.,7,13
12:37,1,Incomplete Pass,0,Darian Durant incomplete pass intended for Taj Smith.,7,13
11:52,2,Pass,20,Darian Durant pass to Weston Dressler for 20 yards for a TOUCHDOWN.,7,19
11:48,0,Made Extra Point,0,Chris Milo extra point is good.,7,20
11:38,0,Kickoff,27,Ricky Schmitt kicks off to the BC16. Stefan Logan return for 27 yards to BC43. Tackled by Tyron Brackenridge.,7,20
11:29,1,Fumble,13,"Thomas DeMarco pass to Courtney Taylor for 13 yards to the Ssk54. FUMBLE, recovered by Ssk (Craig Butler). Tackled by Courtney Taylor.",7,20
11:10,1,Rush,-1,Kory Sheets rush for a loss of 1 yard to the Ssk53. Tackled by Cord Parks.,7,20
10:27,0,Pass Interference,12,Penalty: Pass Interference on BC (Dante Marsh) 12 yards.,7,20
10:13,1,Rush,0,Kory Sheets rush for no gain to the BC45. Tackled by Eric Taylor.,7,20
09:58,2,Pass,42,Darian Durant pass to Weston Dressler for 42 yards to the BC3. Tackled by Cameron Chism.,7,20
09:14,1,Rush,2,Kory Sheets rush for 2 yards to the BC1. Tackled by Eric Taylor.,7,20
08:03,2,Rush,1,Kory Sheets rush for 1 yard for a TOUCHDOWN.,7,26
07:51,0,Made Extra Point,0,Chris Milo extra point is good.,7,27
07:51,0,Kickoff,19,Ricky Schmitt kicks off to the BC11. Stefan Logan return for 19 yards to BC30. Tackled by Daryl Stephenson.,7,27
07:45,1,Rush,1,Andrew Harris rush for 1 yard to the BC31. Tackled by Keith Shologan.,7,27
07:09,2,Pass,11,Thomas DeMarco pass to Emmanuel Arceneaux for 11 yards to the BC42. Tackled by Carlos Thomas.,7,27
06:46,1,Rush,5,Emmanuel Arceneaux rush for 5 yards to the BC47. Tackled by Mike McCullough.,7,27
06:18,2,Incomplete Pass,0,Thomas DeMarco incomplete pass intended for Shawn Gore defensed by Terrell Maze.,7,27
05:55,3,Punt,3,Paul McCallum punts for 38 yards to Ssk25. Jock Sanders return for 3 yards to Ssk28. Tackled by Seydou Junior Haidara.,7,27
05:42,1,Rush,5,Weston Dressler rush for 5 yards to the Ssk33. Tackled by Cord Parks.,7,27
05:12,2,Rush,7,Darian Durant rush for 7 yards to the Ssk40. Tackled by Adam Bighill.,7,27
04:45,1,Rush,5,Kory Sheets rush for 5 yards to the Ssk45. Tackled by Solomon Elimimian.,7,27
04:13,2,Incomplete Pass,0,Darian Durant incomplete pass intended for Rob Bagg.,7,27
03:55,3,Punt,2,Ricky Schmitt punts for 52 yards to BC13. Stefan Logan return for 2 yards to BC15. Tackled by Diamond Ferri.,7,27
03:34,1,Interception,0,Thomas DeMarco pass intended for Courtney Taylor INTERCEPTED by Craig Butler. No return. Tackled by Courtney Taylor.,7,27
03:10,1,Incomplete Pass,0,Darian Durant incomplete pass intended for Rob Bagg.,7,27
02:50,2,Incomplete Pass,0,Darian Durant incomplete pass.,7,27
02:29,3,Field Goal Single,51,51 yard field goal attempt by Chris Milo is NO GOOD (Single).,7,28
02:29,1,Rush,-1,Stefan Logan rush for a loss of 1 yard to the BC35. Tackled by Keith Shologan.,7,28
02:18,2,Rush,8,Thomas DeMarco rush for 8 yards to the BC43. Tackled by Tyron Brackenridge.,7,28
01:58,3,Illegal Procedure,-5,Penalty: Illegal Procedure on BC (Seydou Junior Haidara) -5 yards.,7,28
01:53,3,Punt,10,Paul McCallum punts for 36 yards to Ssk36. Jock Sanders return for 10 yards to Ssk46. Tackled by Tim Cronk.,7,28
01:42,1,Rush,9,Kory Sheets rush for 9 yards to the Ssk55. Tackled by Dante Marsh.,7,28
01:34,2,Rush,1,Kory Sheets rush for 1 yard to the BC54. Tackled by Ryan Phillips.,7,28
01:16,3,Rush,1,Darian Durant rush for 1 yard to the BC53. Tackled by Solomon Elimimian.,7,28
00:56,1,Pass,45,Darian Durant pass to Weston Dressler for 45 yards to the BC8. Tackled by Cord Parks.,7,28
00:44,1,Incomplete Pass,0,Darian Durant incomplete pass.,7,28
00:24,2,Incomplete Pass,0,Darian Durant incomplete pass intended for Chris Getzlaf.,7,28
00:15,3,Missed Field Goal,15,Chris Milo 15 yard field goal attempt is GOOD.,7,31
00:15,1,Rush,-1,Stefan Logan rush for a loss of 1 yard to the BC34. Tackled by Ricky Foley.,7,31
15:00,0,Kickoff,14,Ricky Schmitt kicks off to the BC18. Andrew Harris return for 14 yards to BC32. Tackled by Craig Butler.,7,31
14:46,1,Pass,2,Thomas DeMarco pass to Courtney Taylor for 2 yards to the BC34. Tackled by Carlos Thomas.,7,31
14:14,2,Incomplete Pass,0,Thomas DeMarco incomplete pass intended for Marco Iannuzzi.,7,31
13:56,0,Fumble,-3,", recovered by BC (Jock Sanders). Paul McCallum punts for 37 yards to Ssk39. Jock Sanders return for a loss of 3 yards to Ssk36. FUMBLE",7,31
13:29,1,Rush,2,Kory Sheets rush for 2 yards to the Ssk38. Tackled by Solomon Elimimian.,7,31
13:13,2,Pass,7,Darian Durant pass to Jock Sanders for 7 yards to the Ssk45. Tackled by Lin-J Shell.,7,31
12:37,3,Rush,2,Darian Durant rush for 2 yards to the Ssk47. Tackled by Eric Taylor.,7,31
11:59,1,Rush,2,Kory Sheets rush for 2 yards to the Ssk49. Tackled by Cameron Chism.,7,31
11:36,2,Interception,8,Darian Durant pass INTERCEPTED by Lin-J Shell and returned for 8 yards. Tackled by Weston Dressler.,7,31
11:08,1,Rush,6,Stefan Logan rush for 6 yards to the Ssk45. Tackled by Ricky Foley.,7,31
10:44,2,Rush,16,Stefan Logan rush for 16 yards to the Ssk29. Tackled by John Chick.,7,31
10:13,0,Pass Interference,0,Penalty: Holding on BC (Patrick Kabongo) -10 yards. Penalty: Pass Interference on Saskatchewan (Terrell Maze) 10 yards.,7,31
09:50,1,Incomplete Pass,0,Thomas DeMarco incomplete pass intended for Andrew Harris.,7,31
09:31,2,Pass,22,Thomas DeMarco pass to Nick Moore for 22 yards to the Ssk7. Tackled by Carlos Thomas.,7,31
08:31,1,Pass,7,Thomas DeMarco pass to Shawn Gore for 7 yards for a TOUCHDOWN.,13,31
08:12,0,Made Extra Point,0,Paul McCallum extra point is good.,14,31
08:12,0,Holding,6,Paul McCallum kicks off to the Ssk5. Jock Sanders return for 16 yards to Ssk21. Penalty: Holding on Saskatchewan (Diamond Ferri) -10 yards.,14,31
07:57,1,Rush,5,Kory Sheets rush for 5 yards to the Ssk16. Tackled by Adam Bighill.,14,31
07:20,2,Rush,7,Darian Durant rush for 7 yards to the Ssk23.,14,31
07:03,1,Rush,3,Kory Sheets rush for 3 yards to the Ssk26. Tackled by Solomon Elimimian.,14,31
06:24,2,Incomplete Pass,0,Darian Durant incomplete pass intended for Chris Getzlaf.,14,31
05:56,3,Punt,0,Ricky Schmitt punts for 40 yards to BC44. Stefan Logan return for no gain to BC44. Tackled by Levi Steinhauer.,14,31
05:31,0,Roughing Passer,-15,Penalty: Roughing Passer on Saskatchewan (Zach Evans) -15 yards.,14,31
05:13,1,Rush,4,Stefan Logan rush for 4 yards to the Ssk47. Tackled by Alex Hall.,14,31
04:48,2,Incomplete Pass,0,Thomas DeMarco incomplete pass intended for Courtney Taylor defensed by Carlos Thomas.,14,31
04:22,3,Punt,0,Paul McCallum punts for 37 yards to Ssk10. No return.,14,31
04:12,1,Rush,22,Kory Sheets rush for 22 yards to the Ssk32. Tackled by Solomon Elimimian.,14,31
03:34,1,Incomplete Pass,0,Darian Durant incomplete pass intended for Taj Smith.,14,31
03:13,2,Pass,13,Darian Durant pass to Taj Smith for 13 yards to the Ssk45. Tackled by Dante Marsh.,14,31
02:45,1,Pass,9,Darian Durant pass to Taj Smith for 9 yards to the Ssk54. Tackled by Cameron Chism.,14,31
01:58,2,Rush,4,Kory Sheets rush for 4 yards to the BC52. Tackled by Chris Wilson.,14,31
01:37,1,Sack,-3,Sack at Ssk55 for a loss of 3 yards by Khreem Smith.,14,31
00:42,2,Incomplete Pass,0,Darian Durant incomplete pass.,14,31
00:28,3,Punt,10,Ricky Schmitt punts for 39 yards to BC16. Stefan Logan return for 10 yards to BC26. Tackled by Neal Hughes.,14,31
00:01,1,Pass,9,Thomas DeMarco pass to Nick Moore for 9 yards to the BC35. Tackled by Terrell Maze.,14,31
15:00,2,Rush,-1,Stefan Logan rush for a loss of 1 yard to the BC34. Tackled by Craig Butler.,14,31
14:23,3,Punt,11,Paul McCallum punts for 38 yards to Ssk38. Jock Sanders return for 11 yards to Ssk49. Tackled by Lin-J Shell.,14,31
14:02,1,Incomplete Pass,0,Darian Durant incomplete pass intended for Taj Smith.,14,31
13:45,0,Holding,-10,Penalty: Holding on Saskatchewan (Devin Tyler) -10 yards.,14,31
13:13,2,Rush,16,Darian Durant rush for 16 yards to the Ssk55. Tackled by J.R. LaRose.,14,31
11:12,3,Punt Single,70,Ricky Schmitt punts for 70 yards to BC0 (Single).,14,32
12:22,1,Incomplete Pass,0,Thomas DeMarco incomplete pass intended for Marco Iannuzzi.,14,32
12:12,2,Face Mask,-3,Thomas DeMarco pass INTERCEPTED by Tristan Jackson and returned for 12 yards. Tackled by Andrew Harris. Penalty: Face Mask on Saskatchewan (Diamond Ferri) -15 yards.,14,32
11:38,1,Rush,12,Kory Sheets rush for 12 yards to the BC51. Tackled by J.R. LaRose.,14,32
10:57,1,Incomplete Pass,0,Darian Durant incomplete pass intended for Taj Smith.,14,32
10:40,2,Rush,6,Kory Sheets rush for 6 yards to the BC45. Tackled by Lin-J Shell.,14,32
10:06,3,Illegal Participation,19,Ricky Schmitt punts for 32 yards to BC13. Stefan Logan return for 9 yards to BC22. Tackled by Paul Woldu. Penalty: Illegal Participation on Saskatchewan (Paul Woldu) 10 yards.,14,32
09:26,1,Pass,11,Thomas DeMarco pass to Andrew Harris for 11 yards to the BC43. Tackled by Craig Butler.,14,32
08:58,0,Roughing Passer,15,Penalty: Roughing Passer on Saskatchewan (Craig Butler) 15 yards.,14,32
08:17,1,Incomplete Pass,0,Thomas DeMarco incomplete pass intended for Shawn Gore.,14,32
08:11,2,Interception,0,Thomas DeMarco pass intended for Shawn Gore INTERCEPTED by Dwight Anderson. No return. Tackled by Shawn Gore.,14,32
07:49,1,Rush,2,Kory Sheets rush for 2 yards to the Ssk46. Tackled by Anton McKenzie.,14,32
06:57,2,Pass,9,Darian Durant pass to Taj Smith for 9 yards to the Ssk55. Tackled by Anton McKenzie.,14,32
06:32,0,Holding,-10,Penalty: Holding on Saskatchewan (Xavier Fulton) -10 yards.,14,32
05:52,1,Incomplete Pass,0,Darian Durant incomplete pass intended for Weston Dressler.,14,32
05:34,2,Pass,1,Darian Durant pass to Kory Sheets for 1 yard to the Ssk46. Tackled by Adam Bighill.,14,32
05:00,3,Illegal Block,-8,Ricky Schmitt punts for 41 yards to BC23. Stefan Logan return for 2 yards to BC25. Tackled by Graig Newman. Penalty: Illegal Block on BC (Cord Parks) -10 yards.,14,32
04:25,1,Sack,-10,Sack at BC5 for a loss of 10 yards by John Chick.,14,32
03:51,2,Offside,-5,Penalty: Offside on Saskatchewan (Ricky Foley) -5 yards.,14,32
03:16,2,Pass,17,Thomas DeMarco pass to Andrew Harris for 17 yards to the BC27. Tackled by Terrell Maze.,14,32
02:55,1,Incomplete Pass,0,Thomas DeMarco incomplete pass intended for Nick Moore.,14,32
02:37,2,Pass,7,Thomas DeMarco pass to Shawn Gore for 7 yards to the BC34. Tackled by Weldon Brown.,14,32
02:25,3,Incomplete Pass,0,Thomas DeMarco incomplete pass intended for Andrew Harris.,14,32
02:04,1,Rush,-1,Kory Sheets rush for a loss of 1 yard to the BC35. Tackled by Cord Parks.,14,32
01:58,2,Rush,4,Kory Sheets rush for 4 yards to the BC31. Tackled by Jabar Westerman.,14,32
01:30,3,Missed Field Goal,38,Chris Milo 38 yard field goal attempt is GOOD.,14,35
01:30,1,Incomplete Pass,0,Thomas DeMarco incomplete pass intended for Andrew Harris.,14,35
01:25,2,Incomplete Pass,0,Thomas DeMarco incomplete pass intended for Courtney Taylor.,14,35
01:19,3,Punt,5,Paul McCallum punts for 36 yards to Ssk39. Jock Sanders return for 5 yards to Ssk44. Tackled by Adam Bighill.,14,35
01:09,1,Rush,1,Kory Sheets rush for 1 yard to the Ssk45. Tackled by Dante Marsh.,14,35
00:47,2,Rush,3,Kory Sheets rush for 3 yards to the Ssk48. Tackled by Keron Williams.,14,35
00:39,3,Punt,1,Ricky Schmitt punts for 38 yards to BC24. Stefan Logan return for 1 yard to BC25. Tackled by Brian Peters.,14,35
00:12,1,Rush,4,Andrew Harris rush for 4 yards to the BC29. Tackled by Graig Newman.,14,35
00:01,2,Rush,14,Andrew Harris rush for 14 yards to the BC43. Tackled by Mike McCullough.,14,35
