Time,Down,Type,Yards,Details,Hamilton,Saskatchewan
15:00,0,Kickoff,15,Ricky Schmitt kicks off to the Ham25. C.J. Gable return for 15 yards to Ham40. Tackled by Brian Peters.,0,0
14:52,1,Pass,7,Henry Burris pass to Samuel Giguere for 7 yards to the Ham47. Tackled by Dwight Anderson.,0,0
14:31,2,Pass,2,Henry Burris pass to C.J. Gable for 2 yards to the Ham49. Tackled by Craig Butler.,0,0
14:00,3,Punt,10,Josh Bartel punts for 45 yards to Ssk16. Jock Sanders return for 10 yards to Ssk26. Tackled by  .,0,0
13:43,1,Rush,1,Kory Sheets rush for 1 yard to the Ssk27. Tackled by Marcellus Bowman.,0,0
13:13,0,Sack,-9,"FUMBLE Sack at Ssk18 for a loss of 9 yards by Brandon Boudreaux., recovered by Ssk (Darian Durant).",0,0
12:54,3,Punt,6,Ricky Schmitt punts for 43 yards to Ham49. Brandon Banks return for 6 yards to Ham55. Tackled by Neal Hughes.,0,0
12:12,1,Pass,8,Henry Burris pass to Andy Fantuz for 8 yards to the Ssk47. Tackled by Craig Butler.,0,0
11:51,2,Rush,3,C.J. Gable rush for 3 yards to the Ssk44. Tackled by Weldon Brown.,0,0
11:05,1,Pass,6,Henry Burris pass to Andy Fantuz for 6 yards to the Ssk38. Tackled by Terrell Maze.,0,0
10:28,2,Incomplete Pass,0,Henry Burris incomplete pass intended for Luke Tasker.,0,0
09:44,3,Missed Field Goal,45,Luca Congi 45 yard field goal attempt is GOOD.,3,0
09:44,1,Incomplete Pass,0,Darian Durant incomplete pass intended for Chris Getzlaf.,3,0
09:26,2,Fumble,42,"Darian Durant rush for 3 yards to the Ssk38. FUMBLE, recovered by Ssk (Kory Sheets). . Tackled by Arthur Hobbs",3,0
08:59,1,Offside,5,Penalty: Offside on Hamilton (Jamall Johnson) 5 yards.,3,0
08:48,1,Rush,2,Kory Sheets rush for 2 yards to the Ham26. Tackled by Simoni Lawrence.,3,0
08:26,2,Rush,10,Darian Durant rush for 10 yards to the Ham16. Tackled by Emanuel Davis.,3,0
07:54,1,Rush,1,Jock Sanders rush for 1 yard to the Ham15. Tackled by Jamall Johnson.,3,0
