Time,Down,Type,Yards,Details,BC,Saskatchewan
02:26,1,Incomplete Pass,0,Travis Lulay incomplete pass intended for Emmanuel Arceneaux.,14,13
02:00,2,Rush,10,Travis Lulay rush for 10 yards to the Ssk46. Tackled by Craig Butler.,14,13
01:51,1,Pass,18,Travis Lulay pass to Nick Moore for 18 yards to the Ssk28. Tackled by Rod Williams.,14,13
01:45,1,Pass,5,Travis Lulay pass to Paris Jackson for 5 yards to the Ssk23. Tackled by Tyron Brackenridge.,14,13
01:37,2,Pass,2,Travis Lulay pass to Paris Jackson for 2 yards to the Ssk21. Tackled by Terrell Maze.,14,13
01:13,3,Missed Field Goal,29,Paul McCallum 29 yard field goal attempt is GOOD.,17,13
01:13,1,Pass,1,Darian Durant pass to Weston Dressler for 1 yard to the Ssk36. Tackled by Ryan Phillips.,17,13
01:05,2,Pass,14,Darian Durant pass to Eron Riley for 14 yards to the Ssk50. Tackled by  .,17,13
00:43,1,Sack,-1,Sack at Ssk49 for a loss of 1 yard by Jabar Westerman.,17,13
00:36,0,Pass Interference,13,Penalty: Pass Interference on BC (J.R. LaRose) 13 yards.,17,13
00:17,1,Pass,43,Darian Durant pass to Taj Smith for 43 yards to the BC5. Tackled by Dante Marsh.,17,13
00:09,1,Unnecessary Roughness,2,Darian Durant rush for no gain to the BC5. Tackled by Adam Bighill. Penalty: Unnecessary Roughness on BC (Adam Bighill) 2 yards.,17,13
00:00,1,Missed Field Goal,10,Chris Milo 10 yard field goal attempt is GOOD.,17,16
15:00,0,Kickoff,13,Ricky Schmitt kicks off to the BC20. Stefan Logan return for 13 yards to BC33. Tackled by Graig Newman.,17,16
14:54,1,Rush,7,Andrew Harris rush for 7 yards to the BC40. Tackled by Dwight Anderson.,17,16
14:28,2,Rush,15,Andrew Harris rush for 15 yards to the BC55. Tackled by Tyron Brackenridge.,17,16
13:53,1,Rush,5,Stefan Logan rush for 5 yards to the Ssk50. Tackled by Alex Hall.,17,16
13:18,2,Rush,16,Travis Lulay rush for 16 yards to the Ssk34. Tackled by Craig Butler.,17,16
12:34,1,Pass,12,Travis Lulay pass to Emmanuel Arceneaux for 12 yards to the Ssk22. Tackled by Tristan Jackson.,17,16
11:48,0,Rush,21,"FUMBLE Stefan Logan rush for 21 yards to the Ssk1., recovered by BC (Paris Jackson).",17,16
11:01,1,Offside,0,Penalty: Offside on Saskatchewan (Mike McCullough) 0 yards.,17,16
10:33,1,Rush,1,Thomas DeMarco rush for 1 yard for a TOUCHDOWN.,23,16
10:16,0,Made Extra Point,0,Paul McCallum extra point is good.,24,16
10:16,0,Kickoff,11,Paul McCallum kicks off to the Ssk20. Jock Sanders return for 11 yards to Ssk31. Tackled by Cord Parks.,24,16
10:09,1,Rush,2,rush for 2 yards to the Ssk33. Tackled by Cord Parks.,24,16
09:32,2,Pass,2,Darian Durant pass to   for 2 yards to the Ssk35. Tackled by Dante Marsh.,24,16
09:10,3,Punt,3,Ricky Schmitt punts for 38 yards to BC37. Stefan Logan return for 3 yards to BC40. Tackled by Brian Peters.,24,16
08:57,1,Pass,7,Travis Lulay pass to Shawn Gore for 7 yards to the BC47. Tackled by Ricky Foley.,24,16
08:32,2,Rush,4,Andrew Harris rush for 4 yards to the BC51. Tackled by Weldon Brown.,24,16
07:53,1,Pass,19,Travis Lulay pass to Nick Moore for 19 yards to the Ssk40. Tackled by Terrell Maze.,24,16
07:06,0,Holding,-10,Penalty: Holding on BC (Paris Jackson) -10 yards.,24,16
06:23,1,Sack,-1,Sack at Ssk51 for a loss of 1 yard by Ricky Foley.,24,16
05:50,2,Incomplete Pass,0,Travis Lulay incomplete pass intended for Emmanuel Arceneaux defensed by Dwight Anderson.,24,16
05:19,3,Punt,12,Paul McCallum punts for 34 yards to Ssk17. Jock Sanders return for 12 yards to Ssk29. Tackled by Adam Bighill.,24,16
05:00,0,Sack,-6,FUMBLE Sack at Ssk29 for no gain by Khreem Smith. . Tackled by Khreem Smith,24,16
04:23,2,Pass,19,Darian Durant pass to Taj Smith for 19 yards to the Ssk42. Tackled by  .,24,16
04:00,1,Incomplete Pass,0,Darian Durant incomplete pass intended for Taj Smith.,24,16
03:35,2,Pass,8,Darian Durant pass to Eron Riley for 8 yards to the Ssk50. Tackled by  .,24,16
03:02,3,Rush,1,rush for 1 yard to the Ssk51. Tackled by Adam Bighill.,24,16
02:50,1,Rush,-1,Stefan Logan rush for a loss of 1 yard to the Ssk52. Tackled by Weldon Brown.,24,16
02:21,2,Rush,7,Andrew Harris rush for 7 yards to the Ssk45. Tackled by Tyron Brackenridge.,24,16
01:03,3,Punt Single,52,Paul McCallum punts for 52 yards to Ssk0 (Single).,25,16
02:21,2,Rush,7,Andrew Harris rush for 7 yards to the Ssk45. Tackled by Tyron Brackenridge.,24,16
01:03,1,Pass,14,Darian Durant pass to Weston Dressler for 14 yards to the Ssk49. Tackled by Lin-J Shell.,25,16
00:39,1,Rush,1,rush for 1 yard to the Ssk50. Tackled by Jermaine Reid.,25,16
00:01,2,Rush,15,Darian Durant rush for 15 yards to the BC45. Tackled by Ryan Phillips.,25,16
15:00,1,Incomplete Pass,0,Darian Durant incomplete pass intended for Geroy Simon.,25,16
14:45,2,Rush,35,Darian Durant rush for 35 yards to the BC10.,25,16
13:57,1,Rush,0,rush for no gain to the BC10. Tackled by  .,25,16
13:15,2,Pass,10,Darian Durant pass to Weston Dressler for 10 yards for a TOUCHDOWN.,25,22
13:02,0,Made Extra Point,0,Chris Milo extra point is good.,25,23
13:02,0,Kickoff,19,Ricky Schmitt kicks off to the BC17. Stefan Logan return for 19 yards to BC36. Tackled by Craig Butler.,25,23
12:53,1,Rush,7,Stefan Logan rush for 7 yards to the BC43. Tackled by Alex Hall.,25,23
12:24,2,Rush,7,Andrew Harris rush for 7 yards to the BC50. Tackled by Craig Butler.,25,23
11:38,1,Pass,5,Travis Lulay pass to Emmanuel Arceneaux for 5 yards to the BC55. Tackled by Weldon Brown.,25,23
11:05,2,Incomplete Pass,0,Travis Lulay incomplete pass intended for Emmanuel Arceneaux.,25,23
10:29,3,Punt,5,Paul McCallum punts for 37 yards to Ssk18. Jock Sanders return for 5 yards to Ssk23. Tackled by Seydou Junior Haidara.,25,23
10:01,1,Pass,9,Darian Durant pass to Neal Hughes for 9 yards to the Ssk32. Tackled by Chris Wilson.,25,23
09:29,2,Rush,12,rush for 12 yards to the Ssk44. Tackled by Josh Bell.,25,23
09:04,1,Rush,4,rush for 4 yards to the Ssk48. Tackled by Adam Bighill.,25,23
08:27,2,Rush,10,rush for 10 yards to the BC52. Tackled by Josh Bell.,25,23
07:44,1,Rush,5,Jock Sanders rush for 5 yards to the BC47. Tackled by J.R. LaRose.,25,23
06:58,2,Pass,7,Darian Durant pass to Weston Dressler for 7 yards to the BC40. Tackled by  .,25,23
06:35,1,Rush,2,rush for 2 yards to the BC38. Tackled by  .,25,23
05:57,2,Incomplete Pass,0,Darian Durant incomplete pass intended for Rob Bagg.,25,23
04:57,3,Missed Field Goal,45,Chris Milo 45 yard field goal attempt is GOOD.,25,26
04:57,1,Rush,23,Travis Lulay rush for 23 yards to the Ssk52. Tackled by Weldon Brown.,25,26
04:24,1,Rush,4,Stefan Logan rush for 4 yards to the Ssk48. Tackled by Keith Shologan.,25,26
03:46,2,Incomplete Pass,0,Travis Lulay incomplete pass intended for Andrew Harris.,25,26
03:07,3,Punt,6,Paul McCallum punts for 31 yards to Ssk17. Jock Sanders return for 6 yards to Ssk23. Tackled by Lin-J Shell.,25,26
02:56,1,Rush,0,rush for no gain to the Ssk23. Tackled by  .,25,26
02:36,2,Rush,28,Darian Durant rush for 28 yards to the Ssk51. Tackled by Cord Parks.,25,26
02:10,1,Unnecessary Roughness,17,rush for 2 yards to the Ssk53. Tackled by Chris Wilson. Penalty: Unnecessary Roughness on BC (Chris Wilson) 15 yards.,25,26
01:47,1,Rush,3,rush for 3 yards to the BC39. Tackled by  .,25,26
01:42,2,Rush,13,Darian Durant rush for 13 yards to the BC26.,25,26
01:18,1,Rush,2,rush for 2 yards to the BC24. Tackled by Chris Wilson.,25,26
00:56,2,Pass,3,Darian Durant pass to Rob Bagg for 3 yards to the BC21. Tackled by  .,25,26
00:28,3,Missed Field Goal,28,Chris Milo 28 yard field goal attempt is GOOD.,25,29
00:28,1,Pass,8,Travis Lulay pass to Andrew Harris for 8 yards to the BC43. Tackled by Tristan Jackson.,25,29
00:19,2,Pass,2,Travis Lulay pass to Nick Moore for 2 yards to the BC45. Tackled by Terrell Maze.,25,29
00:01,0,Pass,5,", recovered by Ssk (Tyron Brackenridge). Travis Lulay pass to Emmanuel Arceneaux for 5 yards to the BC40. Tackled by Courtney Taylor.",25,29
