Time,Down,Type,Yards,Details,Edmonton,Saskatchewan
15:00,0,Kickoff,27,Ricky Schmitt kicks off to the Edm16. Jamal Miles return for 27 yards to Edm43. Tackled by Brian Peters.,0,0
14:54,1,Rush,4,Hugh Charles rush for 4 yards to the Edm47. Tackled by Ricky Foley.,0,0
14:30,2,Incomplete Pass,0,Mike Reilly incomplete pass intended for Adarius Bowman.,0,0
14:09,3,Punt,5,Grant Shaw punts for 55 yards to Ssk8. Jock Sanders return for 5 yards to Ssk13. Tackled by Donovan Richard.,0,0
13:47,1,Incomplete Pass,0,Drew Willy incomplete pass intended for Chris Garrett.,0,0
13:29,2,Incomplete Pass,0,Drew Willy incomplete pass intended for Taj Smith.,0,0
13:09,3,Punt,5,Ricky Schmitt punts for 41 yards to Ssk54. Jamal Miles return for 5 yards to Ssk49. Tackled by Scott McHenry.,0,0
12:48,1,Incomplete Pass,0,Mike Reilly incomplete pass intended for Adarius Bowman.,0,0
12:38,2,Incomplete Pass,0,Mike Reilly incomplete pass intended for Jamal Miles.,0,0
12:14,3,Unnecessary Roughness,48,Grant Shaw punts for 48 yards to Ssk1. Penalty: Unnecessary Roughness on Saskatchewan ( ) 0 yards.,0,0
11:49,1,Offside,5,Penalty: Offside on Edmonton (Ted Laurent) 5 yards.,0,0
11:35,1,Rush,8,Chris Garrett rush for 8 yards to the Ssk14. Tackled by T.J. Hill.,0,0
11:15,1,Incomplete Pass,0,Drew Willy incomplete pass intended for Taj Smith.,0,0
10:54,2,Pass,13,Drew Willy pass to Taj Smith for 13 yards to the Ssk27.,0,0
10:25,1,Rush,3,Chris Garrett rush for 3 yards to the Ssk30. Tackled by Eddie Steele.,0,0
10:06,2,Incomplete Pass,0,Drew Willy incomplete pass intended for Eron Riley.,0,0
09:41,3,Punt,8,Ricky Schmitt punts for 29 yards to Edm51. Jamal Miles return for 8 yards to Ssk51. Tackled by Daryl Stephenson.,0,0
09:19,1,Rush,11,Mike Reilly rush for 11 yards to the Ssk40. Tackled by Craig Butler.,0,0
08:59,1,Rush,22,Jamal Miles rush for 22 yards to the Ssk18. Tackled by Dwight Anderson.,0,0
08:28,1,Incomplete Pass,0,Mike Reilly incomplete pass intended for Nate Coehoorn defensed by Carlos Thomas.,0,0
08:02,2,Incomplete Pass,0,Mike Reilly incomplete pass intended for Carlton Mitchell defensed by Dwight Anderson.,0,0
07:25,3,Missed Field Goal,25,Grant Shaw 25 yard field goal attempt is GOOD.,3,0
07:25,1,Rush,14,Chris Garrett rush for 14 yards to the Ssk49. Tackled by Marcell Young.,3,0
