Time,Down,Type,Yards,Details,Saskatchewan,Calgary
04:27,1,Pass,10,Kevin Glenn pass to Nik Lewis for 10 yards to the Cgy55. Tackled by Craig Butler.,7,16
03:44,1,Rush,11,Jon Cornish rush for 11 yards to the Ssk44. Tackled by Renauld Williams.,7,16
03:00,1,Pass,6,Kevin Glenn pass to Marquay McDaniel for 6 yards to the Ssk38. Tackled by Macho Harris.,7,16
02:46,2,Pass,6,Kevin Glenn pass to Greg Carr for 6 yards to the Ssk32. Tackled by Craig Butler.,7,16
02:06,1,Rush,32,Jon Cornish rush for 32 yards for a TOUCHDOWN.,7,22
02:06,0,Unnecessary Roughness,-15,Rene Paredes extra point is good. Penalty: Unnecessary Roughness on Calgary (Randy Chevrier) -15 yards.,7,23
02:06,0,Kickoff,16,Rene Paredes kicks off to the Ssk30. Jock Sanders return for 16 yards to Ssk46. Tackled by Yannick Carter.,7,23
01:59,1,Incomplete Pass,0,Darian Durant incomplete pass intended for Taj Smith.,7,23
01:54,2,Incomplete Pass,0,Darian Durant incomplete pass intended for Chris Getzlaf.,7,23
01:50,3,Punt,0,Ricky Schmitt punts for 50 yards to Cgy14. Larry Taylor return for no gain to Cgy14. Tackled by Diamond Ferri.,7,23
01:40,0,Unnecessary Roughness,15,Penalty: Unnecessary Roughness on Saskatchewan (Macho Harris) 15 yards.,7,23
01:36,1,Pass,7,Kevin Glenn pass to   for 7 yards to the Cgy36. Tackled by Prince Miller.,7,23
01:30,2,Rush,5,Matt Walter rush for 5 yards to the Cgy41. Tackled by Renauld Williams.,7,23
01:26,1,Rush,5,Matt Walter rush for 5 yards to the Cgy46. Tackled by Keith Shologan.,7,23
01:15,2,Pass,5,Kevin Glenn pass to Nik Lewis for 5 yards to the Cgy51. Tackled by Weldon Brown.,7,23
00:55,3,Rush,2,Bo Levi Mitchell rush for 2 yards to the Cgy53. Tackled by Tearrius George.,7,23
00:45,1,Rush,10,Kevin Glenn rush for 10 yards to the Ssk47. Tackled by Dwight Anderson.,7,23
00:28,1,Incomplete Pass,0,Kevin Glenn incomplete pass intended for Marquay McDaniel.,7,23
00:16,2,Pass,5,Kevin Glenn pass to Marquay McDaniel for 5 yards to the Ssk42. Tackled by Dwight Anderson.,7,23
00:10,3,Pass,19,Kevin Glenn pass to Nik Lewis for 19 yards to the Ssk23. Tackled by Tyron Brackenridge.,7,23
00:00,1,Missed Field Goal,30,Rene Paredes 30 yard field goal attempt is GOOD.,7,26
15:00,0,Kickoff,24,Rene Paredes kicks off to the Ssk15. Jock Sanders return for 24 yards to Ssk39. Tackled by Keon Raymond.,7,26
14:54,1,Rush,32,Kory Sheets rush for 32 yards to the Cgy39. Tackled by  .,7,26
14:13,1,Rush,4,Kory Sheets rush for 4 yards to the Cgy35. Tackled by Charleston Hughes.,7,26
13:51,2,Pass,10,Darian Durant pass to Weston Dressler for 10 yards to the Cgy25. Tackled by  .,7,26
13:12,1,Pass,4,Darian Durant pass to Taj Smith for 4 yards to the Cgy21. Tackled by Keon Raymond.,7,26
12:39,2,Incomplete Pass,0,Darian Durant incomplete pass intended for Chris Getzlaf defensed by Keon Raymond.,7,26
12:05,3,Missed Field Goal,28,Chris Milo 28 yard field goal attempt is GOOD.,10,26
12:05,1,Rush,0,Jon Cornish rush for no gain to the Cgy35. Tackled by Dwight Anderson.,10,26
11:24,2,Incomplete Pass,0,Kevin Glenn incomplete pass intended for Nik Lewis.,10,26
11:05,3,Punt,6,Rob Maver punts for 46 yards to Ssk29. Jock Sanders return for 6 yards to Ssk35. Tackled by Alvin Bowen.,10,26
10:40,1,Pass,14,Darian Durant pass to Taj Smith for 14 yards to the Ssk49. Tackled by Demetrice Morley.,10,26
10:05,1,Pass,44,Darian Durant pass to Taj Smith for 44 yards to the Cgy17.,10,26
09:58,1,Rush,5,Kory Sheets rush for 5 yards to the Cgy12. Tackled by Junior Turner.,10,26
09:21,2,Pass,9,Darian Durant pass to Rob Bagg for 9 yards to the Cgy3. Tackled by Fred Bennett.,10,26
08:16,1,Pass,3,Darian Durant pass to Chris Getzlaf for 3 yards for a TOUCHDOWN.,16,26
08:07,0,Made Extra Point,0,Chris Milo extra point is good.,17,26
08:07,0,Kickoff,20,Ricky Schmitt kicks off to the Cgy9. Larry Taylor return for 20 yards to Cgy29. Tackled by Diamond Ferri.,17,26
08:01,1,Pass,12,Kevin Glenn pass to   for 12 yards to the Cgy41. Tackled by Dwight Anderson.,17,26
07:41,1,Pass,4,Kevin Glenn pass to Jon Cornish for 4 yards to the Cgy45. Tackled by Dwight Anderson.,17,26
06:55,2,Incomplete Pass,0,Kevin Glenn incomplete pass intended for Larry Taylor defensed by Tyron Brackenridge.,17,26
06:32,3,Punt,4,Rob Maver punts for 46 yards to Ssk19. Jock Sanders return for 4 yards to Ssk23. Tackled by Justin Phillips.,17,26
06:08,1,Rush,26,Kory Sheets rush for 26 yards to the Ssk49. Tackled by Brandon Smith.,17,26
05:30,1,Incomplete Pass,0,Darian Durant incomplete pass intended for Taj Smith.,17,26
05:14,2,Incomplete Pass,0,Darian Durant incomplete pass.,17,26
04:53,3,Punt,1,Ricky Schmitt punts for 43 yards to Cgy18. Larry Taylor return for 1 yard to Cgy19. Tackled by Tristan Black.,17,26
04:38,1,Pass,-1,Kevin Glenn pass to Jon Cornish for a loss of 1 yard to the Cgy18. Tackled by Tearrius George.,17,26
04:00,2,Sack,-9,Sack at Cgy9 for a loss of 9 yards by John Chick.,17,26
03:25,3,Punt,6,Rob Maver punts for 43 yards to Cgy52. Jock Sanders return for 6 yards to Cgy46. Tackled by Justin Phillips.,17,26
03:07,1,Rush,21,Kory Sheets rush for 21 yards to the Cgy25. Tackled by Brandon Smith.,17,26
02:40,1,Incomplete Pass,0,Darian Durant incomplete pass intended for Weston Dressler defensed by Keon Raymond.,17,26
02:20,2,Rush,14,Darian Durant rush for 14 yards to the Cgy11. Tackled by Deron Mayo.,17,26
01:32,1,Pass,5,Darian Durant pass to Neal Hughes for 5 yards to the Cgy6. Tackled by Karl McCartney.,17,26
01:17,2,Incomplete Pass,0,Darian Durant incomplete pass intended for Taj Smith.,17,26
00:42,3,Missed Field Goal,13,Chris Milo 13 yard field goal attempt is GOOD.,20,26
00:42,1,Pass,14,Kevin Glenn pass to   for 14 yards to the Cgy49. Tackled by Prince Miller.,20,26
00:03,1,Rush,2,Jon Cornish rush for 2 yards to the Cgy51. Tackled by Tearrius George.,20,26
15:00,2,Incomplete Pass,0,Kevin Glenn incomplete pass intended for Marquay McDaniel.,20,26
14:45,3,Punt,5,Rob Maver punts for 41 yards to Ssk18. Jock Sanders return for 5 yards to Ssk23. Tackled by Rob Cote.,20,26
14:19,1,Rush,7,Kory Sheets rush for 7 yards to the Ssk30. Tackled by Juwan Simpson.,20,26
13:37,2,Sack,-5,Sack at Ssk25 for a loss of 5 yards by Demonte' Bolden.,20,26
12:56,3,Punt,16,Ricky Schmitt punts for 50 yards to Cgy35. Larry Taylor return for 16 yards to Cgy51. Tackled by Levi Steinhauer.,20,26
12:39,1,Rush,4,Jon Cornish rush for 4 yards to the Cgy55. Tackled by Tearrius George.,20,26
12:10,2,Incomplete Pass,0,Kevin Glenn incomplete pass intended for   defensed by Macho Harris.,20,26
11:46,3,Punt,5,Rob Maver punts for 55 yards to Ssk0. Jock Sanders return for 5 yards to Ssk5. Tackled by Ben D'Aguilar.,20,26
11:18,1,Sack,-4,Sack at Ssk1 for a loss of 4 yards by Karl McCartney.,20,26
10:15,2,Safety,-1,Sack at Ssk0 for a loss of 1 yard by Demonte' Bolden. Safety.,20,28
10:15,0,Kickoff OOB,30,Ricky Schmitt kicks off to the Cgy25. Penalty: Kickoff OOB on Saskatchewan (Ricky Schmitt) -30 yards.,20,28
10:15,1,Pass,15,Kevin Glenn pass to Nik Lewis for 15 yards to the Ssk40. Tackled by Dwight Anderson.,20,28
09:34,1,Pass,15,Kevin Glenn pass to Nik Lewis for 15 yards to the Ssk25. Tackled by Craig Butler.,20,28
08:30,1,Pass,25,Kevin Glenn pass to Nik Lewis for 25 yards for a TOUCHDOWN.,20,34
08:10,0,Made Extra Point,0,Rene Paredes extra point is good.,20,35
08:10,0,Kickoff,79,Rene Paredes kicks off to the Ssk0.,20,35
08:09,0,Pass Interference,10,Penalty: Pass Interference on Calgary (Demetrice Morley) 10 yards.,20,35
07:55,1,Pass,9,Darian Durant pass to Weston Dressler for 9 yards to the Ssk44. Tackled by  .,20,35
07:15,2,Rush,7,Kory Sheets rush for 7 yards to the Ssk51. Tackled by Charleston Hughes.,20,35
06:47,1,Pass,20,Darian Durant pass to Geroy Simon for 20 yards to the Cgy39. Tackled by Fred Bennett.,20,35
06:16,1,Rush,8,Kory Sheets rush for 8 yards to the Cgy31. Tackled by Fred Bennett.,20,35
06:03,2,Rush,8,Kory Sheets rush for 8 yards to the Cgy23. Tackled by Juwan Simpson.,20,35
05:11,1,Pass,23,Darian Durant pass to Jock Sanders for 23 yards for a TOUCHDOWN.,26,35
05:01,0,Made Extra Point,0,Chris Milo extra point is good.,27,35
05:01,0,Kickoff,20,Ricky Schmitt kicks off to the Cgy6. Larry Taylor return for 20 yards to Cgy26. Tackled by Levi Steinhauer.,27,35
04:53,1,Face Mask,22,Kevin Glenn pass to Marquay McDaniel for 7 yards to the Cgy33. Tackled by Dwight Anderson. Penalty: Face Mask on Saskatchewan (Dwight Anderson) 15 yards.,27,35
04:30,1,Fumble,8,"Kevin Glenn pass to   for 8 yards to the Ssk54. FUMBLE, recovered by Cgy ( ).",27,35
04:08,2,Rush,53,Jon Cornish rush for 53 yards to the Ssk1. Tackled by Dwight Anderson.,27,35
03:10,1,Unnecessary Roughness,0,FUMBLE Recovered by Cgy (Bo Levi Mitchell) Penalty: Objectionable Conduct on Calgary (Jon Cornish) 0 yards Penalty: Unnecessary Roughness on Saskatchewan (John Chick) 1 yards,27,35
02:39,1,Objectionable Conduct,-9,Jon Cornish rush for 1 yard for a TOUCHDOWN. Penalty: Objectionable Conduct on Calgary (Jon Cornish) -10 yards.,27,41
02:34,0,Made Extra Point,0,Rene Paredes extra point is good.,27,42
02:34,0,Kickoff,25,Rene Paredes kicks off to the Ssk15. Diamond Ferri return for 25 yards to Ssk40. Tackled by Justin Phillips.,27,42
02:28,1,Pass,7,Darian Durant pass to Kory Sheets for 7 yards to the Ssk47. Tackled by Deron Mayo.,27,42
02:17,2,Rush,18,Darian Durant rush for 18 yards to the Cgy45. Tackled by Deron Mayo.,27,42
02:03,1,Pass,5,Darian Durant pass to Kory Sheets for 5 yards to the Cgy40. Tackled by Karl McCartney.,27,42
01:52,2,Pass,4,Darian Durant pass to Taj Smith for 4 yards to the Cgy36. Tackled by Juwan Simpson.,27,42
01:41,3,Rush,7,Kory Sheets rush for 7 yards to the Cgy29. Tackled by Junior Turner.,27,42
01:33,1,Fumble,-1,"Sack at Cgy30 for a loss of 1 yard by Chris Randle. FUMBLE, recovered by Cgy (Karl McCartney). Tackled by Chris Best.",27,42
01:20,1,Rush,5,Matt Walter rush for 5 yards to the Cgy35. Tackled by Tearrius George.,27,42
01:16,2,Rush,8,Matt Walter rush for 8 yards to the Cgy43. Tackled by Craig Butler.,27,42
