Time,Down,Type,Yards,Details,Calgary,Saskatchewan
08:35,3,Punt Single,0,Rob Maver punts for 63 yards to Ssk0. No return. Rob Maver 0 yard punt single attempt is GOOD.,11,7
08:30,1,Rush,5,Kory Sheets rush for 5 yards to the Ssk40. Tackled by Cordarro Law.,11,7
07:56,2,Incomplete Pass,0,Darian Durant incomplete pass intended for Weston Dressler defensed by Jamar Wall.,11,7
07:39,3,No Yards,47,Ricky Schmitt punts for 52 yards to Cgy18. Penalty: No Yards on Saskatchewan (Samuel Hurl) -5 yards.,11,7
07:18,1,Rush,5,Jon Cornish rush for 5 yards to the Cgy28. Tackled by John Chick.,11,7
06:48,2,Pass,11,Drew Tate pass to Jabari Arthur for 11 yards to the Cgy39. Tackled by Renauld Williams.,11,7
06:32,1,Rush,4,Jon Cornish rush for 4 yards to the Cgy43. Tackled by Renauld Williams.,11,7
06:02,2,Incomplete Pass,0,Drew Tate incomplete pass intended for Jabari Arthur.,11,7
05:35,3,Punt,8,Rob Maver punts for 47 yards to Ssk20. Jock Sanders return for 8 yards to Ssk28. Tackled by Rob Cote.,11,7
05:09,1,Rush,7,Darian Durant rush for 7 yards to the Ssk35. Tackled by Malik Jackson.,11,7
04:47,2,Sack,-7,Sack at Ssk28 for a loss of 7 yards by Shawn Lemon.,11,7
03:50,3,Punt,9,Ricky Schmitt punts for 33 yards to Cgy49. Jonathan Williams return for 9 yards to Ssk52.,11,7
03:25,1,Rush,5,Jon Cornish rush for 5 yards to the Ssk47. Tackled by Craig Butler.,11,7
02:52,2,Rush,11,Jon Cornish rush for 11 yards to the Ssk36. Tackled by Tearrius George.,11,7
02:46,1,Incomplete Pass,0,Drew Tate incomplete pass intended for Marquay McDaniel.,11,7
02:32,2,Pass,8,Drew Tate pass to Maurice Price for 8 yards to the Ssk28. Tackled by Macho Harris.,11,7
02:09,3,Missed Field Goal,35,Rene Paredes 35 yard field goal attempt is GOOD.,14,7
02:09,1,Incomplete Pass,0,Darian Durant incomplete pass intended for Taj Smith.,14,7
02:03,2,Unnecessary Roughness,-20,Penalty: Offside on Saskatchewan (Chris Getzlaf) -5 yards. Penalty: Unnecessary Roughness on Saskatchewan (Dominic Picard) -15 yards.,14,7
01:57,2,Rush,5,Kory Sheets rush for 5 yards to the Ssk20. Tackled by Jamar Wall.,14,7
01:47,3,Fumble,0,"Ricky Schmitt punts for 49 yards to Cgy41. LaMarcus Coker return for no gain to Cgy41. FUMBLE, recovered by Cgy (LaMarcus Coker).",14,7
01:38,1,Incomplete Pass,0,Drew Tate incomplete pass intended for Nik Lewis.,14,7
01:34,2,Pass,9,Drew Tate pass to Maurice Price for 9 yards to the Cgy50. Tackled by Carlos Thomas.,14,7
01:29,3,Rush,1,Bo Levi Mitchell rush for 1 yard to the Cgy51. Tackled by Keith Shologan.,14,7
01:25,1,Pass,5,Drew Tate pass to Nik Lewis for 5 yards to the Ssk54. Tackled by Tyron Brackenridge.,14,7
01:16,2,Incomplete Pass,0,Drew Tate incomplete pass intended for Marquay McDaniel.,14,7
01:03,3,Punt,4,Rob Maver punts for 40 yards to Ssk14. Jock Sanders return for 4 yards to Ssk18. Tackled by Brandon Kinnie.,14,7
00:55,1,Pass,8,Darian Durant pass to Chris Getzlaf for 8 yards to the Ssk26. Tackled by Jonathan Hefney.,14,7
00:48,0,Roughing Passer,15,Penalty: Roughing Passer on Calgary (Micah Johnson) 15 yards.,14,7
00:36,1,Sack,-5,Sack at Ssk36 for a loss of 5 yards by Juwan Simpson.,14,7
00:29,2,Sack,-10,Sack at Ssk26 for a loss of 10 yards by Shawn Lemon.,14,7
00:17,3,Punt,11,Ricky Schmitt punts for 44 yards to Cgy40. Jonathan Williams return for 11 yards to Cgy51. Tackled by Tristan Black.,14,7
15:00,0,Kickoff,24,Rene Paredes kicks off to the Ssk15. Prince Miller return for 24 yards to Ssk39. Tackled by Wilkerson DeSouza.,14,7
15:00,1,Pass,13,Darian Durant pass to Chris Getzlaf for 13 yards to the Ssk52. Tackled by Chris Randle.,14,7
14:05,1,Incomplete Pass,0,Darian Durant incomplete pass.,14,7
13:50,2,Pass,3,Darian Durant pass to Kory Sheets for 3 yards to the Ssk55. Tackled by Brandon Smith.,14,7
13:06,3,Punt,0,Chris Milo punts for 52 yards to Cgy3. No return.,14,7
12:48,1,Rush,0,Matt Walter rush for no gain to the Cgy3. Tackled by John Chick.,14,7
12:14,2,Incomplete Pass,0,Ryan Perrilloux incomplete pass intended for Tim Hawthorne.,14,7
11:40,3,Safety,-3,Safety,14,9
11:40,0,Kickoff,35,Rene Paredes kicks off to the Ssk20. Prince Miller return for 35 yards to Ssk55. Tackled by Jonathan Hefney.,14,9
11:19,1,Pass,19,Darian Durant pass to Chris Getzlaf for 19 yards to the Cgy36. Tackled by Marvin Booker.,14,9
10:37,1,Incomplete Pass,0,Darian Durant incomplete pass intended for Greg Carr.,14,9
10:25,2,Pass,11,Darian Durant pass to Kory Sheets for 11 yards to the Cgy25. Tackled by Karl McCartney.,14,9
09:53,1,Incomplete Pass,0,Darian Durant incomplete pass intended for Greg Carr defensed by Chris Randle.,14,9
09:32,2,Offside,5,Penalty: Offside on Calgary (Micah Johnson) 5 yards.,14,9
09:07,2,Pass,8,Darian Durant pass to Kory Sheets for 8 yards to the Cgy12. Tackled by Deron Mayo.,14,9
08:23,1,Rush,12,Kory Sheets rush for 12 yards for a TOUCHDOWN.,14,15
08:12,0,Made Extra Point,0,Chris Milo extra point is good.,14,16
08:12,0,Objectionable Conduct,13,Chris Milo kicks off to the Cgy9. Jonathan Williams return for 23 yards to Cgy32. Tackled by Ryan Wellman. Penalty: Objectionable Conduct on Calgary (Brandon Kinnie) -10 yards.,14,16
07:52,1,Pass,14,Ryan Perrilloux pass to Khalil Paden for 14 yards to the Cgy36. Tackled by Diamond Ferri.,14,16
07:39,1,Incomplete Pass,0,Ryan Perrilloux incomplete pass intended for Josh Jarboe.,14,16
07:28,2,Sack,-14,Sack at Cgy22 for a loss of 14 yards by Woodny Turenne.,14,16
06:43,3,Punt,0,Rob Maver punts for 41 yards to Ssk47. Prince Miller return for no gain to Ssk47. Tackled by Deron Mayo.,14,16
06:28,1,Pass,4,Darian Durant pass to Scott McHenry for 4 yards to the Ssk51. Tackled by Troy Butler.,14,16
05:50,2,Offside,5,Penalty: Offside on Calgary (Kevin Dixon) 5 yards.,14,16
05:27,2,Rush,50,Kory Sheets rush for 50 yards to the Cgy4. Tackled by Jeff Hecht.,14,16
04:32,1,Pass,4,Darian Durant pass to Scott McHenry for 4 yards for a TOUCHDOWN.,14,22
04:21,0,Made Extra Point,0,Chris Milo extra point is good.,14,23
04:21,0,Kickoff,19,Chris Milo kicks off to the Cgy16. Jonathan Williams return for 19 yards to Cgy35. Tackled by Brian Peters.,14,23
04:12,1,Pass,14,Kevin Glenn pass to Charlie Power for 14 yards to the Cgy49. Tackled by Graig Newman.,14,23
03:40,1,Rush,7,LaMarcus Coker rush for 7 yards to the Ssk54. Tackled by Samuel Hurl.,14,23
03:06,2,Rush,1,LaMarcus Coker rush for 1 yard to the Ssk53. Tackled by Jermaine McElveen.,14,23
02:23,3,Rush,19,Bo Levi Mitchell rush for 19 yards to the Ssk34. Tackled by Diamond Ferri.,14,23
01:47,1,Pass,8,Kevin Glenn pass to Brandon Kinnie for 8 yards to the Ssk26. Tackled by Eddie Russ.,14,23
01:36,2,Rush,6,LaMarcus Coker rush for 6 yards to the Ssk20. Tackled by Samuel Hurl.,14,23
01:10,1,Incomplete Pass,0,Kevin Glenn incomplete pass intended for Brandon Kinnie.,14,23
01:02,2,Pass,12,Kevin Glenn pass to Khalil Paden for 12 yards to the Ssk8. Tackled by Samuel Hurl.,14,23
00:31,1,Pass,5,Kevin Glenn pass to Khalil Paden for 5 yards to the Ssk3. Tackled by Ramzee Robinson.,14,23
15:00,2,Offside,2,Penalty: Offside on Saskatchewan (Antonio Coleman) 2 yards.,14,23
14:19,1,Rush,1,LaMarcus Coker rush for 1 yard for a TOUCHDOWN.,20,23
14:02,0,Made Extra Point,0,Rene Paredes extra point is good.,21,23
14:02,0,Kickoff,2,Rene Paredes kicks off to the Ssk35. Will Davis return for 2 yards to Ssk37. Tackled by Wilkerson DeSouza.,21,23
13:56,1,Pass,20,Drew Willy pass to Greg Carr for 20 yards to the Cgy53. Tackled by Fred Bennett.,21,23
13:37,1,Rush,7,Jock Sanders rush for 7 yards to the Cgy46. Tackled by Romeo Pellum.,21,23
12:53,2,Rush,2,Jock Sanders rush for 2 yards to the Cgy44. Tackled by Cordarro Law.,21,23
12:33,3,Rush,3,Drew Willy rush for 3 yards to the Cgy41. Tackled by Shawn Lemon.,21,23
12:06,1,Rush,1,Drew Willy rush for 1 yard to the Cgy40. Tackled by Cordarro Law.,21,23
11:29,2,Incomplete Pass,0,Drew Willy incomplete pass intended for Jock Sanders.,21,23
11:02,3,Missed Field Goal,29,45 yard field goal attempt by Brody McKnight is NO GOOD.  Missed field goal returned by Jonathan Williams to the Cgy24. Tackled by Jordan Sisco.,21,23
10:31,0,Pass Interference,23,Penalty: Pass Interference on Saskatchewan (Ramzee Robinson) 23 yards.,21,23
10:11,1,Rush,-1,Jonathan Williams rush for a loss of 1 yard to the Cgy46. Tackled by Levi Steinhauer.,21,23
09:24,2,Sack,-9,Sack at Cgy37 for a loss of 9 yards by Levi Steinhauer.,21,23
08:48,3,Punt,0,Rob Maver punts for 32 yards to Ssk41. No return.,21,23
08:32,1,Pass,4,Drew Willy pass to Daryl Stephenson for 4 yards to the Ssk45. Tackled by Troy Butler.,21,23
08:00,2,Incomplete Pass,0,Drew Willy incomplete pass intended for Jock Sanders.,21,23
07:40,3,No Yards,38,Brody McKnight punts for 43 yards to Cgy22. Penalty: No Yards on Saskatchewan (Reshard Langford) -5 yards.,21,23
07:09,1,Pass,10,Bo Levi Mitchell pass to Tim Hawthorne for 10 yards to the Cgy37. Tackled by Prince Miller.,21,23
06:48,2,Fumble,-1,"Bo Levi Mitchell rush for a loss of 1 yard to the Cgy36., recovered by Ssk (Antonio Coleman). FUMBLE",21,23
06:18,1,Rush,7,Jock Sanders rush for 7 yards to the Cgy29. Tackled by Junior Turner.,21,23
05:45,2,Incomplete Pass,0,Drew Willy incomplete pass intended for Eron Riley.,21,23
05:29,0,Fumble,-9,"FUMBLE, recovered by Ssk (Ricky Schmitt). . Tackled by Derrius Brooks",21,23
04:48,0,Pass Interference,27,Penalty: Pass Interference on Saskatchewan (Prince Miller) 27 yards.,21,23
04:03,1,Rush,16,Jonathan Williams rush for 16 yards to the Ssk29. Tackled by Abraham Kromah.,21,23
03:50,1,Rush,0,Jonathan Williams rush for no gain to the Ssk29. Tackled by Ramzee Robinson.,21,23
03:18,2,Offside,-5,Penalty: Offside on Calgary (Brad Sinopoli) -5 yards.,21,23
03:01,2,Pass,12,Bo Levi Mitchell pass to Khalil Paden for 12 yards to the Ssk22. Tackled by Brian Peters.,21,23
02:20,3,Missed Field Goal,29,Rene Paredes 29 yard field goal attempt is GOOD.,24,23
02:20,1,Incomplete Pass,0,Tino Sunseri incomplete pass intended for Greg Carr.,24,23
02:13,2,Sack,-5,Sack at Ssk30 for a loss of 5 yards by Marvin Booker.,24,23
02:08,3,Punt,7,Brody McKnight punts for 44 yards to Cgy36. Jonathan Williams return for 7 yards to Cgy43. Tackled by Paul Woldu.,24,23
01:51,1,Pass,5,Bo Levi Mitchell pass to Khalil Paden for 5 yards to the Cgy48. Tackled by Prince Miller.,24,23
01:47,2,Pass,14,Bo Levi Mitchell pass to Brandon Kinnie for 14 yards to the Ssk48. Tackled by Reshard Langford.,24,23
01:20,1,Rush,13,Jonathan Williams rush for 13 yards to the Ssk35. Tackled by Reshard Langford.,24,23
00:57,1,Rush,1,Jonathan Williams rush for 1 yard to the Ssk34. Tackled by Will Davis.,24,23
00:29,2,Rush,2,Jonathan Williams rush for 2 yards to the Ssk32. Tackled by Woodny Turenne.,24,23
00:03,3,Rush,-9,Jonathan Williams rush for a loss of 9 yards to the Ssk41. Tackled by Abraham Kromah.,24,23
