Time,Down,Type,Yards,Details,Saskatchewan,Edmonton
08:36,3,Punt,13,Grant Shaw punts for 54 yards to Ssk23. Jock Sanders return for 13 yards to Ssk36. Tackled by Mike Miller.,11,7
08:18,1,Rush,3,Kory Sheets rush for 3 yards to the Ssk38. Tackled by Rennie Curran.,11,7
07:45,2,Pass,10,Darian Durant pass to Eron Riley for 10 yards to the Ssk48. Tackled by Chris Rwabukamba.,11,7
07:10,1,Rush,4,Taj Smith rush for 4 yards to the Ssk52. Tackled by Joe Burnett.,11,7
06:37,2,Rush,9,Darian Durant rush for 9 yards to the Edm49.,11,7
06:20,1,Rush,1,Kory Sheets rush for 1 yard to the Edm48. Tackled by Brandon Lang.,11,7
05:34,2,Holding,-6,Darian Durant pass to Kory Sheets for 4 yards to the Edm44. Tackled by Rennie Curran. Penalty: Holding on Saskatchewan (Chris Best) -10 yards.,11,7
05:18,2,Incomplete Pass,0,Darian Durant incomplete pass intended for Jock Sanders.,11,7
04:57,3,Punt,7,Brody McKnight punts for 46 yards to Edm12. Terrance Lewis return for 7 yards to Edm19. Tackled by Scott McHenry.,11,7
04:41,1,Incomplete Pass,0,Mike Reilly incomplete pass intended for Isaiah Sweeney.,11,7
04:24,2,Rush,9,Mike Reilly rush for 9 yards to the Edm28. Tackled by Samuel Hurl.,11,7
03:30,3,Offside,5,Penalty: Offside on Saskatchewan (Jermaine McElveen) 5 yards.,11,7
02:48,1,Pass,77,Mike Reilly pass to Isaiah Sweeney for 77 yards for a TOUCHDOWN.,11,13
02:48,0,Made Extra Point,0,Grant Shaw extra point is good.,11,14
02:48,0,Face Mask,28,Grant Shaw kicks off to the Ssk21. Jock Sanders return for 13 yards to Ssk34. Tackled by Elie Ngoyi. Penalty: Face Mask on Edmonton (Elie Ngoyi) 15 yards.,11,14
02:42,1,Rush,1,Kory Sheets rush for 1 yard to the Ssk49. Tackled by Ted Laurent.,11,14
02:31,2,Pass,12,Darian Durant pass to Kory Sheets for 12 yards to the Edm49. Tackled by Joe Burnett.,11,14
02:14,1,Pass,19,Darian Durant pass to Chris Getzlaf for 19 yards to the Edm30. Tackled by Eric Samuels.,11,14
02:07,1,Fumble,9,"Darian Durant pass to Scott McHenry for 9 yards to the Edm21. FUMBLE, recovered by Edm (Eric Samuels). Tackled by Scott McHenry.",11,14
01:45,1,Pass,9,Mike Reilly pass to Youssy Pierre for 9 yards to the Edm30. Tackled by Diamond Ferri.,11,14
01:40,2,Incomplete Pass,0,Mike Reilly incomplete pass intended for Mike Reilly defensed by Woodny Turenne.,11,14
01:28,3,Punt,7,Grant Shaw punts for 50 yards to Ssk30. Jock Sanders return for 7 yards to Ssk37. Tackled by Elie Ngoyi.,11,14
01:14,1,Pass,8,Darian Durant pass to Chris Getzlaf for 8 yards to the Ssk45. Tackled by Hugo Lopez.,11,14
01:04,2,Incomplete Pass,0,Darian Durant incomplete pass intended for Greg Carr.,11,14
00:51,3,Punt,5,Brody McKnight punts for 58 yards to Edm7. Terrance Lewis return for 5 yards to Edm12. Tackled by Abraham Kromah.,11,14
00:40,1,Incomplete Pass,0,Mike Reilly incomplete pass intended for John White.,11,14
00:37,2,Pass,7,Mike Reilly pass to Youssy Pierre for 7 yards to the Edm19. Tackled by Diamond Ferri.,11,14
00:31,3,Illegal Block,-4,Grant Shaw punts for 48 yards to Ssk43. Jock Sanders return for 6 yards to Ssk49. Tackled by Mike Miller. Penalty: Illegal Block on Saskatchewan (Anthony Heygood) -10 yards.,11,14
00:20,1,Sack,-3,Sack at Ssk36 for a loss of 3 yards by Brandon Lang.,11,14
00:01,2,Rush,0,Kory Sheets rush for no gain to the Ssk36. Tackled by Brandon Lang.,11,14
15:00,0,Kickoff,23,Grant Shaw kicks off to the Ssk14. Phillip Livas return for 23 yards to Ssk37. Tackled by Donovan Richard.,11,14
14:53,1,Rush,3,Stephfon Green rush for 3 yards to the Ssk40. Tackled by Donovan Richard.,11,14
14:30,2,Incomplete Pass,0,Levi Brown incomplete pass intended for Phillip Livas.,11,14
14:04,3,Punt,5,Chris Milo punts for 56 yards to Edm14. Tracy Lampley return for 5 yards to Edm19. Tackled by Jordan Matechuk.,11,14
13:46,1,Pass,3,Jacory Harris pass to Ed Gant for 3 yards to the Edm22. Tackled by Prince Miller.,11,14
13:14,2,Pass,10,Jacory Harris pass to Rico Wallace for 10 yards to the Edm32. Tackled by Anthony Heygood.,11,14
12:35,1,Rush,-1,Tracy Lampley rush for a loss of 1 yard to the Edm31. Tackled by Antonio Coleman.,11,14
