Time,Down,Type,Yards,Details,Calgary,Saskatchewan
15:00,0,Holding,7,Ricky Schmitt kicks off to the Cgy10. Larry Taylor return for 17 yards to Cgy27. Penalty: Holding on Calgary (Deron Mayo) -10 yards.,0,0
14:51,1,Pass,10,Drew Tate pass to Maurice Price for 10 yards to the Cgy27. Tackled by Tyron Brackenridge.,0,0
14:01,1,Rush,4,Jon Cornish rush for 4 yards to the Cgy31. Tackled by Tyron Brackenridge.,0,0
13:22,2,Pass,64,Drew Tate pass to Joe West for 64 yards to the Ssk15. Tackled by Prince Miller.,0,0
12:59,1,Pass,8,Drew Tate pass to Marquay McDaniel for 8 yards to the Ssk7. Tackled by Dwight Anderson.,0,0
11:55,2,Rush,7,Marquay McDaniel rush for 7 yards for a TOUCHDOWN.,6,0
11:41,0,Made Extra Point,0,Rene Paredes extra point is good.,7,0
11:41,0,Kickoff,29,Rene Paredes kicks off to the Ssk7. Jock Sanders return for 29 yards to Ssk36. Tackled by Justin Phillips.,7,0
11:18,1,Rush,6,Kory Sheets rush for 6 yards to the Ssk42. Tackled by Brandon Smith.,7,0
11:02,2,Pass,13,Darian Durant pass to Weston Dressler for 13 yards to the Ssk55. Tackled by Eric Fraser.,7,0
10:23,1,Rush,4,Kory Sheets rush for 4 yards to the Cgy51. Tackled by Shawn Lemon.,7,0
09:56,2,Pass,8,Darian Durant pass to Weston Dressler for 8 yards to the Cgy43. Tackled by Jamar Wall.,7,0
09:12,1,Rush,2,Kory Sheets rush for 2 yards to the Cgy41. Tackled by Demonte' Bolden.,7,0
08:39,2,Pass,12,Darian Durant pass to Weston Dressler for 12 yards to the Cgy29. Tackled by Jamar Wall.,7,0
08:00,0,Pass Interference,17,Penalty: Pass Interference on Calgary (Jonathan Hefney) 17 yards.,7,0
07:17,1,Pass,3,Darian Durant pass to Eron Riley for 3 yards to the Cgy9. Tackled by Jamar Wall.,7,0
06:54,2,Incomplete Pass,0,Darian Durant incomplete pass intended for Chris Getzlaf.,7,0
06:13,3,Missed Field Goal,15,Chris Milo 15 yard field goal attempt is GOOD.,7,3
06:13,1,Pass,10,Drew Tate pass to Nik Lewis for 10 yards to the Cgy45. Tackled by Woodny Turenne.,7,3
05:56,2,Rush,1,Bo Levi Mitchell rush for 1 yard to the Cgy46. Tackled by Keith Shologan.,7,3
05:17,1,Incomplete Pass,0,Drew Tate incomplete pass intended for Joe West.,7,3
05:05,2,Incomplete Pass,0,Drew Tate incomplete pass intended for Maurice Price.,7,3
04:41,3,Illegal Block,-1,Rob Maver punts for 54 yards to Ssk10. Jock Sanders return for 9 yards to Ssk19. Penalty: Illegal Block on Saskatchewan (Levi Steinhauer) -10 yards.,7,3
04:16,1,Rush,0,Kory Sheets rush for no gain to the Ssk9. Tackled by Justin Phillips.,7,3
03:42,2,Incomplete Pass,0,Darian Durant incomplete pass intended for Weston Dressler.,7,3
03:27,3,Punt,6,Ricky Schmitt punts for 48 yards to Cgy53. Larry Taylor return for 6 yards to Ssk51. Tackled by Cory Huclack.,7,3
03:04,1,Unnecessary Roughness,-9,Drew Tate pass to Maurice Price for 6 yards to the Ssk45. Tackled by Ricky Foley. Penalty: Unnecessary Roughness on Calgary (Dimitri Tsoumpas) -15 yards.,7,3
02:45,2,Pass,24,Drew Tate pass to Nik Lewis for 24 yards to the Ssk36. Tackled by Tyron Brackenridge.,7,3
02:09,1,Pass,8,Drew Tate pass to Maurice Price for 8 yards to the Ssk28. Tackled by Prince Miller.,7,3
01:39,2,Rush,3,Jon Cornish rush for 3 yards to the Ssk25. Tackled by Renauld Williams.,7,3
00:41,1,Pass,8,Drew Tate pass to Marquay McDaniel for 8 yards to the Ssk17. Tackled by Weldon Brown.,7,3
00:01,2,Rush,9,Jon Cornish rush for 9 yards to the Ssk8. Tackled by Renauld Williams.,7,3
14:36,1,Pass,8,Drew Tate pass to Rob Cote for 8 yards for a TOUCHDOWN.,13,3
14:23,0,Made Extra Point,0,Rene Paredes extra point is good.,14,3
14:23,0,Kickoff,23,Rene Paredes kicks off to the Ssk18. Jock Sanders return for 23 yards to Ssk41. Tackled by Justin Phillips.,14,3
14:05,1,Pass,13,Darian Durant pass to Chris Getzlaf for 13 yards to the Ssk54. Tackled by Juwan Simpson.,14,3
13:26,1,Rush,1,Kory Sheets rush for 1 yard to the Ssk55. Tackled by Shawn Lemon.,14,3
12:56,2,Pass,6,Darian Durant pass to Rob Bagg for 6 yards to the Cgy49. Tackled by Jamar Wall.,14,3
12:31,3,Punt,1,Ricky Schmitt punts for 44 yards to Cgy5. Larry Taylor return for 1 yard to Cgy6. Tackled by Paul Woldu.,14,3
12:04,1,Pass,2,Drew Tate pass to Nik Lewis for 2 yards to the Cgy8. Tackled by Will Davis.,14,3
11:35,2,Rush,6,Drew Tate rush for 6 yards to the Cgy14. Tackled by Tyron Brackenridge.,14,3
11:03,3,Punt,27,Rob Maver punts for 48 yards to Ssk48. Jock Sanders return for 27 yards to Cgy35. Tackled by Matt Walter.,14,3
10:25,1,Pass,7,Darian Durant pass to Weston Dressler for 7 yards to the Cgy28. Tackled by Fred Bennett.,14,3
