Time,Down,Type,Yards,Details,Edmonton,Saskatchewan
15:00,0,Kickoff,18,Ricky Schmitt kicks off to the Edm21. Almondo Sewell return for 18 yards to Edm39. Tackled by Tristan Black.,0,0
14:54,1,Incomplete Pass,0,Mike Reilly incomplete pass intended for Hugh Charles defensed by Mike McCullough.,0,0
14:31,2,Incomplete Pass,0,Mike Reilly incomplete pass intended for Adarius Bowman.,0,0
14:09,3,No Yards,44,Grant Shaw punts for 49 yards to Ssk22. Penalty: No Yards on Edmonton (Mike Miller) -5 yards.,0,0
13:37,1,Rush,2,Kory Sheets rush for 2 yards to the Ssk29. Tackled by Almondo Sewell.,0,0
13:08,2,Offside,5,Penalty: Offside on Edmonton (Odell Willis) 5 yards.,0,0
12:58,2,Pass,4,Darian Durant pass to Taj Smith for 4 yards to the Ssk38. Tackled by Rennie Curran.,0,0
12:26,1,Rush,-2,Kory Sheets rush for a loss of 2 yards to the Ssk36. Tackled by Justin Capicciotti.,0,0
11:51,2,Rush,11,Kory Sheets rush for 11 yards to the Ssk47. Tackled by Rennie Curran.,0,0
11:12,3,Punt,3,Ricky Schmitt punts for 41 yards to Edm22. Joe Burnett return for 3 yards to Edm25. Tackled by Cory Huclack.,0,0
10:53,1,Rush,5,Hugh Charles rush for 5 yards to the Edm30. Tackled by Alex Hall.,0,0
10:35,2,Pass,7,Mike Reilly pass to Nate Coehoorn for 7 yards to the Edm37. Tackled by Dwight Anderson.,0,0
10:09,1,Rush,10,Jamal Miles rush for 10 yards to the Edm47. Tackled by Dwight Anderson.,0,0
09:54,2,Rush,2,Mike Reilly rush for 2 yards to the Edm49. Tackled by John Chick.,0,0
09:42,1,Rush,5,Hugh Charles rush for 5 yards to the Edm54. Tackled by Ricky Foley.,0,0
08:50,2,Pass,7,Mike Reilly pass to Hugh Charles for 7 yards to the Ssk49. Tackled by Mike McCullough.,0,0
08:33,1,Rush,11,Mike Reilly rush for 11 yards to the Ssk38. Tackled by Dwight Anderson.,0,0
08:00,1,Incomplete Pass,0,Mike Reilly incomplete pass intended for Calvin McCarty.,0,0
07:41,2,Sack,-2,Sack at Ssk40 for a loss of 2 yards by Tearrius George.,0,0
06:55,3,Missed Field Goal,47,Grant Shaw 47 yard field goal attempt is GOOD.,3,0
06:55,1,Rush,1,Kory Sheets rush for 1 yard to the Ssk36. Tackled by Chris Thompson.,3,0
06:25,2,Sack,-7,Sack at Ssk29 for a loss of 7 yards by Odell Willis.,3,0
05:50,3,Punt,4,Ricky Schmitt punts for 39 yards to Edm42. Joe Burnett return for 4 yards to Edm46. Tackled by Tristan Black.,3,0
05:19,1,Incomplete Pass,0,Mike Reilly incomplete pass intended for Fred Stamps.,3,0
05:10,2,Unnecessary Roughness,-15,Mike Reilly incomplete pass intended for Calvin McCarty. Penalty: Unnecessary Roughness on Edmonton (Thaddeus Coleman) -15 yards.,3,0
04:55,3,Punt,6,Grant Shaw punts for 55 yards to Ssk24. Jock Sanders return for 6 yards to Ssk30. Tackled by Joash Gesse.,3,0
04:34,1,Pass,5,Darian Durant pass to Rob Bagg for 5 yards to the Ssk35. Tackled by Joe Burnett.,3,0
03:59,2,Pass,5,Darian Durant pass to Rob Bagg for 5 yards to the Ssk40. Tackled by Eric Samuels.,3,0
03:38,1,Rush,3,Kory Sheets rush for 3 yards to the Ssk43. Tackled by Eddie Steele.,3,0
02:56,2,Pass,13,Darian Durant pass to Weston Dressler for 13 yards to the Edm54. Tackled by Joe Burnett.,3,0
02:16,1,Incomplete Pass,0,Darian Durant incomplete pass intended for Chris Getzlaf defensed by Damaso Munoz.,3,0
01:57,2,Pass,8,Darian Durant pass to Kory Sheets for 8 yards to the Edm46. Tackled by Joe Burnett.,3,0
01:23,3,Rush,6,Neal Hughes rush for 6 yards to the Edm40. Tackled by Rennie Curran.,3,0
00:50,1,Pass,13,Darian Durant pass to Weston Dressler for 13 yards to the Edm27. Tackled by Donovan Alexander.,3,0
00:01,1,Rush,2,Kory Sheets rush for 2 yards to the Edm25. Tackled by Ted Laurent.,3,0
15:00,2,Offside,5,Penalty: Offside on Edmonton (Damaso Munoz) 5 yards.,3,0
14:25,2,Pass,20,Darian Durant pass to Weston Dressler for 20 yards for a TOUCHDOWN.,3,6
14:14,0,Made Extra Point,0,Chris Milo extra point is good.,3,7
14:14,0,Kickoff,34,Ricky Schmitt kicks off to the Edm7. Jamal Miles return for 34 yards to Edm41. Tackled by Ricky Schmitt.,3,7
14:00,1,Pass,4,Mike Reilly pass to Adarius Bowman for 4 yards to the Edm45. Tackled by  .,3,7
13:13,2,Incomplete Pass,0,Mike Reilly incomplete pass intended for Shamawd Chambers.,3,7
13:00,3,Illegal Punt,10,Grant Shaw punts for 20 yards to Ssk45. Penalty: Illegal Punt on Edmonton (Grant Shaw) -10 yards.,3,7
12:44,1,Pass,11,Darian Durant pass to Chris Getzlaf for 11 yards to the Edm44. Tackled by Rennie Curran.,3,7
12:21,1,Rush,15,Kory Sheets rush for 15 yards to the Edm29. Tackled by Rennie Curran.,3,7
11:52,1,Pass,7,Darian Durant pass to Geroy Simon for 7 yards to the Edm22. Tackled by Marcell Young.,3,7
11:31,2,Rush,6,Kory Sheets rush for 6 yards to the Edm16. Tackled by Damaso Munoz.,3,7
11:04,1,Rush,10,Weston Dressler rush for 10 yards to the Edm6. Tackled by Rennie Curran.,3,7
10:29,2,Rush,1,Kory Sheets rush for 1 yard to the Edm5. Tackled by Ted Laurent.,3,7
09:30,1,Rush,5,Kory Sheets rush for 5 yards for a TOUCHDOWN.,3,13
09:16,0,Made Extra Point,0,Chris Milo extra point is good.,3,14
09:16,0,Kickoff,95,Ricky Schmitt kicks off to the Edm0.,3,14
09:16,1,Incomplete Pass,0,Mike Reilly incomplete pass intended for Hugh Charles.,3,14
08:51,2,Pass,4,Mike Reilly pass to Nate Coehoorn for 4 yards to the Edm29. Tackled by Terrell Maze.,3,14
08:16,3,Punt,7,Grant Shaw punts for 42 yards to Ssk39. Jock Sanders return for 7 yards to Ssk46. Tackled by Calvin McCarty.,3,14
07:49,1,Rush,6,Kory Sheets rush for 6 yards to the Ssk52. Tackled by Damaso Munoz.,3,14
07:33,2,Interception,-2,Darian Durant pass intended for Weston Dressler INTERCEPTED by Donovan Alexander and returned for a loss of 2 yards. Tackled by Weston Dressler.,3,14
07:03,1,Rush,4,Hugh Charles rush for 4 yards to the Edm39. Tackled by Keith Shologan.,3,14
06:31,2,Rush,1,Mike Reilly rush for 1 yard to the Edm40. Tackled by Diamond Ferri.,3,14
05:55,3,Punt,0,Grant Shaw punts for 32 yards to Ssk38. Jock Sanders return for no gain to Ssk38. Tackled by Joash Gesse.,3,14
05:25,1,Rush,3,Darian Durant rush for 3 yards to the Ssk41. Tackled by Odell Willis.,3,14
04:47,2,Pass,11,Darian Durant pass to Chris Getzlaf for 11 yards to the Ssk52. Tackled by T.J. Hill.,3,14
04:12,1,Rush,1,Kory Sheets rush for 1 yard to the Ssk53. Tackled by Almondo Sewell.,3,14
03:41,2,Sack,-12,Sack at Ssk41 for a loss of 12 yards by Eric Samuels.,3,14
03:08,3,Holding,54,Ricky Schmitt punts for 44 yards to Edm25. Penalty: Holding on Edmonton (Nathan Kanya) 10 yards.,3,14
02:46,1,Rush,4,Mike Reilly rush for 4 yards to the Edm19. Tackled by John Chick.,3,14
02:25,2,Pass,5,Mike Reilly pass to Nate Coehoorn for 5 yards to the Edm24. Tackled by  .,3,14
02:21,3,Rush,2,Mike Reilly rush for 2 yards to the Edm26. Tackled by Alex Hall.,3,14
02:16,1,Incomplete Pass,0,Mike Reilly incomplete pass intended for Shamawd Chambers defensed by Zach Evans.,3,14
02:01,2,Pass,59,Mike Reilly pass to Matt Carter for 59 yards to the Ssk25. Tackled by Tristan Jackson.,3,14
01:48,1,Rush,1,Hugh Charles rush for 1 yard to the Ssk24. Tackled by Craig Butler.,3,14
01:22,2,Roughing Passer,18,Mike Reilly pass to Matt Carter for 12 yards to the Ssk12. Tackled by Craig Butler. Penalty: Roughing Passer on Saskatchewan (Carlos Thomas) 6 yards.,3,14
01:00,1,Interception,1,Mike Reilly pass intended for Calvin McCarty INTERCEPTED by Tyron Brackenridge and returned for 1 yard. Tackled by Calvin McCarty.,3,14
00:53,1,Rush,11,Kory Sheets rush for 11 yards to the Ssk13. Tackled by Rennie Curran.,3,14
00:46,1,Rush,11,Darian Durant rush for 11 yards to the Ssk24.,3,14
00:27,1,Incomplete Pass,0,Darian Durant incomplete pass intended for Chris Getzlaf.,3,14
00:12,2,Pass,29,Darian Durant pass to Jock Sanders for 29 yards to the Ssk53. Tackled by Rennie Curran.,3,14
00:01,1,Punt,3,Weston Dressler punts for 42 yards to Edm15. Chris Thompson return for 3 yards to Edm18. Tackled by Weston Dressler.,3,14
15:00,0,Kickoff,14,Ricky Schmitt kicks off to the Edm18. Jamal Miles return for 14 yards to Edm32. Tackled by Mike McCullough.,3,14
14:50,1,Rush,6,Hugh Charles rush for 6 yards to the Edm38. Tackled by Tyron Brackenridge.,3,14
14:25,2,Pass,21,Mike Reilly pass to Shamawd Chambers for 21 yards to the Ssk51. Tackled by Dwight Anderson.,3,14
13:58,1,Incomplete Pass,0,Mike Reilly incomplete pass intended for Shamawd Chambers.,3,14
13:39,2,Sack,-4,Sack at Edm55 for a loss of 4 yards by Tearrius George.,3,14
12:41,3,Punt Single,0,Grant Shaw punts for 75 yards to Ssk0. No return (Single).,4,14
12:41,1,Incomplete Pass,0,Darian Durant incomplete pass intended for Chris Getzlaf.,4,14
12:18,2,Rush,-3,Kory Sheets rush for a loss of 3 yards to the Ssk32. Tackled by Almondo Sewell.,4,14
11:43,3,Punt,0,Ricky Schmitt punts for 32 yards to Edm46. No return.,4,14
11:23,1,Rush,1,John White rush for 1 yard to the Edm47. Tackled by Ricky Foley.,4,14
10:53,2,Incomplete Pass,0,Mike Reilly incomplete pass intended for John White.,4,14
10:16,3,Punt,5,Grant Shaw punts for 49 yards to Ssk14. Jock Sanders return for 5 yards to Ssk19. Tackled by Mike Miller.,4,14
09:55,1,Rush,5,Kory Sheets rush for 5 yards to the Ssk24. Tackled by Rennie Curran.,4,14
09:22,2,Pass,3,Darian Durant pass to Weston Dressler for 3 yards to the Ssk27. Tackled by Rennie Curran.,4,14
08:43,3,Punt,2,Ricky Schmitt punts for 45 yards to Edm38. Jamal Miles return for 2 yards to Edm40. Tackled by Craig Butler.,4,14
08:17,1,Rush,3,Mike Reilly rush for 3 yards to the Edm43. Tackled by Keith Shologan.,4,14
07:54,2,Incomplete Pass,0,Mike Reilly incomplete pass intended for Shamawd Chambers defensed by John Chick.,4,14
07:32,3,Punt,8,Grant Shaw punts for 63 yards to Ssk4. Jock Sanders return for 8 yards to Ssk12. Tackled by Eric Samuels.,4,14
07:10,1,Sack,-8,Sack at Ssk4 for a loss of 8 yards by Marcus Howard.,4,14
06:26,2,Offside,5,Penalty: Offside on Edmonton (Odell Willis) 5 yards.,4,14
06:14,2,Incomplete Pass,0,Darian Durant incomplete pass intended for Chris Getzlaf.,4,14
05:54,3,Punt,15,Ricky Schmitt punts for 46 yards to Ssk55. Jamal Miles return for 15 yards to Ssk40. Tackled by Craig Butler.,4,14
05:25,1,Incomplete Pass,0,Mike Reilly incomplete pass intended for Adarius Bowman.,4,14
05:08,2,Interception,30,Mike Reilly pass intended for Matt Carter INTERCEPTED by Diamond Ferri and returned for 30 yards. Tackled by John White.,4,14
04:36,1,Interception,21,Darian Durant pass intended for Taj Smith INTERCEPTED by Rennie Curran and returned for 21 yards. Tackled by Corey Watman.,4,14
04:12,1,Rush,3,Mike Reilly rush for 3 yards to the Ssk42. Tackled by Mike McCullough.,4,14
03:39,2,Incomplete Pass,0,Mike Reilly incomplete pass intended for Adarius Bowman.,4,14
