Time,Down,Type,Yards,Details,Saskatchewan,Edmonton
15:00,0,Kickoff,16,Ricky Schmitt kicks off to the Edm11. Hugh Charles return for 16 yards to Edm27. Tackled by Paul Woldu.,0,0
14:54,1,Incomplete Pass,0,Mike Reilly incomplete pass intended for Fred Stamps.,0,0
14:31,2,Pass,15,Mike Reilly pass to Fred Stamps for 15 yards to the Edm42.,0,0
14:15,1,Rush,8,Hugh Charles rush for 8 yards to the Edm50. Tackled by Weldon Brown.,0,0
14:02,2,Rush,17,Hugh Charles rush for 17 yards to the Ssk43. Tackled by Ricky Foley.,0,0
13:31,1,Rush,4,Hugh Charles rush for 4 yards to the Ssk39. Tackled by John Chick.,0,0
12:47,2,Incomplete Pass,0,Mike Reilly incomplete pass intended for Fred Stamps.,0,0
12:13,3,Missed Field Goal,46,Hugh O'Neill 46 yard field goal attempt is GOOD.,0,3
12:13,1,Pass,9,Darian Durant pass to Weston Dressler for 9 yards to the Ssk44. Tackled by Chris Thompson.,0,3
11:42,2,Pass,37,Darian Durant pass to Weston Dressler for 37 yards to the Edm29. Tackled by Donovan Alexander.,0,3
10:54,1,Rush,6,Kory Sheets rush for 6 yards to the Edm23. Tackled by Joe Burnett.,0,3
10:30,2,Rush,3,Kory Sheets rush for 3 yards to the Edm20. Tackled by  .,0,3
09:32,3,Missed Field Goal,27,Chris Milo 27 yard field goal attempt is GOOD.,3,3
09:32,1,Sack,-9,Sack at Edm26 for a loss of 9 yards by Keith Shologan.,3,3
08:55,2,Incomplete Pass,0,Mike Reilly incomplete pass intended for Nate Coehoorn.,3,3
08:33,3,Punt,-1,Grant Shaw punts for 57 yards to Ssk27. Weston Dressler return for a loss of 1 yard to Ssk26. Tackled by Eric Samuels.,3,3
08:06,1,Pass,7,Darian Durant pass to   for 7 yards to the Ssk33. Tackled by Bryan Williams.,3,3
07:27,2,Incomplete Pass,0,Darian Durant incomplete pass intended for Weston Dressler defensed by Chris Thompson.,3,3
07:08,3,Illegal Block,-7,Ricky Schmitt punts for 44 yards to Edm33. Cary Koch return for 3 yards to Edm36. Penalty: Illegal Block on Edmonton (Mike Miller) -10 yards.,3,3
06:47,1,Rush,2,Hugh Charles rush for 2 yards to the Edm28. Tackled by Craig Butler.,3,3
06:13,2,Pass,7,Mike Reilly pass to Shamawd Chambers for 7 yards to the Edm35. Tackled by Prince Miller.,3,3
05:51,3,Punt,13,Grant Shaw punts for 61 yards to Ssk14. Weston Dressler return for 13 yards to Ssk27. Tackled by Chris Rwabukamba.,3,3
05:22,1,Rush,6,Kory Sheets rush for 6 yards to the Ssk33. Tackled by Rennie Curran.,3,3
04:45,2,Pass,0,Darian Durant pass to Kory Sheets for no gain to the Ssk33. Tackled by Damaso Munoz.,3,3
04:20,3,Punt,5,Ricky Schmitt punts for 48 yards to Edm29. Cary Koch return for 5 yards to Edm34. Tackled by Levi Steinhauer.,3,3
03:51,1,Pass,5,Mike Reilly pass to Cary Koch for 5 yards to the Edm39. Tackled by Macho Harris.,3,3
03:11,2,Sack,-11,Sack at Edm28 for a loss of 11 yards by Jermaine McElveen.,3,3
02:45,3,Punt,0,Grant Shaw punts for 49 yards to Ssk33. Weston Dressler return for no gain to Ssk33. Tackled by Mike Miller.,3,3
02:24,1,Pass,11,Darian Durant pass to Taj Smith for 11 yards to the Ssk44. Tackled by Joe Burnett.,3,3
02:06,1,Rush,10,Kory Sheets rush for 10 yards to the Ssk54. Tackled by Rennie Curran.,3,3
01:41,2,Rush,2,Kory Sheets rush for 2 yards to the Edm54. Tackled by Marcus Howard.,3,3
01:10,1,Pass,12,Darian Durant pass to Weston Dressler for 12 yards to the Edm42. Tackled by Donovan Alexander.,3,3
00:49,1,Pass,-2,Darian Durant pass to Taj Smith for a loss of 2 yards to the Edm44. Tackled by Joe Burnett.,3,3
00:01,0,Roughing Passer,15,Penalty: Roughing Passer on Edmonton (Damaso Munoz) 15 yards.,3,3
00:01,1,Sack,-9,Sack at Edm38 for a loss of 9 yards by Don Oramasionwu.,3,3
15:00,2,Pass,9,Darian Durant pass to Kory Sheets for 9 yards to the Edm29. Tackled by Rennie Curran.,3,3
14:11,3,Missed Field Goal,36,Chris Milo 36 yard field goal attempt is GOOD.,6,3
14:11,1,Rush,2,Calvin McCarty rush for 2 yards to the Edm37. Tackled by Ricky Foley.,6,3
13:40,2,Pass,16,Mike Reilly pass to Fred Stamps for 16 yards to the Edm53. Tackled by Renauld Williams.,6,3
12:55,1,Unnecessary Roughness,22,Hugh Charles rush for 7 yards to the Ssk50. Tackled by Keith Shologan. Penalty: Unnecessary Roughness on Saskatchewan (Diamond Ferri) 15 yards.,6,3
12:27,1,Pass,2,Mike Reilly pass to Fred Stamps for 2 yards to the Ssk33. Tackled by Renauld Williams.,6,3
11:38,2,Pass,33,Mike Reilly pass to Fred Stamps for 33 yards for a TOUCHDOWN.,6,9
11:21,0,Made Extra Point,0,Hugh O'Neill extra point is good.,6,10
11:21,0,Kickoff,22,"Grant Shaw kicks off to the Ssk3. Prince Miller return for 22 yards to Ssk25., recovered by Ssk (Kevin Regimbald-Gagne).",6,10
11:12,1,Rush,2,Kory Sheets rush for 2 yards to the Ssk27. Tackled by Damaso Munoz.,6,10
10:30,2,Rush,8,Kory Sheets rush for 8 yards to the Ssk35. Tackled by Damaso Munoz.,6,10
10:04,3,Rush,1,Drew Willy rush for 1 yard to the Ssk36. Tackled by Rennie Curran.,6,10
