Time,Down,Type,Yards,Details,Saskatchewan,Montreal
04:25,2,Pass,9,Josh Neiswander pass to S.J. Green for 9 yards to the Mtl53.,3,1
03:55,1,Rush,2,Jerome Messam rush for 2 yards to the Mtl55. Tackled by  .,3,1
03:15,2,Incomplete Pass,0,Josh Neiswander incomplete pass intended for Brandon London defensed by Dwight Anderson.,3,1
02:50,3,Punt,16,Sean Whyte punts for 42 yards to Ssk13. Tristan Jackson return for 16 yards to Ssk29. Tackled by Patrick Lavoie.,3,1
02:21,1,Pass,8,Darian Durant pass to Rob Bagg for 8 yards to the Ssk37. Tackled by Ed Gainey.,3,1
02:13,2,Illegal Procedure,-5,Penalty: Illegal Procedure on Saskatchewan (Xavier Fulton) -5 yards.,3,1
02:13,2,Incomplete Pass,0,Darian Durant incomplete pass intended for Geroy Simon.,3,1
02:09,3,Punt,2,Ricky Schmitt punts for 48 yards to Mtl30. Tyron Carrier return for 2 yards to Mtl32.,3,1
02:02,1,Pass,19,Josh Neiswander pass to S.J. Green for 19 yards to the Mtl51. Tackled by Terrell Maze.,3,1
01:53,1,Pass,-6,Josh Neiswander pass to Arland Bruce for a loss of 6 yards to the Mtl45. Tackled by Tyron Brackenridge.,3,1
01:32,2,Incomplete Pass,0,Josh Neiswander incomplete pass intended for Arland Bruce.,3,1
01:15,3,Punt,7,Sean Whyte punts for 49 yards to Ssk16. Tristan Jackson return for 7 yards to Ssk23. Tackled by Bear Woods.,3,1
01:05,1,Sack,-5,Sack at Ssk18 for a loss of 5 yards by John Bowman.,3,1
00:55,2,Incomplete Pass,0,Darian Durant incomplete pass defensed by Bear Woods.,3,1
00:36,3,Punt,8,Ricky Schmitt punts for 52 yards to Mtl40. Tyron Carrier return for 8 yards to Mtl48. Tackled by Tristan Black.,3,1
00:28,1,Pass,29,Josh Neiswander pass to Eric Deslauriers for 29 yards to the Ssk33. Tackled by Craig Butler.,3,1
00:21,1,Pass,8,Josh Neiswander pass to Brandon London for 8 yards to the Ssk25. Tackled by Mike McCullough.,3,1
00:13,2,Incomplete Pass,0,Josh Neiswander incomplete pass intended for Brandon London.,3,1
00:02,3,Missed Field Goal,32,Sean Whyte 32 yard field goal attempt is GOOD.,3,4
