Time,Down,Type,Yards,Details,Saskatchewan,Calgary
15:00,0,Kickoff,14,Ricky Schmitt kicks off to the Cgy27. Rob Cote return for 14 yards to Cgy41. Tackled by  .,0,0
14:50,1,Incomplete Pass,0,Kevin Glenn incomplete pass intended for Joe West.,0,0
14:32,2,Roughing Passer,23,Kevin Glenn pass to Joe West for 8 yards to the Cgy49. Tackled by Craig Butler. Penalty: Roughing Passer on Saskatchewan (Ricky Foley) 15 yards.,0,0
14:07,1,Rush,1,Jon Cornish rush for 1 yard to the Ssk45. Tackled by  .,0,0
13:35,2,Interception,15,Kevin Glenn pass INTERCEPTED by   and returned for 15 yards. Tackled by Maurice Price.,0,0
13:10,1,Rush,2,Darian Durant rush for 2 yards to the Cgy50. Tackled by Deron Mayo.,0,0
12:19,2,Incomplete Pass,0,Darian Durant incomplete pass intended for Kory Sheets.,0,0
12:09,3,No Yards,7,Ricky Schmitt punts for 22 yards to Cgy28. Penalty: No Yards on Saskatchewan ( ) -15 yards.,0,0
11:42,1,Pass,6,Kevin Glenn pass to Jabari Arthur for 6 yards to the Cgy49. Tackled by Weldon Brown.,0,0
11:05,0,Rush,-5,"FUMBLE Maurice Price rush for a loss of 5 yards to the Cgy44., recovered by Cgy (Maurice Price).",0,0
10:46,3,Punt,3,Rob Maver punts for 42 yards to Ssk24. Jock Sanders return for 3 yards to Ssk27. Tackled by Rob Cote.,0,0
10:19,1,Rush,1,Kory Sheets rush for 1 yard to the Ssk28. Tackled by Juwan Simpson.,0,0
09:57,2,Pass,9,Darian Durant pass to Taj Smith for 9 yards to the Ssk37. Tackled by Chris Randle.,0,0
09:16,1,Rush,3,Kory Sheets rush for 3 yards to the Ssk40. Tackled by Cordarro Law.,0,0
08:47,2,Sack,-2,Sack at Ssk38 for a loss of 2 yards by Brandon Smith.,0,0
08:18,3,Punt,51,Ricky Schmitt punts for 21 yards to Cgy51. Brandon Smith return for 51 yards to Ssk8. Tackled by Brian Peters.,0,0
07:51,1,Rush,2,Jon Cornish rush for 2 yards to the Ssk6. Tackled by Keith Shologan.,0,0
07:16,2,Incomplete Pass,0,Kevin Glenn incomplete pass intended for Maurice Price defensed by John Chick.,0,0
06:43,3,Missed Field Goal,13,Rene Paredes 13 yard field goal attempt is GOOD.,0,3
06:43,1,Rush,10,Jock Sanders rush for 10 yards to the Ssk45. Tackled by Charleston Hughes.,0,3
06:15,1,Pass,12,Darian Durant pass to Weston Dressler for 12 yards to the Cgy53. Tackled by Fred Bennett.,0,3
05:47,1,Rush,12,Kory Sheets rush for 12 yards to the Cgy41. Tackled by Chris Randle.,0,3
05:27,1,Pass,9,Darian Durant pass to Neal Hughes for 9 yards to the Cgy32. Tackled by Derrius Brooks.,0,3
04:59,2,Rush,11,Kory Sheets rush for 11 yards to the Cgy21. Tackled by Derrius Brooks.,0,3
04:36,1,Pass,16,Darian Durant pass to Taj Smith for 16 yards to the Cgy5. Tackled by Jamar Wall.,0,3
03:59,1,Rush,2,Kory Sheets rush for 2 yards to the Cgy3. Tackled by  .,0,3
02:57,2,Pass,3,Darian Durant pass to Rob Bagg for 3 yards for a TOUCHDOWN.,6,3
02:40,0,Made Extra Point,0,Chris Milo extra point is good.,7,3
02:40,0,Kickoff,17,Ricky Schmitt kicks off to the Cgy18.   return for 17 yards to Cgy35. Tackled by Tristan Black.,7,3
02:33,1,Pass,47,Kevin Glenn pass to Joe West for 47 yards to the Ssk28. Tackled by Rod Williams.,7,3
01:49,1,Rush,-5,Jon Cornish rush for a loss of 5 yards to the Ssk33. Tackled by  .,7,3
01:06,2,Pass,9,Kevin Glenn pass to Jabari Arthur for 9 yards to the Ssk24. Tackled by Craig Butler.,7,3
00:15,3,Missed Field Goal,31,Rene Paredes 31 yard field goal attempt is GOOD.,7,6
00:15,1,Rush,5,Kory Sheets rush for 5 yards to the Ssk40. Tackled by Cordarro Law.,7,6
15:00,2,Pass,8,Darian Durant pass to Taj Smith for 8 yards to the Ssk48. Tackled by Chris Randle.,7,6
14:37,1,Rush,4,Kory Sheets rush for 4 yards to the Ssk52. Tackled by Deron Mayo.,7,6
13:53,2,Rush,9,Jock Sanders rush for 9 yards to the Cgy49. Tackled by Derrius Brooks.,7,6
13:12,1,Rush,7,Jock Sanders rush for 7 yards to the Cgy42. Tackled by Charleston Hughes.,7,6
12:42,2,Rush,7,Kory Sheets rush for 7 yards to the Cgy35. Tackled by Eric Fraser.,7,6
12:00,1,Incomplete Pass,0,Darian Durant incomplete pass intended for Chris Getzlaf defensed by Jamar Wall.,7,6
11:37,2,Pass,12,Darian Durant pass to Geroy Simon for 12 yards to the Cgy23. Tackled by  .,7,6
10:59,1,Rush,9,Kory Sheets rush for 9 yards to the Cgy14. Tackled by Fred Bennett.,7,6
10:21,2,Rush,5,Jock Sanders rush for 5 yards to the Cgy9. Tackled by Deron Mayo.,7,6
09:42,1,Rush,2,Jock Sanders rush for 2 yards to the Cgy7. Tackled by Junior Turner.,7,6
08:48,2,Pass,7,Darian Durant pass to Chris Getzlaf for 7 yards for a TOUCHDOWN.,13,6
08:40,0,Made Extra Point,0,Chris Milo extra point is good.,14,6
08:40,0,Kickoff,24,Ricky Schmitt kicks off to the Cgy9.   return for 24 yards to Cgy33. Tackled by  .,14,6
08:32,1,Unnecessary Roughness,31,"Kevin Glenn pass to Jeff Fuller for 46 yards to the Ssk31. FUMBLE, recovered by Ssk (Terrell Maze). Tackled by Jeff Fuller. Penalty: Unnecessary Roughness on Saskatchewan (Zach Evans) -15 yards.",14,6
07:54,1,Rush,2,Kory Sheets rush for 2 yards to the Ssk18. Tackled by Junior Turner.,14,6
07:20,2,Pass,16,Darian Durant pass to Weston Dressler for 16 yards to the Ssk34. Tackled by Derrius Brooks.,14,6
06:55,1,Rush,14,Kory Sheets rush for 14 yards to the Ssk48.,14,6
06:35,1,Rush,7,Kory Sheets rush for 7 yards to the Ssk55. Tackled by Deron Mayo.,14,6
06:10,2,Rush,8,Jock Sanders rush for 8 yards to the Cgy47. Tackled by Glenn Love.,14,6
05:39,1,Rush,2,Darian Durant rush for 2 yards to the Cgy45. Tackled by  .,14,6
05:13,2,Incomplete Pass,0,Darian Durant incomplete pass intended for Weston Dressler defensed by Derrius Brooks.,14,6
04:21,3,Punt Single,0,Ricky Schmitt punts for 65 yards to Cgy0. No return (Single).,15,6
04:21,1,Unnecessary Roughness,107,"Kevin Glenn pass to Maurice Price for 57 yards to the Ssk18. FUMBLE, recovered by Ssk (Rod Williams) and returned for 35 yards. Tackled by Brett Jones. Penalty: Unnecessary Roughness on Calgary (Jon Cornish) 15 yards.",15,6
03:50,1,Pass,5,Darian Durant pass to Taj Smith for 5 yards to the Cgy37. Tackled by Derrius Brooks.,15,6
02:43,2,Pass,37,Darian Durant pass to Weston Dressler for 37 yards for a TOUCHDOWN.,21,6
02:43,0,Made Extra Point,0,Chris Milo extra point is good.,22,6
02:43,0,Kickoff,24,Ricky Schmitt kicks off to the Cgy8.   return for 24 yards to Cgy32. Tackled by  .,22,6
02:36,1,Rush,3,Jon Cornish rush for 3 yards to the Cgy35. Tackled by Weldon Brown.,22,6
02:31,2,Pass,12,Kevin Glenn pass to Maurice Price for 12 yards to the Cgy47. Tackled by  .,22,6
02:06,1,Incomplete Pass,0,Kevin Glenn incomplete pass intended for Joe West.,22,6
01:51,2,Incomplete Pass,0,Kevin Glenn incomplete pass intended for Maurice Price.,22,6
01:47,3,Punt,9,Rob Maver punts for 43 yards to Ssk20. Jock Sanders return for 9 yards to Ssk29. Tackled by Yannick Carter.,22,6
01:37,1,Rush,6,Kory Sheets rush for 6 yards to the Ssk35. Tackled by Chris Randle.,22,6
01:19,2,Incomplete Pass,0,Darian Durant incomplete pass intended for Weston Dressler.,22,6
01:10,3,Punt,0,Ricky Schmitt punts for 29 yards to Cgy46. No return.,22,6
01:01,1,Interception,0,Kevin Glenn pass intended for Joe West INTERCEPTED by Terrell Maze. No return. Tackled by Joe West.,22,6
00:55,1,Pass,15,Darian Durant pass to Weston Dressler for 15 yards to the Cgy47. Tackled by Jamar Wall.,22,6
00:44,1,Pass,13,Darian Durant pass to Taj Smith for 13 yards to the Cgy34. Tackled by Deron Mayo.,22,6
00:30,1,Pass,18,Darian Durant pass to Geroy Simon for 18 yards to the Cgy16. Tackled by Deron Mayo.,22,6
00:14,1,Fumble,58,"Darian Durant pass to Scott McHenry for 15 yards to the Cgy1. FUMBLE, recovered by Cgy (Jamar Wall) and returned for 43 yards. Tackled by Kory Sheets.",22,6
15:00,0,Kickoff,14,Ricky Schmitt kicks off to the Cgy24.   return for 14 yards to Cgy38. Tackled by Graig Newman.,22,6
14:54,1,Rush,7,Jon Cornish rush for 7 yards to the Cgy45. Tackled by  .,22,6
14:25,2,Rush,7,Jon Cornish rush for 7 yards to the Cgy52. Tackled by Tyron Brackenridge.,22,6
13:45,1,Fumble,28,"Drew Tate pass to Brad Sinopoli for 28 yards to the Ssk30. FUMBLE, recovered by Ssk (Tyron Brackenridge).",22,6
13:12,1,Rush,0,Kory Sheets rush for no gain to the Ssk30. Tackled by  .,22,6
12:29,2,Pass,2,Darian Durant pass to Jock Sanders for 2 yards to the Ssk32. Tackled by Deron Mayo.,22,6
