Time,Down,Type,Yards,Details,Edmonton,Hamilton
08:23,2,Rush,-2,C.J. Gable rush for a loss of 2 yards to the Edm42. Tackled by Brandon Lang.,16,7
07:46,0,Roughing Kicker,10,Penalty: No Yards on Hamilton -5 yards. Penalty: Roughing Kicker on Edmonton (Brandon Lang) 15 yards.,16,7
07:20,1,Incomplete Pass,0,Henry Burris incomplete pass intended for Ed Gant defensed by Aaron Grymes.,16,7
07:03,2,Incomplete Pass,0,Henry Burris incomplete pass intended for Ed Gant.,16,7
06:07,3,Missed Field Goal,39,Luca Congi 39 yard field goal attempt is GOOD.,16,10
06:07,1,Rush,0,Hugh Charles rush for no gain to the Edm35. Tackled by Markeith Knowlton.,16,10
05:37,2,Incomplete Pass,0,Mike Reilly incomplete pass intended for Nate Coehoorn.,16,10
05:01,3,Holding,23,Grant Shaw punts for 43 yards to Ham32. Lindsey Lamar return for 18 yards to Ham50. Penalty: Face Mask on Edmonton (Nathan Kanya) 15 yards. Penalty: Holding on Hamilton (Eric Norwood) -10 yards.,16,10
04:35,1,Rush,3,C.J. Gable rush for 3 yards to the Edm52. Tackled by Eddie Steele.,16,10
04:13,2,Incomplete Pass,0,Henry Burris incomplete pass intended for Ed Gant defensed by Marcell Young.,16,10
03:30,3,Punt,4,Josh Bartel punts for 42 yards to Edm10. Joe Burnett return for 4 yards to Edm14. Tackled by James Patrick.,16,10
03:17,1,Incomplete Pass,0,Mike Reilly incomplete pass intended for Hugh Charles.,16,10
02:54,2,Rush,2,Mike Reilly rush for 2 yards to the Edm16. Tackled by Jamall Johnson.,16,10
02:44,3,Punt,10,Grant Shaw punts for 43 yards to Ham51. Lindsey Lamar return for 10 yards to Edm49. Tackled by Elie Ngoyi.,16,10
02:17,1,Pass,23,Henry Burris pass to Greg Ellingson for 23 yards to the Edm26. Tackled by T.J. Hill.,16,10
02:08,1,Pass,7,Henry Burris pass to Bakari Grant for 7 yards to the Edm19. Tackled by Marcell Young.,16,10
01:40,2,Incomplete Pass,0,Henry Burris incomplete pass intended for Greg Ellingson.,16,10
