Time,Down,Type,Yards,Details,Hamilton,Winnipeg
03:56,1,Rush,-3,C.J. Gable rush for a loss of 3 yards to the Ham45. Tackled by Henoc Muamba.,10,7
03:20,2,Pass,40,Henry Burris pass to Samuel Giguere for 40 yards to the Wpg25. Tackled by Desia Dunn.,10,7
02:38,1,Pass,25,Henry Burris pass to Onrea Jones for 25 yards for a TOUCHDOWN.,16,7
02:38,0,Made Extra Point,0,Luca Congi extra point is good.,17,7
02:38,0,Holding,5,Luca Congi kicks off to the Wpg12. Demond Washington return for 15 yards to Wpg27. Penalty: Holding on Winnipeg (Jake Thomas) -10 yards.,17,7
02:32,1,Pass,18,Max Hall pass to Terrence Edwards for 18 yards to the Wpg35. Tackled by Emanuel Davis.,17,7
02:27,1,Pass,10,Max Hall pass to Clarence Denmark for 10 yards to the Wpg45. Tackled by Delvin Breaux.,17,7
02:05,1,Offside,5,Penalty: Offside on Hamilton (Shomari Williams) 5 yards.,17,7
01:57,1,Rush,2,Chad Simpson rush for 2 yards to the Wpg52. Tackled by Jamall Johnson.,17,7
01:53,2,Rush,4,Chad Simpson rush for 4 yards to the Ham54. Tackled by Eric Norwood.,17,7
01:36,1,Pass,8,Max Hall pass to Terrence Edwards for 8 yards to the Ham46. Tackled by Emanuel Davis.,17,7
01:17,2,Rush,2,Chad Simpson rush for 2 yards to the Ham44. Tackled by Delvin Breaux.,17,7
01:11,3,Rush,1,Justin Goltz rush for 1 yard to the Ham43. Tackled by Eric Norwood.,17,7
01:05,1,Sack,-6,Sack at Ham49 for no gain by Rico Murray Recovered by Ham (Jamall Johnson). Tackled by Glenn January,17,7
00:50,1,Incomplete Pass,0,Henry Burris incomplete pass intended for Andy Fantuz.,17,7
00:46,2,Pass,12,Henry Burris pass to Greg Ellingson for 12 yards to the Wpg49. Tackled by Desia Dunn.,17,7
00:41,1,Sack,-5,Sack at Wpg54 for a loss of 5 yards by Bryant Turner.,17,7
00:29,2,Pass,10,Henry Burris pass to Bakari Grant for 10 yards to the Wpg44. Tackled by Alex Suber.,17,7
00:24,3,Objectionable Conduct,40,Josh Bartel punts for 35 yards to Wpg9. Penalty: No Yards on Hamilton (Jamall Johnson) -5 yards. Penalty: Objectionable Conduct on Winnipeg (Alex Suber) 10 yards.,17,7
00:14,1,Rush,8,Chad Simpson rush for 8 yards to the Wpg12. Tackled by Simoni Lawrence.,17,7
00:01,2,Rush,12,Chad Simpson rush for 12 yards to the Wpg24. Tackled by Jamall Johnson.,17,7
15:00,0,Holding,0,Luca Congi kicks off to the Wpg8. Demond Washington return for 9 yards to Wpg17. Penalty: Holding on Winnipeg (Kito Poblah) -9 yards.,17,7
14:54,1,Pass,7,Max Hall pass to Chad Simpson for 7 yards to the Wpg16. Tackled by Emanuel Davis.,17,7
14:32,2,Incomplete Pass,0,Max Hall incomplete pass intended for Rory Kohlert.,17,7
14:14,3,Offside,-5,Penalty: Offside on Hamilton (C.J. Gable) -5 yards.,17,7
13:57,1,Incomplete Pass,0,Max Hall incomplete pass intended for Rory Kohlert defensed by Raymond Brown.,17,7
13:43,0,Pass Interference,10,Penalty: Pass Interference on Hamilton (Simoni Lawrence) 10 yards.,17,7
13:23,1,Pass,11,Max Hall pass to Terrence Edwards for 11 yards to the Wpg42. Tackled by Dee Webb.,17,7
12:40,1,Rush,0,Chad Simpson rush for no gain to the Wpg42. Tackled by Rico Murray.,17,7
12:00,2,Interception,19,Max Hall pass intended for Clarence Denmark INTERCEPTED by Raymond Brown and returned for 19 yards. Tackled by Glenn January.,17,7
11:33,1,Pass,6,Henry Burris pass to Onrea Jones for 6 yards to the Wpg45. Tackled by Demond Washington.,17,7
11:00,0,Pass Interference,-10,Penalty: Pass Interference on Hamilton (Andy Fantuz) -10 yards.,17,7
10:38,2,Incomplete Pass,0,Henry Burris incomplete pass intended for Greg Ellingson.,17,7
10:15,3,Punt,12,Josh Bartel punts for 49 yards to Wpg6. Aaron Woods return for 12 yards to Wpg18. Tackled by Frederic Plesius.,17,7
09:48,1,Rush,-1,Chad Simpson rush for a loss of 1 yard to the Wpg17. Tackled by Hasan Hazime.,17,7
09:03,2,Incomplete Pass,0,Max Hall incomplete pass intended for Rory Kohlert defensed by Dee Webb.,17,7
08:46,3,Illegal Block,-7,Mike Renaud punts for 48 yards to Ham45. Onrea Jones return for 3 yards to Ham48. Penalty: Illegal Block on Hamilton (Neil King) -10 yards.,17,7
08:29,1,Rush,5,Dan LeFevour rush for 5 yards to the Ham43. Tackled by Henoc Muamba.,17,7
07:50,0,Roughing Passer,15,Penalty: Roughing Passer on Winnipeg (Kenny Mainor) 15 yards.,17,7
07:25,1,Rush,22,C.J. Gable rush for 22 yards to the Wpg30. Tackled by Cauchy Muamba.,17,7
06:40,1,Incomplete Pass,0,Henry Burris incomplete pass intended for Bakari Grant.,17,7
06:19,2,Incomplete Pass,0,Henry Burris incomplete pass intended for Bakari Grant.,17,7
06:02,3,Missed Field Goal,28,45 yard field goal attempt by Luca Congi is NO GOOD.  Missed field goal returned by Aaron Woods to the Wpg13. Tackled by Marc Beswick.,17,7
05:39,1,Pass,0,Buck Pierce pass to Clarence Denmark for no gain to the Wpg13. Tackled by Courtney Stephen.,17,7
05:10,2,Pass,9,Buck Pierce pass to Rory Kohlert for 9 yards to the Wpg22. Tackled by Rico Murray.,17,7
04:36,3,Punt,7,Mike Renaud punts for 45 yards to Ham43. Onrea Jones return for 7 yards to Ham50. Tackled by Marty Markett.,17,7
04:18,1,Rush,30,Dan LeFevour rush for 30 yards to the Wpg30. Tackled by Demond Washington.,17,7
03:33,1,Incomplete Pass,0,Dan LeFevour incomplete pass intended for Bakari Grant.,17,7
03:17,0,Pass Interference,17,Penalty: Pass Interference on Winnipeg (Desia Dunn) 17 yards.,17,7
02:57,1,Incomplete Pass,0,Henry Burris incomplete pass intended for Bakari Grant.,17,7
02:38,2,Offside,5,Penalty: Offside on Winnipeg (Alex Hall) 5 yards.,17,7
02:18,2,Pass,7,Henry Burris pass to Andy Fantuz for 7 yards to the Wpg1. Tackled by Brandon Stewart.,17,7
01:03,1,Rush,1,Dan LeFevour rush for 1 yard for a TOUCHDOWN.,23,7
00:48,0,Made Extra Point,0,Luca Congi extra point is good.,24,7
00:48,0,Kickoff,39,Luca Congi kicks off to the Wpg15. Aaron Woods return for 39 yards to Wpg54. Tackled by Chevon Walker.,24,7
00:40,1,Rush,7,Chad Simpson rush for 7 yards to the Ham49. Tackled by Simoni Lawrence.,24,7
00:01,2,Sack,-3,Sack at Ham52 for a loss of 3 yards by Brandon Boudreaux.,24,7
14:43,3,Punt Single,0,Mike Renaud punts for 66 yards to Ham0. No return (Single).,24,8
14:43,1,Incomplete Pass,0,Henry Burris incomplete pass intended for Onrea Jones.,24,8
14:27,2,Incomplete Pass,0,Henry Burris incomplete pass intended for Andy Fantuz.,24,8
14:05,3,Punt,9,Josh Bartel punts for 45 yards to Wpg30. Aaron Woods return for 9 yards to Wpg39. Tackled by Harold Mutobola.,24,8
13:39,1,Pass,60,Max Hall pass to Terrence Edwards for 60 yards to the Ham11. Tackled by Simoni Lawrence.,24,8
12:48,1,Incomplete Pass,0,Max Hall incomplete pass intended for Clarence Denmark.,24,8
12:18,2,Incomplete Pass,0,Max Hall incomplete pass intended for Rory Kohlert.,24,8
11:44,3,Missed Field Goal,18,Sandro DeAngelis 18 yard field goal attempt is GOOD.,24,11
11:44,0,Kickoff,12,Sandro DeAngelis kicks off to the Ham19. Chevon Walker return for 12 yards to Ham31. Tackled by Ian Wild.,24,11
11:40,1,Incomplete Pass,0,Henry Burris incomplete pass intended for Andy Fantuz defensed by JT Gilmore.,24,11
11:24,2,Pass,15,Henry Burris pass to Greg Ellingson for 15 yards to the Ham46. Tackled by Henoc Muamba.,24,11
10:30,1,Pass,14,Henry Burris pass to C.J. Gable for 14 yards to the Wpg50. Tackled by Ian Wild.,24,11
10:18,1,Rush,4,Dan LeFevour rush for 4 yards to the Wpg46. Tackled by Henoc Muamba.,24,11
09:37,2,Pass,7,Henry Burris pass to Samuel Giguere for 7 yards to the Wpg39. Tackled by Alex Suber.,24,11
08:48,1,Incomplete Pass,0,Henry Burris incomplete pass intended for C.J. Gable.,24,11
08:29,2,Incomplete Pass,0,Henry Burris incomplete pass intended for C.J. Gable.,24,11
07:49,3,Missed Field Goal,46,Luca Congi 46 yard field goal attempt is GOOD.,27,11
07:49,1,Incomplete Pass,0,Max Hall incomplete pass intended for Clarence Denmark defensed by Rico Murray.,27,11
07:45,2,Interception,6,Max Hall pass intended for Jade Etienne INTERCEPTED by Rico Murray and returned for 6 yards. Tackled by Clarence Denmark.,27,11
07:15,1,Incomplete Pass,0,Henry Burris incomplete pass intended for Bakari Grant.,27,11
06:57,2,Pass,25,Henry Burris pass to Samuel Giguere for 25 yards to the Wpg15. Tackled by Cauchy Muamba.,27,11
05:44,1,Rush,15,C.J. Gable rush for 15 yards for a TOUCHDOWN.,33,11
05:24,0,Made Extra Point,0,Luca Congi extra point is good.,34,11
05:24,0,Kickoff,25,Luca Congi kicks off to the Wpg10. Anthony Woodson return for 25 yards to Wpg35. Tackled by Neil King.,34,11
05:17,1,Incomplete Pass,0,Max Hall incomplete pass intended for Clarence Denmark.,34,11
05:02,2,Pass,26,Max Hall pass to Terrence Edwards for 26 yards to the Ham49. Tackled by Courtney Stephen.,34,11
04:22,1,Objectionable Conduct,-2,Max Hall pass to Rory Kohlert for 3 yards to the Ham46. Tackled by Simoni Lawrence. Penalty: Unnecessary Roughness on Winnipeg (Justin Sorensen) -15 yards. Penalty: Objectionable Conduct on Hamilton (Rico Murray) 10 yards.,34,11
04:07,2,Pass,5,Max Hall pass to Rory Kohlert for 5 yards to the Ham46. Tackled by Rico Murray.,34,11
03:24,3,Pass,1,Max Hall pass to Chad Simpson for 1 yard to the Ham45. Tackled by Jamall Johnson.,34,11
02:39,1,Fumble,63,"Henry Burris pass to Bakari Grant for 9 yards to the Ham54. FUMBLE, recovered by Wpg (Ian Wild) and returned for 54 yards for a TOUCHDOWN.",34,17
02:39,0,Made Extra Point,0,Sandro DeAngelis extra point is good.,34,18
02:39,0,Kickoff,2,Sandro DeAngelis kicks off to the Wpg54. Onrea Jones return for 2 yards to Wpg52. Tackled by Pierre-Luc Labbe.,34,18
02:38,1,Rush,2,C.J. Gable rush for 2 yards to the Wpg50. Tackled by Henoc Muamba.,34,18
02:33,2,Sack,-4,Sack at Wpg54 for a loss of 4 yards by Alex Hall.,34,18
02:12,3,Punt,2,Josh Bartel punts for 40 yards to Wpg14. Aaron Woods return for 2 yards to Wpg16.,34,18
01:48,1,Pass,-1,Max Hall pass to Chad Simpson for a loss of 1 yard to the Wpg15. Tackled by Eric Norwood.,34,18
01:42,2,Incomplete Pass,0,Max Hall incomplete pass intended for Anthony Woodson.,34,18
01:30,3,No Yards,28,Mike Renaud punts for 43 yards to Ham52. Penalty: No Yards on Winnipeg (Marty Markett) -15 yards.,34,18
01:21,1,Rush,9,C.J. Gable rush for 9 yards to the Wpg34. Tackled by Demond Washington.,34,18
01:16,2,Rush,5,C.J. Gable rush for 5 yards to the Wpg29. Tackled by Demond Washington.,34,18
00:56,1,Rush,5,C.J. Gable rush for 5 yards to the Wpg24. Tackled by Jovon Johnson.,34,18
00:35,2,Rush,4,C.J. Gable rush for 4 yards to the Wpg20. Tackled by JT Gilmore.,34,18
00:00,3,Missed Field Goal,27,Luca Congi 27 yard field goal attempt is GOOD.,37,18
