Time,Down,Type,Yards,Details,Montreal,Hamilton
15:00,0,Kickoff,9,Luca Congi kicks off to the Mtl29. Arland Bruce return for 9 yards to Mtl38. Tackled by Neil King.,0,0
14:56,1,Rush,8,Tyrell Sutton rush for 8 yards to the Mtl46. Tackled by Simoni Lawrence.,0,0
14:34,2,Rush,4,Tyrell Sutton rush for 4 yards to the Mtl50. Tackled by Brian Bulcke.,0,0
14:02,1,Rush,10,Arland Bruce rush for 10 yards to the Ham50. Tackled by Rico Murray.,0,0
13:25,1,Incomplete Pass,0,Troy Smith incomplete pass intended for S.J. Green.,0,0
13:05,2,Time Count,-5,Penalty: Time Count on Montreal (Troy Smith) -5 yards.,0,0
12:40,2,Pass,-2,Troy Smith pass to Tyrell Sutton for a loss of 2 yards to the Mtl53. Tackled by Delvin Breaux.,0,0
12:26,3,Punt,0,Burke Dales punts for 50 yards to Ham7. No return.,0,0
12:09,1,Pass,8,Henry Burris pass to Andy Fantuz for 8 yards to the Ham15. Tackled by Shea Emry.,0,0
11:56,2,Rush,7,Dan LeFevour rush for 7 yards to the Ham22. Tackled by Alan-Michael Cash.,0,0
11:16,1,Rush,1,Dan LeFevour rush for 1 yard to the Ham23. Tackled by Shea Emry.,0,0
10:56,2,Incomplete Pass,0,Henry Burris incomplete pass intended for Bakari Grant.,0,0
10:01,3,No Yards,26,Josh Bartel punts for 31 yards to Ham54. Penalty: No Yards on Hamilton ( ) -5 yards.,0,0
09:41,0,Roughing Passer,15,Penalty: Roughing Passer on Hamilton (Torrey Davis) 15 yards.,0,0
09:27,1,Pass,1,Troy Smith pass to Bo Bowling for 1 yard to the Ham33. Tackled by Brandon Boudreaux.,0,0
09:08,2,Incomplete Pass,0,Troy Smith incomplete pass intended for Tyrell Sutton.,0,0
08:08,3,Field Goal Single,43,43 yard field goal attempt by Sean Whyte is NO GOOD (Single).,1,0
08:08,1,Rush,-2,C.J. Gable rush for a loss of 2 yards to the Ham33. Tackled by Aaron Lavarias.,1,0
07:52,2,Pass,3,Henry Burris pass to Andy Fantuz for 3 yards to the Ham36. Tackled by Winston Venable.,1,0
07:14,3,Offside,5,Penalty: Offside on Montreal (Ben Wells) 5 yards.,1,0
07:05,3,No Yards,16,Josh Bartel punts for 21 yards to Mtl43. Penalty: No Yards on Hamilton (C.O. Prime) -5 yards.,1,0
06:37,1,Rush,8,Tyrell Sutton rush for 8 yards to the Ham49. Tackled by Jamall Johnson.,1,0
06:25,2,Time Count,-5,Penalty: Time Count on Montreal (Troy Smith) -5 yards.,1,0
05:45,2,Incomplete Pass,0,Troy Smith incomplete pass intended for Duron Carter defensed by Arthur Hobbs.,1,0
05:18,3,Punt Single,0,Burke Dales punts for 62 yards to Ham0. No return (Single).,2,0
05:18,1,Pass,3,Dan LeFevour pass to C.J. Gable for 3 yards to the Ham38. Tackled by Moton Hopkins.,2,0
04:57,2,Fumble,15,"Henry Burris pass to C.J. Gable for 11 yards to the Ham49. FUMBLE, recovered by Mtl (Chip Cox) and returned for 4 yards. Tackled by Joel Figueroa.",2,0
04:00,1,Pass,14,Troy Smith pass to Tyrell Sutton for 14 yards to the Ham31. Tackled by Emanuel Davis.,2,0
03:50,1,Rush,4,Tyrell Sutton rush for 4 yards to the Ham27. Tackled by Brian Bulcke.,2,0
02:43,2,Pass,11,Troy Smith pass to Arland Bruce for 11 yards to the Ham16. Tackled by Hasan Hazime.,2,0
02:22,0,Face Mask,-15,Penalty: Face Mask on Montreal (Duron Carter) -15 yards.,2,0
01:40,1,Offside,5,Penalty: Offside on Hamilton (Brandon Boudreaux) 5 yards.,2,0
01:17,1,Interception,0,Troy Smith pass intended for Bo Bowling INTERCEPTED by Emanuel Davis. No return. Tackled by Bo Bowling.,2,0
00:50,1,Pass,6,Henry Burris pass to Samuel Giguere for 6 yards to the Ham24. Tackled by Aaron Lavarias.,2,0
00:28,2,Offside,5,Penalty: Offside on Montreal (Winston Venable) 5 yards.,2,0
00:01,1,Incomplete Pass,0,Henry Burris incomplete pass intended for Andy Fantuz.,2,0
15:00,2,Pass,7,Henry Burris pass to C.J. Gable for 7 yards to the Ham36. Tackled by Winston Venable.,2,0
14:26,0,Blocked Punt,-13,FUMBLE Punt blocked by Brandon London.  Recovered by Ham (Arnaud Gascon-Nadon),2,0
14:08,1,Rush,4,Tyrell Sutton rush for 4 yards to the Ham19. Tackled by Brian Bulcke.,2,0
13:47,2,Pass,4,Troy Smith pass to Tyrell Sutton for 4 yards to the Ham15. Tackled by Simoni Lawrence.,2,0
13:06,3,Illegal Procedure,-5,Penalty: Illegal Procedure on Montreal -5 yards.,2,0
12:32,3,Missed Field Goal,22,22 yard field goal attempt by Sean Whyte is NO GOOD.,2,0
12:07,0,Pass Interference,10,Penalty: Pass Interference on Montreal (Geoff Tisdale) 10 yards.,2,0
11:55,1,Pass,-2,Henry Burris pass to Bakari Grant for a loss of 2 yards to the Ham33. Tackled by Geoff Tisdale.,2,0
11:36,2,Pass,7,Henry Burris pass to Bakari Grant for 7 yards to the Ham40. Tackled by Jerald Brown.,2,0
10:55,3,Punt,0,Josh Bartel punts for 50 yards to Mtl20. No return.,2,0
10:18,1,Rush,0,Tyrell Sutton rush for no gain to the Mtl20. Tackled by Simoni Lawrence.,2,0
09:58,2,Incomplete Pass,0,Troy Smith incomplete pass intended for Duron Carter defensed by Rico Murray.,2,0
09:25,3,No Yards,7,Burke Dales punts for 22 yards to Mtl42. Penalty: No Yards on Montreal (Daryl Townsend) -15 yards.,2,0
08:58,1,Rush,4,Dan LeFevour rush for 4 yards to the Mtl23. Tackled by John Bowman.,2,0
08:40,2,Pass,15,Dan LeFevour pass to Bakari Grant for 15 yards to the Mtl8. Tackled by Winston Venable.,2,0
07:59,1,Rush,5,Dan LeFevour rush for 5 yards to the Mtl3. Tackled by Moton Hopkins.,2,0
07:38,2,Rush,1,Dan LeFevour rush for 1 yard to the Mtl2. Tackled by Alan-Michael Cash.,2,0
