Time,Down,Type,Yards,Details,Hamilton,Toronto
15:00,0,Kickoff,19,Swayze Waters kicks off to the Ham10. Brandon Banks return for 19 yards to Ham29. Tackled by Jalil Carter.,0,0
14:48,1,Rush,5,C.J. Gable rush for 5 yards to the Ham34. Tackled by Robert McCune.,0,0
14:18,2,Pass,6,Henry Burris pass to Dobson Collins for 6 yards to the Ham40. Tackled by Demetrice Morley.,0,0
13:46,1,Rush,5,C.J. Gable rush for 5 yards to the Ham45. Tackled by Pat Watkins.,0,0
13:01,2,Pass,34,Henry Burris pass to Dobson Collins for 34 yards to the Tor31. Tackled by Jalil Carter.,0,0
12:29,1,Illegal Procedure,-5,Penalty: Illegal Procedure on Hamilton (Peter Dyakowski) -5 yards.,0,0
12:00,1,Pass,12,Henry Burris pass to Luke Tasker for 12 yards to the Tor24. Tackled by Jalil Carter.,0,0
10:54,2,Pass,24,Henry Burris pass to Luke Tasker for 24 yards for a TOUCHDOWN.,6,0
10:36,0,Made Extra Point,0,Brett Lauther extra point is good.,7,0
10:36,0,Kickoff,39,Brett Lauther kicks off to the Tor14. Trent Guy return for 39 yards to Tor53. Tackled by Brett Lauther.,7,0
10:24,1,Pass,10,Zach Collaros pass to Zander Robinson for 10 yards to the Ham47. Tackled by Emanuel Davis.,7,0
09:48,2,Rush,1,Zach Collaros rush for 1 yard to the Ham46. Tackled by Brandon Boudreaux.,7,0
09:25,1,Rush,7,Chad Kackert rush for 7 yards to the Ham39. Tackled by Brandon Boudreaux.,7,0
08:55,2,Sack,-8,Sack at Ham47 for a loss of 8 yards by Brandon Isaac.,7,0
08:19,3,Punt,0,Swayze Waters punts for 31 yards to Ham16. No return.,7,0
08:04,1,Offside,5,Penalty: Offside on Toronto (Khalif Mitchell) 5 yards.,7,0
07:51,1,Rush,2,C.J. Gable rush for 2 yards to the Ham23. Tackled by Kiante Tripp.,7,0
07:20,2,Pass,6,Henry Burris pass to Andy Fantuz for 6 yards to the Ham29. Tackled by Pat Watkins.,7,0
06:40,0,Offside,-5,Penalty: Holding on Hamilton (Peter Dyakowski) -10 yards. Penalty: Offside on Toronto (Ivan Brown) 5 yards.,7,0
06:03,1,Rush,9,Henry Burris rush for 9 yards to the Ham33. Tackled by Khalif Mitchell.,7,0
05:24,2,Pass,25,Henry Burris pass to Bakari Grant for 25 yards to the Tor52. Tackled by Ricardo Colclough.,7,0
05:00,1,Rush,5,Dan LeFevour rush for 5 yards to the Tor47. Tackled by Marcus Ball.,7,0
04:35,2,Incomplete Pass,0,Henry Burris incomplete pass intended for Andy Fantuz.,7,0
03:37,3,Punt Single,0,Josh Bartel punts for 50 yards to Tor0. No return (Single).,8,0
03:37,1,Pass,3,Zach Collaros pass to Chad Owens for 3 yards to the Tor38. Tackled by Emanuel Davis.,8,0
03:15,2,Incomplete Pass,0,Zach Collaros incomplete pass intended for Chad Kackert.,8,0
02:45,3,Punt,5,Swayze Waters punts for 54 yards to Ham18. Brandon Banks return for 5 yards to Ham23. Tackled by Jonathan Hood.,8,0
02:29,1,Incomplete Pass,0,Henry Burris incomplete pass intended for Bakari Grant.,8,0
02:12,2,Incomplete Pass,0,Henry Burris incomplete pass intended for Luke Tasker.,8,0
01:40,3,Illegal Block,-4,Josh Bartel punts for 49 yards to Tor38. Chad Owens return for 6 yards to Tor44. Penalty: Illegal Block on Toronto (Alonzo Lawrence) -10 yards.,8,0
01:21,1,Pass,40,Zach Collaros pass to Andre Durie for 40 yards to the Ham36. Tackled by Hasan Hazime.,8,0
00:51,1,Incomplete Pass,0,Zach Collaros incomplete pass intended for Dontrelle Inman.,8,0
00:20,2,Pass,9,Zach Collaros pass to Spencer Watt for 9 yards to the Ham27. Tackled by Emanuel Davis.,8,0
14:45,3,Missed Field Goal,35,Swayze Waters 35 yard field goal attempt is GOOD.,8,3
14:45,0,Kickoff,41,Swayze Waters kicks off to the Ham2. Brandon Banks return for 41 yards to Ham43. Tackled by Swayze Waters.,8,3
14:36,1,Rush,6,C.J. Gable rush for 6 yards to the Ham49. Tackled by Shane Horton.,8,3
14:03,2,Pass,11,Henry Burris pass to Bakari Grant for 11 yards to the Tor50. Tackled by Ricardo Colclough.,8,3
13:23,1,Holding,18,Henry Burris pass intended for Luke Tasker INTERCEPTED by Ricardo Colclough and returned for 28 yards. Tackled by Andy Fantuz. Penalty: Holding on Toronto (Matt Black) -10 yards.,8,3
12:46,1,Incomplete Pass,0,Zach Collaros incomplete pass intended for Dontrelle Inman defensed by Arthur Hobbs.,8,3
12:30,2,Incomplete Pass,0,Zach Collaros incomplete pass intended for Jason Barnes.,8,3
12:08,3,Punt,10,Swayze Waters punts for 22 yards to Ham45. Simoni Lawrence return for 10 yards to Ham55. Tackled by Chad Rempel.,8,3
11:31,1,Pass,5,Henry Burris pass to Bakari Grant for 5 yards to the Tor50. Tackled by Jalil Carter.,8,3
11:09,2,Rush,5,C.J. Gable rush for 5 yards to the Tor45. Tackled by Kiante Tripp.,8,3
10:23,1,Pass,9,Henry Burris pass to Dobson Collins for 9 yards to the Tor36. Tackled by Marcus Ball.,8,3
10:01,2,Rush,4,C.J. Gable rush for 4 yards to the Tor32. Tackled by Robert McCune.,8,3
09:10,1,Pass,7,Henry Burris pass to Andy Fantuz for 7 yards to the Tor25. Tackled by Pat Watkins.,8,3
08:05,2,Rush,25,C.J. Gable rush for 25 yards for a TOUCHDOWN.,14,3
