Time,Down,Type,Yards,Details,Hamilton,Montreal
08:03,2,Incomplete Pass,0,Josh Neiswander incomplete pass intended for Wallace Wright defensed by Dee Webb.,16,7
07:40,3,Punt,7,Sean Whyte punts for 40 yards to Ham36. Lindsey Lamar return for 7 yards to Ham43. Tackled by Michael Parker.,16,7
07:23,1,Pass,3,Dan LeFevour pass to Simon Le Marquand for 3 yards to the Ham46. Tackled by Michael Carter.,16,7
06:39,2,Incomplete Pass,0,Dan LeFevour incomplete pass intended for Chevon Walker.,16,7
06:16,3,Punt,5,Delbert Alvarado punts for 39 yards to Mtl25. Noel Devine return for 5 yards to Mtl30. Tackled by Neil King.,16,7
05:59,1,Rush,4,Noel Devine rush for 4 yards to the Mtl34. Tackled by Markeith Knowlton.,16,7
05:29,2,Pass,23,Josh Neiswander pass to Wallace Wright for 23 yards to the Ham53. Tackled by Ricardo Colclough.,16,7
05:07,1,Pass,10,Josh Neiswander pass to Ezra Millington for 10 yards to the Ham43. Tackled by Delvin Breaux.,16,7
04:28,1,Incomplete Pass,0,Josh Neiswander incomplete pass intended for Damone Blackman.,16,7
04:16,2,Incomplete Pass,0,Josh Neiswander incomplete pass intended for Wallace Wright.,16,7
03:56,3,Missed Field Goal,10,44 yard field goal attempt by Sean Whyte is NO GOOD.  Missed field goal returned by Lindsey Lamar to the Ham9. Tackled by Brandon Denson.,16,7
03:32,1,Pass,8,Dan LeFevour pass to John Delahunt for 8 yards to the Ham17. Tackled by Ben Wells.,16,7
03:00,2,Pass,26,Dan LeFevour pass to Dave Stala for 26 yards to the Ham43. Tackled by Daryl Townsend.,16,7
02:33,1,Incomplete Pass,0,Dan LeFevour incomplete pass intended for Dave Stala.,16,7
02:11,2,Incomplete Pass,0,Dan LeFevour incomplete pass intended for Simon Le Marquand.,16,7
02:05,3,Punt,17,Delbert Alvarado punts for 43 yards to Mtl24. Tyron Carrier return for 17 yards to Mtl41. Tackled by Emanuel Davis.,16,7
01:53,1,Pass,16,Josh Neiswander pass to Noel Devine for 16 yards to the Ham53. Tackled by Ricardo Colclough.,16,7
01:46,1,Pass,23,Josh Neiswander pass to Ezra Millington for 23 yards to the Ham30. Tackled by Neil King.,16,7
01:39,1,Incomplete Pass,0,Josh Neiswander incomplete pass intended for Wallace Wright.,16,7
01:22,2,Pass,5,Josh Neiswander pass to Michael Campbell for 5 yards to the Ham25. Tackled by Dee Webb.,16,7
01:10,3,Missed Field Goal,32,Sean Whyte 32 yard field goal attempt is GOOD.,16,10
01:10,1,Pass,9,Dan LeFevour pass to Chevon Walker for 9 yards to the Ham44. Tackled by Nicolas Boulay.,16,10
01:02,2,Incomplete Pass,0,Dan LeFevour incomplete pass.,16,10
00:55,3,Punt,7,Delbert Alvarado punts for 41 yards to Mtl25. Noel Devine return for 7 yards to Mtl32. Tackled by Daryl Stephenson.,16,10
00:44,1,Incomplete Pass,0,Josh Neiswander incomplete pass.,16,10
00:40,2,Interception,19,Josh Neiswander pass INTERCEPTED by Ricardo Colclough and returned for 19 yards. Tackled by Kristian Matte.,16,10
00:28,1,Incomplete Pass,0,Dan LeFevour incomplete pass intended for Dave Stala.,16,10
00:15,2,Pass,25,Dan LeFevour pass to Chevon Walker for 25 yards for a TOUCHDOWN.,22,10
00:15,0,Made Extra Point,0,Delbert Alvarado extra point is good.,23,10
00:15,0,Kickoff,11,Delbert Alvarado kicks off to the Mtl19. Tyron Carrier return for 11 yards to Mtl30. Tackled by Simon Le Marquand.,23,10
00:05,1,Rush,5,Steven Lumbala rush for 5 yards to the Mtl35. Tackled by Nate Bussey.,23,10
15:00,0,Kickoff,34,Sean Whyte kicks off to the Ham10. Lindsey Lamar return for 34 yards to Ham44. Tackled by Ezra Millington.,23,10
14:45,1,Pass,10,Brian Brohm pass to Justin Hilton for 10 yards to the Ham54. Tackled by Michael Carter.,23,10
14:12,1,Fumble,13,"C.J. Gable rush for 13 yards to the Mtl43. FUMBLE, recovered by Mtl (Michael Klassen). Tackled by Cody Husband.",23,10
13:30,1,Pass,4,Tanner Marsh pass to D.L. Moore for 4 yards to the Mtl47. Tackled by Ryan Hinds.,23,10
13:20,2,Pass,14,Tanner Marsh pass to D.L. Moore for 14 yards to the Ham49. Tackled by Emanuel Davis.,23,10
12:50,1,Rush,-2,Dahrran Diedrick rush for a loss of 2 yards to the Ham51. Tackled by Craig Marshall.,23,10
12:00,2,Pass,2,Tanner Marsh pass to Michael Campbell for 2 yards to the Ham49. Tackled by Emanuel Davis.,23,10
11:36,3,Punt,0,Sean Whyte punts for 45 yards to Ham4. Ouslet Volcy return for no gain to Ham4. Tackled by Jordan Verdone.,23,10
10:54,1,Rush,3,C.J. Gable rush for 3 yards to the Ham7. Tackled by Michael Klassen.,23,10
10:17,2,Pass,5,Brian Brohm pass to Justin Hilton for 5 yards to the Ham12. Tackled by Winston Venable.,23,10
09:50,3,Safety,-12,Safety,23,12
09:50,0,Kickoff,15,Brett Lauther kicks off to the Mtl25. Duron Carter return for 15 yards to Mtl40. Tackled by Neil King.,23,12
09:33,1,Incomplete Pass,0,Tanner Marsh incomplete pass intended for Damone Blackman.,23,12
09:25,2,Sack,-5,Sack at Mtl35 for a loss of 5 yards by Craig Marshall.,23,12
08:34,3,Punt,0,Sean Whyte punts for 37 yards to Ham38. No return.,23,12
08:21,1,Pass,27,Brian Brohm pass to Onrea Jones for 27 yards to the Mtl45. Tackled by Dominic Rhodes.,23,12
07:50,1,Incomplete Pass,0,Brian Brohm incomplete pass intended for Onrea Jones.,23,12
07:21,2,Incomplete Pass,0,Brian Brohm incomplete pass intended for Ouslet Volcy.,23,12
07:06,3,Punt,4,Brett Lauther punts for 40 yards to Mtl5. Tyron Carrier return for 4 yards to Mtl9.,23,12
06:53,1,Incomplete Pass,0,Quinton Porter incomplete pass intended for Duron Carter.,23,12
06:42,2,Incomplete Pass,0,Quinton Porter incomplete pass.,23,12
06:22,3,Offside,5,Penalty: Offside on Hamilton (John Delahunt) 5 yards.,23,12
06:01,3,Punt,16,Sean Whyte punts for 47 yards to Ham49. Lindsey Lamar return for 16 yards to Mtl45. Tackled by Jordan Verdone.,23,12
05:42,1,Pass,38,Brian Brohm pass to Eric McCree for 38 yards to the Mtl7. Tackled by Michael Parker.,23,12
05:18,1,Incomplete Pass,0,Brian Brohm incomplete pass intended for Daryl Stephenson.,23,12
05:03,2,Incomplete Pass,0,Brian Brohm incomplete pass intended for Ouslet Volcy.,23,12
04:29,3,Missed Field Goal,14,Brett Lauther 14 yard field goal attempt is GOOD.,26,12
04:29,1,Rush,8,Dominic Rhodes rush for 8 yards to the Mtl43. Tackled by Nate Bussey.,26,12
03:49,2,Rush,-8,Dominic Rhodes rush for a loss of 8 yards to the Mtl35. Tackled by Hasan Hazime.,26,12
03:05,3,Holding,-5,Sean Whyte punts for 47 yards to Ham28. Lindsey Lamar return for 5 yards to Ham33. Penalty: Holding on Hamilton -10 yards.,26,12
02:44,1,Pass,30,Brian Brohm pass to Greg Ellingson for 30 yards to the Ham53. Tackled by Lorenzo White.,26,12
02:18,1,Rush,2,Lindsey Lamar rush for 2 yards to the Ham55. Tackled by Jordan Verdone.,26,12
01:41,2,Incomplete Pass,0,Brian Brohm incomplete pass intended for Greg Ellingson.,26,12
