Time,Down,Type,Yards,Details,Winnipeg,Hamilton
07:11,1,Rush,4,Chad Simpson rush for 4 yards to the Ham46. Tackled by Evan McCollough.,0,24
06:49,2,Rush,0,Buck Pierce rush for no gain to the Ham46. Tackled by Hasan Hazime.,0,24
06:11,3,No Yards,33,Mike Renaud punts for 28 yards to Ham18. Penalty: No Yards on Hamilton (Anthony Woodson) 5 yards.,0,24
05:40,1,Pass,0,Henry Burris pass to Bakari Grant for no gain to the Ham23. Tackled by Jovon Johnson.,0,24
05:21,2,Pass,2,Henry Burris pass to Bakari Grant for 2 yards to the Ham25. Tackled by Demond Washington.,0,24
04:35,3,Illegal Punt,30,Josh Bartel punts for 40 yards to Wpg45. Penalty: Illegal Punt on Hamilton (Josh Bartel) -10 yards.,0,24
04:24,0,Face Mask,5,Penalty: Holding on Winnipeg (Michel-Pierre Pontbriand) -10 yards. Penalty: Face Mask on Hamilton (Simoni Lawrence) 15 yards.,0,24
03:58,1,Pass,0,Buck Pierce pass to   for no gain to the Ham50. Tackled by Evan McCollough.,0,24
03:30,2,Incomplete Pass,0,Buck Pierce incomplete pass intended for Rory Kohlert defensed by Rico Murray.,0,24
02:58,3,Fumble,3,"Mike Renaud punts for 30 yards to Ham20. Tavoy Moore return for 3 yards to Ham23. FUMBLE, recovered by Wpg (James Green). Tackled by Marc Beswick.",0,24
02:48,1,Pass,-2,Buck Pierce pass to   for a loss of 2 yards to the Ham25. Tackled by Delvin Breaux.,0,24
02:34,2,Incomplete Pass,0,Buck Pierce incomplete pass intended for  .,0,24
02:06,3,Missed Field Goal,32,Sandro DeAngelis 32 yard field goal attempt is GOOD.,3,24
02:06,0,Kickoff,15,Sandro DeAngelis kicks off to the Wpg50. Onside kick recovered by kicking team by Sandro DeAngelis.,3,24
02:05,0,Too Many Men on Field,10,Penalty: Too Many Men on Field on Hamilton 10 yards.,3,24
01:57,1,Rush,8,Buck Pierce rush for 8 yards to the Ham42. Tackled by Simoni Lawrence.,3,24
01:49,2,Rush,1,Chad Simpson rush for 1 yard to the Ham41. Tackled by Brian Bulcke.,3,24
01:42,3,Rush,1,Justin Goltz rush for 1 yard to the Ham40. Tackled by Rico Murray.,3,24
01:35,1,Pass,13,Buck Pierce pass to Terrence Edwards for 13 yards to the Ham27. Tackled by Evan McCollough.,3,24
01:15,1,Pass,14,Buck Pierce pass to Clarence Denmark for 14 yards to the Ham13. Tackled by Raymond Brown.,3,24
00:45,1,Pass,7,Buck Pierce pass to Clarence Denmark for 7 yards to the Ham6. Tackled by Evan McCollough.,3,24
00:27,2,Incomplete Pass,0,Buck Pierce incomplete pass intended for Clarence Denmark defensed by Simoni Lawrence.,3,24
00:03,3,Missed Field Goal,14,Sandro DeAngelis 14 yard field goal attempt is GOOD.,6,24
15:00,0,Kickoff,22,Sandro DeAngelis kicks off to the Ham14. Tavoy Moore return for 22 yards to Ham36. Tackled by Rene Stephan.,6,24
14:52,1,Incomplete Pass,0,Henry Burris incomplete pass intended for Andy Fantuz.,6,24
14:33,2,Sack,-7,Sack at Ham29 for a loss of 7 yards by Alex Hall.,6,24
14:09,3,Punt,6,Josh Bartel punts for 37 yards to Wpg44. Aaron Woods return for 6 yards to Wpg50. Tackled by C.J. Gable.,6,24
13:59,1,Rush,4,Chad Simpson rush for 4 yards to the Wpg54. Tackled by Simoni Lawrence.,6,24
13:39,2,Pass,10,Buck Pierce pass to Clarence Denmark for 10 yards to the Ham46. Tackled by Rico Murray.,6,24
13:24,1,Rush,3,Chad Simpson rush for 3 yards to the Ham43. Tackled by Torrey Davis.,6,24
12:59,2,Sack,-8,Sack at Ham51 for a loss of 8 yards by Brandon Boudreaux.,6,24
11:59,3,Punt Single,0,Mike Renaud punts for 53 yards to Ham0. No return (Single).,7,24
12:01,1,Rush,10,C.J. Gable rush for 10 yards to the Ham45. Tackled by Desia Dunn.,7,24
11:55,2,Rush,2,Dan LeFevour rush for 2 yards to the Ham47. Tackled by Henoc Muamba.,7,24
11:07,1,Pass,9,Henry Burris pass to C.J. Gable for 9 yards to the Wpg54. Tackled by Ian Wild.,7,24
10:21,2,Rush,2,Dan LeFevour rush for 2 yards to the Wpg52. Tackled by Pierre-Luc Labbe.,7,24
09:45,1,Pass,16,Henry Burris pass to Greg Ellingson for 16 yards to the Wpg36. Tackled by Alex Suber.,7,24
09:06,1,Incomplete Pass,0,Henry Burris incomplete pass intended for Samuel Giguere.,7,24
08:31,2,Sack,-8,Sack at Wpg44 for a loss of 8 yards by Alex Hall.,7,24
08:07,3,Punt,10,Josh Bartel punts for 38 yards to Wpg6. Aaron Woods return for 10 yards to Wpg16. Tackled by Courtney Greene.,7,24
07:31,1,Pass,7,Buck Pierce pass to Terrence Edwards for 7 yards to the Wpg23. Tackled by Evan McCollough.,7,24
07:23,2,Pass,6,Buck Pierce pass to   for 6 yards to the Wpg29. Tackled by Delvin Breaux.,7,24
06:46,1,Rush,1,Buck Pierce rush for 1 yard to the Wpg30. Tackled by Rico Murray.,7,24
06:05,2,Incomplete Pass,0,Buck Pierce incomplete pass intended for Clarence Denmark.,7,24
05:25,3,Punt,25,Mike Renaud punts for 47 yards to Ham33. Tavoy Moore return for 25 yards to Wpg52. Tackled by Anthony Woodson.,7,24
05:00,1,Interception,17,Henry Burris pass intended for Andy Fantuz INTERCEPTED by Cauchy Muamba and returned for 17 yards. Tackled by C.J. Gable.,7,24
04:34,1,Time Count,5,Penalty: Time Count on Hamilton (Buck Pierce) 5 yards.,7,24
04:04,1,Incomplete Pass,0,Buck Pierce incomplete pass intended for  .,7,24
03:55,2,Pass,8,Buck Pierce pass to Kito Poblah for 8 yards to the Wpg43. Tackled by Jamall Johnson.,7,24
03:43,3,Punt,0,Mike Renaud punts for 43 yards to Ham24. No return.,7,24
03:16,1,Pass,14,Henry Burris pass to Greg Ellingson for 14 yards to the Ham38. Tackled by Alex Suber.,7,24
02:55,1,Rush,26,C.J. Gable rush for 26 yards to the Wpg46. Tackled by Demond Washington.,7,24
02:12,1,Rush,11,Henry Burris rush for 11 yards to the Wpg35.,7,24
01:33,1,Rush,13,Dan LeFevour rush for 13 yards to the Wpg22. Tackled by Rene Stephan.,7,24
01:08,1,Pass,15,Dan LeFevour pass to Greg Ellingson for 15 yards to the Wpg7. Tackled by Brandon Stewart.,7,24
00:26,1,Rush,-3,C.J. Gable rush for a loss of 3 yards to the Wpg10. Tackled by Henoc Muamba.,7,24
15:00,2,Pass,7,Henry Burris pass to Onrea Jones for 7 yards to the Wpg3. Tackled by Demond Washington.,7,24
14:23,3,Missed Field Goal,10,Luca Congi 10 yard field goal attempt is GOOD.,7,27
14:23,0,Kickoff,24,Luca Congi kicks off to the Wpg16. Clarence Denmark return for 24 yards to Wpg40.,7,27
14:17,1,Incomplete Pass,0,Justin Goltz incomplete pass intended for Kito Poblah.,7,27
13:56,2,Pass,8,Justin Goltz pass to Terrence Edwards for 8 yards to the Wpg48. Tackled by Simoni Lawrence.,7,27
13:32,0,Fumble,2,", recovered by Wpg (Delvin Breaux). Mike Renaud punts for 55 yards to Ham7. Tavoy Moore return for 2 yards to Ham9. FUMBLE",7,27
12:53,1,Pass,7,Henry Burris pass to Bakari Grant for 7 yards to the Ham16. Tackled by Jovon Johnson.,7,27
12:41,2,Incomplete Pass,0,Henry Burris incomplete pass intended for C.J. Gable.,7,27
12:05,3,Punt,22,Josh Bartel punts for 50 yards to Wpg44. Aaron Woods return for 22 yards to Ham44. Tackled by Jamall Johnson.,7,27
