Time,Down,Type,Yards,Details,Montreal,Hamilton
15:00,0,Kickoff,21,Brett Lauther kicks off to the Mtl17. Tyrell Sutton return for 21 yards to Mtl38. Tackled by C.O. Prime.,0,0
14:50,1,Offside,-5,Penalty: Offside on Montreal (Arland Bruce) -5 yards.,0,0
14:24,1,Illegal Procedure,-5,Penalty: Illegal Procedure on Montreal (Jeff Perrett) -5 yards.,0,0
14:06,1,Incomplete Pass,0,Josh Neiswander incomplete pass intended for Duron Carter.,0,0
13:48,2,Pass,9,Josh Neiswander pass to Arland Bruce for 9 yards to the Mtl37. Tackled by Sam Scott.,0,0
13:25,3,Holding,49,Sean Whyte punts for 39 yards to Ham34. Penalty: Holding on Hamilton (Arnaud Gascon-Nadon) 10 yards.,0,0
12:48,1,Pass,12,Henry Burris pass to Andy Fantuz for 12 yards to the Ham36. Tackled by Billy Parker.,0,0
12:28,1,Pass,4,Henry Burris pass to Andy Fantuz for 4 yards to the Ham40. Tackled by Ed Gainey.,0,0
11:47,2,Offside,5,Penalty: Offside on Montreal (Aaron Lavarias) 5 yards.,0,0
11:12,2,Rush,0,C.J. Gable rush for no gain to the Ham45. Tackled by Moton Hopkins.,0,0
10:48,3,Rush,1,Dan LeFevour rush for 1 yard to the Ham46. Tackled by Scott Paxson.,0,0
09:46,1,Pass,0,Henry Burris pass to Greg Ellingson for no gain to the Ham46. Tackled by Ed Gainey.,0,0
09:33,0,Offside,-5,Penalty: Holding on Hamilton (Marwan Hage) -10 yards. Penalty: Offside on Montreal (Chip Cox) 5 yards.,0,0
08:57,2,Pass,22,Henry Burris pass to Onrea Jones for 22 yards to the Mtl47. Tackled by Mike Edem.,0,0
08:33,1,Holding,16,Henry Burris pass to Onrea Jones for 26 yards to the Mtl21. Tackled by Chip Cox. Penalty: Holding on Hamilton (Bakari Grant) -10 yards.,0,0
07:48,1,Rush,13,C.J. Gable rush for 13 yards to the Mtl18. Tackled by Scott Paxson.,0,0
07:22,1,Pass,0,Henry Burris pass to C.J. Gable for no gain to the Mtl18. Tackled by Geoff Tisdale.,0,0
06:42,2,Incomplete Pass,0,Henry Burris incomplete pass intended for Bakari Grant defensed by Geoff Tisdale.,0,0
05:46,3,Missed Field Goal,25,Brett Lauther 25 yard field goal attempt is GOOD.,0,3
