Time,Down,Type,Yards,Details,BC,Hamilton
08:01,1,Pass,18,Henry Burris pass to C.J. Gable for 18 yards to the BC7. Tackled by Korey Banks.,5,10
07:35,1,Incomplete Pass,0,Henry Burris incomplete pass intended for Andy Fantuz defensed by Cord Parks.,5,10
06:31,2,Pass,7,Henry Burris pass to Greg Ellingson for 7 yards for a TOUCHDOWN.,5,16
06:15,0,Made Extra Point,0,Luca Congi extra point is good.,5,17
06:15,0,Kickoff,15,Luca Congi kicks off to the BC15. Tim Brown return for 15 yards to BC30. Tackled by Emanuel Davis.,5,17
06:09,1,Rush,2,Andrew Harris rush for 2 yards to the BC32. Tackled by Eric Norwood.,5,17
05:53,2,Pass,15,Travis Lulay pass to Shawn Gore for 15 yards to the BC47. Tackled by Evan McCollough.,5,17
05:29,1,Pass,25,Travis Lulay pass to Courtney Taylor for 25 yards to the Ham38. Tackled by Courtney Stephen.,5,17
04:47,1,Illegal Procedure,-5,Penalty: Illegal Procedure on BC (Jovan Olafioye) -5 yards.,5,17
04:16,1,Rush,2,Travis Lulay rush for 2 yards to the Ham41. Tackled by Jamall Johnson.,5,17
04:01,2,Rush,5,Travis Lulay rush for 5 yards to the Ham36. Tackled by Rico Murray.,5,17
03:28,3,Missed Field Goal,16,43 yard field goal attempt by Paul McCallum is NO GOOD.  Missed field goal returned by Tavoy Moore to the Ham9. Tackled by Brandon Jordan.,5,17
03:06,1,Pass,7,Henry Burris pass to Bakari Grant for 7 yards to the Ham16. Tackled by Adam Bighill.,5,17
02:41,2,Rush,2,Henry Burris rush for 2 yards to the Ham18. Tackled by Khreem Smith.,5,17
02:27,3,Punt,15,Josh Bartel punts for 55 yards to BC37. Tim Brown return for 15 yards to BC52. Tackled by Marc Beswick.,5,17
01:57,1,Pass,8,Travis Lulay pass to Nick Moore for 8 yards to the Ham50. Tackled by Dee Webb.,5,17
01:52,2,Incomplete Pass,0,Travis Lulay incomplete pass intended for Nick Moore.,5,17
01:31,3,Punt,5,Paul McCallum punts for 38 yards to Ham12. Tavoy Moore return for 5 yards to Ham17. Tackled by Yaser Elqutub.,5,17
01:20,1,Rush,2,C.J. Gable rush for 2 yards to the Ham19. Tackled by Khreem Smith.,5,17
01:13,2,Incomplete Pass,0,Henry Burris incomplete pass intended for Onrea Jones.,5,17
00:50,3,Punt,13,Josh Bartel punts for 39 yards to BC52. Tim Brown return for 13 yards to Ham45. Tackled by Emanuel Davis.,5,17
00:42,1,Roughing Passer,29,Travis Lulay pass to Andrew Harris for 14 yards to the Ham31. Tackled by Dee Webb. Penalty: Roughing Passer on Hamilton (Brandon Isaac) 15 yards.,5,17
00:33,1,Pass,12,Travis Lulay pass to Shawn Gore for 12 yards to the Ham4.,5,17
00:28,1,Rush,-3,Andrew Harris rush for a loss of 3 yards to the Ham7. Tackled by Sam Scott.,5,17
00:23,2,Sack,-4,Sack at Ham11 for a loss of 4 yards by Jamall Johnson.,5,17
00:00,3,Missed Field Goal,18,Paul McCallum 18 yard field goal attempt is GOOD.,8,17
15:00,0,Kickoff,23,Paul McCallum kicks off to the Ham17. Tavoy Moore return for 23 yards to Ham40. Tackled by Rolly Lumbala.,8,17
14:53,1,Pass,16,Henry Burris pass to C.J. Gable for 16 yards to the BC54. Tackled by Khreem Smith.,8,17
14:21,1,Pass,11,Henry Burris pass to Andy Fantuz for 11 yards to the BC43. Tackled by Josh Bell.,8,17
13:46,1,Pass,11,Henry Burris pass to Dave Stala for 11 yards to the BC32. Tackled by Ryan Phillips.,8,17
12:40,1,Pass,32,Henry Burris pass to C.J. Gable for 32 yards for a TOUCHDOWN.,8,23
12:22,0,Made Extra Point,0,Luca Congi extra point is good.,8,24
12:22,0,Kickoff,17,Luca Congi kicks off to the BC17. Marco Iannuzzi return for 17 yards to BC34. Tackled by Matt Bucknor.,8,24
12:17,1,Fumble,51,"Travis Lulay pass to Nick Moore for 20 yards to the BC54. FUMBLE, recovered by Ham (Courtney Stephen) and returned for 31 yards. Tackled by Nick Moore.",8,24
11:30,1,Pass,23,Henry Burris pass to Greg Ellingson for 23 yards for a TOUCHDOWN.,8,30
11:13,0,Made Extra Point,0,Luca Congi extra point is good.,8,31
11:13,0,Kickoff,19,Luca Congi kicks off to the BC14. Tim Brown return for 19 yards to BC33. Tackled by Arthur Hobbs.,8,31
11:07,1,Incomplete Pass,0,Travis Lulay incomplete pass intended for Nick Moore.,8,31
10:50,2,Incomplete Pass,0,Travis Lulay incomplete pass intended for Nick Moore.,8,31
10:26,3,No Yards,14,Paul McCallum punts for 29 yards to Ham48. Penalty: No Yards on BC (J.R. LaRose) -15 yards.,8,31
10:12,1,Incomplete Pass,0,Henry Burris incomplete pass intended for C.J. Gable.,8,31
10:01,2,Pass,12,Henry Burris pass to Greg Ellingson for 12 yards to the BC35. Tackled by Ryan Phillips.,8,31
09:35,1,Pass,3,Henry Burris pass to Greg Ellingson for 3 yards to the BC32. Tackled by Cord Parks.,8,31
08:53,2,Incomplete Pass,0,Henry Burris incomplete pass intended for C.J. Gable.,8,31
07:53,3,Missed Field Goal,39,Luca Congi 39 yard field goal attempt is GOOD.,8,34
07:53,0,Kickoff,25,Luca Congi kicks off to the BC7. Tim Brown return for 25 yards to BC32. Tackled by Emanuel Davis.,8,34
07:47,1,Rush,3,Andrew Harris rush for 3 yards to the BC35. Tackled by Evan McCollough.,8,34
07:32,2,Pass,5,Travis Lulay pass to Shawn Gore for 5 yards to the BC40. Tackled by Simoni Lawrence.,8,34
06:51,3,Punt,4,Paul McCallum punts for 44 yards to Ham26. Tavoy Moore return for 4 yards to Ham30. Tackled by Jason Arakgi.,8,34
06:26,1,Incomplete Pass,0,Henry Burris incomplete pass intended for Andy Fantuz.,8,34
06:12,2,Incomplete Pass,0,Henry Burris incomplete pass intended for Andy Fantuz.,8,34
05:59,3,Punt,8,Josh Bartel punts for 49 yards to BC31. Tim Brown return for 8 yards to BC39. Tackled by Emanuel Davis.,8,34
05:24,1,Rush,4,Travis Lulay rush for 4 yards to the BC43. Tackled by Simoni Lawrence.,8,34
04:58,2,Rush,1,Travis Lulay rush for 1 yard to the BC44. Tackled by Sam Scott.,8,34
04:27,3,Punt,6,Paul McCallum punts for 52 yards to Ham14. Tavoy Moore return for 6 yards to Ham20. Tackled by Seydou Junior Haidara.,8,34
04:05,1,Pass,18,Henry Burris pass to Greg Ellingson for 18 yards to the Ham38. Tackled by J.R. LaRose.,8,34
03:39,1,Fumble,21,"C.J. Gable rush for 19 yards to the BC53. FUMBLE, recovered by BC (Dante Marsh) and returned for 2 yards. Tackled by Brian Simmons.",8,34
03:00,1,Pass,13,Travis Lulay pass to Andrew Harris for 13 yards to the Ham42. Tackled by Emanuel Davis.,8,34
02:27,1,Rush,6,Travis Lulay rush for 6 yards to the Ham36. Tackled by Eric Norwood.,8,34
02:00,2,Rush,5,Andrew Harris rush for 5 yards to the Ham31. Tackled by Evan McCollough.,8,34
00:51,1,Pass,6,Travis Lulay pass to Andrew Harris for 6 yards to the Ham25. Tackled by Simoni Lawrence.,8,34
00:16,2,Pass,5,Travis Lulay pass to Nick Moore for 5 yards to the Ham20. Tackled by Jamall Johnson.,8,34
15:00,0,Pass Interference,19,Penalty: Pass Interference on Hamilton (Evan McCollough) 19 yards.,8,34
14:17,1,Rush,1,Shawn Gore rush for 1 yard for a TOUCHDOWN.,14,34
14:05,0,Made Extra Point,0,Paul McCallum extra point is good.,15,34
14:05,0,Kickoff,23,Paul McCallum kicks off to the Ham11. Tavoy Moore return for 23 yards to Ham34. Tackled by Stuart Foord.,15,34
13:59,1,Incomplete Pass,0,Henry Burris incomplete pass intended for Andy Fantuz.,15,34
13:34,2,Sack,-7,Sack at Ham27 for a loss of 7 yards by Khreem Smith.,15,34
13:10,3,Face Mask,32,Josh Bartel punts for 48 yards to BC35. Tim Brown return for 17 yards to BC52. Tackled by Simoni Lawrence. Penalty: Face Mask on Hamilton (Frederic Plesius) 15 yards.,15,34
12:47,1,Incomplete Pass,0,Travis Lulay incomplete pass intended for Emmanuel Arceneaux.,15,34
12:22,2,Pass,22,Travis Lulay pass to Courtney Taylor for 22 yards to the Ham21. Tackled by Courtney Stephen.,15,34
11:40,1,Incomplete Pass,0,Travis Lulay incomplete pass intended for Courtney Taylor.,15,34
11:13,2,Pass,11,Travis Lulay pass to Nick Moore for 11 yards to the Ham10. Tackled by Dee Webb.,15,34
10:44,1,Pass,5,Travis Lulay pass to Nick Moore for 5 yards to the Ham5. Tackled by Brandon Isaac.,15,34
09:12,2,Pass,5,Travis Lulay pass to Nick Moore for 5 yards for a TOUCHDOWN.,21,34
08:56,0,Made Extra Point,0,Paul McCallum extra point is good.,22,34
08:56,0,Kickoff,17,Paul McCallum kicks off to the Ham10. Tavoy Moore return for 17 yards to Ham27. Tackled by Rolly Lumbala.,22,34
08:49,1,Pass,4,Henry Burris pass to C.J. Gable for 4 yards to the Ham31. Tackled by Ryan Phillips.,22,34
08:23,2,Pass,35,Henry Burris pass to Greg Ellingson for 35 yards to the BC44. Tackled by J.R. LaRose.,22,34
07:41,1,Interception,0,Henry Burris pass intended for Greg Ellingson INTERCEPTED by Ryan Phillips. No return. Tackled by Greg Ellingson.,22,34
06:55,1,Incomplete Pass,0,Travis Lulay incomplete pass intended for Shawn Gore.,22,34
06:28,2,Sack,-3,Sack at BC11 for a loss of 3 yards by Eric Norwood.,22,34
05:58,3,Punt,12,Paul McCallum punts for 39 yards to BC50. Tavoy Moore return for 12 yards to BC38. Tackled by Yaser Elqutub.,22,34
05:32,1,Rush,9,C.J. Gable rush for 9 yards to the BC29. Tackled by Jabar Westerman.,22,34
05:08,2,Rush,-3,C.J. Gable rush for a loss of 3 yards to the BC32. Tackled by Khreem Smith.,22,34
04:03,3,Missed Field Goal,39,Luca Congi 39 yard field goal attempt is GOOD.,22,37
04:03,1,Rush,3,Travis Lulay rush for 3 yards to the BC38.,22,37
03:34,2,Pass,13,Travis Lulay pass to Nick Moore for 13 yards to the BC51. Tackled by Courtney Stephen.,22,37
02:59,1,Incomplete Pass,0,Travis Lulay incomplete pass intended for Nick Moore.,22,37
02:36,2,Incomplete Pass,0,Travis Lulay incomplete pass intended for Nick Moore.,22,37
02:29,3,Pass,17,Travis Lulay pass to Nick Moore for 17 yards to the Ham42. Tackled by Arthur Hobbs.,22,37
02:21,1,Pass,27,Travis Lulay pass to Nick Moore for 27 yards to the Ham15. Tackled by Dee Webb.,22,37
01:57,1,Pass,15,Travis Lulay pass to Courtney Taylor for 15 yards for a TOUCHDOWN.,28,37
01:57,0,Made Extra Point,0,Paul McCallum extra point is good.,29,37
01:57,0,Kickoff,11,Paul McCallum kicks off to the Ham11. Tavoy Moore return for 11 yards to Ham22. Tackled by Adam Bighill.,29,37
01:51,1,Rush,8,Henry Burris rush for 8 yards to the Ham30. Tackled by Korey Banks.,29,37
01:44,2,Rush,1,C.J. Gable rush for 1 yard to the Ham31. Tackled by Cord Parks.,29,37
01:19,3,Rush,2,Dan LeFevour rush for 2 yards to the Ham33. Tackled by Eric Taylor.,29,37
01:06,1,Rush,4,C.J. Gable rush for 4 yards to the Ham37. Tackled by Brandon Jordan.,29,37
01:01,2,Rush,0,C.J. Gable rush for no gain to the Ham37. Tackled by Korey Banks.,29,37
00:37,3,Punt,9,Josh Bartel punts for 49 yards to BC24. Tim Brown return for 9 yards to BC33. Tackled by  .,29,37
00:10,1,Pass,22,Travis Lulay pass to Nick Moore for 22 yards to the BC55. Tackled by Jamall Johnson.,29,37
00:04,1,Illegal Procedure,-5,Penalty: Illegal Procedure on BC (Patrick Kabongo) -5 yards.,29,37
