Time,Down,Type,Yards,Details,Toronto,Montreal
06:33,1,Pass,5,Ricky Ray pass to Mike Bradwell for 5 yards to the Mtl35. Tackled by Byron Parker.,21,0
05:56,2,Pass,9,Ricky Ray pass to Andre Durie for 9 yards to the Mtl26. Tackled by Chip Cox.,21,0
05:18,1,Incomplete Pass,0,Ricky Ray incomplete pass intended for Jason Barnes.,21,0
04:51,2,Pass,12,Ricky Ray pass to Mike Bradwell for 12 yards to the Mtl14. Tackled by Ed Gainey.,21,0
03:47,1,Pass,14,Ricky Ray pass to Jason Barnes for 14 yards for a TOUCHDOWN.,27,0
03:27,0,Made Extra Point,0,Noel Prefontaine extra point is good.,28,0
03:27,0,Kickoff,24,Noel Prefontaine kicks off to the Mtl13. Tyrell Sutton return for 24 yards to Mtl37. Tackled by Noel Prefontaine.,28,0
03:18,1,Incomplete Pass,0,Anthony Calvillo incomplete pass intended for  .,28,0
02:57,2,Offside,-5,Penalty: Offside on Montreal (S.J. Green) -5 yards.,28,0
02:51,2,Incomplete Pass,0,Anthony Calvillo incomplete pass intended for S.J. Green defensed by Janzen Jackson.,28,0
02:46,3,Illegal Block,10,Sean Whyte punts for 38 yards to Tor40. Chad Owens return for 20 yards to Mtl50. Penalty: Illegal Block on Toronto (Quinn Porter) -10 yards.,28,0
02:30,1,Incomplete Pass,0,Zach Collaros incomplete pass intended for John Chiles.,28,0
02:26,2,Pass,11,Zach Collaros pass to John Chiles for 11 yards to the Mtl49. Tackled by Byron Parker.,28,0
02:21,1,Rush,9,Curtis Steele rush for 9 yards to the Mtl40. Tackled by Kyries Hebert.,28,0
01:58,2,Rush,1,Zach Collaros rush for 1 yard to the Mtl39. Tackled by Kyries Hebert.,28,0
01:41,1,Pass,1,Zach Collaros pass to Andre Durie for 1 yard to the Mtl38. Tackled by Byron Parker.,28,0
01:20,2,Pass,2,Zach Collaros pass to Curtis Steele for 2 yards to the Mtl36. Tackled by Billy Parker.,28,0
00:32,3,Missed Field Goal,43,Noel Prefontaine 43 yard field goal attempt is GOOD.,31,0
00:32,1,Pass,23,Anthony Calvillo pass to S.J. Green for 23 yards to the Tor52. Tackled by Marcus Ball.,31,0
00:27,1,Incomplete Pass,0,Anthony Calvillo incomplete pass intended for Arland Bruce.,31,0
00:21,2,Pass,6,Anthony Calvillo pass to   for 6 yards to the Tor46. Tackled by Ivan Brown.,31,0
00:14,3,Rush,5,Tyrell Sutton rush for 5 yards to the Tor41. Tackled by Herve Tonye-Tonye.,31,0
00:00,1,Missed Field Goal,48,Sean Whyte 48 yard field goal attempt is GOOD.,31,3
15:00,0,Kickoff,17,Sean Whyte kicks off to the Tor14. Chad Owens return for 17 yards to Tor31. Tackled by Ameet Pall.,31,3
14:47,1,Rush,6,Curtis Steele rush for 6 yards to the Tor37. Tackled by  .,31,3
14:20,0,Holding,-10,Penalty: Holding on Toronto (Jeff Keeping) -10 yards.,31,3
13:42,2,Pass,5,Zach Collaros pass to Chad Owens for 5 yards to the Tor32. Tackled by Kyries Hebert.,31,3
