Time,Down,Type,Yards,Details,Toronto,Calgary
07:08,2,Pass,12,Zach Collaros pass to Jason Barnes for 12 yards to the Cgy31. Tackled by  .,8,18
06:35,1,Pass,29,Zach Collaros pass to Jerious Norwood for 29 yards to the Cgy2. Tackled by Cordarro Law.,8,18
05:49,1,Pass,2,Zach Collaros pass to Andre Durie for 2 yards for a TOUCHDOWN.,14,18
05:49,0,Offside,2,Penalty: Offside on Calgary (Keon Raymond) 2 yards.,14,18
05:30,0,Made Extra Point,0,Swayze Waters extra point is good.,15,18
05:30,0,Kickoff,1,Swayze Waters kicks off to the Cgy6. Larry Taylor return for 1 yard to Cgy7. Tackled by Jonathan Hood.,15,18
05:22,1,Rush,3,Jon Cornish rush for 3 yards to the Cgy10. Tackled by Demetrice Morley.,15,18
04:56,2,Pass,18,Kevin Glenn pass to Marquay McDaniel for 18 yards to the Cgy28. Tackled by Matt Black.,15,18
04:20,1,Unnecessary Roughness,20,Kevin Glenn pass to Marquay McDaniel for 5 yards to the Cgy33. Tackled by Jalil Carter. Penalty: Unnecessary Roughness on Toronto (Jalil Carter) 15 yards.,15,18
03:51,1,Pass,7,Kevin Glenn pass to Jabari Arthur for 7 yards to the Cgy55. Tackled by Marcus Ball.,15,18
03:25,2,Rush,-2,Jon Cornish rush for a loss of 2 yards to the Cgy53. Tackled by Robert McCune.,15,18
03:00,3,Punt,-5,Rob Maver punts for 50 yards to Tor7. Trent Guy return for a loss of 5 yards to Tor2. Tackled by Rob Cote.,15,18
02:34,1,Pass,26,Zach Collaros pass to Jerious Norwood for 26 yards to the Tor28. Tackled by Deron Mayo.,15,18
02:28,1,Pass,12,Zach Collaros pass to Andre Durie for 12 yards to the Tor40. Tackled by Keon Raymond.,15,18
02:08,1,Pass,7,Zach Collaros pass to Mike Bradwell for 7 yards to the Tor47. Tackled by Deron Mayo.,15,18
02:03,2,Pass,12,Zach Collaros pass to Jerious Norwood for 12 yards to the Cgy51. Tackled by Deron Mayo.,15,18
01:55,1,Pass,6,Zach Collaros pass to John Chiles for 6 yards to the Cgy45. Tackled by Chris Randle.,15,18
01:37,2,Rush,7,Zach Collaros rush for 7 yards to the Cgy38. Tackled by Chris Randle.,15,18
01:13,1,Incomplete Pass,0,Zach Collaros incomplete pass intended for Andre Durie.,15,18
00:59,2,Rush,2,Zach Collaros rush for 2 yards to the Cgy36. Tackled by Juwan Simpson.,15,18
00:53,3,Holding,17,51 yard field goal attempt by Swayze Waters is NO GOOD.  Missed field goal returned by Larry Taylor to the Cgy5. Tackled by Joe Eppele. Penalty: Holding on Calgary (Chris Randle) -3 yards.,15,18
