Time,Down,Type,Yards,Details,Winnipeg,Toronto
05:33,1,Roughing Passer,16,Ricky Ray pass to   for 3 yards to the Wpg17. Tackled by Ian Wild. Penalty: Unnecessary Roughness on Toronto (Jeff Keeping) -15 yards. Penalty: Unnecessary Roughness on Winnipeg (Brandon Stewart) 15 yards. Penalty: Objectionable Conduct on Winnipeg (Brandon Stewart) 4 yards. Penalty: Roughing Passer on Winnipeg (Greg Peach) 9 yards.,10,13
04:41,1,Pass,4,Ricky Ray pass to Romby Bryant for 4 yards for a TOUCHDOWN.,10,19
04:29,0,Made Extra Point,0,Swayze Waters extra point is good.,10,20
04:25,0,Kick Off Single,77,Swayze Waters kicks off to the Wpg0 (Single).,10,21
04:15,1,Pass,20,Max Hall pass to Cory Watson for 20 yards to the Wpg55. Tackled by Jermaine Gabriel.,10,21
03:40,1,Rush,7,Will Ford rush for 7 yards to the Tor48. Tackled by Pat Watkins.,10,21
03:16,2,Incomplete Pass,0,Max Hall incomplete pass intended for Clarence Denmark defensed by Shane Horton.,10,21
02:44,3,No Yards,18,Mike Renaud punts for 33 yards to Tor15. Penalty: No Yards on Winnipeg (Johnny Sears) -15 yards.,10,21
02:28,1,Pass,8,Ricky Ray pass to Chad Owens for 8 yards to the Tor38. Tackled by Alex Suber.,10,21
02:21,2,Rush,2,rush for 2 yards to the Tor40. Tackled by Desia Dunn.,10,21
02:01,1,Sack,-4,Sack at Tor36 for a loss of 4 yards by JT Gilmore.,10,21
01:36,2,Pass,4,Ricky Ray pass to   for 4 yards to the Tor40. Tackled by Henoc Muamba.,10,21
01:18,3,Unnecessary Roughness,43,Swayze Waters punts for 49 yards to Wpg21. Demond Washington return for 28 yards to Wpg49. Tackled by Swayze Waters. Penalty: Unnecessary Roughness on Toronto (Marcus Ball) 15 yards.,10,21
00:48,1,Incomplete Pass,0,Max Hall incomplete pass intended for Aaron Kelly.,10,21
00:44,1,Unnecessary Roughness,39,Max Hall pass to   for 31 yards to the Tor15. Tackled by Pat Watkins. Penalty: Unnecessary Roughness on Toronto (Pat Watkins) 8 yards.,10,21
00:37,1,Incomplete Pass,0,Max Hall incomplete pass intended for Cory Watson.,10,21
00:27,2,Pass,7,Max Hall pass to Rory Kohlert for 7 yards for a TOUCHDOWN.,16,21
00:27,0,Made Extra Point,0,Sandro DeAngelis extra point is good.,17,21
00:27,0,Kickoff,20,Sandro DeAngelis kicks off to the Tor0. Chad Owens return for 20 yards to Tor0. Tackled by Philippe Dubuisson-Lebon.,17,21
00:22,1,Unnecessary Roughness,17,Ricky Ray rush for 2 yards to the Tor39. Penalty: Unnecessary Roughness on Winnipeg (Kenny Mainor) 15 yards.,17,21
00:16,1,Pass,6,Ricky Ray pass to   for 6 yards to the Wpg50. Tackled by Henoc Muamba.,17,21
00:09,2,Pass,6,Ricky Ray pass to Romby Bryant for 6 yards to the Wpg44. Tackled by Jovon Johnson.,17,21
15:00,0,Kickoff,39,Swayze Waters kicks off to the Wpg10. Will Ford return for 39 yards to Wpg49. Tackled by Pat Watkins.,17,21
14:52,1,Pass,-1,Max Hall pass to Jarvis Jones for a loss of 1 yard to the Wpg48. Tackled by Marcus Ball.,17,21
14:07,2,Incomplete Pass,0,Max Hall incomplete pass intended for Aaron Kelly defensed by Pat Watkins.,17,21
14:00,3,Punt,11,Mike Renaud punts for 38 yards to Tor24. Chad Owens return for 11 yards to Tor35. Tackled by Philippe Dubuisson-Lebon.,17,21
13:25,1,Pass,8,Ricky Ray pass to Andre Durie for 8 yards to the Tor43. Tackled by Demond Washington.,17,21
13:02,2,Rush,24,rush for 24 yards to the Wpg43. Tackled by Johnny Sears.,17,21
12:33,1,Pass,23,Ricky Ray pass to   for 23 yards to the Wpg20. Tackled by Demond Washington.,17,21
11:58,1,Pass,6,Ricky Ray pass to Chad Owens for 6 yards to the Wpg14. Tackled by Johnny Sears.,17,21
11:30,2,Fumble,10,"Ricky Ray pass to Jason Barnes for 10 yards to the Wpg4. FUMBLE, recovered by Wpg (Pierre-Luc Labbe). Tackled by Jason Barnes.",17,21
10:59,1,Pass,17,Max Hall pass to Carl Fitzgerald for 17 yards to the Wpg21. Tackled by Jermaine Gabriel.,17,21
10:30,1,Rush,4,Will Ford rush for 4 yards to the Wpg25. Tackled by Shane Horton.,17,21
09:54,2,Incomplete Pass,0,Max Hall incomplete pass intended for Aaron Kelly.,17,21
09:37,3,Punt,2,Mike Renaud punts for 48 yards to Tor37. Chad Owens return for 2 yards to Tor39. Tackled by Henoc Muamba.,17,21
09:19,1,Pass,4,Ricky Ray pass to   for 4 yards to the Tor43. Tackled by Ian Wild.,17,21
08:53,2,Illegal Substitution,5,Penalty: Offside on Toronto (Chad Owens) -5 yards. Penalty: Illegal Substitution on Winnipeg 10 yards.,17,21
08:16,2,Rush,4,rush for 4 yards to the Tor52. Tackled by Demond Washington.,17,21
07:50,1,Pass,6,Ricky Ray pass to Chad Owens for 6 yards to the Wpg52. Tackled by Demond Washington.,17,21
07:14,2,Pass,11,Ricky Ray pass to Romby Bryant for 11 yards to the Wpg41. Tackled by Kito Poblah.,17,21
06:49,1,Pass,5,Ricky Ray pass to Zander Robinson for 5 yards to the Wpg36. Tackled by Ian Wild.,17,21
06:18,2,Incomplete Pass,0,Ricky Ray incomplete pass intended for  .,17,21
05:32,3,Missed Field Goal,42,Swayze Waters 42 yard field goal attempt is GOOD.,17,24
05:32,1,Incomplete Pass,0,Max Hall incomplete pass intended for  .,17,24
05:17,2,Incomplete Pass,0,Max Hall incomplete pass intended for Clarence Denmark defensed by Ricardo Colclough.,17,24
04:54,3,Punt,15,Mike Renaud punts for 38 yards to Tor37. Chad Owens return for 15 yards to Tor52. Tackled by Teague Sherman.,17,24
04:32,1,Pass,6,Ricky Ray pass to Romby Bryant for 6 yards to the Wpg52. Tackled by Henoc Muamba.,17,24
04:01,2,Pass,39,Ricky Ray pass to Dontrelle Inman for 39 yards to the Wpg13. Tackled by Demond Washington.,17,24
03:08,1,Incomplete Pass,0,Ricky Ray incomplete pass intended for Andre Durie.,17,24
02:51,2,Incomplete Pass,0,Ricky Ray incomplete pass intended for Chad Owens.,17,24
02:15,3,Missed Field Goal,20,Swayze Waters 20 yard field goal attempt is GOOD.,17,27
02:15,1,Pass,45,Max Hall pass to Clarence Denmark for 45 yards to the Tor30. Tackled by Jermaine Gabriel.,17,27
01:54,1,Offside,-5,Penalty: Offside on Winnipeg ( ) -5 yards.,17,27
01:15,1,Unnecessary Roughness,25,Max Hall pass to Aaron Kelly for 14 yards to the Tor21. Tackled by Ricardo Colclough. Penalty: Unnecessary Roughness on Toronto (Ricardo Colclough) 11 yards.,17,27
01:09,1,Incomplete Pass,0,Max Hall incomplete pass intended for Aaron Kelly defensed by Jamie Robinson.,17,27
00:45,2,Incomplete Pass,0,Max Hall incomplete pass intended for  .,17,27
00:01,3,Missed Field Goal,17,Sandro DeAngelis 17 yard field goal attempt is GOOD.,20,27
00:01,1,Pass,1,Ricky Ray pass to Andre Durie for 1 yard to the Tor36. Tackled by Brandon Stewart.,20,27
15:00,2,Pass,12,Ricky Ray pass to Dontrelle Inman for 12 yards to the Tor48. Tackled by Demond Washington.,20,27
14:37,1,Rush,-1,rush for a loss of 1 yard to the Tor47. Tackled by Demond Washington.,20,27
13:46,2,Pass,3,Ricky Ray pass to Chad Owens for 3 yards to the Tor50. Tackled by Alex Suber.,20,27
13:18,3,Punt,0,Swayze Waters punts for 53 yards to Wpg7. Jovon Johnson return for no gain to Wpg7. Tackled by Jermaine Gabriel.,20,27
12:58,1,Rush,3,Will Ford rush for 3 yards to the Wpg10. Tackled by Robert McCune.,20,27
12:24,2,Pass,8,Max Hall pass to Cory Watson for 8 yards to the Wpg18. Tackled by Jamie Robinson.,20,27
11:53,1,Rush,4,Will Ford rush for 4 yards to the Wpg22. Tackled by Marcus Thomas.,20,27
11:15,2,Pass,6,Max Hall pass to   for 6 yards to the Wpg28. Tackled by  .,20,27
10:36,0,Pass Interference,15,Penalty: Pass Interference on Toronto (Ricardo Colclough) 15 yards.,20,27
10:03,1,Pass,11,Max Hall pass to   for 11 yards to the Wpg54. Tackled by Jamie Robinson.,20,27
09:44,1,Rush,10,Clarence Denmark rush for 10 yards to the Tor46. Tackled by Shane Horton.,20,27
09:23,1,Pass,8,Max Hall pass to Rory Kohlert for 8 yards to the Tor38. Tackled by Jermaine Gabriel.,20,27
08:45,0,Holding,-10,Penalty: Holding on Winnipeg (Cory Watson) -10 yards.,20,27
08:06,2,Incomplete Pass,0,Max Hall incomplete pass intended for Clarence Denmark defensed by Matt Black.,20,27
07:18,3,Punt Single,0,Mike Renaud punts for 68 yards to Tor0. No return (Single).,21,27
07:18,1,Incomplete Pass,0,Ricky Ray incomplete pass intended for Andre Durie.,21,27
07:05,1,Pass,15,Ricky Ray pass to Romby Bryant for 15 yards to the Tor50.,21,27
06:44,1,Pass,10,Ricky Ray pass to   for 10 yards to the Wpg50. Tackled by Jovon Johnson.,21,27
06:08,1,Incomplete Pass,0,Ricky Ray incomplete pass intended for Chad Owens.,21,27
05:49,2,Pass,16,Ricky Ray pass to Chad Owens for 16 yards to the Wpg34. Tackled by Desia Dunn.,21,27
05:30,1,Objectionable Conduct,25,"Ricky Ray pass to Andre Durie for 29 yards to the Wpg5. FUMBLE, recovered by Wpg (Johnny Sears) and returned for a loss of 2 yards. Tackled by Jason Barnes. Penalty: Objectionable Conduct on Winnipeg (Johnny Sears) -2 yards.",21,27
05:00,1,Incomplete Pass,0,Max Hall incomplete pass intended for Aaron Kelly.,21,27
04:43,2,Rush,5,Max Hall rush for 5 yards to the Wpg6. Tackled by Marcus Ball.,21,27
03:56,3,Safety,-6,Safety,21,29
03:56,0,Kickoff,17,Sandro DeAngelis kicks off to the Tor23. Chad Owens return for 17 yards to Tor40. Tackled by Brandon Stewart.,21,29
03:51,1,Rush,1,rush for 1 yard to the Tor41. Tackled by Bryant Turner.,21,29
02:44,2,Pass,69,Ricky Ray pass to Dontrelle Inman for 69 yards for a TOUCHDOWN.,21,35
02:44,0,Made Extra Point,0,Swayze Waters extra point is good.,21,36
02:44,0,Kickoff,17,Swayze Waters kicks off to the Wpg8. Will Ford return for 17 yards to Wpg25. Tackled by Ivan Brown.,21,36
02:38,1,Pass,11,Jason Boltus pass to Rory Kohlert for 11 yards to the Wpg36. Tackled by Robert McCune.,21,36
02:30,1,Pass,14,Jason Boltus pass to Clarence Denmark for 14 yards to the Wpg50. Tackled by Matt Black.,21,36
02:09,1,Incomplete Pass,0,Jason Boltus incomplete pass intended for  .,21,36
02:03,2,Incomplete Pass,0,Jason Boltus incomplete pass intended for Aaron Kelly.,21,36
01:57,3,Sack,-1,Sack at Wpg49 for a loss of 1 yard by Robert McCune.,21,36
01:49,1,Rush,-1,rush for a loss of 1 yard to the Wpg50. Tackled by Bryant Turner.,21,36
01:35,2,Rush,4,rush for 4 yards to the Wpg46. Tackled by Ian Wild.,21,36
01:23,3,No Yards,27,Swayze Waters punts for 32 yards to Wpg14. Penalty: No Yards on Toronto (James Yurichuk) -5 yards.,21,36
00:49,1,Interception,8,Jason Boltus pass intended for Aaron Kelly INTERCEPTED by Jamie Robinson and returned for 8 yards. Tackled by Will Ford.,21,36
