Time,Down,Type,Yards,Details,Hamilton,Toronto
06:05,2,Interception,0,Henry Burris pass intended for Samuel Giguere INTERCEPTED by Jermaine Gabriel. No return. Tackled by Samuel Giguere.,10,21
05:39,1,Pass,16,Ricky Ray pass to Chad Owens for 16 yards to the Ham53. Tackled by Arthur Hobbs.,10,21
05:18,1,Pass,9,Ricky Ray pass to Chad Owens for 9 yards to the Ham44. Tackled by Brian Bulcke.,10,21
04:55,2,Rush,2,Zach Collaros rush for 2 yards to the Ham42. Tackled by Simoni Lawrence.,10,21
04:27,1,Pass,16,Ricky Ray pass to Dontrelle Inman for 16 yards to the Ham26. Tackled by Arthur Hobbs.,10,21
03:44,1,Pass,5,Ricky Ray pass to John Chiles for 5 yards to the Ham21. Tackled by Brian Bulcke.,10,21
03:00,2,Incomplete Pass,0,Ricky Ray incomplete pass intended for John Chiles defensed by Dee Webb.,10,21
02:40,3,Missed Field Goal,28,Swayze Waters 28 yard field goal attempt is GOOD.,10,24
02:40,1,Incomplete Pass,0,Henry Burris incomplete pass intended for Samuel Giguere.,10,24
02:33,2,Pass,18,Henry Burris pass to Andy Fantuz for 18 yards to the Ham53. Tackled by Shane Horton.,10,24
02:25,1,Pass,19,Henry Burris pass to Samuel Giguere for 19 yards to the Tor38. Tackled by Alonzo Lawrence.,10,24
02:11,1,Pass,5,Henry Burris pass to Bakari Grant for 5 yards to the Tor33. Tackled by Neiko Thorpe.,10,24
02:06,2,Rush,4,Henry Burris rush for 4 yards to the Tor29. Tackled by Marcus Ball.,10,24
01:43,3,Offside,5,Penalty: Offside on Toronto (Marcus Thomas) 5 yards.,10,24
01:25,1,Pass,6,Henry Burris pass to C.J. Gable for 6 yards to the Tor18.,10,24
01:12,2,Rush,14,Henry Burris rush for 14 yards to the Tor4. Tackled by Neiko Thorpe.,10,24
00:41,1,Time Count,0,Penalty: Time Count on Hamilton (Henry Burris) 0 yards.,10,24
00:24,2,Pass,4,Henry Burris pass to Andy Fantuz for 4 yards for a TOUCHDOWN.,16,24
00:24,0,Made Extra Point,0,Luca Congi extra point is good.,17,24
00:24,0,Kickoff,27,Luca Congi kicks off to the Tor11. Chad Owens return for 27 yards to Tor38. Tackled by Courtney Stephen.,17,24
15:00,0,Offside on Kickoff,5,Penalty: Offside on Kickoff on Toronto (Spencer Watt) 5 yards.,17,24
14:52,0,Kickoff,29,Swayze Waters kicks off to the Ham13. Brandon Banks return for 29 yards to Ham42. Tackled by Shane Horton.,17,24
14:43,1,Rush,13,Henry Burris rush for 13 yards to the Ham55.,17,24
14:29,1,Incomplete Pass,0,Henry Burris incomplete pass intended for Greg Ellingson.,17,24
14:07,2,Pass,14,Henry Burris pass to Andy Fantuz for 14 yards to the Tor41. Tackled by Alonzo Lawrence.,17,24
13:42,1,Pass,4,Dan LeFevour pass to Greg Ellingson for 4 yards to the Tor37. Tackled by Alonzo Lawrence.,17,24
13:03,2,Pass,14,Henry Burris pass to Greg Ellingson for 14 yards to the Tor23. Tackled by Shane Horton.,17,24
12:31,1,Pass,10,Henry Burris pass to   for 10 yards to the Tor13. Tackled by Jamie Robinson.,17,24
11:53,1,Rush,-1,C.J. Gable rush for a loss of 1 yard to the Tor14. Tackled by Demetrice Morley.,17,24
10:53,2,Pass,14,Henry Burris pass to Greg Ellingson for 14 yards for a TOUCHDOWN.,23,24
