Time,Down,Type,Yards,Details,Saskatchewan,Toronto
15:00,0,Kickoff,18,Ricky Schmitt kicks off to the Tor6. Chad Owens return for 18 yards to Tor24. Tackled by Paul Woldu.,0,0
14:50,1,Pass,10,Ricky Ray pass to Dontrelle Inman for 10 yards to the Tor34. Tackled by Macho Harris.,0,0
14:21,1,Rush,22,Andre Durie rush for 22 yards to the Ssk54. Tackled by Prince Miller.,0,0
13:25,1,Pass,7,Ricky Ray pass to Chad Owens for 7 yards to the Ssk47. Tackled by Dwight Anderson.,0,0
12:52,2,Pass,3,Ricky Ray pass to Chad Owens for 3 yards to the Ssk44. Tackled by Prince Miller.,0,0
12:06,1,Rush,5,Chad Kackert rush for 5 yards to the Ssk39. Tackled by Macho Harris.,0,0
11:44,2,Pass,2,Ricky Ray pass to Chad Kackert for 2 yards to the Ssk37. Tackled by Craig Butler.,0,0
11:13,3,Missed Field Goal,44,Noel Prefontaine 44 yard field goal attempt is GOOD.,0,3
11:13,0,Kickoff,18,Noel Prefontaine kicks off to the Ssk15. Jock Sanders return for 18 yards to Ssk33. Tackled by Shane Horton.,0,3
10:53,1,Rush,-1,Kory Sheets rush for a loss of 1 yard to the Ssk32. Tackled by Jonathan Williams.,0,3
10:15,2,Rush,17,Darian Durant rush for 17 yards to the Ssk49. Tackled by Robert McCune.,0,3
09:53,1,Rush,2,Kory Sheets rush for 2 yards to the Ssk51. Tackled by Brandon Isaac.,0,3
09:34,2,Incomplete Pass,0,Darian Durant incomplete pass intended for Taj Smith.,0,3
09:24,3,Punt,0,Ricky Schmitt punts for 34 yards to Tor25. No return.,0,3
09:08,1,Rush,5,Chad Kackert rush for 5 yards to the Tor30. Tackled by Keith Shologan.,0,3
08:31,2,Pass,22,Ricky Ray pass to Dontrelle Inman for 22 yards to the Tor52. Tackled by Tyron Brackenridge.,0,3
08:03,1,Pass,18,Ricky Ray pass to Andre Durie for 18 yards to the Ssk40. Tackled by Renauld Williams.,0,3
07:20,1,Rush,1,Chad Kackert rush for 1 yard to the Ssk39. Tackled by Jermaine McElveen.,0,3
06:50,2,Sack,-10,Sack at Ssk49 for a loss of 10 yards by Renauld Williams.,0,3
06:29,0,Too Many Men on Field,-10,Penalty: Too Many Men on Field on Saskatchewan -10 yards.,0,3
06:02,3,Field Goal Single,9,51 yard field goal attempt by Noel Prefontaine is NO GOOD.  Missed field goal returned by Weston Dressler to the Ssk0 (Single).,0,4
06:02,1,Pass,11,Darian Durant pass to Rob Bagg for 11 yards to the Ssk50. Tackled by Jamie Robinson.,0,4
05:28,1,Rush,1,Kory Sheets rush for 1 yard to the Ssk51. Tackled by Mister Alexander.,0,4
04:50,2,Pass,12,Darian Durant pass to Rob Bagg for 12 yards to the Tor47. Tackled by Brandon Isaac.,0,4
04:11,1,Rush,5,Kory Sheets rush for 5 yards to the Tor42. Tackled by Robert McCune.,0,4
03:45,2,Roughing Passer,27,Darian Durant pass to Weston Dressler for 12 yards to the Tor30. Penalty: Roughing Passer on Toronto (Khalif Mitchell) 15 yards.,0,4
03:28,1,Rush,4,Weston Dressler rush for 4 yards to the Tor11. Tackled by Robert McCune.,0,4
02:40,2,Pass,11,Darian Durant pass to Rob Bagg for 11 yards for a TOUCHDOWN.,6,4
02:23,0,Made Extra Point,0,Chris Milo extra point is good.,7,4
02:23,0,Kickoff,17,Ricky Schmitt kicks off to the Tor12. Chad Owens return for 17 yards to Tor29. Tackled by Paul Woldu.,7,4
02:16,1,Pass,13,Ricky Ray pass to Chad Owens for 13 yards to the Tor42. Tackled by Renauld Williams.,7,4
01:34,1,Pass,31,Ricky Ray pass to Andre Durie for 31 yards to the Ssk37. Tackled by Renauld Williams.,7,4
00:47,1,Unnecessary Roughness,23,Ricky Ray pass to Andre Durie for 9 yards to the Ssk28. Tackled by Weldon Brown. Penalty: Unnecessary Roughness on Saskatchewan (Weldon Brown) 14 yards.,7,4
00:21,1,Pass,4,Ricky Ray pass to Jason Barnes for 4 yards to the Ssk10. Tackled by Craig Butler.,7,4
00:00,2,Pass,10,Ricky Ray pass to Andre Durie for 10 yards for a TOUCHDOWN.,7,10
00:00,0,Made Extra Point,0,Noel Prefontaine extra point is good.,7,11
15:00,0,Kickoff,28,Noel Prefontaine kicks off to the Ssk19. Jock Sanders return for 28 yards to Ssk47. Tackled by Spencer Watt.,7,11
14:36,1,Rush,2,Kory Sheets rush for 2 yards to the Ssk49. Tackled by Kiante Tripp.,7,11
13:57,2,Incomplete Pass,0,Darian Durant incomplete pass intended for Rob Bagg defensed by Jamie Robinson.,7,11
13:44,3,Illegal Procedure,-5,Penalty: Illegal Procedure on Saskatchewan ( ) -5 yards.,7,11
13:42,3,Punt,7,Ricky Schmitt punts for 41 yards to Tor25. Chad Owens return for 7 yards to Tor32. Tackled by Cory Huclack.,7,11
13:16,1,Rush,5,Chad Kackert rush for 5 yards to the Tor37. Tackled by Weldon Brown.,7,11
12:30,2,Pass,-2,Ricky Ray pass to Chad Kackert for a loss of 2 yards to the Tor35. Tackled by Craig Butler.,7,11
12:06,3,Punt,1,Noel Prefontaine punts for 36 yards to Ssk39. Jock Sanders return for 1 yard to Ssk40. Tackled by Chad Rempel.,7,11
11:54,1,Rush,10,Kory Sheets rush for 10 yards to the Ssk50. Tackled by Khalif Mitchell.,7,11
11:09,2,Rush,6,Kory Sheets rush for 6 yards to the Tor54. Tackled by Marcus Ball.,7,11
