Time,Down,Type,Yards,Details,Toronto,BC
15:00,0,Kickoff,21,Hugh O'Neill kicks off to the Tor15. Chad Owens return for 21 yards to Tor36. Tackled by Rolly Lumbala.,0,0
14:54,1,Pass,2,Ricky Ray pass to Chad Kackert for 2 yards to the Tor38. Tackled by Solomon Elimimian.,0,0
14:17,2,Incomplete Pass,0,Ricky Ray incomplete pass intended for Chad Owens.,0,0
13:55,3,Punt,2,Noel Prefontaine punts for 44 yards to BC28. Korey Williams return for 2 yards to BC30. Tackled by Jason Pottinger.,0,0
13:35,1,Pass,10,Travis Lulay pass to Nick Moore for 10 yards to the BC40. Tackled by Marcus Ball.,0,0
13:13,2,Offside,5,Penalty: Offside on Toronto 5 yards.,0,0
12:59,1,Incomplete Pass,0,Travis Lulay incomplete pass intended for Nick Moore.,0,0
12:46,2,Pass,14,Travis Lulay pass to Nick Moore for 14 yards to the Tor51. Tackled by Jamie Robinson.,0,0
12:04,1,Incomplete Pass,0,Travis Lulay incomplete pass intended for Andrew Harris.,0,0
11:48,2,Incomplete Pass,0,Travis Lulay incomplete pass intended for Emmanuel Arceneaux.,0,0
11:24,3,Holding,-2,Hugh O'Neill punts for 45 yards to Tor6. Chad Owens return for 2 yards to Tor8. Penalty: Holding on Toronto (Brandon Isaac) -4 yards.,0,0
11:07,1,Rush,2,Chad Kackert rush for 2 yards to the Tor6. Tackled by Solomon Elimimian.,0,0
10:32,2,Pass,9,Ricky Ray pass to Chad Owens for 9 yards to the Tor15. Tackled by Solomon Elimimian.,0,0
09:50,1,Pass,0,Ricky Ray pass to Andre Durie for no gain to the Tor15. Tackled by Adam Bighill.,0,0
09:07,2,Pass,6,Ricky Ray pass to Jason Barnes for 6 yards to the Tor21. Tackled by Adam Bighill.,0,0
08:21,3,Punt,10,Noel Prefontaine punts for 46 yards to BC43. Korey Williams return for 10 yards to BC53. Tackled by Herve Tonye-Tonye.,0,0
08:04,1,Rush,6,Andrew Harris rush for 6 yards to the Tor51. Tackled by Robert McCune.,0,0
07:27,2,Pass,43,Travis Lulay pass to Nick Moore for 43 yards to the Tor8. Tackled by Jalil Carter.,0,0
07:02,1,Rush,2,Travis Lulay rush for 2 yards to the Tor6. Tackled by Robert McCune.,0,0
06:09,2,Pass,6,Travis Lulay pass to Courtney Taylor for 6 yards for a TOUCHDOWN.,0,6
06:00,0,Made Extra Point,0,Hugh O'Neill extra point is good.,0,7
06:00,0,Kickoff,21,Hugh O'Neill kicks off to the Tor12. Chad Owens return for 21 yards to Tor33. Tackled by Rolly Lumbala.,0,7
05:55,1,Rush,4,Chad Kackert rush for 4 yards to the Tor37. Tackled by Keron Williams.,0,7
05:28,2,Pass,5,Ricky Ray pass to Chad Owens for 5 yards to the Tor42. Tackled by Solomon Elimimian.,0,7
04:54,3,Punt,0,Noel Prefontaine punts for 47 yards to BC21. Korey Williams return for no gain to BC21. Tackled by Matt Black.,0,7
04:38,1,Pass,13,Travis Lulay pass to Nick Moore for 13 yards to the BC34. Tackled by Brandon Isaac.,0,7
04:04,1,Rush,6,Andrew Harris rush for 6 yards to the BC40. Tackled by Jonathan Williams.,0,7
03:27,2,Pass,7,Travis Lulay pass to Courtney Taylor for 7 yards to the BC47. Tackled by Jalil Carter.,0,7
03:07,1,Pass,13,Travis Lulay pass to Nick Moore for 13 yards to the Tor50. Tackled by Pat Watkins.,0,7
02:25,1,Rush,1,Andrew Harris rush for 1 yard to the Tor49. Tackled by Robert McCune.,0,7
01:45,2,Unnecessary Roughness,24,Travis Lulay pass to Andrew Harris for 9 yards to the Tor40. Tackled by Matt Black. Penalty: Unnecessary Roughness on Toronto (Matt Black) 15 yards.,0,7
01:25,1,Rush,0,Shawn Gore rush for no gain to the Tor25. Tackled by Pat Watkins.,0,7
00:42,2,Pass,14,Travis Lulay pass to Andrew Harris for 14 yards to the Tor11. Tackled by Jamie Robinson.,0,7
00:14,1,Incomplete Pass,0,Travis Lulay incomplete pass intended for Courtney Taylor.,0,7
15:00,2,Sack,-5,Sack at Tor16 for a loss of 5 yards by Khalif Mitchell.,0,7
14:26,3,Missed Field Goal,23,Hugh O'Neill 23 yard field goal attempt is GOOD.,0,10
14:26,0,Holding,-1,Hugh O'Neill kicks off to the Tor18. Chad Owens return for 9 yards to Tor27. Penalty: Holding on Toronto (Jason Pottinger) -10 yards.,0,10
14:16,1,Pass,8,Ricky Ray pass to Chad Owens for 8 yards to the Tor25. Tackled by Dante Marsh.,0,10
13:45,2,Rush,5,Chad Kackert rush for 5 yards to the Tor30. Tackled by Khreem Smith.,0,10
13:08,1,Rush,4,Chad Kackert rush for 4 yards to the Tor34. Tackled by Solomon Elimimian.,0,10
12:29,2,Rush,0,Ricky Ray rush for no gain to the Tor34. Tackled by Jabar Westerman.,0,10
11:40,3,Punt,-4,Noel Prefontaine punts for 34 yards to BC42. Korey Williams return for a loss of 4 yards to BC38. Tackled by Jermaine Gabriel.,0,10
11:23,1,Pass,44,Travis Lulay pass to Emmanuel Arceneaux for 44 yards to the Tor28. Tackled by Antareis Bryan.,0,10
10:35,1,Rush,2,Andrew Harris rush for 2 yards to the Tor26. Tackled by Robert McCune.,0,10
09:53,2,Incomplete Pass,0,Travis Lulay incomplete pass intended for Shawn Gore. Tackled by Janzen Jackson.,0,10
09:02,3,Missed Field Goal,34,Hugh O'Neill 34 yard field goal attempt is GOOD.,0,13
09:02,1,Pass,6,Ricky Ray pass to Spencer Watt for 6 yards to the Tor41. Tackled by Jabar Westerman.,0,13
08:30,2,Pass,19,Ricky Ray pass to Chad Owens for 19 yards to the BC50. Tackled by Cord Parks.,0,13
