Time,Down,Type,Yards,Details,Montreal,Toronto
05:20,2,Rush,1,Zach Collaros rush for 1 yard to the Tor16. Tackled by Aaron Lavarias.,10,8
04:41,3,Rush,1,Zach Collaros rush for 1 yard to the Tor17. Tackled by Marc-Olivier Brouillette.,10,8
04:01,1,Unnecessary Roughness,-8,Curtis Steele rush for no gain to the Tor17. Tackled by Marc-Olivier Brouillette. Penalty: Unnecessary Roughness on Toronto (Tony Washington) -8 yards.,10,8
03:37,2,Pass,13,Zach Collaros pass to John Chiles for 13 yards to the Tor22. Tackled by Geoff Tisdale.,10,8
03:20,3,Holding,56,Noel Prefontaine punts for 46 yards to Mtl42. Penalty: Holding on Montreal (Steven Lumbala) 10 yards.,10,8
03:04,1,Incomplete Pass,0,Tanner Marsh incomplete pass intended for S.J. Green.,10,8
02:49,2,Pass,10,Tanner Marsh pass to Jerome Messam for 10 yards to the Mtl42. Tackled by Matt Black.,10,8
02:37,3,Rush,2,Tanner Marsh rush for 2 yards to the Mtl44. Tackled by Jason Pottinger.,10,8
02:30,1,Incomplete Pass,0,Tanner Marsh incomplete pass intended for Duron Carter.,10,8
02:07,2,Sack,-7,Sack at Mtl37 for a loss of 7 yards by Marcus Ball.,10,8
01:50,3,Punt,13,Sean Whyte punts for 48 yards to Tor25. Chad Owens return for 13 yards to Tor38. Tackled by Ed Gainey.,10,8
01:39,1,Unnecessary Roughness,51,"Sack at Tor37 for a loss of 1 yard by Marc-Olivier Brouillette. FUMBLE, recovered by Mtl (Shea Emry) and returned for 37 yards for a TOUCHDOWN. Penalty: Unnecessary Roughness on Toronto (Dontrelle Inman) 15 yards.",16,8
01:29,0,Made Extra Point,0,Sean Whyte extra point is good.,17,8
01:29,0,Kickoff,22,Sean Whyte kicks off to the Tor0. Quinn Porter return for 22 yards to Tor17. Tackled by Steven Lumbala.,17,8
01:22,1,Pass,7,Zach Collaros pass to Andre Durie for 7 yards to the Tor24. Tackled by Geoff Tisdale.,17,8
01:16,2,Incomplete Pass,0,Zach Collaros incomplete pass intended for Curtis Steele.,17,8
01:11,3,Punt,4,Noel Prefontaine punts for 47 yards to Mtl39. Tyron Carrier return for 4 yards to Mtl43. Tackled by Shane Horton.,17,8
00:59,1,Pass,5,Tanner Marsh pass to Duron Carter for 5 yards to the Mtl48.,17,8
00:54,2,Incomplete Pass,0,Tanner Marsh incomplete pass intended for Duron Carter.,17,8
00:47,3,Punt,0,Sean Whyte punts for 36 yards to Tor26. No return.,17,8
00:40,1,Incomplete Pass,0,Zach Collaros incomplete pass intended for John Chiles.,17,8
00:35,2,Rush,0,Curtis Steele rush for no gain to the Tor26. Tackled by John Bowman.,17,8
00:30,3,Punt,2,Noel Prefontaine punts for 39 yards to Mtl45. Tyron Carrier return for 2 yards to Mtl47. Tackled by James Yurichuk.,17,8
15:00,0,Kickoff,17,Noel Prefontaine kicks off to the Mtl18. Tyron Carrier return for 17 yards to Mtl35. Tackled by Zander Robinson.,17,8
14:49,1,Rush,5,rush for 5 yards to the Mtl40. Tackled by Alonzo Lawrence.,17,8
14:26,2,Rush,6,rush for 6 yards to the Mtl46. Tackled by Khalif Mitchell.,17,8
13:45,1,Pass,11,Tanner Marsh pass to S.J. Green for 11 yards to the Tor53. Tackled by Jamie Robinson.,17,8
13:12,1,Rush,3,rush for 3 yards to the Tor50. Tackled by Jonathan Williams.,17,8
12:29,2,Interception,0,Tanner Marsh pass intended for Jerome Messam INTERCEPTED by Matt Black. No return.,17,8
12:26,1,Rush,13,Zach Collaros rush for 13 yards to the Tor30. Tackled by Geoff Tisdale.,17,8
11:45,1,Pass,8,Zach Collaros pass to Andre Durie for 8 yards to the Tor38. Tackled by Chip Cox.,17,8
11:09,2,Pass,6,Zach Collaros pass to Dontrelle Inman for 6 yards to the Tor44. Tackled by Byron Parker.,17,8
10:42,1,Interception,0,Zach Collaros pass intended for Jason Barnes INTERCEPTED by Billy Parker. No return. Tackled by Jason Barnes.,17,8
10:18,1,Rush,0,rush for no gain to the Mtl36. Tackled by Robert McCune.,17,8
09:46,2,Pass,14,Tanner Marsh pass to Patrick Lavoie for 14 yards to the Mtl50. Tackled by Matt Black.,17,8
