Time,Down,Type,Yards,Details,Toronto,Edmonton
08:11,3,Time Count,-5,Penalty: Time Count on Edmonton (Matt Nichols) -5 yards.,7,14
07:44,3,Missed Field Goal,49,Grant Shaw 49 yard field goal attempt is GOOD.,7,17
07:44,1,Rush,5,Curtis Steele rush for 5 yards to the Tor40. Tackled by Marcell Young.,7,17
07:06,0,Face Mask,15,Penalty: Face Mask on Edmonton (Alonzo Lawrence) 15 yards.,7,17
06:12,0,Lateral,18,Ricky Ray pass intended for Chad Owens INTERCEPTED and returned for 18 yards Lateral for a TOUCHDOWN,7,23
06:06,0,Made Extra Point,0,Grant Shaw extra point is good.,7,24
06:06,0,Kickoff,11,Grant Shaw kicks off to the Tor17. Terrell Sinkfield return for 11 yards to Tor28. Tackled by Mike Miller.,7,24
05:59,1,Sack,-2,Sack at Tor26 for a loss of 2 yards by Gregory Alexandre.,7,24
05:18,2,Rush,-1,Curtis Steele rush for a loss of 1 yard to the Tor25. Tackled by Cameron Sheffield.,7,24
04:48,3,Punt,-8,Swayze Waters punts for 53 yards to Edm32. A.J. Guyton return for a loss of 8 yards to Edm24. Tackled by Shane Horton.,7,24
04:29,1,Rush,6,Kendial Lawrence rush for 6 yards to the Edm30. Tackled by Jermaine Gabriel.,7,24
03:52,2,Incomplete Pass,0,Matt Nichols incomplete pass intended for Nate Coehoorn defensed by Tristan Okpalaugo.,7,24
03:31,3,Holding,59,Grant Shaw punts for 49 yards to Tor31. Penalty: Holding on Toronto (Brendan Gillanders) 10 yards.,7,24
03:08,1,Incomplete Pass,0,Ricky Ray incomplete pass intended for Darvin Adams.,7,24
02:47,2,Sack,-13,Sack at Tor8 for a loss of 13 yards by Odell Willis.,7,24
02:27,3,Punt,11,Swayze Waters punts for 57 yards to Edm45. A.J. Guyton return for 11 yards to Tor54. Tackled by Jeremiah Johnson.,7,24
02:16,1,Rush,0,Matt Nichols rush for no gain to the Tor54. Tackled by Shane Horton.,7,24
02:12,2,Pass,20,Matt Nichols pass to Adarius Bowman for 20 yards to the Tor34. Tackled by Jalil Carter.,7,24
01:59,2,Rush,6,Pat White rush for 6 yards to the Tor28. Tackled by Branden Smith.,7,24
01:38,2,Rush,8,A.J. Guyton rush for 8 yards to the Tor20. Tackled by Jalil Carter.,7,24
01:32,1,Incomplete Pass,0,Pat White incomplete pass intended for Devon Bailey.,7,24
01:27,2,Pass,15,Matt Nichols pass to Kendial Lawrence for 15 yards to the Tor5. Tackled by Dwight Anderson.,7,24
01:03,1,Rush,5,Pat White rush for 5 yards for a TOUCHDOWN.,7,30
01:03,0,Objectionable Conduct,10,Grant Shaw extra point is good. Penalty: Objectionable Conduct on Toronto (Dwight Anderson) 10 yards.,7,31
01:02,0,Kickoff,35,Grant Shaw kicks off to the Tor1. Terrell Sinkfield return for 35 yards to Tor36. Tackled by Otha Foster.,7,31
00:55,1,Pass,14,Ricky Ray pass to Mike Bradwell for 14 yards to the Tor50.,7,31
00:48,1,Pass,8,Ricky Ray pass to Chad Owens for 8 yards to the Edm52. Tackled by Marcell Young.,7,31
00:43,0,Rush,6,"FUMBLE Curtis Steele rush for 6 yards to the Edm46., recovered by Tor (Jason Barnes).",7,31
00:35,1,Incomplete Pass,0,Ricky Ray incomplete pass intended for Darvin Adams.,7,31
00:25,2,Roughing Passer,15,Ricky Ray pass to Curtis Steele for no gain to the Edm46. Penalty: Roughing Passer on Edmonton (Rennie Curran) 15 yards.,7,31
00:18,1,Rush,2,Ricky Ray rush for 2 yards to the Edm29.,7,31
00:00,2,Missed Field Goal,36,Swayze Waters 36 yard field goal attempt is GOOD.,10,31
15:00,0,Kickoff,28,Swayze Waters kicks off to the Edm0. Tyler Thomas return for 28 yards to Edm26. Tackled by Vincent Agnew.,10,31
14:54,1,Rush,11,Tyler Thomas rush for 11 yards to the Edm37. Tackled by Shea Emry.,10,31
14:12,1,Rush,-1,A.J. Guyton rush for a loss of 1 yard to the Edm36. Tackled by Jermaine Gabriel.,10,31
13:34,2,Interception,16,Matt Nichols pass intended for Nate Coehoorn INTERCEPTED and returned for 16 yards. Tackled by Calvin McCarty.,10,31
13:08,1,Pass,29,Ricky Ray pass to Chad Owens for 29 yards to the Edm17. Tackled by Dexter McCoil.,10,31
12:37,1,Sack,-7,Sack at Edm24 for a loss of 7 yards by Odell Willis.,10,31
12:05,2,Pass,9,Ricky Ray pass to Spencer Watt for 9 yards to the Edm15. Tackled by Otha Foster.,10,31
11:14,3,Missed Field Goal,22,Swayze Waters 22 yard field goal attempt is GOOD.,13,31
11:14,1,Pass,7,Matt Nichols pass to Adarius Bowman for 7 yards to the Edm42.,13,31
10:53,2,Incomplete Pass,0,Matt Nichols incomplete pass intended for Nate Coehoorn.,13,31
10:33,3,Punt,3,Grant Shaw punts for 43 yards to Tor25. Branden Smith return for 3 yards to Tor28. Tackled by Deon Lacey.,13,31
10:10,1,Incomplete Pass,0,Ricky Ray incomplete pass intended for Spencer Watt.,13,31
09:56,2,Pass,24,Ricky Ray pass to Curtis Steele for 24 yards to the Tor52. Tackled by J.C. Sherritt.,13,31
09:34,1,Rush,3,Curtis Steele rush for 3 yards to the Tor55. Tackled by J.C. Sherritt.,13,31
09:02,2,Pass,10,Ricky Ray pass to Chad Owens for 10 yards to the Edm45. Tackled by Alonzo Lawrence.,13,31
08:39,1,Incomplete Pass,0,Ricky Ray incomplete pass intended for Spencer Watt defensed by Odell Willis.,13,31
08:18,2,Pass,10,Ricky Ray pass to Curtis Steele for 10 yards to the Edm35.,13,31
08:08,1,Incomplete Pass,0,Ricky Ray incomplete pass intended for Chad Owens.,13,31
07:54,2,Incomplete Pass,0,Ricky Ray incomplete pass intended for Darvin Adams.,13,31
07:17,3,Missed Field Goal,42,Swayze Waters 42 yard field goal attempt is GOOD.,16,31
07:17,1,Rush,-1,Tyler Thomas rush for a loss of 1 yard to the Edm34. Tackled by Jalil Carter.,16,31
06:47,2,Sack,-12,Sack at Edm22 for a loss of 12 yards by Vincent Agnew.,16,31
06:20,3,Punt,15,Grant Shaw punts for 50 yards to Tor38. Branden Smith return for 15 yards to Tor53. Tackled by Rennie Curran.,16,31
06:02,1,Rush,8,Curtis Steele rush for 8 yards to the Edm49. Tackled by Marcell Young.,16,31
05:24,2,Rush,2,Ricky Ray rush for 2 yards to the Edm47. Tackled by Odell Willis.,16,31
04:55,1,Pass,6,Ricky Ray pass to Chad Owens for 6 yards to the Edm41.,16,31
04:41,2,Pass,26,Ricky Ray pass to Curtis Steele for 26 yards to the Edm15. Tackled by Deon Lacey.,16,31
04:12,1,Rush,4,Jeremiah Johnson rush for 4 yards to the Edm11. Tackled by Rennie Curran.,16,31
03:16,2,Pass,11,Ricky Ray pass to Chad Owens for 11 yards for a TOUCHDOWN.,22,31
03:10,0,Made Extra Point,0,Swayze Waters extra point is good.,23,31
03:10,0,Kickoff,19,Swayze Waters kicks off to the Edm7. Kendial Lawrence return for 19 yards to Edm26. Tackled by Jeremiah Johnson.,23,31
03:04,1,Rush,5,Matt Nichols rush for 5 yards to the Edm31. Tackled by Jermaine Gabriel.,23,31
02:20,2,Pass,12,Matt Nichols pass to Adarius Bowman for 12 yards to the Edm43. Tackled by Brandon Underwood.,23,31
01:40,1,Pass,7,Matt Nichols pass to A.J. Guyton for 7 yards to the Edm50. Tackled by Jermaine Gabriel.,23,31
01:02,2,Rush,-1,Tyler Thomas rush for a loss of 1 yard to the Edm49. Tackled by Cleyon Laing.,23,31
00:01,3,Punt,1,Grant Shaw punts for 46 yards to Tor15. Branden Smith return for 1 yard to Tor16. Tackled by Ryan King.,23,31
15:00,1,Pass,15,Ricky Ray pass to Chad Owens for 15 yards to the Tor31. Tackled by Aaron Grymes.,23,31
14:39,1,Pass,9,Ricky Ray pass to Jason Barnes for 9 yards to the Tor40. Tackled by Marcell Young.,23,31
14:20,2,Rush,1,Ricky Ray rush for 1 yard to the Tor41. Tackled by Almondo Sewell.,23,31
14:02,3,Rush,2,Mitchell Gale rush for 2 yards to the Tor43. Tackled by Dexter McCoil.,23,31
13:33,1,Rush,5,Curtis Steele rush for 5 yards to the Tor48. Tackled by Dexter McCoil.,23,31
12:53,2,Rush,2,Jeremiah Johnson rush for 2 yards to the Tor50. Tackled by Almondo Sewell.,23,31
12:08,3,Punt Single,0,Swayze Waters punts for 80 yards to Edm0. No return (Single).,24,31
12:08,1,Pass,12,Matt Nichols pass to Shamawd Chambers for 12 yards to the Edm47. Tackled by Jalil Carter.,24,31
11:57,1,Incomplete Pass,0,Matt Nichols incomplete pass intended for Devon Bailey.,24,31
11:35,2,Sack,-6,Sack at Edm41 for a loss of 6 yards by Jalil Carter.,24,31
