Time,Down,Type,Yards,Details,Calgary,Toronto
15:00,0,Kickoff,21,Rene Paredes kicks off to the Tor0. Curtis Steele return for 21 yards to Tor21. Tackled by  .,0,0
14:45,1,Pass,44,Ricky Ray pass to John Chiles for 44 yards to the Cgy45. Tackled by Josh Bell.,0,0
14:33,1,Rush,8,Jeremiah Johnson rush for 8 yards to the Cgy37. Tackled by Fred Bennett.,0,0
14:03,0,Holding,-10,Penalty: Holding on Toronto (Jarriel King) -10 yards.,0,0
13:44,2,Pass,10,Ricky Ray pass to Spencer Watt for 10 yards to the Cgy37. Tackled by Lin-J Shell.,0,0
12:34,3,Missed Field Goal,44,Swayze Waters 44 yard field goal attempt is GOOD.,0,3
12:34,1,Incomplete Pass,0,Bo Levi Mitchell incomplete pass intended for Anthony Parker.,0,3
12:17,2,Pass,25,Bo Levi Mitchell pass to Anthony Parker for 25 yards to the Tor50. Tackled by Jalil Carter.,0,3
11:33,1,Pass,13,Bo Levi Mitchell pass to Jeff Fuller for 13 yards to the Tor37. Tackled by Antwaun Molden.,0,3
10:59,1,Incomplete Pass,0,Bo Levi Mitchell incomplete pass intended for Anthony Parker.,0,3
10:32,2,Pass,8,Bo Levi Mitchell pass to Matt Walter for 8 yards to the Tor29. Tackled by Shea Emry.,0,3
09:58,3,Missed Field Goal,36,Rene Paredes 36 yard field goal attempt is GOOD.,3,3
09:58,1,Pass,5,Ricky Ray pass to Chad Owens for 5 yards to the Tor40. Tackled by Buddy Jackson.,3,3
09:44,2,Pass,7,Ricky Ray pass to Chad Owens for 7 yards to the Tor47. Tackled by Deron Mayo.,3,3
09:09,1,Pass,22,Ricky Ray pass to Jeremiah Johnson for 22 yards to the Cgy41. Tackled by Brandon Smith.,3,3
08:27,1,Pass,3,Ricky Ray pass to Anthony Coombs for 3 yards to the Cgy38. Tackled by Keon Raymond.,3,3
07:59,2,Offside,5,Penalty: Offside on Calgary (Charleston Hughes) 5 yards.,3,3
07:38,2,Rush,1,Jeremiah Johnson rush for 1 yard to the Cgy32. Tackled by Josh Bell.,3,3
07:16,3,Rush,3,Mitchell Gale rush for 3 yards to the Cgy29. Tackled by DeQuin Evans.,3,3
06:43,0,Roughing Passer,14,Penalty: Roughing Passer on Calgary (Shawn Lemon) 14 yards.,3,3
05:53,1,Rush,1,Jeremiah Johnson rush for 1 yard to the Cgy14. Tackled by DeQuin Evans.,3,3
05:35,2,Incomplete Pass,0,Ricky Ray incomplete pass intended for John Chiles.,3,3
04:50,3,Missed Field Goal,21,Swayze Waters 21 yard field goal attempt is GOOD.,3,6
04:50,1,Illegal Procedure,-5,Penalty: Illegal Procedure on Calgary (Dan Federkeil) -5 yards.,3,6
04:25,1,Incomplete Pass,0,Bo Levi Mitchell incomplete pass intended for Marquay McDaniel.,3,6
04:15,2,Pass,6,Bo Levi Mitchell pass to Anthony Parker for 6 yards to the Cgy36. Tackled by Shea Emry.,3,6
03:51,3,Punt,15,Rob Maver punts for 52 yards to Tor22. Chad Owens return for 15 yards to Tor37. Tackled by Karl McCartney.,3,6
03:32,1,Rush,4,Curtis Steele rush for 4 yards to the Tor41. Tackled by Juwan Simpson.,3,6
