Time,Down,Type,Yards,Details,Toronto,Ottawa
06:41,0,Kickoff,20,Swayze Waters kicks off to the Ott5. Chevon Walker return for 20 yards to Ott25. Tackled by Shane Horton.,7,6
06:33,0,Illegal Contact,10,Penalty: Illegal Contact on Toronto (Tristan Okpalaugo) 10 yards.,7,6
06:05,1,Sack,-1,Sack at Ott34 for a loss of 1 yard by Tristan Okpalaugo.,7,6
05:23,2,Sack,-7,Sack at Ott27 for a loss of 7 yards by Jamie Robinson.,7,6
04:40,3,Illegal Block,-8,Brett Maher punts for 55 yards to Tor28. Curtis Steele return for 2 yards to Tor30. Penalty: Illegal Block on Toronto -10 yards.,7,6
04:22,1,Pass,10,Ricky Ray pass to Curtis Steele for 10 yards to the Tor30. Tackled by Eric Fraser.,7,6
03:55,1,Rush,6,Anthony Coombs rush for 6 yards to the Tor36. Tackled by Jonathan Williams.,7,6
03:10,2,Rush,9,Ricky Ray rush for 9 yards to the Tor45.,7,6
03:00,1,Incomplete Pass,0,Ricky Ray incomplete pass intended for Darvin Adams.,7,6
02:48,2,Incomplete Pass,0,Ricky Ray incomplete pass intended for Anthony Coombs.,7,6
02:43,3,Punt,2,Swayze Waters punts for 46 yards to Ott19. Jovon Johnson return for 2 yards to Ott21.,7,6
02:36,1,Rush,12,Henry Burris rush for 12 yards to the Ott33. Tackled by Shane Horton.,7,6
02:27,1,Pass,16,Henry Burris pass to Marcus Henry for 16 yards to the Ott49. Tackled by Jalil Carter.,7,6
02:16,1,Rush,9,Chevon Walker rush for 9 yards to the Tor52. Tackled by Shea Emry.,7,6
01:48,2,Rush,1,Chevon Walker rush for 1 yard to the Tor51. Tackled by Cleyon Laing.,7,6
01:31,3,Rush,2,Henry Burris rush for 2 yards to the Tor49. Tackled by Brandon Underwood.,7,6
01:19,0,Pass Interference,34,Penalty: Pass Interference on Toronto (Dwight Anderson) 34 yards.,7,6
00:57,1,Pass,3,Henry Burris pass to Kierrie Johnson for 3 yards to the Tor12. Tackled by Shane Horton.,7,6
00:39,2,Sack,-3,Sack at Tor15 for a loss of 3 yards by Cleyon Laing.,7,6
00:04,3,Missed Field Goal,22,Brett Maher 22 yard field goal attempt is GOOD.,7,9
15:00,0,Kickoff OOB,30,Swayze Waters kicks off to the Ott34. Penalty: Kickoff OOB on Toronto (Swayze Waters) -11 yards.,7,9
14:59,0,Holding,-10,Penalty: Holding on Ottawa (Scott MacDonell) -10 yards.,7,9
14:32,1,Sack,-5,Sack at Ott30 for a loss of 5 yards by Tristan Okpalaugo.,7,9
13:47,2,Rush,8,Henry Burris rush for 8 yards to the Ott38. Tackled by Brandon Underwood.,7,9
13:22,3,Punt,8,Brett Maher punts for 50 yards to Tor22. Branden Smith return for 8 yards to Tor30. Tackled by Andrew Marshall.,7,9
13:03,1,Pass,8,Ricky Ray pass to Spencer Watt for 8 yards to the Tor38. Tackled by Seth Williams.,7,9
12:27,2,Fumble,11,"Curtis Steele rush for 11 yards to the Tor49. FUMBLE, recovered by Ott (Jovon Johnson). Tackled by SirVincent Rogers.",7,9
11:45,1,Incomplete Pass,0,Henry Burris incomplete pass intended for Chevon Walker.,7,9
11:37,2,Incomplete Pass,0,Henry Burris incomplete pass intended for Kierrie Johnson.,7,9
11:12,3,No Yards,23,Brett Maher punts for 38 yards to Tor11. Penalty: No Yards on Ottawa -15 yards.,7,9
10:56,1,Pass,9,Ricky Ray pass to Anthony Coombs for 9 yards to the Tor35. Tackled by T.J. Hill.,7,9
10:11,2,Rush,1,Steve Slaton rush for 1 yard to the Tor36. Tackled by Travis Brown.,7,9
09:42,1,Incomplete Pass,0,Ricky Ray incomplete pass intended for Darvin Adams.,7,9
09:18,2,Incomplete Pass,0,Ricky Ray incomplete pass intended for Anthony Coombs.,7,9
08:55,3,Punt,2,Swayze Waters punts for 41 yards to Ott33. Jovon Johnson return for 2 yards to Ott35. Tackled by Jake Reinhart.,7,9
08:45,1,Rush,0,Chevon Walker rush for no gain to the Ott35. Tackled by Shane Horton.,7,9
08:12,2,Sack,-9,Sack at Ott26 for a loss of 9 yards by Tristan Okpalaugo.,7,9
07:29,3,Punt,9,Brett Maher punts for 55 yards to Tor29. Branden Smith return for 9 yards to Tor38. Tackled by Antoine Pruneau.,7,9
07:21,1,Pass,8,Ricky Ray pass to John Chiles for 8 yards to the Tor46. Tackled by Antoine Pruneau.,7,9
06:46,2,Pass,8,Ricky Ray pass to Mike Bradwell for 8 yards to the Tor54. Tackled by Jerrell Gavins.,7,9
06:25,1,Interception,0,Ricky Ray pass intended for Darvin Adams INTERCEPTED. No return. Tackled by Darvin Adams.,7,9
05:51,1,Incomplete Pass,0,Henry Burris incomplete pass intended for Kierrie Johnson.,7,9
05:39,2,Pass,15,Henry Burris pass to Dobson Collins for 15 yards to the Tor44. Tackled by Shane Horton.,7,9
05:16,1,Pass,16,Henry Burris pass to Dobson Collins for 16 yards to the Tor28. Tackled by Brandon Underwood.,7,9
04:18,1,Incomplete Pass,0,Henry Burris incomplete pass intended for Carlton Mitchell.,7,9
03:48,2,Illegal Procedure,-5,Penalty: Illegal Procedure on Ottawa (Jeraill McCuller) -5 yards.,7,9
03:41,2,Offside,5,Penalty: Offside on Toronto (Tristan Okpalaugo) 5 yards.,7,9
03:19,2,Pass,4,Henry Burris pass to Matt Carter for 4 yards to the Tor24. Tackled by Branden Smith.,7,9
02:31,3,Missed Field Goal,32,Brett Maher 32 yard field goal attempt is GOOD.,7,12
02:31,1,Sack,-8,Sack at Tor27 for a loss of 8 yards by T.J. Hill.,7,12
01:56,2,Pass,24,Ricky Ray pass to Steve Slaton for 24 yards to the Tor51. Tackled by Antoine Pruneau.,7,12
01:21,1,Rush,5,Steve Slaton rush for 5 yards to the Ott54. Tackled by T.J. Hill.,7,12
00:41,2,Offside,-5,Penalty: Offside on Toronto (John Chiles) -5 yards.,7,12
00:09,2,Pass,21,Ricky Ray pass to Terrell Sinkfield for 21 yards to the Ott38. Tackled by Jerrell Gavins.,7,12
15:00,1,Pass,18,Ricky Ray pass to Spencer Watt for 18 yards to the Ott20. Tackled by Seth Williams.,7,12
14:17,1,Pass,20,Ricky Ray pass to Darvin Adams for 20 yards for a TOUCHDOWN.,13,12
14:00,0,Made Extra Point,0,Swayze Waters extra point is good.,14,12
14:00,0,Kickoff,30,Swayze Waters kicks off to the Ott0. Chevon Walker return for 30 yards to Ott28. Tackled by James Yurichuk.,14,12
13:53,1,Rush,28,Chevon Walker rush for 28 yards to the Tor54. Tackled by Jalil Carter.,14,12
13:15,1,Illegal Procedure,-5,Penalty: Illegal Procedure on Ottawa (Matthew Albright) -5 yards.,14,12
12:43,1,Incomplete Pass,0,Henry Burris incomplete pass intended for Carlton Mitchell.,14,12
12:26,2,Pass,8,Henry Burris pass to Matt Carter for 8 yards to the Tor51. Tackled by Shane Horton.,14,12
11:52,3,Illegal Punt,10,Thomas DeMarco punts for 20 yards to Tor31. Penalty: Illegal Punt on Ottawa (Thomas DeMarco) -10 yards.,14,12
11:38,1,Rush,-1,Curtis Steele rush for a loss of 1 yard to the Tor40. Tackled by Keith Shologan.,14,12
10:56,2,Pass,14,Ricky Ray pass to Darvin Adams for 14 yards to the Tor54. Tackled by Travis Brown.,14,12
10:33,1,Sack,-7,Sack at Tor47 for a loss of 7 yards by Brandon Lang.,14,12
09:33,2,Incomplete Pass,0,Ricky Ray incomplete pass intended for Spencer Watt.,14,12
09:23,3,Punt,7,Swayze Waters punts for 55 yards to Ott8. Jovon Johnson return for 7 yards to Ott15. Tackled by James Yurichuk.,14,12
09:07,1,Incomplete Pass,0,Henry Burris incomplete pass intended for Matt Carter defensed by Jalil Carter.,14,12
08:45,2,Pass,10,Henry Burris pass to Chevon Walker for 10 yards to the Ott25. Tackled by Jermaine Gabriel.,14,12
08:20,1,Incomplete Pass,0,Henry Burris incomplete pass intended for Dobson Collins.,14,12
07:53,2,Pass,15,Henry Burris pass to Kierrie Johnson for 15 yards to the Ott40. Tackled by Brandon Underwood.,14,12
07:14,1,Pass,23,Henry Burris pass to John Delahunt for 23 yards to the Tor47. Tackled by Brandon Underwood.,14,12
06:39,1,Rush,5,Chevon Walker rush for 5 yards to the Tor42.,14,12
06:03,2,Pass,2,Henry Burris pass to Kierrie Johnson for 2 yards to the Tor40. Tackled by Dwight Anderson.,14,12
05:07,3,Missed Field Goal,48,Brett Maher 48 yard field goal attempt is GOOD.,14,15
05:07,1,Rush,0,Steve Slaton rush for no gain to the Tor35. Tackled by Travis Brown.,14,15
04:28,2,Rush,10,Ricky Ray rush for 10 yards to the Tor45. Tackled by Jonathan Williams.,14,15
03:53,3,Rush,0,Mitchell Gale rush for no gain to the Tor45. Tackled by Travis Brown.,14,15
03:51,1,Pass,14,Ricky Ray pass to Alexandre Dupuis for 14 yards to the Ott51. Tackled by Jovon Johnson.,14,15
03:02,1,Incomplete Pass,0,Ricky Ray incomplete pass intended for Terrell Sinkfield.,14,15
02:41,2,Pass,12,Ricky Ray pass to John Chiles for 12 yards to the Ott39. Tackled by Brandyn Thompson.,14,15
02:22,1,Rush,5,Steve Slaton rush for 5 yards to the Ott34. Tackled by Jasper Simmons.,14,15
02:02,2,Incomplete Pass,0,Ricky Ray incomplete pass intended for John Chiles.,14,15
01:37,3,Illegal Procedure,-5,Penalty: Illegal Procedure on Toronto (Cleyon Laing) -5 yards.,14,15
01:33,3,Missed Field Goal,47,Swayze Waters 47 yard field goal attempt is GOOD.,17,15
01:33,1,Pass,5,Henry Burris pass to Chevon Walker for 5 yards to the Ott40. Tackled by Branden Smith.,17,15
01:26,2,Rush,6,Chevon Walker rush for 6 yards to the Ott46. Tackled by Thaddeus Gibson.,17,15
01:16,1,Incomplete Pass,0,Henry Burris incomplete pass intended for Kierrie Johnson.,17,15
01:07,2,Pass,43,Henry Burris pass to Kierrie Johnson for 43 yards to the Tor21. Tackled by Jalil Carter.,17,15
01:00,1,Rush,0,Chevon Walker rush for no gain to the Tor21. Tackled by Shea Emry.,17,15
00:37,2,Rush,6,Chevon Walker rush for 6 yards to the Tor15.,17,15
00:28,3,Missed Field Goal,23,Brett Maher 23 yard field goal attempt is GOOD.,17,18
00:28,1,Pass,15,Ricky Ray pass to Anthony Coombs for 15 yards to the Tor50. Tackled by Jovon Johnson.,17,18
00:20,1,Incomplete Pass,0,Ricky Ray incomplete pass intended for John Chiles.,17,18
00:11,2,Incomplete Pass,0,Ricky Ray incomplete pass.,17,18
00:05,3,Interception,18,Ricky Ray pass intended for Spencer Watt INTERCEPTED and returned for 18 yards.,17,18
