Time,Down,Type,Yards,Details,Toronto,BC
06:33,2,Pass,20,Kevin Glenn pass to Emmanuel Arceneaux for 20 yards for a TOUCHDOWN.,18,7
06:24,0,Made Extra Point,0,Paul McCallum extra point is good.,18,8
06:24,0,Offside on Kickoff,-5,Penalty: Offside on Kickoff on BC (Akwasi Antwi) -5 yards.,18,8
06:16,0,Kickoff,12,Ricky Schmitt kicks off to the Tor10. Branden Smith return for 12 yards to Tor22. Tackled by Alex Bazzie.,18,8
06:09,1,Pass,8,Ricky Ray pass to Jason Barnes for 8 yards to the Tor30. Tackled by Adam Bighill.,18,8
05:46,2,Pass,8,Ricky Ray pass to Chad Owens for 8 yards to the Tor38. Tackled by Solomon Elimimian.,18,8
05:02,1,Rush,4,Steve Slaton rush for 4 yards to the Tor42. Tackled by Josh Johnson.,18,8
04:24,2,Pass,2,Ricky Ray pass to Steve Slaton for 2 yards to the Tor44. Tackled by Solomon Elimimian.,18,8
03:33,3,Punt,7,Swayze Waters punts for 51 yards to BC15. Tim Brown return for 7 yards to BC22. Tackled by Matthew Ware.,18,8
03:16,1,Pass,15,Kevin Glenn pass to Emmanuel Arceneaux for 15 yards to the BC37. Tackled by Vincent Agnew.,18,8
02:52,1,Rush,5,Stefan Logan rush for 5 yards to the BC42. Tackled by Shea Emry.,18,8
02:40,2,Pass,25,Kevin Glenn pass to Andrew Harris for 25 yards to the Tor43. Tackled by Jalil Carter.,18,8
02:21,1,Pass,9,Kevin Glenn pass to Tim Brown for 9 yards to the Tor34. Tackled by Gregory Jones.,18,8
02:03,2,Rush,6,Stefan Logan rush for 6 yards to the Tor28. Tackled by Jalil Carter.,18,8
01:58,1,Incomplete Pass,0,Kevin Glenn incomplete pass intended for Tim Brown.,18,8
01:41,2,Incomplete Pass,0,Kevin Glenn incomplete pass intended for Andrew Harris.,18,8
01:25,3,Field Goal Single,12,43 yard field goal attempt by Paul McCallum is NO GOOD.  Missed field goal returned by Branden Smith to the Tor0 (Single).,18,9
01:25,1,Pass,9,Ricky Ray pass to LaVon Brazill for 9 yards to the Tor44. Tackled by Adam Bighill.,18,9
01:20,2,Rush,6,Curtis Steele rush for 6 yards to the Tor50. Tackled by Cord Parks.,18,9
01:08,1,Pass,18,Ricky Ray pass to Chad Owens for 18 yards to the BC42. Tackled by Solomon Elimimian.,18,9
00:50,1,Incomplete Pass,0,Ricky Ray incomplete pass intended for Chad Owens.,18,9
00:36,2,Rush,4,Ricky Ray rush for 4 yards to the BC38. Tackled by Eric Taylor.,18,9
00:06,3,Missed Field Goal,45,Swayze Waters 45 yard field goal attempt is GOOD.,21,9
15:00,0,Kickoff,32,Ricky Schmitt kicks off to the Tor7. Branden Smith return for 32 yards to Tor39. Tackled by Akwasi Antwi.,21,9
