Time,Down,Type,Yards,Details,Hamilton,Toronto
15:00,0,Kickoff,10,Justin Medlock kicks off to the Tor12. Curtis Steele return for 10 yards to Tor22. Tackled by Beau Landry.,0,0
14:56,1,Pass,5,Ricky Ray pass to Chad Owens for 5 yards to the Tor27. Tackled by Simoni Lawrence.,0,0
14:38,2,Pass,6,Ricky Ray pass to John Chiles for 6 yards to the Tor33. Tackled by Brandon Stewart.,0,0
14:18,1,Incomplete Pass,0,Ricky Ray incomplete pass intended for Curtis Steele.,0,0
14:11,2,Pass,4,Ricky Ray pass to Curtis Steele for 4 yards to the Tor37. Tackled by Rico Murray.,0,0
13:54,3,Holding,52,Swayze Waters punts for 42 yards to Ham31. Penalty: Holding on Hamilton 10 yards.,0,0
13:35,1,Incomplete Pass,0,Zach Collaros incomplete pass intended for Brandon Banks.,0,0
13:21,2,Rush,11,Zach Collaros rush for 11 yards to the Ham32. Tackled by Vincent Agnew.,0,0
12:47,1,Incomplete Pass,0,Zach Collaros incomplete pass intended for Luke Tasker defensed by Brandon Underwood.,0,0
12:21,2,Pass,14,Zach Collaros pass to Luke Tasker for 14 yards to the Ham46. Tackled by Shane Horton.,0,0
11:47,1,Rush,14,Isi Sofele rush for 14 yards to the Tor50. Tackled by Aston Whiteside.,0,0
11:08,1,Rush,9,Zach Collaros rush for 9 yards to the Tor41.,0,0
10:36,2,Rush,2,Zach Collaros rush for 2 yards to the Tor39. Tackled by Delano Johnson.,0,0
10:07,1,Pass,4,Zach Collaros pass to Andy Fantuz for 4 yards to the Tor35. Tackled by Jamie Robinson.,0,0
09:20,2,Pass,3,Zach Collaros pass to Isi Sofele for 3 yards to the Tor32. Tackled by Branden Smith.,0,0
08:31,3,Missed Field Goal,40,Justin Medlock 40 yard field goal attempt is GOOD.,3,0
08:31,1,Pass,24,Ricky Ray pass to Anthony Coombs for 24 yards to the Ham51. Tackled by Craig Butler.,3,0
08:17,1,Incomplete Pass,0,Ricky Ray incomplete pass intended for Chad Owens.,3,0
08:08,2,Pass,12,Ricky Ray pass to John Chiles for 12 yards to the Ham39. Tackled by Evan McCollough.,3,0
07:43,1,Offside,0,Penalty: Offside on Toronto (Mike Bradwell) -5 yards. Penalty: Offside on Hamilton (Delvin Breaux) 5 yards.,3,0
07:21,1,Pass,12,Ricky Ray pass to Anthony Coombs for 12 yards to the Ham27. Tackled by Craig Butler.,3,0
06:21,1,Pass,27,Ricky Ray pass to Chad Owens for 27 yards for a TOUCHDOWN.,3,6
06:05,0,Made Extra Point,0,Swayze Waters extra point is good.,3,7
06:05,0,Kickoff,16,Swayze Waters kicks off to the Ham19. Tavoy Moore return for 16 yards to Ham35. Tackled by Jermaine Gabriel.,3,7
05:58,1,Rush,0,Zach Collaros rush for no gain to the Ham35.,3,7
05:34,2,Fumble,-7,"Sack at Ham28 for a loss of 7 yards by Thaddeus Gibson. FUMBLE, recovered by Ham (Steve Myddelton).",3,7
05:02,3,Punt,14,Justin Medlock punts for 41 yards to Tor41. Branden Smith return for 14 yards to Tor55. Tackled by Hasan Hazime.,3,7
04:41,1,Pass,2,Trevor Harris pass to Jarred Fayson for 2 yards to the Ham53. Tackled by Evan McCollough.,3,7
04:16,2,Pass,6,Trevor Harris pass to Jeremiah Johnson for 6 yards to the Ham47. Tackled by Frederic Plesius.,3,7
03:30,3,Fumble,-5,"Swayze Waters punts for 42 yards to Ham5. Tavoy Moore return for a loss of 5 yards to Ham0. FUMBLE, recovered by Tor (Jermaine Gabriel) for a TOUCHDOWN.",3,13
03:09,0,Made Extra Point,0,Swayze Waters extra point is good.,3,14
03:09,0,Kickoff,19,Swayze Waters kicks off to the Ham20. Tavoy Moore return for 19 yards to Ham39. Tackled by Thomas Miles.,3,14
02:40,1,Illegal Procedure,-5,Penalty: Illegal Procedure on Hamilton (Carl-Olivier Prime) -5 yards.,3,14
02:40,1,Pass,37,Zach Collaros pass to Bakari Grant for 37 yards to the Tor39. Tackled by Matt Black.,3,14
02:00,1,Pass,16,Zach Collaros pass to Isi Sofele for 16 yards to the Tor23. Tackled by Logan Harrell.,3,14
