Time,Down,Type,Yards,Details,Winnipeg,Toronto
15:00,0,Kickoff,15,Lirim Hajrullahu kicks off to the Tor10. Robert Gill return for 15 yards to Tor25. Tackled by Chris Randle.,0,0
14:53,1,Offside,-5,Penalty: Offside on Toronto (Terrell Sinkfield) -5 yards.,0,0
14:24,1,Rush,0,Steve Slaton rush for no gain to the Tor20. Tackled by Zach Anderson.,0,0
13:50,2,Pass,17,Ricky Ray pass to Steve Slaton for 17 yards to the Tor37. Tackled by Matt Bucknor.,0,0
13:09,1,Rush,6,Steve Slaton rush for 6 yards to the Tor43. Tackled by Derek Jones.,0,0
12:28,2,Incomplete Pass,0,Ricky Ray incomplete pass intended for Terrell Sinkfield.,0,0
12:05,3,Punt,40,Swayze Waters punts for 60 yards to Wpg7.   return for 40 yards to Wpg47. Tackled by Swayze Waters.,0,0
11:40,1,Pass,-1,Drew Willy pass to Paris Cotton for a loss of 1 yard to the Wpg46. Tackled by Dwight Anderson.,0,0
11:03,2,Offside,5,Penalty: Offside on Toronto (Shane Horton) 5 yards.,0,0
10:54,2,Pass,10,Drew Willy pass to Clarence Denmark for 10 yards to the Tor49. Tackled by Jalil Carter.,0,0
10:28,1,Rush,37,Nic Grigsby rush for 37 yards to the Tor12. Tackled by Jermaine Gabriel.,0,0
09:57,1,Pass,3,Drew Willy pass to Nic Grigsby for 3 yards to the Tor9. Tackled by Shea Emry.,0,0
08:54,2,Pass,9,Drew Willy pass to Cory Watson for 9 yards for a TOUCHDOWN.,6,0
08:37,0,Made Extra Point,0,Lirim Hajrullahu extra point is good.,7,0
08:37,0,Holding,15,Lirim Hajrullahu kicks off to the Tor8. Robert Gill return for 25 yards to Tor33. Penalty: Holding on Toronto (Zander Robinson) -10 yards.,7,0
08:13,1,Pass,17,Ricky Ray pass to Alexandre Dupuis for 17 yards to the Tor40. Tackled by Chris Randle.,7,0
07:40,1,Incomplete Pass,0,Ricky Ray incomplete pass intended for Steve Slaton.,7,0
07:24,2,Pass,4,Ricky Ray pass to Steve Slaton for 4 yards to the Tor44. Tackled by Derek Jones.,7,0
06:49,3,Punt,18,Swayze Waters punts for 41 yards to Wpg25.   return for 18 yards to Wpg43. Tackled by Curtis Steele.,7,0
06:26,1,Offside,5,Penalty: Offside on Toronto (Dwight Anderson) 5 yards.,7,0
06:08,1,Rush,6,Nic Grigsby rush for 6 yards to the Wpg54. Tackled by Logan Harrell.,7,0
05:24,1,Rush,-2,Paris Cotton rush for a loss of 2 yards to the Wpg52. Tackled by Brandon Underwood.,7,0
04:49,2,Pass,5,Drew Willy pass to Romby Bryant for 5 yards to the Tor53. Tackled by Jalil Carter.,7,0
04:18,3,Punt,0,Lirim Hajrullahu punts for 33 yards to Tor20. No return.,7,0
03:48,1,Rush,7,Curtis Steele rush for 7 yards to the Tor27. Tackled by Ian Wild.,7,0
03:23,2,Rush,1,Steve Slaton rush for 1 yard to the Tor28. Tackled by Maurice Leggett.,7,0
02:46,3,Holding,52,Swayze Waters punts for 42 yards to Wpg40. Penalty: Holding on Winnipeg (Derek Jones) 10 yards.,7,0
02:09,1,Pass,6,Drew Willy pass to Aaron Kelly for 6 yards to the Wpg36. Tackled by Branden Smith.,7,0
01:42,2,Incomplete Pass,0,Drew Willy incomplete pass intended for Julian Feoli-Gudino.,7,0
01:08,3,Unnecessary Roughness,-10,Lirim Hajrullahu punts for 51 yards to Tor23. Mike Bradwell return for 3 yards to Tor26. Tackled by Teague Sherman. Penalty: Unnecessary Roughness on Toronto (Curtis Steele) -13 yards.,7,0
00:33,1,Pass,13,Ricky Ray pass to Robert Gill for 13 yards to the Tor26. Tackled by Matt Bucknor.,7,0
00:08,1,Pass,9,Ricky Ray pass to Darvin Adams for 9 yards to the Tor35. Tackled by Demond Washington.,7,0
15:00,2,Rush,6,Mitchell Gale rush for 6 yards to the Tor41. Tackled by Zach Anderson.,7,0
14:30,1,Rush,26,Steve Slaton rush for 26 yards to the Wpg43. Tackled by Don Unamba.,7,0
14:04,1,Pass,10,Ricky Ray pass to Maurice Mann for 10 yards to the Wpg33. Tackled by Derek Jones.,7,0
13:37,2,Rush,2,Mitchell Gale rush for 2 yards to the Wpg31. Tackled by Derek Jones.,7,0
12:55,1,Pass,12,Ricky Ray pass to Curtis Steele for 12 yards to the Wpg19. Tackled by Desia Dunn.,7,0
11:54,1,Rush,19,Curtis Steele rush for 19 yards for a TOUCHDOWN.,7,6
11:40,0,Made Extra Point,0,Swayze Waters extra point is good.,7,7
11:40,0,Kickoff,26,Swayze Waters kicks off to the Wpg4.   return for 26 yards to Wpg30. Tackled by Shane Horton.,7,7
11:29,1,Rush,7,Nic Grigsby rush for 7 yards to the Wpg37. Tackled by Shea Emry.,7,7
10:36,2,Pass,5,Drew Willy pass to Aaron Kelly for 5 yards to the Wpg42. Tackled by Dwight Anderson.,7,7
10:10,1,Pass,3,Drew Willy pass to Cory Watson for 3 yards to the Wpg45. Tackled by Dwight Anderson.,7,7
09:33,2,Offside,5,Penalty: Offside on Toronto (Jermaine Gabriel) 5 yards.,7,7
09:10,0,Holding,-10,Penalty: Holding on Winnipeg (Carl Fitzgerald) -10 yards.,7,7
08:55,2,Illegal Procedure,-5,Penalty: Illegal Procedure on Winnipeg (Patrick Neufeld) -5 yards.,7,7
08:37,2,Pass,10,Drew Willy pass to Aaron Kelly for 10 yards to the Wpg45. Tackled by Brandon Underwood.,7,7
08:01,3,Punt,3,Lirim Hajrullahu punts for 48 yards to Tor17. Mike Bradwell return for 3 yards to Tor20. Tackled by Don Unamba.,7,7
07:41,1,Rush,9,Steve Slaton rush for 9 yards to the Tor29. Tackled by Ian Wild.,7,7
07:20,2,Rush,2,Steve Slaton rush for 2 yards to the Tor31. Tackled by Ian Wild.,7,7
