Time,Down,Type,Yards,Details,Ottawa,Toronto
06:17,2,Pass,14,Trevor Harris pass to John Chiles for 14 yards to the Ott23. Tackled by Abdul Kanneh.,0,17
05:40,1,Rush,16,Steve Slaton rush for 16 yards to the Ott7. Tackled by Marlon Smith.,0,17
04:40,1,Incomplete Pass,0,Trevor Harris incomplete pass intended for Spencer Watt.,0,17
04:19,2,Sack,-8,Sack at Ott15 for a loss of 8 yards by Justin Capicciotti.,0,17
03:13,3,Missed Field Goal,22,Swayze Waters 22 yard field goal attempt is GOOD.,0,20
03:13,1,Rush,-6,Roy Finch rush for a loss of 6 yards to the Ott29. Tackled by Tristan Okpalaugo.,0,20
02:50,2,Incomplete Pass,0,Danny O'Brien incomplete pass intended for Scott MacDonell.,0,20
02:37,3,Punt,1,Brett Maher punts for 49 yards to Tor32. Chad Owens return for 1 yard to Tor33. Tackled by  .,0,20
02:22,1,Rush,4,Steve Slaton rush for 4 yards to the Tor37. Tackled by Justin Capicciotti.,0,20
02:17,2,Pass,8,Trevor Harris pass to Jason Barnes for 8 yards to the Tor45. Tackled by Abdul Kanneh.,0,20
01:53,1,Incomplete Pass,0,Trevor Harris incomplete pass intended for Chad Owens.,0,20
01:34,2,Rush,2,Trevor Harris rush for 2 yards to the Tor47. Tackled by Justin Capicciotti.,0,20
01:25,3,Punt,6,Swayze Waters punts for 56 yards to Ott7. Jamill Smith return for 6 yards to Ott13. Tackled by Cory Greenwood.,0,20
00:55,1,Pass,6,Danny O'Brien pass to Wallace Miles for 6 yards to the Ott19. Tackled by Shea Emry.,0,20
00:43,2,Pass,10,Danny O'Brien pass to Scott MacDonell for 10 yards to the Ott29. Tackled by Branden Smith.,0,20
00:27,1,Incomplete Pass,0,Danny O'Brien incomplete pass intended for Patrick Lavoie.,0,20
00:21,2,Pass,9,Danny O'Brien pass to Roy Finch for 9 yards to the Ott38. Tackled by Matthew Ware.,0,20
00:14,3,Rush,2,Danny O'Brien rush for 2 yards to the Ott40. Tackled by Shea Emry.,0,20
00:11,1,Unnecessary Roughness,15,Danny O'Brien pass to Roy Finch for no gain to the Ott40. Tackled by Nick Rosamonda. Penalty: Unnecessary Roughness on Toronto (Logan Harrell) 15 yards.,0,20
14:56,0,Kick Off Single,64,Brett Maher kicks off to the Tor0 (Single).,1,20
14:56,1,Pass,10,Trevor Harris pass to Jason Barnes for 10 yards to the Tor45. Tackled by Zack Evans.,1,20
14:32,1,Pass,9,Trevor Harris pass to John Chiles for 9 yards to the Tor54. Tackled by Marlon Smith.,1,20
13:48,2,Rush,2,Mitchell Gale rush for 2 yards to the Ott54. Tackled by Damaso Munoz.,1,20
12:55,1,Rush,2,Anthony Woodson rush for 2 yards to the Ott52. Tackled by Justin Capicciotti.,1,20
12:20,2,Pass,1,Trevor Harris pass to Mike Bradwell for 1 yard to the Ott51. Tackled by Antoine Pruneau.,1,20
11:34,3,No Yards,17,Swayze Waters punts for 32 yards to Ott19. Penalty: No Yards on Toronto (Jake Reinhart) -15 yards.,1,20
11:02,1,Incomplete Pass,0,Henry Burris incomplete pass intended for Wallace Miles.,1,20
10:50,2,Sack,-7,Sack at Ott27 for a loss of 7 yards by Tristan Okpalaugo.,1,20
10:23,3,Punt,0,Brett Maher punts for 58 yards to Tor25. No return.,1,20
09:52,1,Pass,5,Trevor Harris pass to Jason Barnes for 5 yards to the Tor30. Tackled by Brandyn Thompson.,1,20
09:25,2,Pass,36,Trevor Harris pass to John Chiles for 36 yards to the Ott44. Tackled by Jermaine Robinson.,1,20
08:54,1,Pass,-1,Trevor Harris pass to Chad Owens for a loss of 1 yard to the Ott45. Tackled by Brandyn Thompson.,1,20
08:08,2,Incomplete Pass,0,Trevor Harris incomplete pass intended for John Chiles.,1,20
07:40,3,Punt,3,Swayze Waters punts for 34 yards to Ott11. Jamill Smith return for 3 yards to Ott14. Tackled by Isaiah Green.,1,20
07:15,1,Rush,-3,Roy Finch rush for a loss of 3 yards to the Ott11. Tackled by Delano Johnson.,1,20
06:50,2,Offside,5,Penalty: Offside on Toronto (Logan Harrell) 5 yards.,1,20
06:21,2,Pass,11,Henry Burris pass to Wallace Miles for 11 yards to the Ott27. Tackled by Orhian Johnson.,1,20
05:50,1,Pass,13,Henry Burris pass to Wallace Miles for 13 yards to the Ott40. Tackled by Alex Suber.,1,20
05:11,1,Pass,9,Henry Burris pass to Eddie Poole for 9 yards to the Ott49. Tackled by Alex Suber.,1,20
04:42,2,Rush,2,Henry Burris rush for 2 yards to the Ott51. Tackled by Aston Whiteside.,1,20
04:13,1,Rush,11,Henry Burris rush for 11 yards to the Tor48.,1,20
03:48,1,Rush,2,Roy Finch rush for 2 yards to the Tor46. Tackled by Tristan Okpalaugo.,1,20
03:17,2,Incomplete Pass,0,Henry Burris incomplete pass intended for Matt Carter.,1,20
02:27,3,Punt Single,0,Brett Maher punts for 54 yards to Tor0. No return (Single).,2,20
02:27,1,Pass,5,Trevor Harris pass to Spencer Watt for 5 yards to the Tor40. Tackled by Justin Capicciotti.,2,20
02:07,2,Incomplete Pass,0,Trevor Harris incomplete pass intended for Jason Barnes.,2,20
01:38,3,Illegal Block,52,Swayze Waters punts for 42 yards to Ott28. Penalty: Illegal Block on Ottawa (Jordan Verdone) 10 yards.,2,20
01:11,1,Rush,4,Roy Finch rush for 4 yards to the Ott22. Tackled by Matthew Ware.,2,20
00:39,2,Pass,6,Henry Burris pass to Eddie Poole for 6 yards to the Ott28. Tackled by Alex Suber.,2,20
00:04,3,Rush,2,Henry Burris rush for 2 yards to the Ott30. Tackled by Euclid Cummings.,2,20
15:00,1,Rush,5,Roy Finch rush for 5 yards to the Ott35. Tackled by Aston Whiteside.,2,20
14:27,2,Pass,8,Henry Burris pass to Matt Carter for 8 yards to the Ott43. Tackled by Shea Emry.,2,20
13:56,1,Pass,42,Henry Burris pass to Eddie Poole for 42 yards to the Tor25. Tackled by Jermaine Gabriel.,2,20
13:22,1,Rush,11,Roy Finch rush for 11 yards to the Tor14. Tackled by Jermaine Gabriel.,2,20
12:43,1,Incomplete Pass,0,Henry Burris incomplete pass intended for Eddie Poole.,2,20
12:17,2,Incomplete Pass,0,Henry Burris incomplete pass intended for Matt Carter.,2,20
11:42,3,Missed Field Goal,22,Brett Maher 22 yard field goal attempt is GOOD.,5,20
11:42,1,Illegal Procedure,-5,Penalty: Illegal Procedure on Toronto -5 yards.,5,20
11:30,1,Pass,23,Trevor Harris pass to Steve Slaton for 23 yards to the Tor53. Tackled by Keith Shologan.,5,20
10:48,1,Rush,8,Anthony Woodson rush for 8 yards to the Ott49. Tackled by Andrew Marshall.,5,20
10:08,2,Rush,2,Anthony Woodson rush for 2 yards to the Ott47. Tackled by Jasper Simmons.,5,20
09:38,3,Rush,0,Mitchell Gale rush for no gain to the Ott47. Tackled by Marlon Smith.,5,20
09:15,1,Pass,3,Trevor Harris pass to Chad Owens for 3 yards to the Ott44. Tackled by Jermaine Robinson.,5,20
08:34,2,Pass,6,Trevor Harris pass to Spencer Watt for 6 yards to the Ott38. Tackled by Abdul Kanneh.,5,20
07:16,3,Missed Field Goal,45,Swayze Waters 45 yard field goal attempt is GOOD.,5,23
07:16,1,Pass,5,Henry Burris pass to Matt Carter for 5 yards to the Ott40.,5,23
07:04,2,Sack,-10,Sack at Ott30 for a loss of 10 yards by Nick Rosamonda.,5,23
06:35,3,Punt,22,Brett Maher punts for 39 yards to Tor41. Chad Owens return for 22 yards to Ott47. Tackled by Jasper Simmons.,5,23
06:03,0,Too Many Men on Field,-10,Penalty: Too Many Men on Field on Toronto -10 yards.,5,23
05:58,1,Rush,11,Trevor Harris rush for 11 yards to the Ott46. Tackled by David Hinds.,5,23
