Time,Down,Type,Yards,Details,Calgary,Ottawa
04:47,3,Illegal Block,-7,Brett Maher punts for 44 yards to Cgy16. Sederrik Cunningham return for 2 yards to Cgy18. Penalty: Illegal Block on Calgary (Spencer Wilson) -9 yards.,8,7
04:13,1,Incomplete Pass,0,Bo Levi Mitchell incomplete pass intended for Rob Cote.,8,7
03:50,0,Illegal Contact,10,Penalty: Illegal Contact on Ottawa (Jerrell Gavins) 10 yards.,8,7
03:25,1,Rush,13,Jon Cornish rush for 13 yards to the Cgy32. Tackled by  .,8,7
02:59,1,Incomplete Pass,0,Bo Levi Mitchell incomplete pass intended for Jabari Arthur.,8,7
02:42,2,Incomplete Pass,0,Bo Levi Mitchell incomplete pass intended for Joe West.,8,7
02:36,3,Punt,7,Rob Maver punts for 47 yards to Ott31. Jamill Smith return for 7 yards to Ott38. Tackled by Lin-J Shell.,8,7
02:25,1,Pass,10,Henry Burris pass to Marcus Henry for 10 yards to the Ott48. Tackled by Josh Bell.,8,7
02:19,2,Offside,5,Penalty: Offside on Calgary (Charleston Hughes) 5 yards.,8,7
02:11,0,Rush,3,"FUMBLE Henry Burris rush for 3 yards to the Cgy54., recovered by Ott (J'Micheal Deane).",8,7
02:04,2,Incomplete Pass,0,Henry Burris incomplete pass intended for Dobson Collins defensed by Juwan Simpson.,8,7
01:43,3,Punt,4,Brett Maher punts for 44 yards to Cgy10. Sederrik Cunningham return for 4 yards to Cgy14. Tackled by Jason Pottinger.,8,7
01:30,1,Pass,11,Bo Levi Mitchell pass to   for 11 yards to the Cgy25. Tackled by Brandyn Thompson.,8,7
01:22,1,Pass,9,Bo Levi Mitchell pass to   for 9 yards to the Cgy34. Tackled by Jerrell Gavins.,8,7
01:20,2,Rush,2,Drew Tate rush for 2 yards to the Cgy36. Tackled by Connor Williams.,8,7
01:16,1,Pass,11,Bo Levi Mitchell pass to Marquay McDaniel for 11 yards to the Cgy47. Tackled by  .,8,7
01:04,1,Incomplete Pass,0,Bo Levi Mitchell incomplete pass intended for Joe West.,8,7
00:54,2,Incomplete Pass,0,Bo Levi Mitchell incomplete pass intended for Joe West.,8,7
00:49,3,Punt,15,Rob Maver punts for 53 yards to Ott10. Jamill Smith return for 15 yards to Ott25. Tackled by Karl McCartney.,8,7
00:38,1,Rush,3,Chevon Walker rush for 3 yards to the Ott28. Tackled by Junior Turner.,8,7
00:33,2,Rush,4,Chevon Walker rush for 4 yards to the Ott32. Tackled by  .,8,7
15:00,0,Kickoff,22,Rene Paredes kicks off to the Ott0. Jamill Smith return for 22 yards to Ott21. Tackled by Keenan MacDougall.,8,7
14:54,1,Rush,15,Chevon Walker rush for 15 yards to the Ott46. Tackled by Josh Bell.,8,7
14:32,1,Rush,5,Chevon Walker rush for 5 yards to the Ott51. Tackled by Junior Turner.,8,7
13:55,2,Pass,7,Henry Burris pass to Khalil Paden for 7 yards to the Cgy52. Tackled by Buddy Jackson.,8,7
13:22,1,Rush,5,Henry Burris rush for 5 yards to the Cgy47. Tackled by  .,8,7
13:00,2,Incomplete Pass,0,Henry Burris incomplete pass intended for Khalil Paden defensed by Jamar Wall.,8,7
12:23,0,Fumble,2,", recovered by Ott (Sederrik Cunningham). Brett Maher punts for 39 yards to Cgy8. Sederrik Cunningham return for 2 yards to Cgy10. FUMBLE",8,7
12:04,1,Illegal Procedure,-5,Penalty: Illegal Procedure on Calgary (Stanley Bryant) -5 yards.,8,7
11:54,0,Roughing Passer,15,Penalty: Roughing Passer on Ottawa (Jonathan Williams) 15 yards.,8,7
11:48,1,Rush,8,Jon Cornish rush for 8 yards to the Cgy28. Tackled by Jasper Simmons.,8,7
11:27,2,Rush,5,Jon Cornish rush for 5 yards to the Cgy33. Tackled by Antoine Pruneau.,8,7
10:52,1,Pass,58,Bo Levi Mitchell pass to Joe West for 58 yards to the Ott19. Tackled by Brandyn Thompson.,8,7
10:08,1,Rush,6,Jon Cornish rush for 6 yards to the Ott13. Tackled by Jasper Simmons.,8,7
09:18,2,Pass,4,Bo Levi Mitchell pass to   for 4 yards to the Ott9. Tackled by Jerrell Gavins.,8,7
08:36,3,Fumble,0,"Drew Tate rush for no gain to the Ott9. FUMBLE, recovered by Ott (Keith Shologan). Tackled by Marquay McDaniel.",8,7
08:20,1,Pass,22,Henry Burris pass to Wallace Miles for 22 yards to the Ott31.,8,7
08:02,1,Pass,5,Henry Burris pass to Marcus Henry for 5 yards to the Ott36. Tackled by Brandon Smith.,8,7
07:20,2,Pass,7,Henry Burris pass to Dobson Collins for 7 yards to the Ott43. Tackled by Jamar Wall.,8,7
06:38,1,Offside,-5,Penalty: Offside on Ottawa (Matt Carter) -5 yards.,8,7
06:00,1,Incomplete Pass,0,Henry Burris incomplete pass intended for Wallace Miles.,8,7
05:40,2,Interception,11,Henry Burris pass intended for Jamill Smith INTERCEPTED and returned for 11 yards. Tackled by Dobson Collins.,8,7
05:11,1,Rush,19,Sederrik Cunningham rush for 19 yards to the Ott26. Tackled by Antoine Pruneau.,8,7
04:57,1,Rush,1,Hugh Charles rush for 1 yard to the Ott25. Tackled by Connor Williams.,8,7
04:28,2,Incomplete Pass,0,Bo Levi Mitchell incomplete pass intended for Marquay McDaniel.,8,7
03:33,3,Missed Field Goal,32,Rene Paredes 32 yard field goal attempt is GOOD.,11,7
03:33,1,Pass,3,Henry Burris pass to John Delahunt for 3 yards to the Ott38. Tackled by Junior Turner.,11,7
03:16,2,Pass,4,Henry Burris pass to Wallace Miles for 4 yards to the Ott42. Tackled by Jamar Wall.,11,7
02:38,3,Punt,8,Brett Maher punts for 44 yards to Cgy24. Sederrik Cunningham return for 8 yards to Cgy32. Tackled by  .,11,7
02:11,1,Rush,3,Jon Cornish rush for 3 yards to the Cgy35. Tackled by Jonathan Williams.,11,7
01:40,2,Incomplete Pass,0,Bo Levi Mitchell incomplete pass intended for  .,11,7
01:09,3,Punt,2,Rob Maver punts for 40 yards to Ott35. Jamill Smith return for 2 yards to Ott37. Tackled by Ben D'Aguilar.,11,7
00:42,1,Rush,3,Chevon Walker rush for 3 yards to the Ott40. Tackled by Junior Turner.,11,7
00:18,2,Pass,15,Henry Burris pass to Dobson Collins for 15 yards to the Ott55. Tackled by Adam Berger.,11,7
15:00,1,Rush,2,Chevon Walker rush for 2 yards to the Cgy53. Tackled by Junior Turner.,11,7
14:44,2,Incomplete Pass,0,Henry Burris incomplete pass intended for Wallace Miles.,11,7
14:11,3,Punt,4,Brett Maher punts for 43 yards to Cgy10. Sederrik Cunningham return for 4 yards to Cgy14. Tackled by James Green.,11,7
13:52,1,Pass,51,Bo Levi Mitchell pass to Joe West for 51 yards to the Ott45. Tackled by  .,11,7
13:20,1,Rush,3,Jon Cornish rush for 3 yards to the Ott42. Tackled by Jasper Simmons.,11,7
12:44,2,Rush,8,Bo Levi Mitchell rush for 8 yards to the Ott34. Tackled by Antoine Pruneau.,11,7
12:02,1,Incomplete Pass,0,Bo Levi Mitchell incomplete pass intended for Joe West.,11,7
11:23,2,Incomplete Pass,0,Bo Levi Mitchell incomplete pass intended for Jabari Arthur.,11,7
11:00,3,Missed Field Goal,19,49 yard field goal attempt by Rene Paredes is NO GOOD.  Missed field goal returned by Jamill Smith to the Ott4. Tackled by Ben D'Aguilar.,11,7
10:34,1,Pass,9,Henry Burris pass to Wallace Miles for 9 yards to the Ott13. Tackled by Lin-J Shell.,11,7
10:16,2,Rush,0,Chevon Walker rush for no gain to the Ott13. Tackled by Quinn Smith.,11,7
09:31,3,Illegal Block,-9,Brett Maher punts for 43 yards to Cgy54. Sederrik Cunningham return for 1 yard to Cgy55. Penalty: Illegal Block on Calgary (Maalik Bomar) -10 yards.,11,7
09:15,1,Pass,31,Bo Levi Mitchell pass to Marquay McDaniel for 31 yards to the Ott34. Tackled by  .,11,7
08:42,1,Rush,9,Jon Cornish rush for 9 yards to the Ott25. Tackled by Antoine Pruneau.,11,7
08:04,2,Rush,0,Jon Cornish rush for no gain to the Ott25. Tackled by Brandon Lang.,11,7
06:56,3,Offside,5,Penalty: Offside on Ottawa 5 yards.,11,7
06:25,1,Rush,20,Sederrik Cunningham rush for 20 yards for a TOUCHDOWN.,17,7
06:02,0,Made Extra Point,0,Rene Paredes extra point is good.,18,7
06:02,0,Kickoff,24,Rene Paredes kicks off to the Ott11. Jamill Smith return for 24 yards to Ott35. Tackled by Alvin Bowen.,18,7
05:55,1,Incomplete Pass,0,Henry Burris incomplete pass intended for Matt Carter.,18,7
05:37,2,Sack,-5,Sack at Ott30 for a loss of 5 yards by Shawn Lemon.,18,7
04:34,3,Punt,67,Brett Maher punts for 37 yards to Cgy43. Sederrik Cunningham return for 67 yards to Ott0 for a TOUCHDOWN.,24,7
04:12,0,Made Extra Point,0,Rene Paredes extra point is good.,25,7
