Time,Down,Type,Yards,Details,Winnipeg,Ottawa
06:01,0,Kickoff,14,Lirim Hajrullahu kicks off to the Ott17. Jamill Smith return for 14 yards to Ott31. Tackled by Sam McGuffie.,17,14
05:57,1,Rush,3,Jonathan Williams rush for 3 yards to the Ott34. Tackled by Greg Peach.,17,14
05:19,2,Pass,10,Henry Burris pass to Dobson Collins for 10 yards to the Ott44. Tackled by Johnny Sears Jr..,17,14
04:30,1,Rush,10,Jonathan Williams rush for 10 yards to the Ott54. Tackled by Ejiro Kuale.,17,14
03:55,2,Rush,4,Henry Burris rush for 4 yards to the Wpg52. Tackled by Maurice Leggett.,17,14
03:25,1,Rush,1,Jonathan Williams rush for 1 yard to the Wpg51. Tackled by Marvin Booker.,17,14
03:00,0,Roughing Passer,15,Penalty: Roughing Passer on Winnipeg (Ejiro Kuale) 15 yards.,17,14
02:39,1,Rush,5,Jonathan Williams rush for 5 yards to the Wpg31. Tackled by Chris Randle.,17,14
02:33,2,Rush,26,Jonathan Williams rush for 26 yards to the Wpg5. Tackled by Bryant Turner Jr..,17,14
01:43,1,Pass,5,Danny O'Brien pass to Khalil Paden for 5 yards for a TOUCHDOWN.,17,20
01:43,0,Made Extra Point,0,Brett Maher extra point is good.,17,21
01:43,0,Kickoff,11,Brett Maher kicks off to the Wpg31. Carl Volny return for 11 yards to Wpg42. Tackled by Kalonji Kashama.,17,21
01:38,1,Pass,11,Drew Willy pass to Nic Grigsby for 11 yards to the Wpg53. Tackled by Travis Brown.,17,21
01:31,1,Pass,10,Drew Willy pass to Julian Feoli-Gudino for 10 yards to the Ott47. Tackled by Jerrell Gavins.,17,21
01:20,2,Rush,4,Nic Grigsby rush for 4 yards to the Ott43. Tackled by Kalonji Kashama.,17,21
01:07,1,Incomplete Pass,0,Drew Willy incomplete pass intended for Nic Grigsby.,17,21
00:59,2,Offside,5,Penalty: Offside on Ottawa (Kalonji Kashama) 5 yards.,17,21
00:54,2,Incomplete Pass,0,Drew Willy incomplete pass intended for Nic Grigsby.,17,21
00:49,3,Incomplete Pass,0,Drew Willy incomplete pass intended for Romby Bryant.,17,21
00:43,1,Pass,20,Henry Burris pass to Khalil Paden for 20 yards to the Wpg52. Tackled by Bruce Johnson.,17,21
00:35,1,Pass,9,Henry Burris pass to Wallace Miles for 9 yards to the Wpg43.,17,21
00:30,2,Rush,3,Henry Burris rush for 3 yards to the Wpg40. Tackled by Johnny Sears Jr..,17,21
00:28,1,Pass,35,Henry Burris pass to Jonathan Williams for 35 yards to the Wpg5. Tackled by Demond Washington.,17,21
00:15,1,Pass,4,Henry Burris pass to Patrick Lavoie for 4 yards to the Wpg1. Tackled by Chris Randle.,17,21
00:03,2,Rush,1,Henry Burris rush for 1 yard for a TOUCHDOWN.,17,27
00:03,0,Made Extra Point,0,Brett Maher extra point is good.,17,28
00:01,0,Punt,0,Brett Maher kicks off to the Wpg32. Carl Volny return for 4 yards to Wpg36. Carl Volny punts for 42 yards to Ott32. No return.,17,28
15:00,0,Kickoff,16,Lirim Hajrullahu kicks off to the Ott7. Jamill Smith return for 16 yards to Ott23. Tackled by Johnny Sears Jr..,17,28
14:54,1,Fumble,19,"Henry Burris pass to Wallace Miles for 19 yards to the Ott42. FUMBLE, recovered by Ott (Wallace Miles).",17,28
14:03,1,Rush,12,Jonathan Williams rush for 12 yards to the Ott54. Tackled by Maurice Leggett.,17,28
13:22,1,Pass,3,Henry Burris pass to Matt Carter for 3 yards to the Wpg53. Tackled by Demond Washington.,17,28
13:15,2,Pass,27,Henry Burris pass to Wallace Miles for 27 yards to the Wpg26. Tackled by Desia Dunn.,17,28
12:16,1,Pass,8,Henry Burris pass to John Delahunt for 8 yards to the Wpg18. Tackled by Teague Sherman.,17,28
11:38,2,Rush,0,Jonathan Williams rush for no gain to the Wpg18. Tackled by Greg Peach.,17,28
10:41,3,Missed Field Goal,25,Brett Maher 25 yard field goal attempt is GOOD.,17,31
10:41,1,Unnecessary Roughness,19,Nic Grigsby rush for 4 yards to the Wpg39. Tackled by Jerrell Gavins. Penalty: Unnecessary Roughness on Ottawa ( ) 15 yards.,17,31
10:30,1,Pass,2,Drew Willy pass to Rory Kohlert for 2 yards to the Ott54. Tackled by Brandyn Thompson.,17,31
09:50,2,Sack,-5,Sack at Wpg51 for a loss of 5 yards by Jonathan Williams.,17,31
09:24,0,Too Many Men on Field,-10,Penalty: Too Many Men on Field on Ottawa -10 yards.,17,31
09:07,0,Unnecessary Roughness,15,Penalty: Unnecessary Roughness on Ottawa (Jonathan Williams) 15 yards.,17,31
08:47,1,Pass,5,Drew Willy pass to Romby Bryant for 5 yards to the Ott29.,17,31
08:17,2,Pass,9,Drew Willy pass to Aaron Kelly for 9 yards to the Ott20. Tackled by Travis Brown.,17,31
07:41,1,Pass,5,Drew Willy pass to Aaron Kelly for 5 yards to the Ott15. Tackled by Brandyn Thompson.,17,31
07:06,2,Incomplete Pass,0,Drew Willy incomplete pass intended for Aaron Kelly defensed by Brandyn Thompson.,17,31
06:26,3,Missed Field Goal,22,Lirim Hajrullahu 22 yard field goal attempt is GOOD.,20,31
06:36,1,Rush,3,Jonathan Williams rush for 3 yards to the Ott38. Tackled by Ejiro Kuale.,20,31
05:51,2,Pass,12,Henry Burris pass to Matt Carter for 12 yards to the Ott50. Tackled by Teague Sherman.,20,31
05:30,1,Pass,14,Henry Burris pass to Dobson Collins for 14 yards to the Wpg46. Tackled by Demond Washington.,20,31
04:56,1,Rush,17,Jonathan Williams rush for 17 yards to the Wpg29. Tackled by Teague Sherman.,20,31
04:24,0,Holding,-10,Penalty: Holding on Ottawa (Patrick Lavoie) -10 yards.,20,31
04:09,1,Pass,14,Henry Burris pass to Jonathan Williams for 14 yards to the Wpg25. Tackled by Matt Bucknor.,20,31
03:20,2,Pass,23,Henry Burris pass to Scott MacDonell for 23 yards to the Wpg2. Tackled by Maurice Leggett.,20,31
02:57,1,Objectionable Conduct,12,Jonathan Williams rush for 2 yards for a TOUCHDOWN. Penalty: Objectionable Conduct on Winnipeg (Marvin Booker) 10 yards.,20,37
02:26,0,Made Extra Point,0,Brett Maher extra point is good.,20,38
02:23,0,Kick Off Single,0,Brett Maher kicks off to the Wpg0. Sam McGuffie - no return (Single).,20,39
02:23,1,Rush,2,Sam McGuffie rush for 2 yards to the Wpg37. Tackled by Jovon Johnson.,20,39
01:50,2,Pass,3,Drew Willy pass to Nic Grigsby for 3 yards to the Wpg40. Tackled by Kalonji Kashama.,20,39
01:21,3,Punt,5,Lirim Hajrullahu punts for 25 yards to Ott45. Jamill Smith return for 5 yards to Ott50. Tackled by Carl Fitzgerald.,20,39
01:01,1,Pass,11,Henry Burris pass to Scott MacDonell for 11 yards to the Wpg49. Tackled by Maurice Leggett.,20,39
