Time,Down,Type,Yards,Details,Montreal,Ottawa
05:20,3,Punt,5,punts for 45 yards to Mtl28.   return for 5 yards to Mtl33.,15,7
04:37,2,Pass,3,pass to the Mtl38.,15,7
04:02,3,Punt,7,punts for 39 yards to Ott33.   return for 7 yards to Ott40.,15,7
03:26,0,Unnecessary Roughness,15,Penalty: Unnecessary Roughness on Montreal 15 yards.,15,7
02:49,2,Pass,5,pass to the Mtl45.,15,7
01:53,3,Punt,5,punts for 46 yards to Ott15.   return for 5 yards to Ott20.,15,7
01:23,1,Pass,3,pass to the Ott23.,15,7
01:16,2,Pass,20,pass to the Ott43.,15,7
00:58,1,Incomplete Pass,0,incomplete pass.,15,7
00:44,2,Pass,12,pass to the Ott55.,15,7
00:24,1,Pass,22,pass to the Mtl21.,15,7
00:13,1,Pass,14,pass to the Mtl7.,15,7
00:02,0,Sack,-15,FUMBLE Sack at Mtl7 for no gain.,15,7
