Time,Down,Type,Yards,Details,Ottawa,Calgary
06:58,1,Pass,6,Bo Levi Mitchell pass to Marquay McDaniel for 6 yards to the Ott54. Tackled by Antoine Pruneau.,0,14
06:30,2,Illegal Procedure,-5,Penalty: Illegal Procedure on Calgary (Spencer Wilson) -5 yards.,0,14
06:12,2,Pass,17,Bo Levi Mitchell pass to Marquay McDaniel for 17 yards to the Ott42. Tackled by Justin Capicciotti.,0,14
05:14,1,Pass,10,Bo Levi Mitchell pass to Anthony Parker for 10 yards to the Ott32. Tackled by Jason Pottinger.,0,14
05:07,1,Rush,-1,Jock Sanders rush for a loss of 1 yard to the Ott33. Tackled by Jonathan Williams.,0,14
04:31,2,Pass,16,Bo Levi Mitchell pass to Marquay McDaniel for 16 yards to the Ott17. Tackled by Travis Brown.,0,14
03:48,1,Rush,5,Martell Mallett rush for 5 yards to the Ott12. Tackled by Brandon Lang.,0,14
03:11,0,Holding,-10,Penalty: Holding on Calgary (Stanley Bryant) -10 yards.,0,14
02:30,2,Pass,22,Bo Levi Mitchell pass to Marquay McDaniel for 22 yards for a TOUCHDOWN.,0,20
02:30,0,Made Extra Point,0,Rene Paredes extra point is good.,0,21
02:30,0,Kickoff,25,Rene Paredes kicks off to the Ott2. Jamill Smith return for 25 yards to Ott27. Tackled by Karl McCartney.,0,21
02:22,1,Pass,4,Henry Burris pass to Dobson Collins for 4 yards to the Ott31.,0,21
02:15,2,Incomplete Pass,0,Henry Burris incomplete pass intended for Marcus Henry.,0,21
02:12,3,Punt,4,Brett Maher punts for 43 yards to Cgy36. Jock Sanders return for 4 yards to Cgy40. Tackled by John Delahunt.,0,21
02:04,1,Incomplete Pass,0,Bo Levi Mitchell incomplete pass intended for Marquay McDaniel.,0,21
02:00,2,Illegal Procedure,-5,Penalty: Illegal Procedure on Calgary (Dan Federkeil) -5 yards.,0,21
02:00,2,Interception,29,Bo Levi Mitchell pass intended for Marquay McDaniel INTERCEPTED and returned for 29 yards. Tackled by Spencer Wilson.,0,21
01:46,0,Objectionable Conduct,25,Penalty: Pass Interference on Calgary (Keon Raymond) 24 yards. Penalty: Objectionable Conduct on Calgary (Keon Raymond) 1 yards.,0,21
01:36,1,Rush,1,Chevon Walker rush for 1 yard for a TOUCHDOWN.,6,21
01:36,0,Made Extra Point,0,Brett Maher extra point is good.,7,21
01:36,0,Kickoff,45,Brett Maher kicks off to the Cgy14. Anthony Parker return for 45 yards to Ott51. Tackled by Brett Maher.,7,21
01:28,1,Pass,5,Bo Levi Mitchell pass to Jock Sanders for 5 yards to the Ott46. Tackled by Jasper Simmons.,7,21
01:23,2,Pass,6,Bo Levi Mitchell pass to Jock Sanders for 6 yards to the Ott40. Tackled by Jasper Simmons.,7,21
01:18,1,Pass,23,Bo Levi Mitchell pass to Marquay McDaniel for 23 yards to the Ott17. Tackled by Eddie Elder.,7,21
00:59,1,Incomplete Pass,0,Bo Levi Mitchell incomplete pass intended for Jeff Fuller defensed by Jermaine Robinson.,7,21
00:48,2,Pass,17,Bo Levi Mitchell pass to Jabari Arthur for 17 yards for a TOUCHDOWN.,7,27
00:48,0,Made Extra Point,0,Rene Paredes extra point is good.,7,28
00:48,0,Unnecessary Roughness,20,Rene Paredes kicks off to the Ott15. D.J. Harper return for 5 yards to Ott20. Tackled by Adam Berger. Penalty: Unnecessary Roughness on Calgary (Lin-J Shell) 15 yards.,7,28
00:40,1,Sack,-5,Sack at Ott30 for a loss of 5 yards by Micah Johnson.,7,28
00:35,2,Rush,7,Chevon Walker rush for 7 yards to the Ott37. Tackled by Micah Johnson.,7,28
15:00,0,Kickoff,32,Brett Maher kicks off to the Cgy5. Anthony Parker return for 32 yards to Cgy37. Tackled by Eddie Elder.,7,28
14:49,1,Rush,1,Jock Sanders rush for 1 yard to the Cgy38. Tackled by Brandon Lang.,7,28
14:25,2,Time Count,-5,Penalty: Time Count on Calgary (Bo Levi Mitchell) -5 yards.,7,28
14:03,2,Pass,17,Bo Levi Mitchell pass to Anthony Parker for 17 yards to the Cgy50. Tackled by Antoine Pruneau.,7,28
13:42,1,Rush,11,Rob Cote rush for 11 yards to the Ott49. Tackled by Jasper Simmons.,7,28
12:58,1,Incomplete Pass,0,Bo Levi Mitchell incomplete pass intended for Joe West.,7,28
12:39,2,Pass,4,Bo Levi Mitchell pass to Marquay McDaniel for 4 yards to the Ott45. Tackled by Antoine Pruneau.,7,28
12:03,3,Punt,0,Rob Maver punts for 37 yards to Ott8. No return.,7,28
11:43,1,Pass,19,Henry Burris pass to Wallace Miles for 19 yards to the Ott27. Tackled by Josh Bell.,7,28
11:10,1,Pass,5,Henry Burris pass to Matt Carter for 5 yards to the Ott32.,7,28
10:49,2,Interception,43,Henry Burris pass intended for Carlton Mitchell INTERCEPTED and returned for 43 yards. Tackled by Henry Burris.,7,28
10:21,1,Pass,14,Bo Levi Mitchell pass to Jock Sanders for 14 yards to the Ott3. Tackled by Eric Fraser.,7,28
10:06,1,Rush,-2,Rob Cote rush for a loss of 2 yards to the Ott5. Tackled by Jasper Simmons.,7,28
09:30,2,Incomplete Pass,0,Bo Levi Mitchell incomplete pass intended for Anthony Parker.,7,28
08:49,3,Missed Field Goal,12,Rene Paredes 12 yard field goal attempt is GOOD.,7,31
08:49,1,Pass,16,Henry Burris pass to John Delahunt for 16 yards to the Ott51. Tackled by Keon Raymond.,7,31
