Time,Down,Type,Yards,Details,Hamilton,Ottawa
05:51,1,Roughing Passer,30,Zach Collaros pass to Luke Tasker for 15 yards to the Ham42. Tackled by Brandyn Thompson. Penalty: Roughing Passer on Ottawa (David Hinds) 15 yards.,14,15
05:26,1,Pass,10,Zach Collaros pass to Samuel Giguere for 10 yards to the Ott43. Tackled by Antoine Pruneau.,14,15
05:02,1,Rush,1,Mossis Madu rush for 1 yard to the Ott42. Tackled by David Hinds.,14,15
04:15,2,Incomplete Pass,0,Zach Collaros incomplete pass intended for Mossis Madu.,14,15
03:37,3,No Yards,25,Justin Medlock punts for 30 yards to Ott12. Penalty: No Yards on Hamilton (Craig Butler) -5 yards.,14,15
03:15,1,Pass,15,Danny O'Brien pass to John Delahunt for 15 yards to the Ott32. Tackled by Brandon Stewart.,14,15
02:46,1,Rush,8,Jeremiah Johnson rush for 8 yards to the Ott40. Tackled by Bryan Hall.,14,15
02:30,2,Rush,4,Jeremiah Johnson rush for 4 yards to the Ott44. Tackled by Eric Norwood.,14,15
02:04,1,Incomplete Pass,0,Danny O'Brien incomplete pass intended for Wallace Miles.,14,15
01:41,2,Pass,10,Danny O'Brien pass to Jeremiah Johnson for 10 yards to the Ott54. Tackled by Taylor Reed.,14,15
01:33,1,Interception,47,Danny O'Brien pass intended for Marcus Henry INTERCEPTED and returned for 47 yards. Tackled by Jeremiah Johnson.,14,15
01:00,1,Illegal Procedure,-5,Penalty: Illegal Procedure on Hamilton (Tim O'Neill) -5 yards.,14,15
00:59,1,Sack,-18,Sack at Ott44 for a loss of 18 yards by Justin Capicciotti.,14,15
00:51,2,Incomplete Pass,0,Zach Collaros incomplete pass intended for Luke Tasker.,14,15
00:28,3,Objectionable Conduct,18,Justin Medlock punts for 33 yards to Ott11. Jamill Smith return for 28 yards to Ott39. Tackled by Beau Landry. Penalty: Objectionable Conduct on Ottawa -10 yards.,14,15
00:16,1,Rush,6,Jeremiah Johnson rush for 6 yards to the Ott35. Tackled by Bryan Hall.,14,15
15:00,0,Kickoff,16,Brett Maher kicks off to the Ham22. Terrell Sinkfield return for 16 yards to Ham38. Tackled by Jasper Simmons.,14,15
14:54,1,Sack,-2,Sack at Ham36 for a loss of 2 yards by Justin Capicciotti.,14,15
14:29,2,Pass,31,Zach Collaros pass to Luke Tasker for 31 yards to the Ott43. Tackled by Travis Brown.,14,15
13:43,1,Rush,8,Mossis Madu rush for 8 yards to the Ott35. Tackled by Zack Evans.,14,15
12:57,2,Rush,7,Brandon Banks rush for 7 yards to the Ott28. Tackled by Travis Brown.,14,15
12:25,1,Rush,3,Mossis Madu rush for 3 yards to the Ott25. Tackled by Zack Evans.,14,15
11:52,0,Illegal Contact,10,Penalty: Illegal Contact on Ottawa (Brandon McDonald) 10 yards.,14,15
11:16,1,Incomplete Pass,0,Zach Collaros incomplete pass intended for Terrell Sinkfield.,14,15
10:53,2,Incomplete Pass,0,Zach Collaros incomplete pass intended for Matt Coates.,14,15
10:08,3,Missed Field Goal,22,Justin Medlock 22 yard field goal attempt is GOOD.,17,15
10:08,1,Rush,8,Jeremiah Johnson rush for 8 yards to the Ott43. Tackled by Justin Hickman.,17,15
09:51,2,Rush,20,Jeremiah Johnson rush for 20 yards to the Ham47. Tackled by Rico Murray.,17,15
09:18,1,Pass,11,Henry Burris pass to John Delahunt for 11 yards to the Ham36. Tackled by Eric Norwood.,17,15
08:35,1,Rush,10,Jamill Smith rush for 10 yards to the Ham26. Tackled by Rico Murray.,17,15
07:59,2,Rush,1,Henry Burris rush for 1 yard to the Ham25. Tackled by Bryan Hall.,17,15
07:06,1,Rush,25,Jeremiah Johnson rush for 25 yards for a TOUCHDOWN.,17,21
06:45,0,Made Extra Point,0,Brett Maher extra point is good.,17,22
06:45,0,Kickoff,6,Brett Maher kicks off to the Ham23. Samuel Giguere return for 6 yards to Ham29. Tackled by Eric Fraser.,17,22
06:40,1,Pass,16,Zach Collaros pass to Bakari Grant for 16 yards to the Ham45. Tackled by Brandon McDonald.,17,22
06:22,1,Rush,8,Zach Collaros rush for 8 yards to the Ham53. Tackled by Abdul Kanneh.,17,22
05:43,2,Rush,1,Terrell Sinkfield rush for 1 yard to the Ham54. Tackled by Justin Capicciotti.,17,22
05:15,3,Punt,7,Justin Medlock punts for 38 yards to Ott18. Jamill Smith return for 7 yards to Ott25. Tackled by Ed Gainey.,17,22
04:46,1,Fumble,-3,"Jeremiah Johnson rush for a loss of 3 yards to the Ott22. FUMBLE, recovered by Ott (Danny O'Brien).",17,22
03:49,2,Interception,30,Danny O'Brien pass intended for Patrick Lavoie INTERCEPTED and returned for 30 yards for a TOUCHDOWN.,23,22
03:28,0,Made Extra Point,0,Justin Medlock extra point is good.,24,22
03:28,0,Kickoff,14,Justin Medlock kicks off to the Ott5. Roy Finch return for 14 yards to Ott19. Tackled by Marc Beswick.,24,22
03:21,1,Incomplete Pass,0,Henry Burris incomplete pass intended for Marcus Henry defensed by Brandon Stewart.,24,22
02:55,2,Incomplete Pass,0,Henry Burris incomplete pass intended for Wallace Miles.,24,22
02:31,3,Punt,7,Brett Maher punts for 41 yards to Ham50. Brandon Banks return for 7 yards to Ott53. Tackled by Eric Fraser.,24,22
02:10,1,Face Mask,15,Nic Grigsby rush for no gain to the Ott53. Tackled by Justin Capicciotti. Penalty: Face Mask on Ottawa (Justin Capicciotti) 15 yards.,24,22
