Time,Down,Type,Yards,Details,Ottawa,Hamilton
15:00,0,Kickoff,20,Brett Maher kicks off to the Ham13. Brandon Banks return for 20 yards to Ham33. Tackled by Antoine Pruneau.,0,0
14:54,1,Pass,24,Dan LeFevour pass to Samuel Giguere for 24 yards to the Ott53. Tackled by Seth Williams.,0,0
14:02,1,Pass,53,Dan LeFevour pass to Brandon Banks for 53 yards for a TOUCHDOWN.,0,6
13:45,0,Made Extra Point,0,Justin Medlock extra point is good.,0,7
13:45,0,Illegal Block,-1,Justin Medlock kicks off to the Ott15. Chevon Walker return for 9 yards to Ott24. Penalty: Illegal Block on Ottawa -10 yards.,0,7
13:38,1,Rush,20,Henry Burris rush for 20 yards to the Ott34.,0,7
13:14,0,Unnecessary Roughness,15,Penalty: Unnecessary Roughness on Hamilton (Delvin Breaux) 15 yards.,0,7
12:37,1,Pass,9,Henry Burris pass to Chevon Walker for 9 yards to the Ham52. Tackled by Emanuel Davis.,0,7
12:00,2,Rush,2,Henry Burris rush for 2 yards to the Ham50. Tackled by Ted Laurent.,0,7
11:43,1,Incomplete Pass,0,Henry Burris incomplete pass intended for Marcus Henry.,0,7
11:03,2,Offside,5,Penalty: Offside on Hamilton (Taylor Reed) 5 yards.,0,7
10:41,2,Pass,7,Henry Burris pass to Kierrie Johnson for 7 yards to the Ham38. Tackled by Delvin Breaux.,0,7
10:21,1,Rush,6,D.J. Harper rush for 6 yards to the Ham32. Tackled by Courtney Stephen.,0,7
09:43,2,Time Count,-5,Penalty: Time Count on Ottawa (Henry Burris) -5 yards.,0,7
09:08,2,Pass,11,Henry Burris pass to John Delahunt for 11 yards to the Ham26. Tackled by Taylor Reed.,0,7
08:42,1,Pass,16,Henry Burris pass to Marcus Henry for 16 yards to the Ham10. Tackled by Brandon Stewart.,0,7
08:08,1,Incomplete Pass,0,Henry Burris incomplete pass intended for Marcus Henry.,0,7
07:25,2,Pass,10,Henry Burris pass to Matt Carter for 10 yards for a TOUCHDOWN.,6,7
07:06,0,Made Extra Point,0,Brett Maher extra point is good.,7,7
07:06,0,Kickoff,24,Brett Maher kicks off to the Ham5. Brandon Banks return for 24 yards to Ham29. Tackled by John Delahunt.,7,7
06:54,1,Incomplete Pass,0,Dan LeFevour incomplete pass intended for Cary Koch.,7,7
06:40,2,Rush,34,Dan LeFevour rush for 34 yards to the Ott47. Tackled by Eric Fraser.,7,7
05:29,1,Rush,47,C.J. Gable rush for 47 yards for a TOUCHDOWN.,7,13
05:09,0,Made Extra Point,0,Justin Medlock extra point is good.,7,14
05:09,0,Kickoff,19,Justin Medlock kicks off to the Ott20. Chevon Walker return for 19 yards to Ott39. Tackled by David Caldwell.,7,14
05:04,1,Rush,5,Chevon Walker rush for 5 yards to the Ott44. Tackled by Eric Norwood.,7,14
04:46,2,Incomplete Pass,0,Henry Burris incomplete pass intended for Matt Carter defensed by Emanuel Davis.,7,14
04:12,3,Illegal Block,57,Brett Maher punts for 49 yards to Ham17. Penalty: Illegal Block on Hamilton (Brandon Stewart) 8 yards.,7,14
03:53,1,Rush,4,Dan LeFevour rush for 4 yards to the Ham13. Tackled by Connor Williams.,7,14
