Time,Down,Type,Yards,Details,BC,Montreal
05:22,1,Sack,-2,Sack at BC7 for no gain by Solomon Elimimian Recovered by Mtl (Tanner Marsh),15,0
04:56,2,Pass,4,Tanner Marsh pass to Patrick Lavoie for 4 yards to the BC3. Tackled by Ryan Phillips.,15,0
03:38,3,Pass,3,Tanner Marsh pass to S.J. Green for 3 yards for a TOUCHDOWN.,15,6
03:22,0,Made Extra Point,0,Sean Whyte extra point is good.,15,7
03:22,0,Kickoff,22,Sean Whyte kicks off to the BC11. Tim Brown return for 22 yards to BC33. Tackled by Tyrell Sutton.,15,7
03:15,1,Rush,7,Tim Brown rush for 7 yards to the BC40. Tackled by Alan-Michael Cash.,15,7
02:52,2,Rush,2,Andrew Harris rush for 2 yards to the BC42. Tackled by Jerald Brown.,15,7
02:38,3,Holding,55,Paul McCallum punts for 45 yards to Mtl23. Penalty: Holding on Montreal (Moton Hopkins) 10 yards.,15,7
02:23,1,Rush,7,Jerome Messam rush for 7 yards to the Mtl20. Tackled by Solomon Elimimian.,15,7
02:13,2,Rush,7,Jerome Messam rush for 7 yards to the Mtl27. Tackled by Eric Taylor.,15,7
01:56,1,Pass,-2,Tanner Marsh pass to Arland Bruce for a loss of 2 yards to the Mtl25. Tackled by Josh Bell.,15,7
01:31,2,Incomplete Pass,0,Tanner Marsh incomplete pass intended for Arland Bruce.,15,7
01:08,3,Punt,21,Sean Whyte punts for 40 yards to BC45. Tim Brown return for 21 yards to Mtl44. Tackled by Chip Cox.,15,7
00:57,1,Rush,7,Travis Lulay rush for 7 yards to the Mtl37. Tackled by Alan-Michael Cash.,15,7
00:51,2,Incomplete Pass,0,Travis Lulay incomplete pass intended for Courtney Taylor.,15,7
00:37,3,Missed Field Goal,44,Paul McCallum 44 yard field goal attempt is GOOD.,18,7
00:36,1,Rush,11,Tanner Marsh rush for 11 yards to the Mtl46. Tackled by Solomon Elimimian.,18,7
00:30,1,Unnecessary Roughness,31,Tanner Marsh pass intended for Tyrell Sutton INTERCEPTED by Solomon Elimimian and returned for 16 yards. Tackled by Michael Ola. Penalty: Unnecessary Roughness on Montreal (Duron Carter) 15 yards.,18,7
00:16,1,Offside,0,Penalty: Offside on BC (Courtney Taylor) -5 yards. Penalty: Offside on Montreal (John Bowman) 5 yards.,18,7
00:14,1,Rush,5,Travis Lulay rush for 5 yards to the Mtl17.,18,7
00:09,2,Incomplete Pass,0,Travis Lulay incomplete pass intended for Nick Moore.,18,7
00:00,3,Missed Field Goal,25,Paul McCallum 25 yard field goal attempt is GOOD.,21,7
15:00,0,Kickoff,65,Paul McCallum kicks off to the Mtl18. Tyron Carrier return for 65 yards to BC27. Tackled by Kyle Jones.,21,7
14:47,1,Rush,11,Tanner Marsh rush for 11 yards to the BC16. Tackled by Josh Bell.,21,7
13:59,1,Rush,16,Jerome Messam rush for 16 yards for a TOUCHDOWN.,21,13
13:43,0,Made Extra Point,0,Sean Whyte extra point is good.,21,14
13:43,0,Kickoff,27,Sean Whyte kicks off to the BC10. Tim Brown return for 27 yards to BC37. Tackled by Jerod Zaleski.,21,14
13:35,1,Interception,4,Travis Lulay pass intended for Courtney Taylor INTERCEPTED by Jerald Brown and returned for 4 yards. Tackled by Jovan Olafioye.,21,14
13:17,1,Rush,4,Jerome Messam rush for 4 yards to the BC33. Tackled by Keron Williams.,21,14
12:54,2,Time Count,-5,Penalty: Time Count on Montreal (Tanner Marsh) -5 yards.,21,14
12:20,2,Incomplete Pass,0,Tanner Marsh incomplete pass intended for Jerome Messam.,21,14
11:39,3,Missed Field Goal,125,53 yard field goal attempt by Sean Whyte is NO GOOD.  Missed field goal returned by Tim Brown for a TOUCHDOWN.,27,14
11:18,0,Made Extra Point,0,Paul McCallum extra point is good.,28,14
11:18,0,Objectionable Conduct,2,Paul McCallum kicks off to the Mtl17. Tyron Carrier return for 12 yards to Mtl29. Tackled by Anton McKenzie. Penalty: Objectionable Conduct on Montreal (Ed Gainey) -10 yards.,28,14
11:13,1,Pass,86,Tanner Marsh pass to Arland Bruce for 86 yards to the BC5. Tackled by Josh Bell.,28,14
10:54,1,Rush,4,Jerome Messam rush for 4 yards to the BC1. Tackled by Adam Bighill.,28,14
10:14,2,Illegal Procedure,-5,Penalty: Illegal Procedure on Montreal -5 yards.,28,14
09:12,2,Rush,6,Tanner Marsh rush for 6 yards for a TOUCHDOWN.,28,20
08:58,0,Made Extra Point,0,Sean Whyte extra point is good.,28,21
08:58,0,Kickoff,29,Sean Whyte kicks off to the BC15. Tim Brown return for 29 yards to BC44. Tackled by Aaron Lavarias.,28,21
08:38,1,Pass,4,Travis Lulay pass to Courtney Taylor for 4 yards to the BC48. Tackled by Billy Parker.,28,21
08:26,2,Incomplete Pass,0,Travis Lulay incomplete pass intended for Nick Moore defensed by Alan-Michael Cash.,28,21
07:51,3,Illegal Block,-1,Paul McCallum punts for 42 yards to Mtl21. Tyron Carrier return for 9 yards to Mtl30. Penalty: Illegal Block on Montreal -10 yards.,28,21
07:36,1,Incomplete Pass,0,Tanner Marsh incomplete pass intended for Arland Bruce.,28,21
07:23,2,Rush,16,Tanner Marsh rush for 16 yards to the Mtl35. Tackled by Adam Bighill.,28,21
06:56,1,Rush,2,Jerome Messam rush for 2 yards to the Mtl37. Tackled by Eric Taylor.,28,21
06:14,2,Face Mask,26,Tanner Marsh pass to Arland Bruce for 11 yards to the Mtl48. Tackled by J.R. LaRose. Penalty: Face Mask on BC (J.R. LaRose) 15 yards.,28,21
05:35,1,Incomplete Pass,0,Tanner Marsh incomplete pass intended for Eric Deslauriers defensed by Korey Banks.,28,21
05:18,2,Rush,10,Tanner Marsh rush for 10 yards to the BC37. Tackled by Lin-J Shell.,28,21
04:36,3,Rush,1,Tanner Marsh rush for 1 yard to the BC36. Tackled by Solomon Elimimian.,28,21
04:25,1,Rush,1,Tyrell Sutton rush for 1 yard to the BC35. Tackled by Eric Taylor.,28,21
03:42,2,Incomplete Pass,0,Tanner Marsh incomplete pass intended for S.J. Green.,28,21
02:42,3,Missed Field Goal,42,Sean Whyte 42 yard field goal attempt is GOOD.,28,24
02:42,0,Kickoff,19,Sean Whyte kicks off to the BC13. Tim Brown return for 19 yards to BC32. Tackled by Daryl Townsend.,28,24
