Time,Down,Type,Yards,Details,Montreal,Toronto
15:00,0,Kickoff,32,Swayze Waters kicks off to the Mtl3. Noel Devine return for 32 yards to Mtl35. Tackled by Major Culbert.,0,0
14:54,1,Rush,3,Chris Jennings rush for 3 yards to the Mtl38. Tackled by Khalif Mitchell.,0,0
14:33,2,Incomplete Pass,0,Anthony Calvillo incomplete pass intended for Brandon London.,0,0
14:24,3,Punt,7,Sean Whyte punts for 42 yards to Tor30. Chad Owens return for 7 yards to Tor37. Tackled by B.J. Scott.,0,0
14:07,1,Incomplete Pass,0,Ricky Ray incomplete pass intended for Dontrelle Inman defensed by Geoff Tisdale.,0,0
13:50,2,Incomplete Pass,0,Ricky Ray incomplete pass intended for Jason Barnes.,0,0
13:31,3,Punt,11,Swayze Waters punts for 54 yards to Mtl19. Noel Devine return for 11 yards to Mtl30.,0,0
13:06,1,Pass,8,Anthony Calvillo pass to Eric Deslauriers for 8 yards to the Mtl38. Tackled by Jamie Robinson.,0,0
12:40,2,Incomplete Pass,0,Anthony Calvillo incomplete pass intended for Brandon London.,0,0
12:20,3,Punt,4,Sean Whyte punts for 44 yards to Tor28. Chad Owens return for 4 yards to Tor32. Tackled by B.J. Scott.,0,0
12:01,1,Rush,4,Chad Kackert rush for 4 yards to the Tor36. Tackled by Kyries Hebert.,0,0
11:37,2,Incomplete Pass,0,Ricky Ray incomplete pass intended for Dontrelle Inman defensed by Shea Emry.,0,0
11:18,3,Punt,0,Swayze Waters punts for 61 yards to Mtl13. Noel Devine return for no gain to Mtl13. Tackled by Mister Alexander.,0,0
10:51,1,Incomplete Pass,0,Anthony Calvillo incomplete pass intended for Jamel Richardson.,0,0
10:34,2,Pass,16,Anthony Calvillo pass to Jamel Richardson for 16 yards to the Mtl29. Tackled by Jamie Robinson.,0,0
09:58,1,Rush,2,Chris Jennings rush for 2 yards to the Mtl31. Tackled by Jonathan Williams.,0,0
09:20,2,Incomplete Pass,0,Anthony Calvillo incomplete pass intended for S.J. Green defensed by Antareis Bryan.,0,0
08:57,3,Punt,7,Sean Whyte punts for 40 yards to Tor39. Chad Owens return for 7 yards to Tor46. Tackled by Ed Gainey.,0,0
07:58,1,Rush,19,Gerald Riggs Jr. rush for 19 yards to the Mtl45.,0,0
07:24,1,Rush,2,Gerald Riggs Jr. rush for 2 yards to the Mtl43. Tackled by Phillip Livas.,0,0
07:16,2,Incomplete Pass,0,Trevor Harris incomplete pass intended for Alonzo Lawrence defensed by Chip Cox.,0,0
07:00,3,Punt,10,Swayze Waters punts for 38 yards to Mtl5. Noel Devine return for 10 yards to Mtl15.,0,0
06:38,1,Incomplete Pass,0,Anthony Calvillo incomplete pass intended for Eric Deslauriers.,0,0
06:20,2,Sack,-10,Sack at Mtl5 for a loss of 10 yards by Khalif Mitchell.,0,0
05:49,3,Safety,-5,Safety,0,2
05:49,0,Kickoff,14,Delbert Alvarado kicks off to the Tor27. Gerald Riggs Jr. return for 14 yards to Tor41.,0,2
05:43,1,Rush,5,Gerald Riggs Jr. rush for 5 yards to the Tor46. Tackled by Mike Edem.,0,2
05:13,2,Pass,1,Trevor Harris pass to Juaquin Iglesias for 1 yard to the Tor47. Tackled by Billy Parker.,0,2
04:45,2,Punt,7,Swayze Waters punts for 63 yards to Mtl0. Noel Devine return for 7 yards to Mtl7.,0,2
04:17,1,Rush,-2,Chris Jennings rush for a loss of 2 yards to the Mtl5. Tackled by Brandon Isaac.,0,2
03:41,0,Roughing Passer,15,Penalty: Roughing Passer on Toronto 15 yards.,0,2
03:25,1,Pass,28,Anthony Calvillo pass to Arland Bruce for 28 yards to the Mtl48. Tackled by Brandon Isaac.,0,2
02:46,1,Pass,17,Anthony Calvillo pass to Chris Jennings for 17 yards to the Tor45. Tackled by Antareis Bryan.,0,2
02:02,1,Pass,13,Anthony Calvillo pass to Jamel Richardson for 13 yards to the Tor32. Tackled by Bryan Payton.,0,2
01:14,1,Incomplete Pass,0,Anthony Calvillo incomplete pass intended for S.J. Green.,0,2
00:25,2,Pass,32,Anthony Calvillo pass to Arland Bruce for 32 yards for a TOUCHDOWN.,6,2
00:10,0,Made Extra Point,0,Sean Whyte extra point is good.,7,2
00:10,0,Kickoff,23,Delbert Alvarado kicks off to the Tor20. Juaquin Iglesias return for 23 yards to Tor43. Tackled by Devon Torrence.,7,2
00:03,1,Incomplete Pass,0,Trevor Harris incomplete pass intended for Trent Guy.,7,2
15:00,2,Incomplete Pass,0,Trevor Harris incomplete pass intended for Reggie Williams defensed by Chip Cox.,7,2
14:41,3,Punt,0,Swayze Waters punts for 34 yards to Mtl33. Noel Devine return for no gain to Mtl33.,7,2
