Time,Down,Type,Yards,Details,Toronto,Montreal
06:09,1,Rush,5,rush for 5 yards to the Tor25. Tackled by Tyrell Sutton.,2,13
05:26,2,Pass,14,Zach Collaros pass to Dontrelle Inman for 14 yards to the Tor39. Tackled by Geoff Tisdale.,2,13
04:43,1,Pass,11,Zach Collaros pass to Jason Barnes for 11 yards to the Tor50. Tackled by Billy Parker.,2,13
04:23,1,Rush,7,rush for 7 yards to the Mtl53. Tackled by Aaron Lavarias.,2,13
03:32,0,Illegal Contact,10,Penalty: Illegal Contact on Montreal (Billy Parker) 10 yards.,2,13
03:18,1,Rush,0,rush for no gain to the Mtl43. Tackled by Aaron Lavarias.,2,13
03:00,2,Pass,11,Zach Collaros pass to Dontrelle Inman for 11 yards to the Mtl32. Tackled by Billy Parker.,2,13
02:44,1,Pass,14,Zach Collaros pass to Andre Durie for 14 yards to the Mtl18. Tackled by John Bowman.,2,13
02:27,1,Pass,6,Zach Collaros pass to Dontrelle Inman for 6 yards to the Mtl12. Tackled by Mike Edem.,2,13
02:23,2,Incomplete Pass,0,Zach Collaros incomplete pass intended for John Chiles.,2,13
01:58,3,Missed Field Goal,19,Noel Prefontaine 19 yard field goal attempt is GOOD.,5,13
01:58,0,Kickoff,19,Noel Prefontaine kicks off to the Mtl23. Tyrell Sutton return for 19 yards to Mtl42. Tackled by Zander Robinson.,5,13
01:52,1,Incomplete Pass,0,Tanner Marsh incomplete pass intended for Duron Carter.,5,13
01:49,2,Incomplete Pass,0,Tanner Marsh incomplete pass intended for Jerome Messam.,5,13
01:44,3,Punt,10,Sean Whyte punts for 43 yards to Tor25. Trent Guy return for 10 yards to Tor35. Tackled by Marc-Olivier Brouillette.,5,13
01:34,1,Incomplete Pass,0,Zach Collaros incomplete pass intended for John Chiles defensed by Geoff Tisdale.,5,13
01:29,2,Offside,-5,Penalty: Offside on Toronto (Dontrelle Inman) -5 yards.,5,13
01:29,2,Rush,5,rush for 5 yards to the Tor35. Tackled by Moton Hopkins.,5,13
01:25,3,Punt,9,Noel Prefontaine punts for 31 yards to Mtl44. Tyron Carrier return for 9 yards to Mtl53. Tackled by Chad Rempel.,5,13
00:57,0,Pass Interference,34,Penalty: Pass Interference on Toronto (Pat Watkins) 34 yards.,5,13
00:51,1,Sack,-6,Sack at Tor29 for a loss of 6 yards by Jermaine Gabriel.,5,13
00:36,2,Pass,4,Tanner Marsh pass to Duron Carter for 4 yards to the Tor25. Tackled by Jermaine Gabriel.,5,13
00:01,3,Missed Field Goal,32,Sean Whyte 32 yard field goal attempt is GOOD.,5,16
15:00,0,Kickoff,6,Sean Whyte kicks off to the Tor21.   return for 6 yards to Tor27. Tackled by  .,5,16
14:55,1,Pass,17,Zach Collaros pass to Dontrelle Inman for 17 yards to the Tor44. Tackled by Geoff Tisdale.,5,16
14:23,1,Sack,-5,Sack at Tor39 for a loss of 5 yards by Marc-Olivier Brouillette.,5,16
13:43,2,Incomplete Pass,0,Zach Collaros incomplete pass intended for John Chiles.,5,16
13:36,3,Punt,1,Noel Prefontaine punts for 51 yards to Mtl20. Tyron Carrier return for 1 yard to Mtl21. Tackled by Jermaine Gabriel.,5,16
13:15,1,Incomplete Pass,0,Tanner Marsh incomplete pass intended for S.J. Green.,5,16
13:02,2,Incomplete Pass,0,Tanner Marsh incomplete pass intended for Arland Bruce defensed by Marcus Ball.,5,16
12:34,3,No Yards,25,Sean Whyte punts for 30 yards to Mtl51. Penalty: No Yards on Montreal (Daryl Townsend) -5 yards.,5,16
12:24,1,Pass,8,Zach Collaros pass to Dontrelle Inman for 8 yards to the Mtl38. Tackled by Geoff Tisdale.,5,16
12:06,2,Pass,9,Zach Collaros pass to   for 9 yards to the Mtl29. Tackled by Byron Parker.,5,16
11:43,1,Incomplete Pass,0,Zach Collaros incomplete pass intended for Jason Barnes.,5,16
11:20,2,Incomplete Pass,0,Zach Collaros incomplete pass intended for John Chiles defensed by Aaron Lavarias.,5,16
10:42,3,Missed Field Goal,36,Noel Prefontaine 36 yard field goal attempt is GOOD.,8,16
10:42,1,Rush,0,Jerome Messam rush for no gain to the Mtl35. Tackled by Matt Black.,8,16
10:15,2,Time Count,-5,Penalty: Time Count on Montreal (Tanner Marsh) -5 yards.,8,16
09:57,2,Rush,9,Tanner Marsh rush for 9 yards to the Mtl39. Tackled by Pat Watkins.,8,16
09:46,3,Punt,16,Sean Whyte punts for 55 yards to Tor16. Trent Guy return for 16 yards to Tor32. Tackled by Chip Cox.,8,16
09:27,1,Rush,0,rush for no gain to the Tor32. Tackled by Alan-Michael Cash.,8,16
08:34,0,Pass Interference,13,Penalty: Pass Interference on Montreal (Geoff Tisdale) 13 yards.,8,16
08:27,1,Incomplete Pass,0,Zach Collaros incomplete pass intended for Spencer Watt.,8,16
08:11,2,Incomplete Pass,0,Zach Collaros incomplete pass intended for Dontrelle Inman.,8,16
07:49,3,Fumble,22,FUMBLE Recovered by Mtl (Ed Gainey) and returned for 33 yards. Tackled by Shane Horton,8,16
06:58,1,Rush,1,Tanner Marsh rush for 1 yard for a TOUCHDOWN.,8,22
06:51,0,Made Extra Point,0,Sean Whyte extra point is good.,8,23
06:51,0,Kickoff,18,Sean Whyte kicks off to the Tor24.   return for 18 yards to Tor42. Tackled by Nicolas Boulay.,8,23
06:36,1,Pass,7,Zach Collaros pass to Spencer Watt for 7 yards to the Tor49. Tackled by Billy Parker.,8,23
06:05,2,Pass,40,Zach Collaros pass to Spencer Watt for 40 yards to the Mtl21. Tackled by Jerald Brown.,8,23
05:27,1,Rush,21,Zach Collaros rush for 21 yards for a TOUCHDOWN.,14,23
05:12,0,Made Extra Point,0,Noel Prefontaine extra point is good.,15,23
05:12,0,Kickoff,20,Noel Prefontaine kicks off to the Mtl14. Tyron Carrier return for 20 yards to Mtl34. Tackled by Herve Tonye-Tonye.,15,23
05:06,1,Pass,22,Tanner Marsh pass to Jerome Messam for 22 yards to the Tor54. Tackled by Ivan Brown.,15,23
03:56,1,Interception,54,Tanner Marsh pass intended for Arland Bruce INTERCEPTED by Kiante Tripp and returned for 54 yards for a TOUCHDOWN.,21,23
03:56,1,Incomplete Pass,0,Zach Collaros incomplete pass intended for Spencer Watt.,21,23
03:32,0,Kickoff,12,Noel Prefontaine kicks off to the Mtl23. Tyron Carrier return for 12 yards to Mtl35. Tackled by Alonzo Lawrence.,21,23
03:18,1,Incomplete Pass,0,Tanner Marsh incomplete pass intended for S.J. Green.,21,23
03:04,2,Incomplete Pass,0,Tanner Marsh incomplete pass intended for Patrick Lavoie defensed by Ricardo Colclough.,21,23
02:46,3,Punt,14,Sean Whyte punts for 36 yards to Tor39. Trent Guy return for 14 yards to Tor53. Tackled by Patrick Lavoie.,21,23
02:21,1,Pass,3,Zach Collaros pass to Andre Durie for 3 yards to the Mtl54. Tackled by Jerald Brown.,21,23
01:29,2,Pass,54,Zach Collaros pass to John Chiles for 54 yards for a TOUCHDOWN.,27,23
01:21,0,Made Extra Point,0,Noel Prefontaine extra point is good.,28,23
01:21,0,Kickoff,24,Noel Prefontaine kicks off to the Mtl8. Tyron Carrier return for 24 yards to Mtl32. Tackled by Jason Pottinger.,28,23
01:13,1,Incomplete Pass,0,Tanner Marsh incomplete pass intended for Tyrell Sutton.,28,23
00:51,2,Pass,11,Tanner Marsh pass to S.J. Green for 11 yards to the Mtl43. Tackled by Alonzo Lawrence.,28,23
00:22,1,Pass,22,Tanner Marsh pass to Arland Bruce for 22 yards to the Tor45. Tackled by Matt Black.,28,23
14:49,1,Pass,45,Tanner Marsh pass to Duron Carter for 45 yards for a TOUCHDOWN.,28,29
14:38,0,Made Extra Point,0,Sean Whyte extra point is good.,28,30
14:38,0,Kickoff,26,Sean Whyte kicks off to the Tor20.   return for 26 yards to Tor46. Tackled by Anwar Stewart.,28,30
14:29,1,Pass,9,Zach Collaros pass to   for 9 yards to the Tor55. Tackled by John Bowman.,28,30
14:08,2,Illegal Procedure,-5,Penalty: Illegal Procedure on Toronto (Tony Washington) -5 yards.,28,30
13:58,2,Pass,4,Zach Collaros pass to John Chiles for 4 yards to the Tor54. Tackled by Geoff Tisdale.,28,30
13:39,3,Punt,8,Noel Prefontaine punts for 31 yards to Mtl25. Tyron Carrier return for 8 yards to Mtl33. Tackled by Matt Black.,28,30
13:05,1,Sack,-10,Sack at Mtl23 for a loss of 10 yards by Jermaine Gabriel.,28,30
12:30,2,Rush,7,Tanner Marsh rush for 7 yards to the Mtl30. Tackled by Marcus Ball.,28,30
12:01,3,Punt,8,Sean Whyte punts for 36 yards to Tor44. Trent Guy return for 8 yards to Tor52. Tackled by Bear Woods.,28,30
11:32,1,Incomplete Pass,0,Zach Collaros incomplete pass intended for Andre Durie.,28,30
11:22,2,Pass,14,Zach Collaros pass to Dontrelle Inman for 14 yards to the Mtl44. Tackled by Jerald Brown.,28,30
10:40,1,Rush,5,rush for 5 yards to the Mtl39. Tackled by Geoff Tisdale.,28,30
10:15,2,Sack,-1,Sack at Mtl40 for a loss of 1 yard by Mike Edem.,28,30
