Time,Down,Type,Yards,Details,Montreal,BC
02:47,0,Kickoff,16,Paul McCallum kicks off to the Mtl13. Tyron Carrier return for 16 yards to Mtl29. Tackled by Brandon Jordan.,0,15
02:40,1,Pass,-2,Tanner Marsh pass to Jerome Messam for a loss of 2 yards to the Mtl27. Tackled by Anton McKenzie.,0,15
02:33,2,Pass,28,Tanner Marsh pass to Arland Bruce for 28 yards to the Mtl55. Tackled by Lin-J Shell.,0,15
02:03,1,Pass,6,Tanner Marsh pass to S.J. Green for 6 yards to the BC49. Tackled by Cord Parks.,0,15
01:53,2,Incomplete Pass,0,Tanner Marsh incomplete pass intended for S.J. Green defensed by Josh Bell.,0,15
01:34,3,Punt,0,Sean Whyte punts for 36 yards to BC13. No return.,0,15
01:28,1,Pass,19,Travis Lulay pass to Andrew Harris for 19 yards to the BC32. Tackled by Mike Edem.,0,15
01:19,1,Unnecessary Roughness,-10,Travis Lulay pass intended for Marco Iannuzzi INTERCEPTED by Jerald Brown and returned for 5 yards. Tackled by Courtney Taylor. Penalty: Unnecessary Roughness on BC (Patrick Kabongo) 15 yards. Penalty: Unnecessary Roughness on Montreal (Ben Wells) -15 yards. Penalty: Unnecessary Roughness on Montreal (Shea Emry) -15 yards.,0,15
01:03,1,Pass,9,Tanner Marsh pass to Jerome Messam for 9 yards to the Mtl32. Tackled by Eric Taylor.,0,15
00:56,2,Fumble,13,"Jerome Messam rush for 13 yards to the Mtl45. FUMBLE, recovered by BC (Cord Parks). Tackled by Josh Bourke.",0,15
00:45,1,Pass,9,Travis Lulay pass to Andrew Harris for 9 yards to the Mtl36. Tackled by Marc-Olivier Brouillette.,0,15
00:39,2,Incomplete Pass,0,Thomas DeMarco incomplete pass intended for Andrew Harris defensed by Mike Edem.,0,15
00:33,3,Fumble,8,"Andrew Harris rush for 8 yards to the Mtl28. FUMBLE, recovered by Mtl (Mike Edem). Tackled by Shawn Gore.",0,15
00:29,1,Rush,4,Jerome Messam rush for 4 yards to the Mtl32. Tackled by Adam Bighill.,0,15
00:17,2,Pass,13,Tanner Marsh pass to S.J. Green for 13 yards to the Mtl45. Tackled by Adam Bighill.,0,15
15:00,0,Kickoff,17,Paul McCallum kicks off to the Mtl10. Tyron Carrier return for 17 yards to Mtl27. Tackled by Seydou Junior Haidara.,0,15
14:53,1,Pass,4,Tanner Marsh pass to Jerome Messam for 4 yards to the Mtl31. Tackled by Adam Bighill.,0,15
14:05,2,Offside,-5,Penalty: Offside on Montreal (Arland Bruce) -5 yards.,0,15
13:39,2,Rush,0,Tanner Marsh rush for no gain to the Mtl26. Tackled by Khreem Smith.,0,15
13:15,3,Punt,-1,Sean Whyte punts for 41 yards to BC43. Tim Brown return for a loss of 1 yard to BC42. Tackled by Daryl Townsend.,0,15
12:44,1,Incomplete Pass,0,Travis Lulay incomplete pass intended for Marco Iannuzzi.,0,15
12:32,2,Incomplete Pass,0,Travis Lulay incomplete pass intended for Marco Iannuzzi defensed by Shea Emry.,0,15
12:07,3,Punt,0,Paul McCallum punts for 52 yards to Mtl16. No return.,0,15
11:54,1,Pass,6,Tanner Marsh pass to Arland Bruce for 6 yards to the Mtl22. Tackled by Korey Banks.,0,15
11:27,2,Incomplete Pass,0,Tanner Marsh incomplete pass intended for Duron Carter defensed by Adam Bighill.,0,15
11:09,3,Offside,5,Penalty: Offside on BC (Paris Jackson) 5 yards.,0,15
10:50,1,Pass,6,Tanner Marsh pass to Brandon London for 6 yards to the Mtl33. Tackled by Anton McKenzie.,0,15
10:10,2,Pass,6,Tanner Marsh pass to Patrick Lavoie for 6 yards to the Mtl39. Tackled by Cord Parks.,0,15
09:29,1,Incomplete Pass,0,Tanner Marsh incomplete pass intended for Arland Bruce.,0,15
09:11,2,Sack,-4,Sack at Mtl35 for a loss of 4 yards by Jermaine Reid.,0,15
08:28,3,Punt,7,Sean Whyte punts for 46 yards to BC29. Tim Brown return for 7 yards to BC36. Tackled by Tyrell Sutton.,0,15
08:09,1,Pass,-1,Travis Lulay pass to Emmanuel Arceneaux for a loss of 1 yard to the BC35. Tackled by Moton Hopkins.,0,15
07:31,2,Interception,4,Travis Lulay pass intended for Shawn Gore INTERCEPTED by Mike Edem and returned for 4 yards. Tackled by Andrew Harris.,0,15
07:11,1,Rush,12,Jerome Messam rush for 12 yards to the BC26. Tackled by Dante Marsh.,0,15
06:31,1,Incomplete Pass,0,Josh Neiswander incomplete pass intended for Eric Deslauriers defensed by Korey Banks.,0,15
06:12,2,Pass,13,Josh Neiswander pass to Duron Carter for 13 yards to the BC13. Tackled by Adam Bighill.,0,15
05:30,1,Pass,5,Josh Neiswander pass to Duron Carter for 5 yards to the BC8. Tackled by Dante Marsh.,0,15
05:10,2,Rush,6,Jerome Messam rush for 6 yards to the BC2. Tackled by Anton McKenzie.,0,15
04:16,1,Rush,0,Jerome Messam rush for no gain to the BC2. Tackled by Eric Taylor.,0,15
03:13,2,Pass,2,Josh Neiswander pass to S.J. Green for 2 yards for a TOUCHDOWN.,6,15
03:13,0,Time Count,-5,Penalty: Time Count on Montreal (Sean Whyte) -5 yards.,6,15
02:48,0,Made Extra Point,0,Sean Whyte extra point is good.,7,15
02:48,0,Kickoff,27,Sean Whyte kicks off to the BC14. Tim Brown return for 27 yards to BC41. Tackled by Nicolas Boulay.,7,15
02:41,1,Rush,5,Andrew Harris rush for 5 yards to the BC46. Tackled by Jerald Brown.,7,15
02:06,2,Incomplete Pass,0,Travis Lulay incomplete pass intended for Nick Moore defensed by Anwar Stewart.,7,15
01:35,3,Punt,13,Paul McCallum punts for 41 yards to Mtl23. Tyron Carrier return for 13 yards to Mtl36. Tackled by Lin-J Shell.,7,15
01:22,1,Pass,3,Josh Neiswander pass to Duron Carter for 3 yards to the Mtl39. Tackled by Dante Marsh.,7,15
00:40,2,Unnecessary Roughness,44,Josh Neiswander pass intended for Duron Carter INTERCEPTED by Adam Bighill and returned for 44 yards. Tackled by Jerome Messam. Penalty: Unnecessary Roughness on Montreal (Jerome Messam) 0 yards.,7,15
00:00,1,Rush,1,Andrew Harris rush for 1 yard for a TOUCHDOWN.,7,21
00:00,0,Made Extra Point,0,Paul McCallum extra point is good.,7,22
15:00,0,Kickoff,18,Paul McCallum kicks off to the Mtl15. Tyron Carrier return for 18 yards to Mtl33. Tackled by Brandon Jordan.,7,22
14:54,1,Illegal Procedure,-5,Penalty: Illegal Procedure on Montreal (Ryan Bomben) -5 yards.,7,22
14:34,1,Pass,3,Josh Neiswander pass to Arland Bruce for 3 yards to the Mtl31. Tackled by Dante Marsh.,7,22
13:57,2,Incomplete Pass,0,Josh Neiswander incomplete pass intended for Jerome Messam.,7,22
13:32,3,No Yards,21,Sean Whyte punts for 26 yards to BC53. Penalty: No Yards on Montreal (Bear Woods) -5 yards.,7,22
13:16,1,Interception,0,Travis Lulay pass intended for Emmanuel Arceneaux INTERCEPTED by Geoff Tisdale. No return. Tackled by Emmanuel Arceneaux.,7,22
12:45,1,Sack,-3,Sack at Mtl1 for a loss of 3 yards by Jermaine Reid.,7,22
12:12,2,Pass,13,Josh Neiswander pass to Eric Deslauriers for 13 yards to the Mtl14. Tackled by Josh Bell.,7,22
11:38,3,Rush,1,Troy Smith rush for 1 yard to the Mtl15. Tackled by Adam Bighill.,7,22
11:02,1,Incomplete Pass,0,Josh Neiswander incomplete pass intended for S.J. Green.,7,22
10:41,2,Pass,14,Josh Neiswander pass to Duron Carter for 14 yards to the Mtl29. Tackled by Adam Bighill.,7,22
10:16,1,Interception,39,Josh Neiswander pass intended for Arland Bruce INTERCEPTED by Dante Marsh and returned for 39 yards.,7,22
09:50,1,Sack,-11,Sack at Mtl14 for a loss of 11 yards by Chip Cox.,7,22
08:43,2,Rush,14,Travis Lulay rush for 14 yards for a TOUCHDOWN.,7,28
08:29,0,Made Extra Point,0,Paul McCallum extra point is good.,7,29
08:29,0,Kickoff,28,Paul McCallum kicks off to the Mtl25. Tyron Carrier return for 28 yards to Mtl53. Tackled by Seydou Junior Haidara.,7,29
08:19,1,Pass,7,Josh Neiswander pass to Duron Carter for 7 yards to the BC50. Tackled by Adam Bighill.,7,29
07:39,2,Pass,15,Josh Neiswander pass to S.J. Green for 15 yards to the BC35. Tackled by Josh Bell.,7,29
07:03,1,Pass,35,Josh Neiswander pass to Brandon London for 35 yards for a TOUCHDOWN.,13,29
06:47,0,Made Extra Point,0,Sean Whyte extra point is good.,14,29
06:47,0,Illegal Interference,-10,Penalty: Illegal Interference on Montreal (Patrick Lavoie) -10 yards.,14,29
06:40,0,Kickoff,19,Sean Whyte kicks off to the BC27. Tim Brown return for 19 yards to BC46. Tackled by Tyrell Sutton.,14,29
06:33,1,Rush,4,Andrew Harris rush for 4 yards to the BC50. Tackled by Moton Hopkins.,14,29
05:54,2,Pass,15,Thomas DeMarco pass to Courtney Taylor for 15 yards to the Mtl45. Tackled by Michael Carter.,14,29
05:13,1,Rush,2,Andrew Harris rush for 2 yards to the Mtl43. Tackled by Shea Emry.,14,29
04:34,2,Pass,18,Thomas DeMarco pass to Courtney Taylor for 18 yards to the Mtl25. Tackled by Mike Edem.,14,29
03:52,1,Pass,0,Thomas DeMarco pass to Emmanuel Arceneaux for no gain to the Mtl25. Tackled by Geoff Tisdale.,14,29
03:11,2,Rush,11,Thomas DeMarco rush for 11 yards to the Mtl14. Tackled by Aaron Lavarias.,14,29
02:47,2,Objectionable Conduct,4,Thomas DeMarco pass to Marco Iannuzzi for 14 yards for a TOUCHDOWN. Penalty: Objectionable Conduct on BC (Marco Iannuzzi) -10 yards.,14,35
02:34,0,Made Extra Point,0,Paul McCallum extra point is good.,14,36
02:34,0,Kickoff,9,Paul McCallum kicks off to the Mtl36. Tyrell Sutton return for 9 yards to Mtl45. Tackled by Kyle Jones.,14,36
02:26,1,Pass,15,Josh Neiswander pass to Jerome Messam for 15 yards to the BC50. Tackled by Josh Bell.,14,36
02:19,1,Incomplete Pass,0,Josh Neiswander incomplete pass intended for Arland Bruce.,14,36
02:08,2,Pass,12,Josh Neiswander pass to S.J. Green for 12 yards to the BC38. Tackled by Cord Parks.,14,36
02:02,1,Sack,-6,Sack at BC44 for a loss of 6 yards by Chris Wilson.,14,36
01:57,2,Pass,13,Josh Neiswander pass to Duron Carter for 13 yards to the BC31. Tackled by Josh Bell.,14,36
01:42,3,Objectionable Conduct,-5,Josh Neiswander incomplete pass intended for S.J. Green. Penalty: Unnecessary Roughness on Montreal (Josh Bourke) -15 yards. Penalty: Objectionable Conduct on BC (Chris Wilson) 10 yards.,14,36
01:31,1,Unnecessary Roughness,-15,Andrew Harris incomplete pass intended for Marco Iannuzzi. Penalty: Unnecessary Roughness on BC (Paris Jackson) -15 yards.,14,36
01:22,2,Incomplete Pass,0,Thomas DeMarco incomplete pass intended for Nick Moore.,14,36
01:16,3,Holding,39,Paul McCallum punts for 29 yards to BC50. Penalty: Holding on Montreal (Patrick Lavoie) 10 yards.,14,36
01:10,1,Pass,3,Josh Neiswander pass to Arland Bruce for 3 yards to the Mtl53. Tackled by Keynan Parker.,14,36
01:03,2,Incomplete Pass,0,Josh Neiswander incomplete pass intended for Brandon London.,14,36
00:51,3,Incomplete Pass,0,Josh Neiswander incomplete pass intended for S.J. Green.,14,36
00:46,1,Rush,1,Andrew Harris rush for 1 yard to the Mtl52. Tackled by Shea Emry.,14,36
00:39,2,Rush,7,Andrew Harris rush for 7 yards to the Mtl45. Tackled by Marc-Olivier Brouillette.,14,36
