Time,Down,Type,Yards,Details,Montreal,Winnipeg
09:55,3,Missed Field Goal,36,Sean Whyte 36 yard field goal attempt is GOOD.,17,11
09:55,0,Kickoff,11,Sean Whyte kicks off to the Wpg19. Will Ford return for 11 yards to Wpg30. Tackled by Daryl Townsend.,17,11
09:51,1,Fumble,4,"Chad Simpson rush for 4 yards to the Wpg34. FUMBLE, recovered by Mtl (Scooter Berry). Tackled by Chris Greaves.",17,11
09:02,1,Pass,7,Anthony Calvillo pass to Brandon London for 7 yards to the Wpg27. Tackled by Jovon Johnson.,17,11
08:56,2,Rush,0,Chris Jennings rush for no gain to the Wpg27. Tackled by Brandon Stewart.,17,11
08:07,3,Missed Field Goal,35,Sean Whyte 35 yard field goal attempt is GOOD.,20,11
08:07,0,Kickoff,7,Sean Whyte kicks off to the Wpg15. Will Ford return for 7 yards to Wpg22. Tackled by Jordan Verdone.,20,11
07:52,1,Pass,6,Buck Pierce pass to Chris Matthews for 6 yards to the Wpg28. Tackled by Chip Cox.,20,11
07:15,2,Pass,6,Buck Pierce pass to Michel-Pierre Pontbriand for 6 yards to the Wpg34. Tackled by Chip Cox.,20,11
06:42,1,Pass,2,Buck Pierce pass to Jade Etienne for 2 yards to the Wpg36. Tackled by Geoff Tisdale.,20,11
06:03,2,Incomplete Pass,0,Buck Pierce incomplete pass intended for Chris Matthews.,20,11
05:36,3,Illegal Block,-12,Mike Renaud punts for 53 yards to Mtl21. Tyron Carrier return for a loss of 3 yards to Mtl18. Tackled by Michel-Pierre Pontbriand. Penalty: Illegal Block on Montreal (Marc-Olivier Brouillette) -9 yards.,20,11
05:10,1,Pass,-1,Anthony Calvillo pass to Arland Bruce for a loss of 1 yard to the Mtl8. Tackled by Alex Suber.,20,11
04:38,2,Incomplete Pass,0,Anthony Calvillo incomplete pass intended for Brandon London.,20,11
04:02,3,Safety,-8,Safety,20,13
04:02,0,Kickoff,22,Sean Whyte kicks off to the Wpg25. Will Ford return for 22 yards to Wpg47. Tackled by Jordan Verdone.,20,13
03:56,1,Incomplete Pass,0,Buck Pierce incomplete pass intended for Clarence Denmark defensed by Geoff Tisdale.,20,13
03:30,2,Incomplete Pass,0,Buck Pierce incomplete pass intended for Cory Watson.,20,13
03:10,2,No Yards,40,Mike Renaud punts for 45 yards to Mtl18. Penalty: No Yards on Winnipeg -5 yards.,20,13
02:52,1,Pass,21,Anthony Calvillo pass to S.J. Green for 21 yards to the Mtl44. Tackled by Demond Washington.,20,13
02:39,1,Rush,2,Chris Jennings rush for 2 yards to the Mtl46. Tackled by Henoc Muamba.,20,13
02:19,2,Pass,13,Anthony Calvillo pass to Arland Bruce for 13 yards to the Wpg51. Tackled by Desia Dunn.,20,13
