Time,Down,Type,Yards,Details,Montreal,Hamilton
15:00,0,Kickoff,24,Sean Whyte kicks off to the Ham15. Brandon Banks return for 24 yards to Ham39. Tackled by Mike Edem.,0,0
14:54,1,Incomplete Pass,0,Henry Burris incomplete pass intended for Brandon Banks.,0,0
14:31,2,Pass,3,Henry Burris pass to Brandon Banks for 3 yards to the Ham42.,0,0
14:07,3,No Yards,32,Josh Bartel punts for 37 yards to Mtl31. Penalty: No Yards on Hamilton (James Rogers) -5 yards.,0,0
13:55,1,Incomplete Pass,0,Troy Smith incomplete pass intended for Duron Carter.,0,0
13:32,2,Pass,8,Troy Smith pass to Arland Bruce for 8 yards to the Mtl44. Tackled by Emanuel Davis.,0,0
13:09,3,Illegal Block,23,Sean Whyte punts for 34 yards to Ham32. Onrea Jones return for 33 yards to Mtl45. Penalty: Illegal Block on Hamilton (Brandon Banks) -10 yards.,0,0
12:20,1,Rush,2,Jeremiah Masoli rush for 2 yards to the Mtl53. Tackled by John Bowman.,0,0
11:56,2,Incomplete Pass,0,Henry Burris incomplete pass intended for Samuel Giguere.,0,0
11:24,3,Punt,15,Josh Bartel punts for 41 yards to Mtl12. Bo Bowling return for 15 yards to Mtl27. Tackled by  .,0,0
11:08,1,Rush,13,Tyrell Sutton rush for 13 yards to the Mtl40. Tackled by Emanuel Davis.,0,0
10:53,1,Pass,55,Troy Smith pass to S.J. Green for 55 yards to the Ham15. Tackled by Emanuel Davis.,0,0
10:04,1,Rush,1,Tyrell Sutton rush for 1 yard to the Ham14. Tackled by Brian Bulcke.,0,0
08:42,2,Pass,14,Troy Smith pass to S.J. Green for 14 yards for a TOUCHDOWN.,6,0
08:24,0,Made Extra Point,0,Sean Whyte extra point is good.,7,0
08:24,0,Kickoff,4,Sean Whyte kicks off to the Ham13. Brandon Banks return for 4 yards to Ham17. Tackled by Mike Edem.,7,0
08:17,1,Pass,14,Henry Burris pass to Andy Fantuz for 14 yards to the Ham31. Tackled by Kyries Hebert.,7,0
07:50,1,Pass,8,Henry Burris pass to Andy Fantuz for 8 yards to the Ham39. Tackled by Jerald Brown.,7,0
07:14,2,Rush,4,Dan LeFevour rush for 4 yards to the Ham43. Tackled by Kyries Hebert.,7,0
06:35,1,Rush,7,Jeremiah Masoli rush for 7 yards to the Ham50. Tackled by Aaron Lavarias.,7,0
06:00,2,Rush,5,Jeremiah Masoli rush for 5 yards to the Ham55. Tackled by Alan-Michael Cash.,7,0
05:40,1,Incomplete Pass,0,Henry Burris incomplete pass intended for Brandon Banks.,7,0
04:28,2,Interception,64,Henry Burris pass intended for Bakari Grant INTERCEPTED by Geoff Tisdale and returned for 64 yards for a TOUCHDOWN.,13,0
04:10,0,Made Extra Point,0,Sean Whyte extra point is good.,14,0
04:10,0,Kickoff,18,Sean Whyte kicks off to the Ham24. Brandon Banks return for 18 yards to Ham42. Tackled by Ed Gainey.,14,0
04:05,1,Offside,5,Penalty: Offside on Montreal (John Bowman) 5 yards.,14,0
03:44,1,Rush,4,Jeremiah Masoli rush for 4 yards to the Ham51. Tackled by Aaron Lavarias.,14,0
03:13,2,Rush,-2,C.J. Gable rush for a loss of 2 yards to the Ham49. Tackled by Moton Hopkins.,14,0
03:05,3,Punt,9,Josh Bartel punts for 36 yards to Mtl25. Bo Bowling return for 9 yards to Mtl34. Tackled by Rico Murray.,14,0
02:43,1,Pass,8,Troy Smith pass to Duron Carter for 8 yards to the Mtl42. Tackled by Emanuel Davis.,14,0
02:20,2,Rush,1,Tyrell Sutton rush for 1 yard to the Mtl43. Tackled by Brian Bulcke.,14,0
01:55,3,Rush,3,Troy Smith rush for 3 yards to the Mtl46. Tackled by Brandon Boudreaux.,14,0
01:13,1,Rush,8,Tyrell Sutton rush for 8 yards to the Mtl54. Tackled by Eric Norwood.,14,0
00:33,2,Rush,2,Tyrell Sutton rush for 2 yards to the Ham54. Tackled by Jamall Johnson.,14,0
15:00,1,Incomplete Pass,0,Troy Smith incomplete pass intended for Tyrell Sutton.,14,0
14:45,2,Pass,13,Troy Smith pass to Arland Bruce for 13 yards to the Ham41. Tackled by Emanuel Davis.,14,0
14:17,1,Pass,2,Troy Smith pass to Duron Carter for 2 yards to the Ham39. Tackled by Rico Murray.,14,0
13:40,2,Pass,14,Troy Smith pass to S.J. Green for 14 yards to the Ham25. Tackled by Emanuel Davis.,14,0
12:30,1,Interception,0,Troy Smith pass intended for Duron Carter INTERCEPTED by Rico Murray. No return. Tackled by Duron Carter.,14,0
12:16,1,Pass,10,Henry Burris pass to Onrea Jones for 10 yards to the Ham25. Tackled by Chip Cox.,14,0
11:56,1,Incomplete Pass,0,Jeremiah Masoli incomplete pass intended for John Delahunt.,14,0
11:13,2,Sack,-6,Sack at Ham19 for a loss of 6 yards by Chip Cox.,14,0
10:48,3,Fumble,-19,Safety FUMBLE Recovered by Ham (Josh Bartel),16,0
10:20,0,Kickoff,25,Luca Congi kicks off to the Mtl28. Bo Bowling return for 25 yards to Mtl53. Tackled by Frederic Plesius.,16,0
10:13,1,Rush,6,Tyrell Sutton rush for 6 yards to the Ham51. Tackled by Rico Murray.,16,0
09:40,2,Pass,19,Troy Smith pass to S.J. Green for 19 yards to the Ham32. Tackled by Courtney Stephen.,16,0
09:01,1,Rush,2,Tyrell Sutton rush for 2 yards to the Ham30. Tackled by Eric Norwood.,16,0
08:49,2,Pass,9,Troy Smith pass to Bo Bowling for 9 yards to the Ham21. Tackled by James Rogers.,16,0
08:07,1,Incomplete Pass,0,Troy Smith incomplete pass intended for Duron Carter.,16,0
07:14,2,Fumble,10,"Troy Smith pass to Bo Bowling for 10 yards to the Ham11. FUMBLE, recovered by Ham (Brandon Isaac). Tackled by Arland Bruce.",16,0
06:45,1,Rush,19,Henry Burris rush for 19 yards to the Ham30. Tackled by Kyries Hebert.,16,0
06:27,1,Rush,4,Dan LeFevour rush for 4 yards to the Ham34. Tackled by Kyries Hebert.,16,0
05:48,2,Incomplete Pass,0,Henry Burris incomplete pass intended for Andy Fantuz.,16,0
05:24,3,Holding,54,Josh Bartel punts for 44 yards to Mtl32. Penalty: Holding on Montreal (Bear Woods) 10 yards.,16,0
05:14,1,Pass,16,Troy Smith pass to Duron Carter for 16 yards to the Mtl38. Tackled by Emanuel Davis.,16,0
04:56,1,Rush,0,Tyrell Sutton rush for no gain to the Mtl38. Tackled by Brandon Boudreaux.,16,0
04:15,2,Pass,20,Troy Smith pass to Tyrell Sutton for 20 yards to the Ham52. Tackled by Hasan Hazime.,16,0
03:30,1,Rush,4,Arland Bruce rush for 4 yards to the Ham48. Tackled by Evan McCollough.,16,0
02:48,2,Incomplete Pass,0,Troy Smith incomplete pass intended for Bo Bowling.,16,0
02:33,3,Punt,14,Sean Whyte punts for 39 yards to Ham9. Brandon Banks return for 14 yards to Ham23. Tackled by Marc-Olivier Brouillette.,16,0
02:22,1,Unnecessary Roughness,32,Henry Burris pass to Bakari Grant for 17 yards to the Ham40. Tackled by Bear Woods. Penalty: Unnecessary Roughness on Montreal (Marc-Olivier Brouillette) 15 yards.,16,0
02:13,1,Offside,5,Penalty: Offside on Montreal (Kyries Hebert) 5 yards.,16,0
02:08,1,Pass,5,Henry Burris pass to C.J. Gable for 5 yards to the Mtl45. Tackled by Moton Hopkins.,16,0
02:03,2,Offside,5,Penalty: Offside on Montreal (Shea Emry) 5 yards.,16,0
01:47,1,Pass,16,Henry Burris pass to Brandon Banks for 16 yards to the Mtl24. Tackled by Marc-Olivier Brouillette.,16,0
01:38,1,Pass,9,Henry Burris pass to Andy Fantuz for 9 yards to the Mtl15. Tackled by Chip Cox.,16,0
01:32,2,Incomplete Pass,0,Henry Burris incomplete pass intended for C.J. Gable.,16,0
01:05,3,Missed Field Goal,22,Luca Congi 22 yard field goal attempt is GOOD.,16,3
01:05,1,Rush,5,Tyrell Sutton rush for 5 yards to the Mtl40. Tackled by Simoni Lawrence.,16,3
01:02,2,Pass,16,Troy Smith pass to Tyrell Sutton for 16 yards to the Ham54. Tackled by Emanuel Davis.,16,3
00:36,1,Incomplete Pass,0,Troy Smith incomplete pass intended for Arland Bruce.,16,3
00:28,2,Pass,6,Troy Smith pass to Tyrell Sutton for 6 yards to the Ham48. Tackled by Brandon Boudreaux.,16,3
00:21,3,Time Count,-10,Penalty: Time Count on Montreal (Troy Smith) -10 yards.,16,3
15:00,0,Kickoff,14,Luca Congi kicks off to the Mtl28. Tyrell Sutton return for 14 yards to Mtl42. Tackled by Marcellus Bowman.,16,3
14:55,1,Rush,1,Tyrell Sutton rush for 1 yard to the Mtl43. Tackled by Torrey Davis.,16,3
14:28,2,Incomplete Pass,0,Troy Smith incomplete pass intended for Bo Bowling.,16,3
13:52,3,Punt,7,Sean Whyte punts for 36 yards to Ham31. Onrea Jones return for 7 yards to Ham38. Tackled by Walter Spencer.,16,3
13:25,1,Pass,22,Henry Burris pass to Samuel Giguere for 22 yards to the Mtl50. Tackled by Aaron Lavarias.,16,3
12:57,1,Pass,9,Henry Burris pass to Chevon Walker for 9 yards to the Mtl41. Tackled by Byron Parker.,16,3
12:19,2,Rush,19,Jeremiah Masoli rush for 19 yards to the Mtl22. Tackled by Marc-Olivier Brouillette.,16,3
11:43,1,Rush,3,Jeremiah Masoli rush for 3 yards to the Mtl19. Tackled by Kyries Hebert.,16,3
11:29,2,Rush,4,Henry Burris rush for 4 yards to the Mtl15. Tackled by Marc-Olivier Brouillette.,16,3
10:35,3,Rush,3,Jeremiah Masoli rush for 3 yards to the Mtl12. Tackled by Chip Cox.,16,3
09:11,1,Pass,12,Jeremiah Masoli pass to C.J. Gable for 12 yards for a TOUCHDOWN.,16,9
08:51,0,Made Extra Point,0,Luca Congi extra point is good.,16,10
08:51,0,Kickoff,22,Luca Congi kicks off to the Mtl9. Bo Bowling return for 22 yards to Mtl31. Tackled by Marcellus Bowman.,16,10
08:40,1,Pass,1,Troy Smith pass to Tyrell Sutton for 1 yard to the Mtl32. Tackled by Brandon Isaac.,16,10
08:10,2,Rush,9,Tyrell Sutton rush for 9 yards to the Mtl41. Tackled by Simoni Lawrence.,16,10
07:34,1,Rush,6,Bo Bowling rush for 6 yards to the Mtl47. Tackled by Arthur Hobbs.,16,10
06:25,2,Pass,63,Troy Smith pass to Duron Carter for 63 yards for a TOUCHDOWN.,22,10
06:04,0,Made Extra Point,0,Sean Whyte extra point is good.,23,10
06:04,0,Kickoff,15,Sean Whyte kicks off to the Ham27. Brandon Banks return for 15 yards to Ham42. Tackled by Ed Gainey.,23,10
05:55,1,Rush,1,C.J. Gable rush for 1 yard to the Ham44. Tackled by Moton Hopkins.,23,10
05:28,2,Pass,12,Henry Burris pass to Andy Fantuz for 12 yards to the Mtl54. Tackled by Jerald Brown.,23,10
04:27,1,Rush,9,Samuel Giguere rush for 9 yards to the Mtl45. Tackled by Geoff Tisdale.,23,10
04:18,2,Sack,-2,Sack at Mtl47 for a loss of 2 yards by Chip Cox.,23,10
04:00,3,Punt,0,Josh Bartel punts for 43 yards to Mtl4. No return.,23,10
03:22,1,Rush,18,Tyrell Sutton rush for 18 yards to the Mtl22. Tackled by Rico Murray.,23,10
02:57,1,Rush,-1,Bo Bowling rush for a loss of 1 yard to the Mtl21. Tackled by Emanuel Davis.,23,10
02:18,2,Pass,20,Troy Smith pass to Duron Carter for 20 yards to the Mtl41. Tackled by Evan McCollough.,23,10
01:09,1,Rush,6,Tyrell Sutton rush for 6 yards to the Mtl47. Tackled by Simoni Lawrence.,23,10
00:46,2,Incomplete Pass,0,Troy Smith incomplete pass intended for Arland Bruce defensed by Hasan Hazime.,23,10
00:04,3,Punt,13,Sean Whyte punts for 38 yards to Ham25. Brandon Banks return for 13 yards to Ham38. Tackled by Walter Spencer.,23,10
