Time,Down,Type,Yards,Details,Hamilton,Montreal
15:00,0,Kickoff,12,Sean Whyte kicks off to the Ham28. Eric Norwood return for 12 yards to Ham40. Tackled by  .,0,0
14:53,1,Incomplete Pass,0,Henry Burris incomplete pass intended for Samuel Giguere.,0,0
14:28,2,Illegal Procedure,-5,Penalty: Illegal Procedure on Hamilton (Peter Dyakowski) -5 yards.,0,0
14:09,2,Pass,10,Henry Burris pass to C.J. Gable for 10 yards to the Ham45. Tackled by Aaron Lavarias.,0,0
13:43,3,Illegal Punt,23,Josh Bartel punts for 33 yards to Mtl32. Penalty: Illegal Punt on Hamilton (Josh Bartel) -10 yards.,0,0
13:28,1,Rush,2,Tyrell Sutton rush for 2 yards to the Mtl44. Tackled by Brandon Isaac.,0,0
13:02,2,Incomplete Pass,0,Troy Smith incomplete pass intended for Duron Carter.,0,0
12:33,3,No Yards,23,Sean Whyte punts for 28 yards to Ham38. Penalty: No Yards on Montreal (Curtis Dublanko) -5 yards.,0,0
12:16,1,Rush,-3,C.J. Gable rush for a loss of 3 yards to the Ham40. Tackled by John Bowman.,0,0
12:01,2,Unnecessary Roughness,-15,Henry Burris incomplete pass intended for C.J. Gable. Penalty: Unnecessary Roughness on Hamilton (Brandon Banks) -15 yards.,0,0
11:21,3,Punt,12,Josh Bartel punts for 43 yards to Mtl42. Bo Bowling return for 12 yards to Mtl54. Tackled by  .,0,0
11:05,1,Rush,6,Tyrell Sutton rush for 6 yards to the Ham50. Tackled by Simoni Lawrence.,0,0
10:50,2,Incomplete Pass,0,Troy Smith incomplete pass intended for S.J. Green.,0,0
10:18,3,Punt,2,Sean Whyte punts for 40 yards to Ham10. Brandon Banks return for 2 yards to Ham12. Tackled by Walter Spencer.,0,0
09:56,1,Pass,11,Henry Burris pass to Dobson Collins for 11 yards to the Ham23. Tackled by Alan-Michael Cash.,0,0
09:38,1,Pass,5,Henry Burris pass to Andy Fantuz for 5 yards to the Ham28. Tackled by Chip Cox.,0,0
09:14,2,Pass,1,Henry Burris pass to C.J. Gable for 1 yard to the Ham29. Tackled by Shea Emry.,0,0
08:38,3,Punt,8,Josh Bartel punts for 55 yards to Mtl26. Bo Bowling return for 8 yards to Mtl34. Tackled by Erik Harris.,0,0
08:18,1,Incomplete Pass,0,Troy Smith incomplete pass intended for S.J. Green.,0,0
